,Concept_ID,sq,sq
0,Auge::N,sy,sy
1,Ohr::N,vesh,vesh
2,Nase::N,hundë,hundë
3,Mund::N,gojë,gojë
4,Zahn::N,dhëmb,dhëmb
5,Zunge::N,gjuhë,gjuhë
6,Lippe::N,buzë,buzë
7,Wange::N,faqe,faqe
8,Wange::N,faqe,mollëz
9,Wange::N,mollëz,faqe
10,Wange::N,mollëz,mollëz
11,Gesicht::N,fytyrë,fytyrë
12,Stirn::N,ballë,ballë
13,Haar::N,flokë,flokë
14,Schnurrbart::N,mustaqe,mustaqe
15,Bart::N,mjekër,mjekër
16,Kinn::N,mjekër,mjekër
17,Kiefer[Anatomie]::N,nofull,nofull
18,Kehle::N,fyt,fyt
19,Kehle::N,fyt,grykë
20,Kehle::N,grykë,fyt
21,Kehle::N,grykë,grykë
22,Hals::N,qafë,qafë
23,Genick::N,arrëz,arrëz
24,Kopf::N,kokë,kokë
25,Rücken::N,kurriz,kurriz
26,Bauch::N,bark,bark
27,Nabel::N,kërthizë,kërthizë
28,Busen::N,gji,gji
29,Brust::N,gjoks,gjoks
30,Brust::N,gjoks,kraharor
31,Brust::N,kraharor,gjoks
32,Brust::N,kraharor,kraharor
33,Schulter::N,sup,sup
34,Schulter::N,sup,krah
35,Schulter::N,krah,sup
36,Schulter::N,krah,krah
37,Arm::N,krah,krah
38,Ellenbogen::N,bërryl,bërryl
39,Hand::N,dorë,dorë
40,Handfläche::N,pëllëmbë,pëllëmbë
41,Finger::N,gisht,gisht
42,Fingernagel::N,thua,thua
43,Nagel[Anatomie]::N,thua,thua
44,Zeh::N,gisht i këmbës,gisht i këmbës
45,Fuß::N,këmbë,këmbë
46,Ferse::N,thembër,thembër
47,Knie::N,gju,gju
48,Oberschenkel::N,kofshë,kofshë
49,Bein::N,këmbë,këmbë
50,Körper::N,trup,trup
51,Haut::N,lëkurë,lëkurë
52,Blut::N,gjak,gjak
53,Ader::N,venë,venë
54,Sehne::N,dell,dell
55,Knochen::N,asht,asht
56,Knochen::N,asht,kockë
57,Knochen::N,kockë,asht
58,Knochen::N,kockë,kockë
59,Gehirn::N,tru,tru
60,Herz::N,zemër,zemër
61,Magen::N,stomak,stomak
62,Leber::N,mëlçi,mëlçi
63,Atem::N,frymë,frymë
64,Hunger::N,uri,uri
65,Träne::N,lot,lot
66,Geschmack::N,shije,shije
67,Geruch::N,erë,erë
68,Schlaf::N,gjumë,gjumë
69,Traum::N,ëndërr,ëndërr
70,Himmel::N,qiell,qiell
71,Sonne::N,diell,diell
72,Mond::N,hënë,hënë
73,Stern::N,yll,yll
74,Luft::N,ajër,ajër
75,Wind::N,erë,erë
76,Welle::N,valë,valë
77,Welle::N,valë,dallgë
78,Welle::N,dallgë,valë
79,Welle::N,dallgë,dallgë
80,Wasser::N,ujë,ujë
81,Stein::N,gur,gur
82,Boden::N,tokë,tokë
83,Boden::N,tokë,truall
84,Boden::N,truall,tokë
85,Boden::N,truall,truall
86,Erde::N,dhe,dhe
87,Erde::N,dhe,baltë
88,Erde::N,baltë,dhe
89,Erde::N,baltë,baltë
90,Staub::N,pluhur,pluhur
91,Rauch::N,tym,tym
92,Funke::N,xixë,xixë
93,Funke::N,xixë,shkëndijë
94,Funke::N,shkëndijë,xixë
95,Funke::N,shkëndijë,shkëndijë
96,Feuer::N,zjarr,zjarr
97,Licht::N,dritë,dritë
98,Schatten::N,hije,hije
99,Wetter::N,mot,mot
100,Nebel::N,mjegull,mjegull
101,Wolke::N,re,re
102,Regen::N,shi,shi
103,Schnee::N,borë,borë
104,Eis::N,akull,akull
105,Frost::N,ngricë,ngricë
106,Kälte::N,të ftohtë,të ftohtë
107,Hitze::N,vapë,vapë
108,Hitze::N,vapë,nxehtësi
109,Hitze::N,nxehtësi,vapë
110,Hitze::N,nxehtësi,nxehtësi
111,Raureif::N,cikmë,cikmë
112,Regenbogen::N,ylber,ylber
113,Donner::N,gjëmim,gjëmim
114,Donner::N,gjëmim,bubullimë
115,Donner::N,bubullimë,gjëmim
116,Donner::N,bubullimë,bubullimë
117,Strömung::N,rrymë,rrymë
118,Tropfen::N,pikë,pikë
119,Schaum::N,shkumë,shkumë
120,Schmutz::N,baltë,baltë
121,See::N,liqen,liqen
122,Sumpf::N,batak,batak
123,Moor::N,kënetë,kënetë
124,Wiese::N,livadh,livadh
125,Wald::N,pyll,pyll
126,Hügel::N,kodër,kodër
127,Anhöhe::N,bregore,bregore
128,Berg::N,mal,mal
129,Gipfel::N,kulm,kulm
130,Höhle::N,shpellë,shpellë
131,Höhle::N,shpellë,zgafelle
132,Höhle::N,zgafelle,shpellë
133,Höhle::N,zgafelle,zgafelle
134,Abhang::N,shpat,shpat
135,Abhang::N,shpat,tatëpjetë
136,Abhang::N,tatëpjetë,shpat
137,Abhang::N,tatëpjetë,tatëpjetë
138,Quelle::N,krua,krua
139,Quelle::N,krua,burim
140,Quelle::N,burim,krua
141,Quelle::N,burim,burim
142,Bach::N,virua,virua
143,Fluss::N,lumë,lumë
144,Ufer::N,breg,breg
145,Küste::N,anëdet,anëdet
146,Küste::N,anëdet,bregdet
147,Küste::N,bregdet,anëdet
148,Küste::N,bregdet,bregdet
149,Festland::N,kontinent,kontinent
150,Meer::N,det,det
151,Bucht::N,gji deti,gji deti
152,Insel::N,ishull,ishull
153,Insel::N,ishull,ujdhesë
154,Insel::N,ujdhesë,ishull
155,Insel::N,ujdhesë,ujdhesë
156,Blume::N,lule,lule
157,Gras::N,bar,bar
158,Wurzel::N,rrënjë,rrënjë
159,Baum::N,pemë,pemë
160,Stamm::N,trung,trung
161,Rinde::N,lëvore,lëvore
162,Ast::N,degë,degë
163,Zweig::N,bisk,bisk
164,Blatt::N,fletë,fletë
165,Blatt::N,fletë,gjethe
166,Blatt::N,gjethe,fletë
167,Blatt::N,gjethe,gjethe
168,Birke::N,mështekën,mështekën
169,Kiefer[Baum]::N,pishë,pishë
170,Weide[Baum]::N,shelg,shelg
171,Tanne::N,bredh,bredh
172,Horn::N,bri,bri
173,Feder::N,pupël,pupël
174,Fell::N,lëkurë,lëkurë
175,Flügel::N,krah,krah
176,Flügel::N,krah,fletë
177,Flügel::N,fletë,krah
178,Flügel::N,fletë,fletë
179,Klaue::N,kthetër,kthetër
180,Kralle::N,thua,thua
181,Kralle::N,thua,kthetër
182,Kralle::N,kthetër,thua
183,Kralle::N,kthetër,kthetër
184,Schwanz::N,bisht,bisht
185,Ei::N,vezë,vezë
186,Nest::N,fole,fole
187,Bau::N,strofkë,strofkë
188,Tier::N,kafshë,kafshë
189,Herde::N,kope,kope
190,Herde::N,kope,grigjë
191,Herde::N,grigjë,kope
192,Herde::N,grigjë,grigjë
193,Kuh::N,lopë,lopë
194,Bulle::N,dem,dem
195,Pferd::N,kalë,kalë
196,Schaf::N,dele,dele
197,Schwein::N,derr,derr
198,Hund::N,qen,qen
199,Katze::N,mace,mace
200,Bär::N,ari,ari
201,Eichhörnchen::N,ketër,ketër
202,Elch::N,dre brilopatë,dre brilopatë
203,Fuchs::N,dhelpër,dhelpër
204,Hase::N,lepur,lepur
205,Maus::N,mi,mi
206,Wolf::N,ujk,ujk
207,Vogel::N,zog,zog
208,Vogel::N,zog,shpend
209,Vogel::N,shpend,zog
210,Vogel::N,shpend,shpend
211,Schwarm::N,luzmë,luzmë
212,Huhn::N,pulë,pulë
213,Hahn::N,gjel,gjel
214,Hahn::N,gjel,këndes
215,Hahn::N,këndes,gjel
216,Hahn::N,këndes,këndes
217,Gans::N,patë,patë
218,Adler::N,shqiponjë,shqiponjë
219,Ente::N,rosë,rosë
220,Eule::N,buf,buf
221,Kranich::N,lejlek,lejlek
222,Kranich::N,lejlek,kurrillë
223,Kranich::N,kurrillë,lejlek
224,Kranich::N,kurrillë,kurrillë
225,Krähe::N,sorrë,sorrë
226,Kuckuck::N,qyqe,qyqe
227,Schwan::N,mjellmë,mjellmë
228,Fisch::N,peshk,peshk
229,Barsch::N,purtekë,purtekë
230,Hecht::N,mlysh,mlysh
231,Schlange[Tier]::N,gjarpër,gjarpër
232,Wurm::N,krimb,krimb
233,Spinne::N,marimangë,marimangë
234,Ameise::N,thnegël,thnegël
235,Ameise::N,thnegël,milingonë
236,Ameise::N,milingonë,thnegël
237,Ameise::N,milingonë,milingonë
238,Laus::N,morr,morr
239,Mücke::N,kunup,kunup
240,Mücke::N,kunup,mushkonjë
241,Mücke::N,mushkonjë,kunup
242,Mücke::N,mushkonjë,mushkonjë
243,Fliege::N,mizë,mizë
244,Schmetterling::N,flutur,flutur
245,Beere::N,frutë,frutë
246,Beere::N,frutë,manaferrë
247,Beere::N,manaferrë,frutë
248,Beere::N,manaferrë,manaferrë
249,Apfel::N,mollë,mollë
250,Pilz::N,kërpudhë,kërpudhë
251,Zwiebel::N,qepë,qepë
252,Saat::N,farë,farë
253,Korn::N,grurë,grurë
254,Korn::N,grurë,kokërr
255,Korn::N,kokërr,grurë
256,Korn::N,kokërr,kokërr
257,Heu::N,sanë,sanë
258,Schale::N,lëkurë,lëkurë
259,Grube::N,gropë,gropë
260,Falle::N,kurth,kurth
261,Falle::N,kurth,grackë
262,Falle::N,grackë,kurth
263,Falle::N,grackë,grackë
264,Schlinge::N,nyjë,nyjë
265,Spur::N,gjurmë,gjurmë
266,Asche::N,hi,hi
267,Dreck::N,baltë,baltë
268,Eisen::N,hekur,hekur
269,Gold::N,ar,ar
270,Gold::N,ar,flori
271,Gold::N,flori,ar
272,Gold::N,flori,flori
273,Silber::N,argjend,argjend
274,Kohle::N,qymyr,qymyr
275,Glas::N,qelq,qelq
276,Lehm::N,argjilë,argjilë
277,Sand::N,rërë,rërë
278,Mensch::N,njeri,njeri
279,Mann::N,burrë,burrë
280,Mann::N,burrë,mashkull
281,Mann::N,mashkull,burrë
282,Mann::N,mashkull,mashkull
283,Frau::N,grua,grua
284,Frau::N,grua,femër
285,Frau::N,femër,grua
286,Frau::N,femër,femër
287,Kind::N,kalama,kalama
288,Junge::N,djalë,djalë
289,Mädchen::N,gocë,gocë
290,Mädchen::N,gocë,vajzë
291,Mädchen::N,vajzë,gocë
292,Mädchen::N,vajzë,vajzë
293,Familie::N,familje,familje
294,Großvater::N,gjysh,gjysh
295,Großmutter::N,gjyshe,gjyshe
296,Eltern::N,prindër,prindër
297,Vater::N,atë,atë
298,Mutter::N,nënë,nënë
299,Sohn::N,bir,bir
300,Tochter::N,bijë,bijë
301,Bruder::N,vëlla,vëlla
302,Schwester::N,motër,motër
303,Onkel::N,dajë,dajë
304,Onkel::N,dajë,xhaxha
305,Onkel::N,xhaxha,dajë
306,Onkel::N,xhaxha,xhaxha
307,Tante::N,teze,teze
308,Tante::N,teze,hallë
309,Tante::N,hallë,teze
310,Tante::N,hallë,hallë
311,Ehemann::N,burrë,burrë
312,Ehemann::N,burrë,bashkëshort
313,Ehemann::N,bashkëshort,burrë
314,Ehemann::N,bashkëshort,bashkëshort
315,Ehefrau::N,grua,grua
316,Ehefrau::N,grua,bashkëshorte
317,Ehefrau::N,bashkëshorte,grua
318,Ehefrau::N,bashkëshorte,bashkëshorte
319,Freude::N,gaz,gaz
320,Freude::N,gaz,gëzim
321,Freude::N,gëzim,gaz
322,Freude::N,gëzim,gëzim
323,Gelächter::N,qeshje,qeshje
324,Glück::N,lumturi,lumturi
325,Kummer::N,brengë,brengë
326,Kummer::N,brengë,pikëllim
327,Kummer::N,pikëllim,brengë
328,Kummer::N,pikëllim,pikëllim
329,Wunsch::N,dëshirë,dëshirë
330,Lust::N,epsh,epsh
331,Lust::N,epsh,dashuri
332,Lust::N,dashuri,epsh
333,Lust::N,dashuri,dashuri
334,Geist::N,frymë,frymë
335,Geist::N,frymë,shpirt
336,Geist::N,shpirt,frymë
337,Geist::N,shpirt,shpirt
