,Concept_ID,kv,av
0,Auge::N,син,
1,Ohr::N,пель,гӏин
2,Nase::N,ныр,мегӏер
3,Mund::N,ӧм,кӏал
4,Zahn::N,пинь,гӏус
5,Zunge::N,кыв,мацӏ
6,Lippe::N,тырп,кӏветӏ
7,Wange::N,рожабан,гӏоно
8,Gesicht::N,бан,гьумер
9,Stirn::N,кымӧс,нодо
10,Haar::N,юрси,рас
11,Schnurrbart::N,уссэз,михъ
12,Bart::N,тош,мегеж
13,Kinn::N,тшӧка,нилъу
14,Kiefer[Anatomie]::N,ан,чанагъ
15,Kehle::N,юан,щекъер
16,Hals::N,юан,габур
17,Genick::N,юр бӧр,гъванща
18,Kopf::N,юр,бетӏер
19,Rücken::N,мышк,мугъ
20,Bauch::N,кынӧм,чехь
21,Nabel::N,гӧг,цӏину
22,Busen::N,морос,керен
23,Brust::N,морос,керен
24,Schulter::N,пельпон,гъажазубетӏер
25,Arm::N,ки,гъеж
26,Ellenbogen::N,гырдзза,гӏункӏрукь
27,Hand::N,кикар,квер
28,Handfläche::N,ки пыдӧс,огъохъат
29,Handfläche::N,ки пыдӧс,жанисахъат
30,Finger::N,чунь,килищ
31,Fingernagel::N,гыж,малъ
32,Nagel[Anatomie]::N,гыж,малъ
33,Zeh::N,чунь,килищ
34,Fuß::N,кокпыдӧс,хӏетӏ
35,Fuß::N,кокпыдӧс,хӏетӏе
36,Ferse::N,кокдзир,эгъе
37,Knie::N,пидзӧс,наку
38,Oberschenkel::N,лядьбей,мачӏ
39,Bein::N,кок,бох
40,Körper::N,вывтыр,къаркъала
41,Haut::N,кучик,тӏом
42,Blut::N,вир,би
43,Ader::N,сӧн,бидурихь
44,Sehne::N,жила,
45,Knochen::N,коска,ракьа
46,Gehirn::N,вем,гӏадалнах
47,Herz::N,сьӧлӧм,ракӏ
48,Magen::N,жӧвдӧк,кванирукъ
49,Leber::N,мус,тӏул
50,Atem::N,лолалӧм,хӏухь
51,Hunger::N,тшыг,ракъи
52,Träne::N,синва,магӏу
53,Geschmack::N,кӧр,тату
54,Geruch::N,дук,махӏ
55,Schlaf::N,он,макьу
56,Traum::N,вӧт,макьу
57,Himmel::N,небо,зоб
58,Sonne::N,шондi,бакъ
59,Mond::N,тӧлiсь,моцӏ
60,Stern::N,кӧдзыв,цӏва
61,Luft::N,ру,гьава
62,Wind::N,тӧв,гьури
63,Welle::N,гы,карачел
64,Wasser::N,ва,лъим
65,Stein::N,из,гьецӏо
66,Boden::N,му,ракь
67,Erde::N,му,ракь
68,Erde::N,му,дуниял
69,Staub::N,бус,хӏур
70,Rauch::N,тшын,кӏкӏуй
71,Funke::N,бичир,
72,Feuer::N,би,цӏа
73,Licht::N,би,канлъи
74,Schatten::N,вуджӧр,рагӏад
75,Wetter::N,погоддя,гьава-бакъ
76,Nebel::N,туман,гӏодобнакӏкӏ
77,Wolke::N,кымӧр,накӏкӏ
78,Regen::N,зэр,цӏад
79,Schnee::N,лым,гӏазу
80,Eis::N,йы,цӏер
81,Frost::N,мороз,замгьари
82,Kälte::N,кӧдзыт,квач
83,Hitze::N,ӧд,багӏари
84,Raureif::N,кижа,мартӏ
85,Regenbogen::N,енӧшка,нур
86,Regenbogen::N,енӧшка,чамбара
87,Donner::N,гым,гъугъай
88,Donner::N,гым,гъугъади
89,Strömung::N,визывтӧм,чвахи
90,Tropfen::N,тёп,резел
91,Tropfen::N,тёп,тӏинкӏ
92,Tropfen::N,тёп,къатӏра
93,Tropfen::N,тёп,тӏенкӏел
94,Schaum::N,быг,полоп
95,Schmutz::N,нять,чороклъи
96,See::N,ты,хӏор
97,Sumpf::N,арай,хьуцӏ
98,Moor::N,нюр,
99,Wiese::N,видз,мегъ
100,Wiese::N,видз,гӏурдаллъи
101,Wald::N,вӧр,рохь
102,Hügel::N,мыльк,гохӏ
103,Anhöhe::N,вывтас,сийитма
104,Anhöhe::N,вылынін,сийитма
105,Berg::N,керӧс,мегӏер
106,Gipfel::N,йыв,тӏогь
107,Höhle::N,нора,нохъо
108,Abhang::N,покат,лабаллъи
109,Quelle::N,больган,ицц
110,Bach::N,шор,лъар
111,Fluss::N,ю,гӏор
112,Ufer::N,берег,рагӏал
113,Küste::N,берег,рагӏал
114,Festland::N,му,ракь
115,Festland::N,му,ракъдаллъи
116,Meer::N,море,ралъад
117,Bucht::N,курья,кӏветӏ
118,Blume::N,цветок,тӏегь
119,Gras::N,турун,хер
120,Wurzel::N,вуж,кьибил
121,Baum::N,пу,гъветӏ
122,Stamm::N,мыр,рохти
123,Stamm::N,кер,рохти
124,Rinde::N,кач,макъар
125,Ast::N,ув,ноцӏ
126,Zweig::N,ув,гӏаркьел
127,Blatt::N,лист,тӏамах
128,Birke::N,кыдз,мах
129,Birke::N,кыдз,махигъветӏ
130,Kiefer[Baum]::N,пожум,накӏкӏигъветӏ
131,Weide[Baum]::N,бадь,рицӏцӏ
132,Weide[Baum]::N,бадь,рицӏцӏигъветӏ
133,Tanne::N,кӧз,ёлка
134,Horn::N,сюр,лълъар
135,Feder::N,гӧн,хӏули
136,Fell::N,кучик,тӏом
137,Fell::N,кучик,цӏоко
138,Flügel::N,борд,кваркьи
139,Klaue::N,гыж,галъ
140,Kralle::N,кабыр,квачӏ
141,Kralle::N,кабыр,катиквачӏ
142,Schwanz::N,бӧж,рачӏ
143,Ei::N,кольть,хоно
144,Nest::N,поз,бусен
145,Bau::N,осьта,каратӏ
146,Bau::N,нора,каратӏ
147,Tier::N,зверь,хӏайван
148,Herde::N,гурт,рехъен
149,Herde::N,гурт,рехъед
150,Kuh::N,мӧс,гӏака
151,Bulle::N,ӧшка,оц
152,Pferd::N,вӧв,чу
153,Schaf::N,баля,чахъу
154,Schwein::N,порсь,болъон
155,Hund::N,пон,гьой
156,Katze::N,кань,кету
157,Bär::N,ош,ци
158,Eichhörnchen::N,ур,гвангва
159,Elch::N,вӧр мӧс,
160,Fuchs::N,руч,цер
161,Hase::N,кӧч,гӏанкӏ
162,Maus::N,шыр,гӏункӏкӏ
163,Wolf::N,кӧин,бацӏ
164,Vogel::N,кай,хӏинчӏ
165,Schwarm::N,стая,тӏел
166,Schwarm::N,чукӧр,тӏел
167,Huhn::N,курӧг,гӏанкӏу
168,Hahn::N,петух,хӏелеко
169,Hahn::N,ай курӧг,хӏелеко
170,Gans::N,дзодзог,хъаз
171,Adler::N,куч,цӏум
172,Adler::N,кутш,цӏум
173,Ente::N,утка,ордек
174,Eule::N,тупка,беццаруз
175,Kranich::N,тури,къункъра
176,Krähe::N,рака,гъеду
177,Kuckuck::N,кӧк,гагу
178,Schwan::N,юсь,хӏанкъва
179,Fisch::N,чери,ччугӏа
180,Barsch::N,ёкыш,окунь
181,Hecht::N,сирпинь,щука
182,Schlange[Tier]::N,змей,борохь
183,Wurm::N,номыр,хӏапара
184,Spinne::N,черань,хъанхъра
185,Ameise::N,кӧдзывкар,цӏунцӏра
186,Laus::N,ляпа той,нацӏ
187,Mücke::N,ном,кӏкӏара
188,Fliege::N,гут,тӏутӏ
189,Schmetterling::N,бабыв,кӏалкӏучӏ
190,Beere::N,ягӧд,
191,Apfel::N,яблоко,гӏеч
192,Pilz::N,тшак,гӏурдахӏан
193,Zwiebel::N,грез,кӏочӏопер
194,Saat::N,кӧдзыс,хьон
195,Korn::N,сю,мугь
196,Heu::N,турун,хер
197,Schale::N,кыш,хъал
198,Schale::N,киль,хъал
199,Grube::N,яма,гвенд
200,Falle::N,нальк,къор
201,Falle::N,нальк,къотен
202,Falle::N,кляпча,къор
203,Falle::N,кляпча,къотен
204,Schlinge::N,лӧч,кӏичӏ
205,Spur::N,туй,лъалкӏ
206,Asche::N,пӧим,рахъу
207,Dreck::N,нять,гъиз
208,Dreck::N,нять,хӏарщ
209,Eisen::N,кӧрт,махх
210,Gold::N,зарни,месед
211,Silber::N,язісь,гӏарац
212,Kohle::N,шом,тӏурччи
213,Kohle::N,уголь,тӏурччи
214,Glas::N,стекло,цӏер
215,Lehm::N,сёй,хӏатӏ
216,Sand::N,лыа,сали
217,Mensch::N,морт,чи
218,Mann::N,мужик,бихьинчи
219,Frau::N,инька,гӏадан
220,Kind::N,кага,лъимер
221,Junge::N,зонка,вас
222,Mädchen::N,нывкаок,яс
223,Familie::N,семья,хъизан
224,Großvater::N,дед,кӏудада
225,Großmutter::N,баб,кӏодо
226,Eltern::N,ай-мам,эбел-эмен
227,Vater::N,ай,эмен
228,Mutter::N,мам,эбел
229,Sohn::N,зон,вас
230,Tochter::N,ныв,яс
231,Bruder::N,вон,вац
232,Schwester::N,сой,яц
233,Onkel::N,дядь,даци
234,Tante::N,айӧлӧн сой,ада
235,Tante::N,ичинь,ада
236,Ehemann::N,жӧник,рос
237,Ehefrau::N,инь,чӏужу
238,Freude::N,гаж,ракӏбохи
239,Freude::N,радъялӧм,ракӏбохи
240,Gelächter::N,сералӧм,релъи
241,Glück::N,мичлун,талихӏ
242,Glück::N,мичлун,талихӏ-рохел
243,Kummer::N,шог,хӏалкъай
244,Wunsch::N,мӧдӧм,къасд
245,Wunsch::N,охотитӧм,къасд
246,Lust::N,охота,гъира
247,Geist::N,лов,чӏанкӏ
248,Geist::N,лов,рухӏ-жан
249,Gedanke::N,дума,пикру
250,Gedächtnis::N,тӧдвыв,
251,Verstand::N,вежӧр,лумалъи
252,Verstand::N,вежӧр,цӏодорлъи
253,Sinn::N,ылӧс,магӏна
254,Grund::N,мог,багьана
255,Wahrheit::N,правда,ритӏухълъи
256,Gespräch::N,сёрни,накъит
257,Märchen::N,сказка,маргьа
258,Erzählung::N,висьт,къиса
259,Nachricht::N,юӧр,хабар
260,Nachricht::N,висьталӧм,хабар
261,Neuigkeit::N,новость,хабар-гӏазаб
262,Name::N,ним,цӏар
263,Rätsel::N,загадка,бицанкӏо
264,Rede::N,сёрни,речь
265,Rede::N,сёрни,калам
266,Sprache::N,кыв,мацӏ
267,Stimme::N,голос,гьаракь
268,Wort::N,кыв,рагӏи
269,Zeichen::N,пас,ишара
270,Zeichen::N,пас,гӏаламат
271,Ruf::N,чуксӧм,ахӏи
272,Ruf::N,чукӧстӧм,ахӏи
273,Lärm::N,шум,хъуй
274,Lärm::N,шум,хъуди
275,Laut::N,шы,гьаракь
276,Laut::N,шы,сас
277,Ton::N,гор,
278,Lied::N,сьыланкыв,кечӏ
279,Ruhe::N,спокой,рахӏат
280,Leute::N,йӧз,гӏадамал
281,Volk::N,йӧз,халкъ
282,Volk::N,народ,халкъ
283,Arbeit::N,удж,хӏалтӏи
284,Gast::N,гӧсь,гьобол
285,Geschenk::N,гӧснеч,сайигъат
286,Geschenk::N,подарок,сайигъат
287,Spiel::N,орсӧм,хӏай
288,Spiel::N,орсӧм,расанди
289,Gesellschaft::N,компания,жамагӏат
290,Hilfe::N,отсӧт,кумек
291,Freund::N,модз,гьудул
292,Freund::N,дружок,гьудул
293,Kamerad::N,тӧдса,гьалмагъ
294,Angelegenheit::N,дело,къваригӏел
295,Anzahl::N,лыд,рикӏкӏен
296,Art::N,пӧлӧс,жинс
297,Stück::N,тор,кесек
298,Teil::N,юкӧм,пай
299,Hälfte::N,джын,бащдаб
300,Kreis::N,круг,гор
301,Kreuz::N,перна,хъанч
302,Linie::N,визь,мухъ
303,Strich::N,кырӧв,хӏучч
304,Abstand::N,колас,манзил
305,Entfernung::N,ылына,манзил
306,Gegend::N,места,рахъ
307,Platz::N,места,бакӏ
308,Ort::N,места,бакӏ
309,Seite::N,ладор,рахъ
310,Mitte::N,шӧр,бакьулъбакӏ
311,Gegenstand::N,тор,жо
312,Sache::N,тор,жо
313,Rand::N,дор,мицӏир
314,Kante::N,ордлы,рагӏал
315,Kante::N,ордлы,рагӏа-ракьан
316,Ecke::N,пельӧс,цили
317,Spitze::N,йыв,тӏогь
318,Ende::N,йыв,кӏал
319,Loch::N,осьта,каратӏ
320,Winkel::N,пельӧс,
321,Muster::N,сер,накъиш
322,Größe::N,ыжда,кӏодо́лъи
323,Länge::N,кузя,халалъи
324,Höhe::N,сувда,борхалъи
325,Höhe::N,вылына,борхалъи
326,Gewicht::N,сьӧкта,бакӏлъи
327,Haufen::N,куча,гъуни
328,Reihe::N,лёдз,ирга́
329,Boot::N,пыж,раса
330,Ruder::N,пелыс,раххан
331,Schlitten::N,додь,чанагъ
332,Ski::N,лямпа,лыжаби
