,Concept_ID,mhr,br
0,Auge::N,шинча́,lagad
1,Ohr::N,пы́лыш,skouarn
2,Nase::N,нер,fri
3,Mund::N,умша́,genoù
4,Zahn::N,пӱй,dant
5,Zunge::N,йы́лме,teod
6,Lippe::N,тӱ́рвӧ,muzell
7,Wange::N,шӱ́ргӧ,chot
8,Gesicht::N,чури́й,dremm
9,Stirn::N,саҥга́,tal
10,Haar::N,ӱп,blev
11,Schnurrbart::N,ӧ́рыш,mourenn
12,Bart::N,понда́ш,barv
13,Kinn::N,оҥыла́ш,groñj
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,javed
15,Kiefer[Anatomie]::N,пӱйората́,javed
16,Kehle::N,лога́р,gouzoug
17,Hals::N,шӱй,gouzoug
18,Genick::N,шӱйло́дыш,choug
19,Kopf::N,вуй,penn
20,Rücken::N,туп,kein
21,Bauch::N,мӱ́шкыр,kof
22,Nabel::N,кы́лымде,begel
23,Busen::N,чы́зе,bronn
24,Brust::N,оҥ,bruched
25,Schulter::N,ва́че,skoaz
26,Arm::N,кид,brec'h
27,Ellenbogen::N,кынерву́й,ilin
28,Hand::N,кид,dorn
29,Hand::N,копа́,dorn
30,Handfläche::N,со́во,palv
31,Finger::N,парня́,biz
32,Fingernagel::N,кидкӱ́ч,ivin
33,Fingernagel::N,парнягӱ́ч,ivin
34,Nagel[Anatomie]::N,кӱч,ivin
35,Zeh::N,йолварня́,biz-troad
36,Fuß::N,йол,troad
37,Fuß::N,йолкопа́,troad
38,Ferse::N,тага́н,seul
39,Knie::N,пулву́й,glin
40,Oberschenkel::N,э́рде,morzhed
41,Bein::N,йол,gar
42,Körper::N,кап,korf
43,Haut::N,кова́ште,kroc'hen
44,Blut::N,вӱр,gwad
45,Ader::N,шӧн,gwazhi
46,Sehne::N,шӧн,stir
47,Sehne::N,кӱсе́н,stir
48,Knochen::N,лу,askorn
49,Gehirn::N,вем,empenn
50,Gehirn::N,вуйве́м,empenn
51,Herz::N,шӱм,kalon
52,Magen::N,пага́р,stomog
53,Leber::N,мокш,avu
54,Atem::N,шӱ́лыш,anal
55,Hunger::N,шужыма́ш,naon
56,Träne::N,шинчавӱ́д,daer
57,Geschmack::N,там,blaz
58,Geruch::N,пуш,c'hwezh
59,Schlaf::N,о́мо,kousked
60,Traum::N,йӱдо́мо,hune
61,Himmel::N,кава́,oabl
62,Sonne::N,ке́че,heol
63,Mond::N,ты́лзе,loar
64,Stern::N,шӱ́дыр,steredenn
65,Luft::N,юж,aer
66,Wind::N,марде́ж,avel
67,Welle::N,то́лкын,houlenn
68,Wasser::N,вӱд,dour
69,Stein::N,кӱ,maen
70,Boden::N,рок,tachenn
71,Erde::N,мла́нде,douar
72,Staub::N,пура́к,poultr
73,Rauch::N,шикш,moged
74,Funke::N,сеске́м,ful
75,Funke::N,тулйы́п,ful
76,Feuer::N,тул,tan
77,Licht::N,со́то,gouloù
78,Schatten::N,ӱ́мыл,disheol
79,Wetter::N,иге́че,amzer
80,Nebel::N,тӱтыра́,brumenn
81,Wolke::N,пыл,koumoulenn
82,Regen::N,йӱр,glav
83,Schnee::N,лум,erc'h
84,Eis::N,ий,skorn
85,Frost::N,чатлама́,rev
86,Kälte::N,йӱ́штӧ,yen
87,Hitze::N,шо́кшо,tommder
88,Raureif::N,пӧрш,frim
89,Raureif::N,по́кшым,frim
90,Regenbogen::N,шонанпы́л,gwareg-ar-glav
91,Donner::N,кӱ́дырчӧ,kurun
92,Strömung::N,йо́гын,red
93,Tropfen::N,чӱча́лтыш,bannac'h
94,Tropfen::N,чӱча́лтыш,takenn
95,Schaum::N,шоҥ,spoum
96,Schmutz::N,лавыра́,fank
97,See::N,ер,lenn
98,Sumpf::N,лӱ́кӧ,gwern
99,Moor::N,куп,taouarc'heg
100,Wiese::N,о́лык,prad
101,Wald::N,чодыра́,koad
102,Hügel::N,арка́,torgenn
103,Anhöhe::N,тӧва́,run
104,Anhöhe::N,кӱкшака́,run
105,Berg::N,ку́рык,menez
106,Gipfel::N,чаҥга́,barr
107,Gipfel::N,курыкву́й,barr
108,Höhle::N,пеще́р,kav
109,Höhle::N,курыкпо́мыш,kav
110,Abhang::N,та́йыл,naou
111,Quelle::N,важ,feunteun
112,Quelle::N,вӱдшинча́,feunteun
113,Bach::N,изэҥе́р,gwazh
114,Fluss::N,эҥе́р,stêr
115,Ufer::N,сер,ribl
116,Küste::N,вӱдтӱ́р,aod
117,Festland::N,мла́нде,douar
118,Meer::N,те́ҥыз,mor
119,Bucht::N,икса́,mor-bihan
120,Insel::N,отро́,enez
121,Blume::N,пеле́дыш,bleunienn
122,Gras::N,шу́до,geot
123,Wurzel::N,вож,gwrizienn
124,Baum::N,пуше́ҥге,gwezenn
125,Stamm::N,йы́тыр,kef
126,Rinde::N,шӱм,rusk
127,Ast::N,укш,barr
128,Zweig::N,торма́к,bod
129,Blatt::N,лышта́ш,delienn
130,Birke::N,куэ́,bezvenn
131,Kiefer[Baum]::N,пӱ́нчӧ,pinenn
132,Weide[Baum]::N,уа́,halegenn
133,Tanne::N,кож,sapenn
134,Horn::N,шур,korn
135,Feder::N,пы́стыл,pluñv
136,Fell::N,кова́ште,kreoñ
137,Flügel::N,шу́лдыр,askell
138,Klaue::N,кӱч,skilf
139,Kralle::N,ла́па,skilf
140,Kralle::N,копа́,skilf
141,Schwanz::N,поч,lost
142,Ei::N,му́но,vi
143,Nest::N,пыжа́ш,neizh
144,Bau::N,пыжа́ш,douarenn
145,Tier::N,я́нлык,loen
146,Tier::N,живо́тный,loen
147,Herde::N,кӱ́тӱ,tropell
148,Herde::N,тӱшка́,tropell
149,Kuh::N,ушка́л,buoc'h
150,Bulle::N,ӱ́шкыж,tarv
151,Pferd::N,и́мне,marc'h
152,Schaf::N,шо́рык,dañvad
153,Schwein::N,сӧсна́,pemoc'h
154,Hund::N,пий,ki
155,Katze::N,пы́рыс,kazh
156,Bär::N,маска́,arzh
157,Eichhörnchen::N,ур,gwiñver
158,Elch::N,шо́рдо,karv-dour
159,Fuchs::N,ры́выж,louarn
160,Hase::N,мера́ҥ,gad
161,Maus::N,коля́,logodenn
162,Wolf::N,пи́ре,bleiz
163,Vogel::N,ка́йык,labous
164,Schwarm::N,каша́к,nijad
165,Huhn::N,чы́ве,yar
166,Hahn::N,агыта́н,kilhog
167,Gans::N,ко́мбо,gwazenn
168,Adler::N,карагу́ш,erer
169,Ente::N,лу́до,houad
170,Eule::N,тумна́,toud
171,Kranich::N,турня́,garan
172,Krähe::N,кора́к,bran
173,Kuckuck::N,куку́,koukoug
174,Schwan::N,йӱ́ксӧ,alarc'h
175,Fisch::N,кол,pesk
176,Barsch::N,ола́ҥге,brell
177,Hecht::N,нуж,beked
178,Hecht::N,чорта́н,beked
179,Schlange[Tier]::N,ки́шке,naer
180,Wurm::N,шукш,preñv
181,Spinne::N,эҥыре́мыш,kevnidenn
182,Ameise::N,ку́тко,merion
183,Laus::N,тий,laouenn
184,Mücke::N,шыҥа́,moustik
185,Fliege::N,ка́рме,kelienenn
186,Schmetterling::N,лы́ве,balafenn
187,Beere::N,мӧр,hog
188,Apfel::N,олма́,aval
189,Pilz::N,по́ҥго,kabell-touseg
190,Zwiebel::N,шога́н,ognonenn
191,Saat::N,нӧ́шмӧ,had
192,Saat::N,туш,had
193,Korn::N,шу́рно,ed
194,Heu::N,шу́до,foenn
195,Schale::N,шӱм,peliadur
196,Grube::N,выне́м,
197,Falle::N,лӧ́дӧ,pech
198,Schlinge::N,о́птыш,krouglas
199,Schlinge::N,шӧрга́лтыш,krouglas
200,Spur::N,кыша́,
201,Asche::N,ло́мыж,ludu
202,Dreck::N,лавыра́,fank
203,Eisen::N,кӱ́ртньӧ,houarn
204,Gold::N,шӧ́ртньӧ,aour
205,Silber::N,ший,arc'hant
206,Kohle::N,мландышӱ́й,glaou
207,Glas::N,янда́,gwer
208,Lehm::N,шун,
209,Sand::N,ошма́,traezh
210,Mensch::N,еҥ,den
211,Mensch::N,айде́ме,den
212,Mann::N,пӧръе́ҥ,den
213,Frau::N,ӱдырама́ш,maouez
214,Kind::N,аза́,bugel
215,Junge::N,рве́зе,paotr
216,Mädchen::N,ӱдыра́ш,plac'h
217,Familie::N,еш,familh
218,Großvater::N,коча́,tad-kozh
219,Großmutter::N,кова́,mamm-gozh
220,Eltern::N,ача́-ава́,kerent
221,Vater::N,ача́,tad
222,Mutter::N,ава́,mamm
223,Sohn::N,э́рге,mab
224,Tochter::N,ӱ́дыр,merc'h
225,Bruder::N,иза́,breur
226,Bruder::N,шо́льо,breur
227,Schwester::N,ака́,c'hoar
228,Onkel::N,иза́,eontr
229,Tante::N,кока́,moereb
230,Ehemann::N,мари́й,gwaz
231,Ehefrau::N,ва́те,gwreg
232,Freude::N,куа́н,levenez
233,Freude::N,куаныма́ш,levenez
234,Gelächter::N,во́штылтыш,c'hoarzherezh
235,Glück::N,пиа́л,chañs
236,Kummer::N,о́йго,doan
237,Wunsch::N,ку́мыл,c'hoant
238,Lust::N,ку́мыл,c'hoant
239,Geist::N,ӧрт,spered
240,Geist::N,чон,spered
241,Gedanke::N,ой,soñj
242,Gedanke::N,шоныма́ш,soñj
243,Gedächtnis::N,шарныма́ш,eñvor
244,Verstand::N,уш,skiant
245,Sinn::N,смысл,ster
246,Grund::N,ама́л,kaoz
