,Concept_ID,nl,bn
0,Auge::N,oog,চক্ষু
1,Ohr::N,oor,কর্ণ
2,Nase::N,neus,নাক
3,Mund::N,mond,মুখ
4,Zahn::N,tand,দাঁত
5,Zunge::N,tong,জিহবা
6,Lippe::N,lip,অধর
7,Wange::N,wang,গণ্ড
8,Gesicht::N,gelaat,মুখমণ্ডল
9,Gesicht::N,gezicht,মুখমণ্ডল
10,Stirn::N,voorhoofd,কপাল
11,Haar::N,haar,চুল
12,Schnurrbart::N,snor,গোঁফ
13,Bart::N,baard,শ্মশ্রু
14,Kinn::N,kin,চিবুক
15,Kiefer[Anatomie]::N,kaak,চোয়াল
16,Kehle::N,keel,কণ্ঠ
17,Kehle::N,strot,কণ্ঠ
18,Hals::N,hals,গল
19,Genick::N,nek,ঘাড়
20,Kopf::N,hoofd,মাথা
21,Rücken::N,rug,পৃষ্ঠ
22,Bauch::N,buik,উদর
23,Nabel::N,navel,নাভি
24,Busen::N,boezem,স্তন
25,Brust::N,borst,বুক
26,Schulter::N,schouder,স্কন্ধ
27,Arm::N,arm,বাহু
28,Ellenbogen::N,elleboog,কনুই
29,Hand::N,hand,হাত
30,Handfläche::N,handpalm,করতল
31,Finger::N,vinger,আঙ্গুল
32,Fingernagel::N,nagel,হাতের নখ
33,Nagel[Anatomie]::N,nagel,নখ
34,Zeh::N,teen,আঙ্গুল
35,Fuß::N,voet,পা
36,Ferse::N,hak,গোড়ালি
37,Ferse::N,hiel,গোড়ালি
38,Knie::N,knie,হাঁটু
39,Oberschenkel::N,dij,ঊরু
40,Bein::N,been,পা
41,Körper::N,lichaam,দেহ
42,Haut::N,huid,ত্বক
43,Blut::N,bloed,রক্ত
44,Ader::N,ader,শিরা
45,Sehne::N,pees,কণ্ডরা
46,Knochen::N,bot,অস্থি
47,Knochen::N,been,অস্থি
48,Knochen::N,knook,অস্থি
49,Gehirn::N,hersenen,মস্তিষ্ক
50,Herz::N,hart,হৃৎপিণ্ড
51,Magen::N,maag,পাকস্থলী
52,Leber::N,lever,যকৃৎ
53,Atem::N,adem,শ্বাস
54,Hunger::N,honger,ক্ষুধা
55,Träne::N,traan,অশ্রু
56,Geschmack::N,smaak,স্বাদ
57,Geruch::N,geur,গন্ধ
58,Schlaf::N,slaap,ঘুম
59,Traum::N,droom,স্বপ্ন
60,Himmel::N,hemel,আকাশ
61,Sonne::N,zon,সূর্য
62,Mond::N,maan,চন্দ্র
63,Stern::N,ster,নক্ষত্র
64,Luft::N,lucht,বায়ু
65,Wind::N,wind,বাতাস
66,Welle::N,golf,ঢেউ
67,Welle::N,golf,তরঙ্গ
68,Wasser::N,water,জল
69,Stein::N,steen,ঢিল
70,Stein::N,steen,প্রস্তর
71,Boden::N,grond,ভূতল
72,Erde::N,aarde,ভূমি
73,Staub::N,stof,ধুলা
74,Rauch::N,rook,ধোঁয়া
75,Funke::N,vonk,স্ফুলিঙ্গ
76,Feuer::N,vuur,অগ্নি
77,Licht::N,licht,আলো
78,Schatten::N,schaduw,ছায়া
79,Wetter::N,weer,আবহাওয়া
80,Nebel::N,mist,কুহেলিকা
81,Nebel::N,nevel,কুহেলিকা
82,Wolke::N,wolk,মেঘ
83,Regen::N,regen,বৃষ্টি
84,Schnee::N,sneeuw,তুষার
85,Eis::N,ijs,বরফ
86,Frost::N,vorst,তুষার
87,Kälte::N,kou,শৈত্য
88,Kälte::N,koude,শৈত্য
89,Hitze::N,hitte,তাপ
90,Raureif::N,rijp,তুহিন
91,Regenbogen::N,regenboog,রামধনু
