,Concept_ID,be,cs
0,Auge::N,вока,oko
1,Ohr::N,вуха,ucho
2,Nase::N,нос,nos
3,Mund::N,рот,pusa
4,Zahn::N,зуб,zub
5,Zunge::N,язык,jazyk
6,Lippe::N,губа,ret
7,Wange::N,шчака,tvář
8,Gesicht::N,твар,obličej
9,Stirn::N,лоб,čelo
10,Haar::N,волас,vlas
11,Haar::N,волас,vlasy
12,Haar::N,валасы,vlas
13,Haar::N,валасы,vlasy
14,Schnurrbart::N,вус,kníry
15,Schnurrbart::N,вусы,kníry
16,Bart::N,барада,vousy
17,Kinn::N,падбародак,brada
18,Kiefer[Anatomie]::N,сківіца,čelist
19,Kehle::N,горла,hrdlo
20,Hals::N,шыя,krk
21,Genick::N,патыліца,týl
22,Kopf::N,галава,hlava
23,Rücken::N,спіна,záda
24,Rücken::N,спіна,hřbet
25,Bauch::N,жывот,břicho
26,Nabel::N,пупок,pupek
27,Busen::N,грудзі,ňadra
28,Brust::N,грудзі,prsa
29,Schulter::N,плячо,plece
30,Schulter::N,плячо,rameno
31,Arm::N,рука,ruka
32,Ellenbogen::N,локаць,loket
33,Hand::N,кісць,ruka
34,Handfläche::N,далонь,dlaň
35,Finger::N,палец,prst
36,Fingernagel::N,ногаць,nehet
37,Nagel[Anatomie]::N,ногаць,nehet
38,Zeh::N,палец,prst u nohy
39,Fuß::N,нага,noha
40,Ferse::N,пята,pata
41,Ferse::N,пятка,pata
42,Knie::N,калена,koleno
43,Oberschenkel::N,бядро,stehno
44,Oberschenkel::N,сцягно,stehno
45,Bein::N,нага,noha
46,Körper::N,цела,tělo
47,Haut::N,скура,kůže
48,Blut::N,кроў,krev
49,Ader::N,вена,céva
50,Ader::N,сасуд,céva
51,Sehne::N,жыла,šlacha
52,Sehne::N,цеціва,šlacha
53,Sehne::N,сухажылле,šlacha
54,Knochen::N,косць,kost
55,Gehirn::N,мозг,mozek
56,Herz::N,сэрца,srdce
57,Magen::N,страўнік,žaludek
58,Leber::N,печань,játra
59,Atem::N,дыханне,dech
60,Hunger::N,голад,hlad
61,Träne::N,сляза,slza
62,Geschmack::N,смак,vkus
63,Geruch::N,пах,vůně
64,Geruch::N,пах,zápach
65,Schlaf::N,сон,spánek
66,Traum::N,сон,sen
67,Himmel::N,неба,nebe
68,Sonne::N,сонца,slunce
69,Mond::N,месяц,měsíc
70,Stern::N,зорка,hvězda
71,Luft::N,паветра,vzduch
72,Wind::N,вецер,vítr
73,Welle::N,хваля,vlna
74,Wasser::N,вада,voda
75,Stein::N,камень,kámen
76,Boden::N,глеба,půda
77,Erde::N,зямля,země
78,Staub::N,пыл,prach
79,Rauch::N,дым,dým
80,Rauch::N,дым,kouř
81,Funke::N,іскра,jiskra
82,Feuer::N,агонь,oheň
83,Licht::N,святло,světlo
84,Schatten::N,цень,stín
85,Wetter::N,пагода,počasí
86,Wetter::N,надворʼе,počasí
87,Nebel::N,туман,mlha
88,Wolke::N,воблака,mrak
89,Wolke::N,воблака,oblak
90,Regen::N,дождж,déšť
91,Schnee::N,снег,sníh
92,Eis::N,лёд,led
93,Frost::N,мароз,mráz
94,Kälte::N,холад,chlad
95,Hitze::N,спёка,horko
96,Raureif::N,іней,jinovatka
97,Regenbogen::N,вясёлка,duha
98,Donner::N,гром,hrom
99,Strömung::N,цячэнне,proudění
100,Tropfen::N,кропля,kapka
101,Schaum::N,пена,pěna
102,Schmutz::N,гразь,špína
103,See::N,возера,jezero
104,Sumpf::N,багна,močál
105,Sumpf::N,багна,bažina
106,Moor::N,балота,bažina
107,Moor::N,балота,slatina
108,Wiese::N,луг,louka
109,Wald::N,лес,les
110,Hügel::N,узгорак,kopec
111,Anhöhe::N,узвышша,pahorek
112,Berg::N,гара,hora
113,Gipfel::N,вяршыня,vrchol
114,Höhle::N,пячора,jeskyně
115,Abhang::N,схіл,svah
116,Abhang::N,схіл,stráň
117,Quelle::N,крыніца,pramen
118,Bach::N,ручай,potok
119,Fluss::N,рака,řeka
120,Ufer::N,бераг,břeh
121,Küste::N,узбярэжжа,pobřeží
122,Festland::N,суша,souš
123,Festland::N,суша,pevnina
124,Meer::N,мора,moře
125,Bucht::N,бухта,záliv
126,Bucht::N,бухта,zátoka
127,Insel::N,востраў,ostrov
128,Blume::N,кветка,květina
129,Gras::N,трава,tráva
130,Wurzel::N,корань,kořen
131,Baum::N,дрэва,strom
132,Stamm::N,ствол,kmen
133,Rinde::N,кара,kůra
134,Ast::N,сук,větev
135,Zweig::N,галіна,větev
136,Blatt::N,ліст,lupen
137,Birke::N,бяроза,bříza
138,Kiefer[Baum]::N,хвоя,sosna
139,Kiefer[Baum]::N,хвоя,borovice
140,Kiefer[Baum]::N,сасна,sosna
141,Kiefer[Baum]::N,сасна,borovice
142,Weide[Baum]::N,вярба,vrba
143,Tanne::N,яліна,jedle
144,Horn::N,рог,roh
145,Feder::N,пяро,pero
146,Fell::N,шкура,srst
147,Flügel::N,крыло,křídlo
148,Klaue::N,кіпцюр,dráp
149,Klaue::N,кіпцюр,pazneht
150,Kralle::N,лапа,dráp
151,Schwanz::N,хвост,ocas
152,Ei::N,яйка,vejce
153,Nest::N,гняздо,hnízdo
154,Bau::N,нара,nora
155,Tier::N,жывёла,zvíře
156,Herde::N,статак,stádo
157,Kuh::N,карова,kráva
158,Bulle::N,бык,býk
159,Pferd::N,конь,kůň
160,Schaf::N,авечка,ovce
161,Schwein::N,свіння,vepř
162,Schwein::N,свіння,prase
163,Hund::N,сабака,pes
164,Katze::N,кошка,kočka
165,Bär::N,мядзведзь,medvěd
166,Eichhörnchen::N,вавёрка,veverka
167,Elch::N,лось,los
168,Fuchs::N,ліса,liška
169,Hase::N,заяц,zajíc
170,Maus::N,мыш,myš
171,Wolf::N,воўк,vlk
172,Vogel::N,птах,pták
173,Vogel::N,птушка,pták
174,Schwarm::N,чарада,roj
175,Schwarm::N,чарада,hejno
176,Huhn::N,курыца,kuře
177,Huhn::N,курыца,slepice
178,Hahn::N,певень,kohout
179,Gans::N,гусь,husa
180,Adler::N,арол,orel
181,Ente::N,качка,kachna
182,Eule::N,сава,sova
183,Kranich::N,жораў,jeřáb
184,Kranich::N,журавель,jeřáb
185,Krähe::N,варона,vrána
186,Kuckuck::N,зязюля,kukačka
187,Schwan::N,лебедзь,labuť
188,Fisch::N,рыба,ryba
189,Barsch::N,акунь,okoun
190,Hecht::N,шчупак,štika
191,Schlange[Tier]::N,змяя,had
192,Wurm::N,чарвяк,červ
193,Spinne::N,павук,pavouk
194,Ameise::N,мурашка,mravenec
195,Laus::N,вош,veš
196,Mücke::N,камар,komár
197,Fliege::N,муха,moucha
198,Schmetterling::N,матыль,motýl
199,Beere::N,ягада,bobule
200,Apfel::N,яблык,jablko
201,Pilz::N,грыб,houba
202,Zwiebel::N,цыбуля,cibule
203,Saat::N,семя,osivo
204,Korn::N,зерне,zrno
205,Heu::N,сена,seno
206,Schale::N,шалупінне,slupka
207,Schale::N,шалупінне,skořápka
208,Grube::N,яма,jáma
209,Falle::N,пастка,past
210,Falle::N,пастка,léčka
211,Schlinge::N,сіло,smyčka
212,Spur::N,след,stopa
213,Asche::N,попел,popel
214,Dreck::N,бруд,špína
215,Eisen::N,жалеза,železo
216,Gold::N,золата,zlato
217,Silber::N,сребра,stříbro
218,Kohle::N,вугаль,uhlí
219,Glas::N,шкло,sklo
220,Lehm::N,гліна,jíl
221,Lehm::N,гліна,hlína
222,Sand::N,пясок,písek
223,Mensch::N,чалавек,člověk
224,Mann::N,мужчына,muž
225,Frau::N,жанчына,žena
226,Kind::N,дзіця,dítě
227,Junge::N,хлопчык,hoch
228,Junge::N,хлопчык,chlapec
229,Mädchen::N,дзяўчынка,děvče
230,Familie::N,сямʼя,rodina
231,Großvater::N,дзядуля,děd
232,Großvater::N,дзядуля,dědeček
233,Großmutter::N,бабуля,babička
234,Eltern::N,бацькі,rodiče
235,Vater::N,бацька,otec
236,Mutter::N,маці,matka
237,Sohn::N,сын,syn
238,Tochter::N,дачка,dcera
239,Bruder::N,брат,bratr
240,Schwester::N,сястра,sestra
241,Onkel::N,дзядзька,strýc
242,Tante::N,цётка,teta
243,Ehemann::N,муж,choť
244,Ehemann::N,муж,manžel
245,Ehefrau::N,жонка,choť
246,Ehefrau::N,жонка,manželka
247,Freude::N,радасць,radost
248,Gelächter::N,смех,smích
249,Glück::N,шчасце,štěstí
250,Kummer::N,гора,žal
251,Kummer::N,гора,trápení
252,Wunsch::N,жаданне,přání
253,Lust::N,цяга,chuť
254,Geist::N,дух,duch
255,Gedanke::N,думка,myšlenka
256,Gedächtnis::N,памяць,paměť
257,Verstand::N,розум,rozum
258,Sinn::N,сэнс,smysl
259,Grund::N,зачэпка,důvod
260,Wahrheit::N,праўда,pravda
261,Gespräch::N,размова,rozhovor
262,Märchen::N,казка,pohádka
263,Erzählung::N,расказ,povídka
264,Erzählung::N,апавяданне,povídka
265,Nachricht::N,вестка,zpráva
266,Nachricht::N,паведамленне,zpráva
267,Neuigkeit::N,навіна,novina
268,Neuigkeit::N,навіна,novinka
269,Name::N,імя,jméno
270,Rätsel::N,загадка,hádanka
271,Rede::N,прамова,řeč
272,Rede::N,прамова,proslov
273,Sprache::N,мова,řeč
274,Sprache::N,мова,jazyk
275,Stimme::N,голас,hlas
276,Wort::N,слова,slovo
277,Zeichen::N,знак,znamení
278,Ruf::N,кліч,zavolání
279,Lärm::N,шум,hluk
280,Laut::N,гук,zvuk
281,Ton::N,гучанне,tón
282,Lied::N,песня,píseň
283,Ruhe::N,спакой,klid
284,Ruhe::N,спакой,pokoj
285,Leute::N,людзі,lidé
286,Volk::N,народ,národ
287,Arbeit::N,праца,práce
288,Arbeit::N,работа,práce
289,Gast::N,госць,host
290,Geschenk::N,падарунак,dar
291,Spiel::N,гульня,hra
292,Gesellschaft::N,таварыства,společnost
293,Hilfe::N,дапамога,pomoc
294,Freund::N,друг,přítel
295,Freund::N,сябар,přítel
296,Kamerad::N,прыяцель,kamarád
297,Angelegenheit::N,справа,záležitost
298,Anzahl::N,колькасць,počet
299,Art::N,від,druh
300,Stück::N,кусок,kus
301,Stück::N,кусок,kousek
302,Stück::N,кавалак,kus
303,Stück::N,кавалак,kousek
304,Teil::N,частка,díl
305,Teil::N,частка,část
306,Hälfte::N,палова,půl
307,Hälfte::N,палавіна,půl
308,Kreis::N,круг,kruh
309,Kreuz::N,крыж,kříž
310,Linie::N,лінія,linka
311,Strich::N,рыса,čára
312,Strich::N,рыса,čárka
313,Abstand::N,прамежак,vzdálenost
314,Entfernung::N,адлегласць,vzdálenost
315,Gegend::N,мясцовасць,krajina
316,Platz::N,месца,prostor
317,Ort::N,месца,místo
318,Seite::N,бок,strana
319,Mitte::N,сярэдзіна,střed
320,Mitte::N,сярэдзіна,prostředek
321,Gegenstand::N,прадмет,předmět
322,Sache::N,рэч,věc
323,Rand::N,край,kraj
324,Rand::N,край,okraj
325,Kante::N,руб,hrana
326,Kante::N,кант,hrana
327,Ecke::N,вугал,roh
328,Spitze::N,кончык,hrot
329,Spitze::N,кончык,špička
330,Ende::N,канец,konec
331,Loch::N,дзірка,díra
332,Winkel::N,вугал,kout
333,Muster::N,узор,vzor
334,Größe::N,памер,velikost
335,Länge::N,даўжыня,délka
336,Höhe::N,вышыня,výška
