,Concept_ID,fa,uz
0,Auge::N,چشم,ko'z
1,Ohr::N,گوش,quloq
2,Nase::N,بینی,burun
3,Mund::N,دهان,og'iz
4,Zahn::N,دندان,tish
5,Zunge::N,زبان,til
6,Lippe::N,لب,dudoq
7,Wange::N,لپ,bet
8,Gesicht::N,رو,yuz
9,Gesicht::N,چهره,yuz
10,Stirn::N,پیشانی,manglay
11,Haar::N,مو,soch
12,Schnurrbart::N,سبیل,mo'ylov
13,Bart::N,ریش,soqol
14,Kinn::N,چانه,ängak
15,Kiefer[Anatomie]::N,فک,iyak
16,Kiefer[Anatomie]::N,آرواره,iyak
17,Kehle::N,حلق,bo'g'iz
18,Hals::N,گردن,bo'yin
19,Genick::N,پشت گردن,gardan
20,Kopf::N,سر,bosh
21,Kopf::N,کله,bosh
22,Rücken::N,پشت,orqa
23,Bauch::N,شکم,qorin
24,Nabel::N,ناف,kindik
25,Busen::N,پستان,ämchak
26,Brust::N,سینه,ko'krak
27,Schulter::N,دوش,elka
28,Schulter::N,شانه,elka
29,Arm::N,بازو,bilak
30,Ellenbogen::N,آرنج,tirsak
31,Hand::N,دست,qo'l
32,Handfläche::N,کف دست,kaft
33,Finger::N,انگشت,barmoq
34,Fingernagel::N,ناخن دست,tirnoq
35,Nagel[Anatomie]::N,ناخن,tirnoq
36,Zeh::N,انگشت پا,oyoq barmog'i
37,Fuß::N,پا,oyoq
38,Ferse::N,پاشنه,tovon
39,Knie::N,زانو,tiz
40,Oberschenkel::N,ران,son
41,Bein::N,پا,oyoq
42,Bein::N,لنگ,oyoq
43,Körper::N,تن,badna
44,Körper::N,بدن,badna
45,Haut::N,پوست,teri
46,Blut::N,خون,qon
47,Ader::N,رگ,qon tomir
48,Sehne::N,زردپی,tomir
49,Knochen::N,استخوان,suyak
50,Gehirn::N,مخ,miya
51,Gehirn::N,مغز,miya
52,Herz::N,دل,qalb
53,Herz::N,قلب,qalb
54,Magen::N,معده,oshqozon
55,Leber::N,کبد,bag'ir
56,Atem::N,نفس,dam
57,Hunger::N,گرسنگی,ochlik
58,Träne::N,اشک,yosh
59,Geschmack::N,مزه,tam
60,Geruch::N,بو,jid
61,Schlaf::N,خواب,uyqu
62,Traum::N,رؤیا,tush
63,Himmel::N,فلک,osmon
64,Himmel::N,آسمان,osmon
65,Sonne::N,آفتاب,quyosh
66,Sonne::N,خورشید,quyosh
67,Mond::N,ماه,oy
68,Stern::N,ستاره,yulduz
69,Luft::N,هوا,havo
70,Wind::N,باد,el
71,Welle::N,موج,to'lqin
72,Wasser::N,آب,suv
73,Stein::N,سنگ,tosh
74,Boden::N,زمین,tuproq
75,Erde::N,خاک,er
76,Erde::N,زمین,er
77,Staub::N,گرد,chang
78,Staub::N,غبار,chang
79,Rauch::N,دود,tutun
80,Funke::N,جرقه,yalt
81,Feuer::N,آتش,o't
82,Licht::N,نور,yorug'
83,Licht::N,روشنی,yorug'
84,Schatten::N,سایه,soya
85,Wetter::N,هوا,havo
86,Nebel::N,مه,tuman
87,Wolke::N,ابر,bulut
