,Concept_ID,fr,he
0,Auge::N,œil,עין
1,Ohr::N,oreille,אזן
2,Nase::N,nez,אף
3,Nase::N,nez,חטם
4,Mund::N,bouche,פה
5,Zahn::N,dent,שן
6,Zunge::N,langue,לשון
7,Lippe::N,lèvre,שפה
8,Wange::N,joue,לחי
9,Gesicht::N,face,פנים
10,Gesicht::N,visage,פנים
11,Stirn::N,front,מצח
12,Haar::N,cheveu,שערה
13,Schnurrbart::N,moustache,שפם
14,Bart::N,barbe,זקן
15,Kinn::N,menton,סנטר
16,Kiefer[Anatomie]::N,mâchoire,לסת
17,Kehle::N,gorge,גרון
18,Hals::N,cou,צואר
19,Genick::N,nuque,ערף
20,Kopf::N,tête,ראש
21,Rücken::N,dos,גב
22,Bauch::N,ventre,בטן
23,Nabel::N,nombril,טבור
24,Busen::N,sein,שד
25,Brust::N,poitrine,חזה
26,Schulter::N,épaule,כתף
27,Arm::N,bras,זרוע
28,Ellenbogen::N,coude,מרפק
29,Hand::N,main,יד
30,Handfläche::N,paume,כף יד
31,Finger::N,doigt,אצבע
32,Fingernagel::N,ongle,צפרן
33,Nagel[Anatomie]::N,ongle,צפרן
34,Zeh::N,orteil,אצבע
35,Zeh::N,doigt de pied,אצבע
36,Fuß::N,pied,רגל
37,Ferse::N,talon,עקב
38,Knie::N,genou,ברך
39,Oberschenkel::N,cuisse,ירך
40,Bein::N,jambe,רגל
41,Körper::N,corps,גוף
42,Haut::N,peau,עור
43,Blut::N,sang,דם
44,Ader::N,veine,וריד
45,Sehne::N,tendon,גיד
46,Knochen::N,os,עצם
47,Gehirn::N,cerveau,מוח
48,Herz::N,cœur,לב
49,Magen::N,estomac,קבה
50,Leber::N,foie,כבד
51,Atem::N,haleine,נשימה
52,Hunger::N,faim,רעב
53,Träne::N,larme,דמעה
54,Geschmack::N,goût,טעם
55,Geschmack::N,saveur,טעם
56,Geruch::N,odeur,ריח
57,Schlaf::N,sommeil,שנה
58,Traum::N,songe,חלום
59,Himmel::N,ciel,שמים
60,Sonne::N,soleil,שמש
61,Mond::N,lune,ירח
62,Stern::N,étoile,כוכב
63,Luft::N,air,אויר
64,Wind::N,vent,רוח
65,Welle::N,vague,גל
66,Wasser::N,eau,מים
67,Stein::N,pierre,אבן
68,Boden::N,sol,קרקע
69,Boden::N,terrain,קרקע
70,Erde::N,terre,אדמה
71,Staub::N,poussière,אבק
72,Rauch::N,fumée,עשן
73,Funke::N,étincelle,ניצוץ
74,Feuer::N,feu,אש
75,Licht::N,lumière,אור
76,Schatten::N,ombre,צל
77,Wetter::N,temps,מזג אויר
78,Nebel::N,brume,ערפל
79,Nebel::N,brouillard,ערפל
80,Wolke::N,nuage,ענן
81,Regen::N,pluie,גשם
82,Schnee::N,neige,שלג
83,Eis::N,glace,קרח
84,Frost::N,gel,צנה
85,Frost::N,gelée,צנה
86,Kälte::N,froid,קר
87,Hitze::N,chaleur,חם
88,Raureif::N,givre,כפור
89,Regenbogen::N,arc-en-ciel,קשת
90,Donner::N,tonnerre,רעם
91,Strömung::N,courant,זרימה
92,Tropfen::N,goutte,טפה
93,Schaum::N,écume,קצף
94,Schaum::N,mousse,קצף
95,Schmutz::N,boue,לכלוך
96,Schmutz::N,saleté,לכלוך
97,See::N,lac,אגם
98,Sumpf::N,marais,בצה
99,Sumpf::N,marécage,בצה
100,Moor::N,tourbière,בצה
101,Wiese::N,pré,מרעה
102,Wald::N,bois,יער
103,Wald::N,forêt,יער
104,Hügel::N,coteau,תל
105,Hügel::N,colline,תל
106,Anhöhe::N,éminence,מעלה
107,Anhöhe::N,élévation,מעלה
108,Berg::N,mont,הר
109,Berg::N,montagne,הר
110,Gipfel::N,cime,פסגה
111,Gipfel::N,sommet,פסגה
112,Höhle::N,caverne,מערה
113,Abhang::N,pente,מדרון
114,Abhang::N,pente,שפוע
115,Abhang::N,versant,מדרון
116,Abhang::N,versant,שפוע
117,Quelle::N,source,מעין
118,Quelle::N,fontaine,מעין
119,Bach::N,ruisseau,נחל
120,Fluss::N,fleuve,נהר
121,Fluss::N,rivière,נהר
122,Ufer::N,bord,גדה
123,Ufer::N,rivage,גדה
