,Concept_ID,sk,sah
0,Auge::N,oko,харах
1,Ohr::N,ucho,кулгаах
2,Nase::N,nos,мурун
3,Mund::N,ústa,айах
4,Zahn::N,zub,тиис
5,Zunge::N,jazyk,тыл
6,Lippe::N,pera,уос
7,Wange::N,líce,иэдэс
8,Gesicht::N,tvár,сирэй
9,Gesicht::N,obličaj,сирэй
10,Stirn::N,čelo,сүүс
11,Haar::N,vlas,баттах
12,Schnurrbart::N,fúzy,уос бытыга
13,Bart::N,brada,сэҥийэ бытыга
14,Kinn::N,brada,сэҥийэ
15,Kiefer[Anatomie]::N,čeľusť,сыҥаах
16,Kehle::N,hrdlo,тамах
17,Kehle::N,hrdlo,күөмэй
18,Hals::N,krk,моой
19,Genick::N,väzy,кэтэх
20,Kopf::N,hlava,бас
21,Rücken::N,chrbát,көҕүс
22,Bauch::N,brucho,ис
23,Nabel::N,pupok,киин
24,Busen::N,prsia,эмиий
25,Brust::N,hruď,түөс
26,Schulter::N,plece,сарын
27,Arm::N,rameno,илии
28,Ellenbogen::N,lakeť,тоҕонох
29,Hand::N,ruka,илии
30,Handfläche::N,dlaň,ытыс
31,Finger::N,prst,тарбах
32,Fingernagel::N,necht,тыҥырах
33,Nagel[Anatomie]::N,necht,тыҥырах
34,Zeh::N,prst na nohe,тарбах
35,Fuß::N,noha,уллуҥах
36,Ferse::N,päta,тилэх
37,Knie::N,koleno,тобук
38,Knie::N,koleno,дьилбэк
39,Oberschenkel::N,stehno,уллук
40,Oberschenkel::N,stehno,өттүк
41,Bein::N,noha,атах
42,Körper::N,telo,бэйэ
43,Haut::N,koža,тирии
44,Blut::N,krv,хаан
45,Ader::N,žila,вена
46,Ader::N,žila,күөх_тымыр
47,Sehne::N,šľacha,иҥиир
48,Knochen::N,kosť,уҥуох
49,Knochen::N,kosť,уҥгуох
50,Gehirn::N,mozog,мэйии
51,Herz::N,srdce,сүрэх
52,Magen::N,žalúdok,куртах
53,Leber::N,pečeň,быар
54,Atem::N,dych,тыын
55,Hunger::N,hlad,аас
56,Träne::N,slza,харах уута
57,Geschmack::N,chuť,амтан
58,Geruch::N,pach,сыт
59,Schlaf::N,spánok,утуйуу
60,Traum::N,sen,түүл
61,Himmel::N,nebo,халлаан
62,Sonne::N,slnko,күн
63,Mond::N,mesiac,ый
64,Stern::N,hviezda,сулус
65,Luft::N,vzduch,салгын
66,Wind::N,vietor,тыал
67,Welle::N,vlna,долгун
68,Welle::N,vlna,балхаан
69,Wasser::N,voda,уу
70,Stein::N,kameň,таас
71,Boden::N,zem,сир
72,Boden::N,pôda,сир
73,Erde::N,zem,буор
74,Staub::N,prach,быыл
75,Rauch::N,dym,буруо
76,Funke::N,iskra,кыым
77,Feuer::N,oheň,уот
78,Licht::N,svetlo,уот
79,Schatten::N,tieň,күлүк
80,Wetter::N,počasie,күн-дьыл
81,Nebel::N,hmla,туман
82,Wolke::N,oblak,былыт
83,Wolke::N,mračno,былыт
84,Regen::N,dážď,самыыр
85,Schnee::N,sneh,хаар
86,Eis::N,ľad,муус
87,Frost::N,mráz,тымныы
88,Kälte::N,zima,тымныы
89,Kälte::N,chlad,тымныы
90,Hitze::N,horúčava,куйаас
91,Raureif::N,srieň,кырыа
92,Raureif::N,inovať,кырыа
93,Regenbogen::N,dúha,кустук
