,Concept_ID,sv,nl
0,Auge::N,öga,oog
1,Ohr::N,öra,oor
2,Nase::N,näsa,neus
3,Mund::N,mun,mond
4,Zahn::N,tand,tand
5,Zunge::N,tunga,tong
6,Lippe::N,läpp,lip
7,Wange::N,kind,wang
8,Gesicht::N,syn,gelaat
9,Gesicht::N,syn,gezicht
10,Gesicht::N,ansikte,gelaat
11,Gesicht::N,ansikte,gezicht
12,Stirn::N,panna,voorhoofd
13,Haar::N,hår,haar
14,Schnurrbart::N,mustasch,snor
15,Bart::N,skägg,baard
16,Kinn::N,haka,kin
17,Kiefer[Anatomie]::N,käke,kaak
18,Kehle::N,strupe,keel
19,Kehle::N,strupe,strot
20,Hals::N,hals,hals
21,Genick::N,nacke,nek
22,Kopf::N,huvud,hoofd
23,Rücken::N,rygg,rug
24,Bauch::N,buk,buik
25,Bauch::N,mage,buik
26,Nabel::N,navel,navel
27,Busen::N,barm,boezem
28,Brust::N,bröst,borst
29,Schulter::N,skuldra,schouder
30,Arm::N,arm,arm
31,Ellenbogen::N,armbåge,elleboog
32,Hand::N,hand,hand
33,Handfläche::N,handflata,handpalm
34,Finger::N,finger,vinger
35,Fingernagel::N,fingernagel,nagel
36,Nagel[Anatomie]::N,nagel,nagel
37,Zeh::N,tå,teen
38,Fuß::N,fot,voet
39,Ferse::N,häl,hak
40,Ferse::N,häl,hiel
41,Knie::N,knä,knie
42,Oberschenkel::N,lår,dij
43,Bein::N,ben,been
44,Körper::N,kropp,lichaam
45,Haut::N,hud,huid
46,Haut::N,skinn,huid
47,Blut::N,blod,bloed
48,Ader::N,åder,ader
49,Sehne::N,sena,pees
50,Knochen::N,ben,bot
51,Knochen::N,ben,been
52,Knochen::N,ben,knook
53,Gehirn::N,hjärna,hersenen
54,Herz::N,hjärta,hart
55,Magen::N,mage,maag
56,Leber::N,lever,lever
57,Atem::N,anda,adem
58,Atem::N,andedräkt,adem
59,Hunger::N,svält,honger
60,Hunger::N,hunger,honger
61,Träne::N,tår,traan
62,Geschmack::N,smak,smaak
63,Geruch::N,lukt,geur
64,Schlaf::N,sömn,slaap
65,Traum::N,dröm,droom
66,Himmel::N,himmel,hemel
67,Sonne::N,sol,zon
68,Mond::N,måne,maan
69,Stern::N,stjärna,ster
70,Luft::N,luft,lucht
71,Wind::N,vind,wind
72,Welle::N,våg,golf
73,Welle::N,bölja,golf
74,Wasser::N,vatten,water
75,Stein::N,sten,steen
76,Boden::N,mark,grond
77,Erde::N,jord,aarde
78,Staub::N,damm,stof
79,Rauch::N,rök,rook
80,Funke::N,gnista,vonk
81,Feuer::N,eld,vuur
82,Licht::N,ljus,licht
83,Schatten::N,skugga,schaduw
84,Wetter::N,väder,weer
85,Nebel::N,dimma,mist
86,Nebel::N,dimma,nevel
87,Nebel::N,töcken,mist
88,Nebel::N,töcken,nevel
89,Wolke::N,sky,wolk
90,Wolke::N,moln,wolk
91,Regen::N,regn,regen
92,Schnee::N,snö,sneeuw
93,Eis::N,is,ijs
94,Frost::N,frost,vorst
95,Kälte::N,köld,kou
96,Kälte::N,köld,koude
97,Hitze::N,hetta,hitte
98,Raureif::N,rimfrost,rijp
99,Regenbogen::N,regnbåge,regenboog
100,Donner::N,åska,donder
101,Donner::N,dunder,donder
102,Strömung::N,strömning,stroming
103,Tropfen::N,dropper,druppel
