,Concept_ID,os,hr
0,Auge::N,цӕст,oko
1,Ohr::N,хъус,uho
2,Nase::N,фындз,nos
3,Mund::N,дзых,usta
4,Zahn::N,дӕндаг,zub
5,Zunge::N,ӕвзаг,jezik
6,Lippe::N,был,usna
7,Wange::N,рус,obraz
8,Wange::N,уадул,obraz
9,Wange::N,ӕхсӕрфарс,obraz
10,Gesicht::N,цӕсгом,lice
11,Stirn::N,ных,čelo
12,Haar::N,хил,kosa
13,Schnurrbart::N,рихи,brkovi
14,Bart::N,зачъе,brada
15,Kinn::N,роцъо,brada
16,Kinn::N,роцъо,podbradak
17,Kiefer[Anatomie]::N,ӕфсӕр,čeljust
18,Kehle::N,хъуыр,grlo
19,Hals::N,къубал,vrat
20,Genick::N,къӕбут,zatiljak
21,Kopf::N,сӕр,glava
22,Rücken::N,фӕсонтӕ,leđa
23,Rücken::N,фӕсонтӕ,hrbat
24,Bauch::N,гуыбын,trbuh
25,Nabel::N,бикъ,pupak
26,Busen::N,дзидзи,sisa
27,Busen::N,дзидзи,njedra
28,Brust::N,риу,prsa
29,Schulter::N,уӕхск,rame
30,Schulter::N,уӕхск,pleći
31,Arm::N,цонг,ruka
32,Ellenbogen::N,рæмбын,lakat
33,Hand::N,къух,ruka
34,Handfläche::N,армытъӕпӕн,dlan
35,Finger::N,ӕнруылдз,prst
36,Fingernagel::N,ных,nokat
37,Nagel[Anatomie]::N,ных,nokat
38,Zeh::N,къух,nozni prst
39,Fuß::N,фад,noga
40,Fuß::N,фад,stopalo
41,Ferse::N,зӕвӕт,peta
42,Knie::N,уӕраг,koljeno
43,Oberschenkel::N,агъд,bedro
44,Bein::N,зӕнг,noga
45,Körper::N,буар,tijelo
46,Haut::N,царм,put
47,Haut::N,царм,koža
48,Blut::N,туг,krv
49,Ader::N,дадзин,žila
50,Ader::N,тугдадзин,žila
51,Sehne::N,хъиутæ,tetiva
52,Sehne::N,нуар,tetiva
53,Knochen::N,стӕг,kost
54,Gehirn::N,магъз,
55,Herz::N,зӕрдӕ,srce
56,Magen::N,ахсӕн,stomak
57,Magen::N,ахсӕн,želudac
58,Leber::N,игæр,jetra
59,Atem::N,улӕфт,dah
60,Hunger::N,стонг,glad
61,Träne::N,цæссыг,suza
62,Geschmack::N,ад,ukus
63,Geruch::N,смаг,njuh
64,Geruch::N,смаг,miris
65,Schlaf::N,хуыссӕг,san
66,Traum::N,фын,san
67,Himmel::N,арв,nebo
68,Himmel::N,уӕларв,nebo
69,Sonne::N,хур,sunce
70,Mond::N,мӕй,mjesec
71,Stern::N,стъалы,zvijezda
72,Luft::N,уӕлдӕф,zrak
73,Wind::N,дымгӕ,vjetar
74,Welle::N,уылӕн,val
75,Welle::N,уылӕн,talas
76,Wasser::N,дон,voda
77,Stein::N,дур,kamen
78,Boden::N,зӕхх,tlo
79,Boden::N,зӕхх,zemlja
80,Erde::N,сыджыт,zemlja
81,Staub::N,рыг,prah
82,Staub::N,рыг,prašina
83,Rauch::N,фӕздӕг,dim
84,Funke::N,цӕхӕр,iskra
85,Funke::N,цӕхӕр,varnica
86,Feuer::N,зынг,vatra
87,Licht::N,рухс,svjetlo
88,Schatten::N,аууон,hlad
89,Schatten::N,аууон,sjena
90,Wetter::N,боныхъӕд,vrijeme
91,Nebel::N,мигъ,magla
92,Wolke::N,ӕврагъ,oblak
93,Regen::N,уарын,kiša
94,Schnee::N,мит,snijeg
95,Eis::N,их,led
96,Frost::N,ихæн,mraz
97,Kälte::N,уазал,studen
98,Kälte::N,уазал,hladnoća
99,Hitze::N,ӕнтӕф,vrućina
100,Raureif::N,халас,inje
101,Regenbogen::N,арвырон,duga
102,Regenbogen::N,арвырдын,duga
103,Donner::N,æрвнæрын,grom
104,Donner::N,æрвнæрын,grmljavina
105,Strömung::N,цыд,struja
106,Strömung::N,цыд,strujanje
107,Tropfen::N,æртах,kap
108,Tropfen::N,æртах,kaplja
109,Schaum::N,фынк,pjena
110,Schmutz::N,цъыф,nečistoća
111,Schmutz::N,цъыф,prljavština
112,See::N,цад,jezero
113,Sumpf::N,цъыфдзаст,bara
114,Moor::N,цъыфдзаст,močvara
115,Wiese::N,уыгӕрдӕн,livada
116,Wald::N,хъӕд,šuma
117,Hügel::N,обау,brijeg
118,Hügel::N,обау,brežuljak
119,Hügel::N,къуыбыр,brijeg
120,Hügel::N,къуыбыр,brežuljak
121,Anhöhe::N,уæлвæз,uzvišica
122,Anhöhe::N,уæлхох,uzvišica
123,Berg::N,хох,brdo
124,Gipfel::N,цъупп,vrh
125,Höhle::N,лӕгӕт,pećina
126,Höhle::N,лӕгӕт,spilja
127,Abhang::N,къул,obronak
128,Abhang::N,къул,nizbrdica
129,Quelle::N,суадон,izvor
130,Quelle::N,суадон,vrelo
131,Bach::N,мӕсчъыдон,potok
132,Fluss::N,дон,rijeka
133,Fluss::N,цӕугӕдон,rijeka
134,Ufer::N,был,obala
135,Küste::N,донбыл,obala
136,Küste::N,донбыл,morska obala
137,Festland::N,сурзæхх,kopno
138,Meer::N,денджыз,more
139,Bucht::N,донбакæлæн,zaliv
140,Insel::N,сакъадах,ada
141,Insel::N,сакъадах,otok
142,Blume::N,дидинӕг,cvijet
143,Gras::N,кӕрдӕг,trava
144,Wurzel::N,уидаг,korijen
145,Baum::N,бӕлас,drvo
146,Baum::N,бӕлас,stablo
147,Stamm::N,хӕтӕл,deblo
148,Stamm::N,хӕтӕл,stablo
149,Rinde::N,цъар,kora
150,Ast::N,арх,grana
151,Zweig::N,къалиу,grana
152,Blatt::N,сыф,list
153,Birke::N,бæрз,breza
154,Kiefer[Baum]::N,нӕзы,bor
155,Weide[Baum]::N,хӕрис,iva
156,Weide[Baum]::N,хӕрис,vŕba
157,Tanne::N,наз,jela
158,Horn::N,сыкъа,rog
159,Feder::N,сис,pero
160,Fell::N,царм,koža
161,Flügel::N,базыр,krilo
162,Klaue::N,ных,papak
163,Kralle::N,дзӕмбы,pandža
164,Schwanz::N,къӕдзил,rep
165,Ei::N,айк,jaje
166,Nest::N,ахстон,gnijezdo
167,Bau::N,хуынкъ,jazbina
168,Tier::N,сырд,životinja
169,Tier::N,цӕрӕгой,životinja
170,Herde::N,дзуг,krdo
171,Herde::N,дзуг,stado
172,Herde::N,рӕгъау,krdo
173,Herde::N,рӕгъау,stado
174,Kuh::N,хъуг,krava
175,Bulle::N,гал,bik
176,Pferd::N,бӕх,konj
177,Schaf::N,фыс,ovca
178,Schwein::N,хуы,svinja
179,Hund::N,куыдз,pas
180,Hund::N,куыдз,pseto
181,Katze::N,гӕды,mačka
182,Bär::N,арс,medvjed
183,Eichhörnchen::N,æхсæрæг,vjeverica
184,Elch::N,цæгатаг саг,los
185,Fuchs::N,рувас,lisica
186,Hase::N,тæрхъус,zec
187,Maus::N,мыст,miš
188,Wolf::N,бирӕгъ,vuk
189,Wolf::N,бирӕгъ,kurjak
190,Vogel::N,цъиу,ptica
191,Vogel::N,маргъ,ptica
192,Schwarm::N,бал,roj
193,Schwarm::N,бал,jato
194,Huhn::N,карк,kokoš
195,Hahn::N,уасӕг,kokot
196,Hahn::N,уасӕг,pijevac
197,Gans::N,хъаз,guska
198,Adler::N,цӕргӕс,orao
199,Ente::N,ацц,patka
200,Eule::N, уыг,sova
201,Eule::N,сидахъ,sova
