,Concept_ID,cy,sah
0,Auge::N,llygad,харах
1,Ohr::N,clust,кулгаах
2,Nase::N,trwyn,мурун
3,Mund::N,ceg,айах
4,Zahn::N,dant,тиис
5,Zunge::N,tafod,тыл
6,Lippe::N,gwefus,уос
7,Wange::N,boch,иэдэс
8,Gesicht::N,wyneb,сирэй
9,Stirn::N,talcen,сүүс
10,Haar::N,blew,баттах
11,Schnurrbart::N,mwstas,уос бытыга
12,Bart::N,barf,сэҥийэ бытыга
13,Kinn::N,gên,сэҥийэ
14,Kiefer[Anatomie]::N,gên,сыҥаах
15,Kehle::N,gwddf,тамах
16,Kehle::N,gwddf,күөмэй
17,Hals::N,gwddf,моой
18,Genick::N,gwar,кэтэх
19,Genick::N,gwegil,кэтэх
20,Kopf::N,pen,бас
21,Rücken::N,cefn,көҕүс
22,Bauch::N,bol,ис
23,Nabel::N,bogail,киин
24,Busen::N,bron,эмиий
25,Brust::N,brest,түөс
26,Schulter::N,ysgwydd,сарын
27,Arm::N,braich,илии
28,Ellenbogen::N,penelin,тоҕонох
29,Hand::N,llaw,илии
30,Handfläche::N,palf,ытыс
31,Finger::N,bys,тарбах
32,Fingernagel::N,ewin,тыҥырах
33,Nagel[Anatomie]::N,ewin,тыҥырах
34,Zeh::N,bys troed,тарбах
35,Fuß::N,troed,уллуҥах
36,Ferse::N,sawdl,тилэх
37,Knie::N,glin,тобук
38,Knie::N,glin,дьилбэк
39,Oberschenkel::N,clun,уллук
40,Oberschenkel::N,clun,өттүк
41,Bein::N,coes,атах
42,Körper::N,corff,бэйэ
43,Haut::N,croen,тирии
44,Blut::N,gwaed,хаан
45,Ader::N,gwythïen,вена
46,Ader::N,gwythïen,күөх_тымыр
47,Sehne::N,gewyn,иҥиир
48,Knochen::N,asgwrn,уҥуох
49,Knochen::N,asgwrn,уҥгуох
50,Gehirn::N,ymennydd,мэйии
51,Herz::N,calon,сүрэх
52,Magen::N,cylla,куртах
53,Magen::N,stumog,куртах
54,Leber::N,iau,быар
55,Atem::N,anadl,тыын
56,Hunger::N,newyn,аас
57,Träne::N,deigryn,харах уута
58,Geschmack::N,cyflas,амтан
59,Geruch::N,aroglau,сыт
60,Schlaf::N,cwsg,утуйуу
61,Traum::N,breuddwyd,түүл
62,Himmel::N,awyr,халлаан
63,Sonne::N,haul,күн
64,Mond::N,lleuad,ый
65,Stern::N,seren,сулус
66,Luft::N,awyr,салгын
67,Wind::N,gwynt,тыал
68,Welle::N,ton,долгун
69,Welle::N,ton,балхаан
70,Wasser::N,dŵr,уу
71,Stein::N,carreg,таас
72,Boden::N,llawr,сир
73,Erde::N,pridd,буор
74,Staub::N,llwch,быыл
75,Rauch::N,mwg,буруо
76,Funke::N,gwreichioni,кыым
77,Feuer::N,tân,уот
78,Licht::N,golau,уот
79,Schatten::N,cysgod,күлүк
80,Wetter::N,tywydd,күн-дьыл
81,Nebel::N,niwl,туман
82,Wolke::N,cwmwl,былыт
83,Regen::N,glaw,самыыр
84,Schnee::N,ôd,хаар
85,Schnee::N,eira,хаар
86,Eis::N,iâ,муус
87,Frost::N,rhew,тымныы
88,Kälte::N,oerni,тымныы
89,Kälte::N,annwyd,тымныы
90,Hitze::N,gwres,куйаас
91,Raureif::N,barrug,кырыа
92,Regenbogen::N,enfys,кустук
93,Donner::N,tyrfau,этиҥ
94,Strömung::N,cerrynt,сүүрүк
95,Tropfen::N,dafn,таммах
96,Tropfen::N,dafn,хааппыла
97,Tropfen::N,diferyn,таммах
98,Tropfen::N,diferyn,хааппыла
99,Schaum::N,ewyn,күүгэн
100,Schmutz::N,baw,кир
101,Schmutz::N,budreddi,кир
102,See::N,llyn,күөл
103,Sumpf::N,cors,бадараан
104,Moor::N,rhos,дьэбэрэ
105,Wiese::N,dôl,ходуһа
106,Wald::N,coedwig,ойуур
107,Hügel::N,bryn,булгунньах
108,Anhöhe::N,bryn,үрдэл
109,Berg::N,mynydd,хайа
110,Gipfel::N,copa,чыпчаал
111,Höhle::N,ogof,хайа_хаспаҕа
112,Höhle::N,ogof,көҥүс
113,Abhang::N,llethr,эниэ
114,Quelle::N,tarddiad,дьүүктэ
115,Quelle::N,ffynhonnell,дьүүктэ
116,Bach::N,nant,үрүйэ
117,Bach::N,afonig,үрүйэ
118,Bach::N,cornant,үрүйэ
119,Fluss::N,afon,өрүс
120,Ufer::N,glan,биэрэк
121,Küste::N,traeth,кытыл
122,Küste::N,arfordir,кытыл
123,Festland::N,tir,кураанах сир
124,Meer::N,môr,муора
125,Bucht::N,bae,хомо
126,Bucht::N,bae,бухта
127,Insel::N,ynys,арыы
128,Blume::N,blodyn,сибэкки
129,Gras::N,glaswellt,от
130,Wurzel::N,gwreiddyn,силис
131,Baum::N,coeden,мас
132,Stamm::N,colfen,умнас
133,Stamm::N,boncyff,умнас
134,Rinde::N,rhisgl,хатырык
135,Ast::N,cangen,мутук
136,Zweig::N,cainc,лабаа
137,Zweig::N,cangen,лабаа
138,Blatt::N,deilen,сэбирдэх
139,Birke::N,bedwen,хатыҥ
140,Kiefer[Baum]::N,pinwydden,бэс
141,Weide[Baum]::N,helygen,үөт
142,Weide[Baum]::N,helygen,талах
143,Tanne::N,ffynidwydden,харыйа
144,Horn::N,corn,муос
145,Feder::N,plufyn,куорсун
146,Fell::N,ffwr,тирии
147,Flügel::N,adain,кынат
148,Klaue::N,crafanc,тыҥырах
149,Kralle::N,ewin,баппаҕай
150,Schwanz::N,cwt,кутурук
151,Schwanz::N,cynffon,кутурук
152,Ei::N,wy,сымыыт
153,Nest::N,nyth,уйа
154,Bau::N,ffau,хороон
155,Tier::N,anifail,кыыл
156,Tier::N,anifail,харамай
157,Herde::N,praidd,үөр
158,Herde::N,diadell,үөр
159,Kuh::N,buwch,ынах
160,Bulle::N,tarw,оҕус
161,Pferd::N,ceffyl,сылгы
162,Schaf::N,dafad,овца
163,Schwein::N,mochyn,сибиинньэ
164,Hund::N,ci,ыт
165,Katze::N,cath,куоска
166,Bär::N,arth,эһэ
167,Eichhörnchen::N,gwiwer,тииҥ
168,Elch::N,elc,тайах
169,Fuchs::N,cadno,саһыл
170,Hase::N,ysgyfarnog,куобах
171,Maus::N,llygoden,кутуйах
172,Wolf::N,blaidd,бөрө
173,Vogel::N,aderyn,көтөр
174,Schwarm::N,haid,бөлөх
175,Huhn::N,cyw,куурусса
176,Hahn::N,ceiliog,бөтүүк
177,Gans::N,gŵydd,хаас
178,Adler::N,eryr,хотой
179,Ente::N,hwyad,кус
180,Eule::N,tylluan,мэкчиргэ
181,Kranich::N,garan,туруйа
182,Kranich::N,crychydd,туруйа
183,Krähe::N,brân,тураах
184,Kuckuck::N,cog,кэҕэ
185,Kuckuck::N,cwcw,кэҕэ
186,Schwan::N,alarch,куба
187,Fisch::N,pysgod,балык
188,Barsch::N,draenog,алыһар
189,Hecht::N,penhwyad,сордон
190,Schlange[Tier]::N,neidr,моҕой
191,Schlange[Tier]::N,neidr,эриэн үөн
192,Wurm::N,abwydyn,үөн
193,Wurm::N,pryf genwair,үөн
194,Spinne::N,cor,ооҕуй
195,Spinne::N,pryf copyn,ооҕуй
196,Ameise::N,morgrugyn,кымырдаҕас
197,Laus::N,lleuen,быт
198,Mücke::N,gwybedyn,кумаар
199,Fliege::N,cleren,сахсырҕа
200,Schmetterling::N,glöyn byw,лыах
201,Schmetterling::N,glöyn byw,үрүмэччи
202,Schmetterling::N,iâr fach yr haf,лыах
203,Schmetterling::N,iâr fach yr haf,үрүмэччи
204,Beere::N,aeronen,отон
205,Apfel::N,afal,яблоко
206,Pilz::N,madarch,тэллэй
207,Zwiebel::N,nionyn,луук
208,Zwiebel::N,winwnsyn,луук
209,Saat::N,had,сиэмэ
210,Korn::N,grawn,сиэмэ
211,Heu::N,gwair,от
212,Schale::N,croen,хах
213,Schale::N,plisgyn,хах
214,Grube::N,pwll,дьаама
215,Grube::N,pydew,дьаама
216,Falle::N,magl,сохсо
217,Schlinge::N,cwlwm rhedeg,уктаа
218,Spur::N,ôl,суол
219,Asche::N,lludw,күл
220,Dreck::N,baw,бадараан
221,Dreck::N,budreddi,бадараан
222,Eisen::N,haearn,тимир
223,Gold::N,aur,көмүс
224,Gold::N,aur,кыһыл көмүс
225,Silber::N,arian,көмүс
226,Silber::N,arian,үрүҥ көмүс
227,Kohle::N,glo,чох
228,Glas::N,gwydr,өстүөкүлэ
229,Lehm::N,clai,туой
230,Sand::N,tywod,кумах
231,Mensch::N,dyn,киһи
232,Mann::N,dyn,эр
233,Frau::N,merch,дьахтар
234,Frau::N,gwraig,дьахтар
235,Kind::N,plentyn,оҕо
236,Junge::N,hogyn,уол
237,Junge::N,bachgen,уол
238,Mädchen::N,merch,кыыс оҕо
239,Mädchen::N,geneth,кыыс оҕо
240,Familie::N,teulu,кэргэн
241,Familie::N,tylwyth,кэргэн
242,Großvater::N,taid,эһэ
243,Großvater::N,tad-cu,эһэ
244,Großmutter::N,nain,эбэ
245,Großmutter::N,mam-gu,эбэ
246,Eltern::N,rhieni,аҕа-ийэ
247,Vater::N,tad,аҕа
248,Mutter::N,mam,ийэ
249,Sohn::N,mab,уол
250,Tochter::N,merch,кыыс
251,Bruder::N,brawd,убай
252,Bruder::N,brawd,быраат
253,Schwester::N,chwaer,аҕас
254,Schwester::N,chwaer,балыс
255,Onkel::N,ewythr,таай
256,Onkel::N,ewythr,абаҕа
257,Tante::N,modryb,эдьиий
258,Ehemann::N,gŵr,эр
259,Ehefrau::N,gwraig,ойох
260,Freude::N,gorfoledd,үөрүү
261,Gelächter::N,chwerthin,күлүү
262,Glück::N,hapusrwydd,дьол
263,Glück::N,hapusrwydd,соргу
264,Kummer::N,galar,кутурҕан
265,Wunsch::N,dymuniad,баҕарыы
266,Lust::N,chwant,баҕа
267,Geist::N,ysbryd,тыын
268,Gedanke::N,meddwl,санаа
269,Gedächtnis::N,cof,өй
270,Verstand::N,meddwl,өй
271,Sinn::N,ystyr,суолта
272,Grund::N,achos,төрүөт
273,Grund::N,rheswm,төрүөт
274,Wahrheit::N,gwir,кырдьык
275,Wahrheit::N,gwirionedd,кырдьык
276,Gespräch::N,sgwrs,бэсиэдэ
277,Gespräch::N,sgwrs,кэпсэтии
278,Märchen::N,chwedl werin,остуоруйа
279,Erzählung::N,stori,кэпсээн
280,Nachricht::N,neges,биллэриллии
281,Neuigkeit::N,newydd,сонун
282,Name::N,enw,аат
283,Rätsel::N,pos,таабырын
284,Rede::N,araith,этии
285,Sprache::N,iaith,тыл
286,Stimme::N,llais,куолас
287,Wort::N,gair,тыл
288,Zeichen::N,arwydd,бэлиэ
289,Ruf::N,galwad,ыҥырыы
290,Lärm::N,trwst,айдаан
291,Laut::N,sain,тыас
292,Ton::N,tôn,дорҕоон
293,Lied::N,cân,ырыа
294,Ruhe::N,tawelwch,уу чуумпу
295,Leute::N,pobl,дьон
296,Volk::N,pobl,дьон
297,Volk::N,pobl,норуот
298,Arbeit::N,gwaith,үлэ
299,Gast::N,gwestai,ыалдьыт
300,Geschenk::N,rhodd,бэлэх
301,Geschenk::N,anrheg,бэлэх
302,Spiel::N,chwarae,оонньуу
303,Gesellschaft::N,cwmni,общество
304,Hilfe::N,cymorth,көмө
305,Freund::N,cyfaill,доҕор
306,Kamerad::N,cydymaith,атас
307,Angelegenheit::N,pwnc,дьыала
308,Anzahl::N,cyfrif,ахсаан
309,Art::N,bath,биис
310,Stück::N,darn,кырбас
311,Teil::N,rhan,ирээт
312,Hälfte::N,hanner,аҥар
313,Kreis::N,cylch,төгүрүк
314,Kreis::N,cylch,төгүрүмтэ
315,Kreuz::N,croes,кириэс
316,Linie::N,llinell,сурааһын
317,Strich::N,strôc,сурааһын
318,Strich::N,trawiad,сурааһын
319,Abstand::N,bwlch,арыт
320,Abstand::N,pellter,арыт
321,Entfernung::N,pellter,ыраах
322,Gegend::N,cylch,сир
323,Platz::N,lle,арыт
324,Ort::N,lle,сир
325,Seite::N,ochr,өрүт
326,Seite::N,ochr,сирэй
327,Mitte::N,canol,орто
328,Gegenstand::N,eitem,предмет
329,Sache::N,peth,мал
330,Rand::N,cwr,кытыы
331,Rand::N,cwr,ойоҕос
332,Rand::N,ymyl,кытыы
333,Rand::N,ymyl,ойоҕос
334,Kante::N,min,кырыы
335,Kante::N,ymyl,кырыы
336,Ecke::N,cornel,муннук
337,Spitze::N,blaen,чыпчаал
338,Ende::N,pen,төбө
339,Loch::N,twll,тэһэҕэс
340,Loch::N,twll,дьөлөҕөс
341,Winkel::N,congl,муннук
342,Muster::N,patrwm,оһуор
343,Größe::N,maint,кээмэй
344,Größe::N,maintioli,кээмэй
345,Länge::N,hyd,уста
346,Höhe::N,uchder,үрдүк
347,Gewicht::N,pwysau,ыйааһын
348,Menge::N,swm,ахсаан
349,Menge::N,maint,ахсаан
350,Haufen::N,pentwr,чөмчөх
351,Reihe::N,rhes,кэккэ
352,Boot::N,cwch,оҥочо
353,Ruder::N,rhwyf,эрдии
354,Schlitten::N,sled,сыарҕа
355,Schlitten::N,car llusg,сыарҕа
356,Ski::N,sgi,хайыһар
357,Lagerfeuer::N,coelcerth,кутаа
358,Last::N,llwyth,ыарахан
359,Gang::N,tro,хаамыы
360,Schritt::N,cam,хардыы
361,Norden::N,gogledd,хоту
362,Süden::N,de,соҕуруу
363,Westen::N,gorllewin,арҕаа
364,Osten::N,dwyrain,илин
365,Holz::N,pren,мас
366,Brett::N,bwrdd,дуоска
367,Brett::N,bwrdd,хаптаһын
368,Brett::N,astell,дуоска
369,Brett::N,astell,хаптаһын
370,Platte::N,llech,билиитэ
371,Stütze::N,ateg,тулааһын
372,Stütze::N,cynhalydd,тулааһын
373,Stange::N,polyn,ураҕас
374,Stock::N,ffon,мас
375,Stock::N,ffon,баалкы
376,Stock::N,brigyn,мас
377,Stock::N,brigyn,баалкы
378,Stab::N,ffon,ураҕас
379,Rohr::N,pibell,турба
380,Haus::N,tŷ,дьиэ
381,Heim::N,cartref,дьиэ
382,Ofen::N,stof,оһох
383,Fußboden::N,llawr,муоста
384,Tisch::N,bwrdd,остуол
385,Stuhl::N,cadair,устуул
386,Wiege::N,crud,биһик
387,Bett::N,gwely,кырабаат
388,Regal::N,silff,долбуур
389,Kiste::N,bocs,дьааһык
390,Kiste::N,blwch,дьааһык
391,Fenster::N,ffenestr,түннүк
392,Tür::N,drws,аан
393,Tor::N,porth,аан
394,Zaun::N,ffens,соппулуот
395,Dach::N,to,кырыыса
396,Leiter::N,ysgol,кирилиэс
397,Besen::N,ysgub,миинньик
398,Spaten::N,rhaw,күрдьэх
399,Schaufel::N,rhaw,күрдьэх
400,Gabel::N,fforc,биилкэ
401,Löffel::N,llwy,луоска
402,Messer::N,cyllell,быһах
403,Nagel::N,hoel,тоһоҕо
404,Netz::N,gwe,илим
405,Netz::N,rhwyd,илим
406,Haken::N,bach,көхө
407,Griff::N,carn,ук
408,Griff::N,carn,тутаах
409,Schloss::N,clo,күлүүс
410,Bild::N,llun,хартыына
411,Bild::N,pictiwr,хартыына
412,Figur::N,ffigur,фигура
413,Puppe::N,dol,куукула
414,Beutel::N,cwd,мөһөөччук
415,Bündel::N,bwndel,баайыы
416,Bündel::N,coflaid,баайыы
417,Tasche::N,cod,суумка
418,Eimer::N,bwced,биэдэрэ
419,Eimer::N,cunnog,биэдэрэ
420,Deckel::N,caead,хаппах
421,Geschirr::N,llestri,иһит
422,Sack::N,sach,куул
423,Tasse::N,cwpan,сэлиэнэй
424,Topf::N,pot,көстүрүүҥкэ
425,Topf::N,crochan,көстүрүүҥкэ
426,Kessel::N,tegell,хочуол
427,Essen::N,pryd o fwyd,аһылык
428,Nahrung::N,bwyd,ас
429,Speise::N,saig,аһылык
430,Fleisch::N,cig,эт
431,Getreide::N,ŷd,злактар
432,Getreide::N,llafur,злактар
433,Brei::N,uwd,хааһы
434,Brot::N,bara,килиэп
435,Scheibe::N,tafell,куһуок
436,Fett::N,saim,сыа
437,Fett::N,braster,сыа
438,Butter::N,ymenyn,арыы
439,Öl::N,olew,арыы
440,Salz::N,halen,туус
441,Suppe::N,cawl,мин
442,Honig::N,mêl,мүөт
443,Milch::N,llaeth,үүт
444,Milch::N,llefrith,үүт
445,Tee::N,te,чэй
446,Leder::N,lledr,тирии
447,Wolle::N,gwlân,түү
448,Stoff::N,lliain,таҥас
449,Stoff::N,brethyn,таҥас
450,Nadel::N,nodwydd,иннэ
451,Faden::N,edau,сап
452,Faden::N,edefyn,сап
453,Knopf::N,botwm,тимэх
454,Knoten::N,cwlwm,түмүк
455,Farbe::N,paent,кырааска
456,Kleidung::N,dillad,таҥас
457,Kleidung::N,gwisgoedd,таҥас
458,Hemd::N,crys,ырбаахы
459,Kragen::N,coler,саҕа
460,Ärmel::N,llawes,сиэх
461,Hose::N,trowsus,ыстаан
462,Hose::N,trowsus,бүрүүкэ
463,Gürtel::N,gwregys,кур
464,Mütze::N,cap,бэргэһэ
465,Schuh::N,esgid,бачыыҥка
466,Stiefel::N,botasen,саппыкы
467,Ring::N,modrwy,биһилэх
468,Band::N,rhuban,лиэнтэ
469,Kamm::N,crib,тараах
470,Spiegel::N,drych,сиэркилэ
471,Riemen::N,strap,кур
472,Schnur::N,llinyn,быа
473,Leine::N,tennyn,тэһиин
474,Decke::N,blanced,суорҕан
475,Decke::N,gwrthban,суорҕан
476,Kissen::N,clustog,сыттык
477,Kissen::N,gobennydd,сыттык
478,Tuch::N,sgarff,былаат
479,Handtuch::N,tywel,соттор
480,Handtuch::N,lliain sychu,соттор
481,Kraft::N,grym,сыра
482,Stärke::N,nerth,күүс
483,Stärke::N,cryfder,күүс
484,Gesundheit::N,iechyd,доруобуйа
485,Krankheit::N,afiechyd,ыарыы
486,Krankheit::N,anhwylder,ыарыы
487,Schmerz::N,poen,ыарыы
488,Schmerz::N,gwayw,ыарыы
489,Wunde::N,clwyf,баас
490,Fieber::N,twymyn,түрүлгэн
491,Fieber::N,twymyn,лихорадка
492,Fieber::N,twymyn,температура
493,Arznei::N,meddyginiaeth,эмп
494,Brücke::N,pont,күргэ
495,Brunnen::N,ffynnon,холуодьас
496,Weide::N,porfa,мэччирэҥ
497,Pfad::N,llwybr,ыллык
498,Weg::N,ffordd,суол
499,Straße::N,heol,суол
500,Straße::N,ffordd,суол
501,Dorf::N,pentref,дэриэбинэ
502,Stadt::N,tref,куорат
503,Brief::N,llythyr,сурук
504,Buch::N,llyfr,кинигэ
505,Buchstabe::N,llythyren,буква
506,Zeitung::N,papur newydd,хаһыат
507,Leben::N,bywyd,тыын
508,Tod::N,marwolaeth,өлүү
509,Grab::N,bedd,иин
510,Kirche::N,eglwys,таҥара дьиэтэ
511,Sünde::N,pechod,айыы
512,Gott::N,duw,тангара
513,Arbeiter::N,gweithiwr,үлэһит
514,Chef::N,pennaeth,баһылык
515,Chef::N,pennaeth,начальник
516,Meister::N,meistr,уус
517,Meister::N,meistr,маастар
518,Arzt::N,meddyg,врач
519,Lehrer::N,athro,учуутал
520,Geld::N,pres,харчы
521,Geld::N,arian,харчы
522,Geschäft::N,busnes,идэ
523,Laden::N,siop,маҕаһыын
524,Preis::N,pris,сыана
525,Ware::N,nwydd,табаар
526,Nutzen::N,elw,туһа
527,Nutzen::N,budd,туһа
528,Reichtum::N,cyfoeth,баай
529,Welt::N,byd,аан дойду
530,Land::N,gwlad,дойду
531,Staat::N,gwladwriaeth,государство
532,König::N,brenin,король
533,Macht::N,grym,былаас
534,Macht::N,awdurdod,былаас
535,Grenze::N,ffin,кыраныысса
536,Grenze::N,goror,кыраныысса
537,Krieg::N,rhyfel,сэрии
538,Feind::N,gelyn,өстөөх
539,Gewalt::N,ffyrnigrwydd,күүһүлээһин
540,Kampf::N,brwydr,охсуһуу
541,Bogen[Waffe]::N,bwa,ох
542,Pfeil::N,saeth,ох
543,Gewehr::N,dryll,саа
544,Fehler::N,gwall,сыыһа
545,Fehler::N,camgymeriad,сыыһа
546,Lüge::N,celwydd,сымыйа
547,Lüge::N,anwiredd,сымыйа
548,Schaden::N,niwed,хоромньу
549,Schaden::N,difrod,хоромньу
550,Unglück::N,anffawd,алдьархай
551,Schuld::N,bai,буруй
552,Alter::N,oed,саас
553,Schluss::N,diwedd,тиһэх
554,Zeit::N,amser,бириэмэ
555,Tag::N,dydd,күн
556,Tag::N,diwrnod,күн
557,Morgen::N,bore,сарсыарда
558,Mittag::N,nawn,күн ортото
559,Abend::N,noswaith,киэһэ
560,Nacht::N,nos,түүн
561,Woche::N,wythnos,нэдиэлэ
562,Monat::N,mis,ый
563,Jahr::N,blwyddyn,сыл
564,Jahr::N,blwyddyn,дьыл
565,Frühling::N,gwanwyn,саас
566,Sommer::N,haf,сайын
567,Herbst::N,hydref,күһүн
568,Winter::N,gaeaf,кыһын
569,Januar::N,Ionawr,тохсунньу
570,Februar::N,Chwefror,олунньу
571,März::N,Mawrth,кулун тутар
572,April::N,Ebrill,муус устар ый
573,Mai::N,Mai,ыам ыйа
574,Juni::N,Mehefin,бэс ыйа
575,Juli::N,Gorffennaf,от ыйа
576,August::N,Awst,атырдьах ыйа
577,September::N,Medi,балаҕан ыйа
578,Oktober::N,Hydref,алтынньы
579,November::N,Tachwedd,сэтинньи
580,Dezember::N,Rhagfyr,ахсынньы
581,Montag::N,dydd Llun,бэнидиэнньик
582,Dienstag::N,dydd Mawrth,оптуорунньук
583,Mittwoch::N,dydd Mercher,сэрэдэ
584,Donnerstag::N,dydd Iau,чэппиэр
585,Freitag::N,dydd Gwener,бээтинсэ
586,Samstag::N,dydd Sadwrn,субуота
587,Sonntag::N,dydd Sul,баскыһыанньа
588,groß::A,mawr,бөдөҥ
589,groß::A,mawr,улахан
590,klein::A,bach,кыр
591,lang::A,hir,уһун
592,kurz::A,byr,кылгас
593,kurz::A,cwta,кылгас
594,breit::A,llydan,кэтит
595,schmal::A,cul,кыараҕас
596,dicht::A,dwys,хойуу
597,dick[Gegenstand]::A,trwchus,суон
598,dick[Gegenstand]::A,trwchus,хойуу
599,dünn::A,tenau,чараас
600,fein::A,main,бытархай
601,fein::A,main,синньигес
602,fest::A,cadarn,бөҕө
603,fest::A,cadarn,кытаанах
604,flach::A,gwastad,хаптаҕай
605,glatt::A,llyfn,кылааккай
606,hart::A,caled,хатан
607,hart::A,caled,кытаанах
608,weich::A,meddal,сымнаҕас
609,rund::A,crwn,төгүрүк
610,spitz::A,pigfain,сытыы
611,spitz::A,pigfain,уһуктаах
612,scharf::A,miniog,сытыы
613,stumpf::A,pŵl,сыппах
614,schwer::A,trwm,ыарахан
