,Concept_ID,el,ro
0,Auge::N,μάτι,ochi
1,Auge::N,οφθαλμός,ochi
2,Ohr::N,αυτί,ureche
3,Nase::N,μύτη,nas
4,Mund::N,στόμα,gură
5,Zahn::N,δόντι,dinte
6,Zunge::N,γλώσσα,limbă
7,Lippe::N,χείλος,buză
8,Wange::N,παρειά,bucă
9,Wange::N,παρειά,obraz
10,Wange::N,μάγουλο,bucă
11,Wange::N,μάγουλο,obraz
12,Gesicht::N,πρόσωπο,față
13,Gesicht::N,πρόσωπο,figură
14,Stirn::N,μέτωπο,frunte
15,Haar::N,μαλλιά,păr
16,Schnurrbart::N,μουστάκι,mustață
17,Bart::N,γένια,barbă
18,Kinn::N,πιγούνι,bărbie
19,Kiefer[Anatomie]::N,σαγόνι,falcă
20,Kehle::N,λαρύγγι,beregată
21,Hals::N,λαιμός,gât
22,Genick::N,σβέρκος,ceafă
23,Kopf::N,κεφάλι,cap
24,Rücken::N,ράχη,dos
25,Rücken::N,ράχη,spate
26,Rücken::N,ράχη,spinare
27,Bauch::N,κοιλιά,burtă
28,Bauch::N,κοιλιά,pântece
29,Nabel::N,αφαλός,buric
30,Busen::N,στήθος,sân
31,Brust::N,στήθος,piept
32,Schulter::N,ώμος,umăr
33,Schulter::N,ώμος,spate
34,Arm::N,χέρι,braț
35,Arm::N,μπράτςο,braț
36,Ellenbogen::N,αγκώνας,cot
37,Hand::N,χέρι,mână
38,Handfläche::N,παλάμη,palmă
39,Finger::N,δάχτυλο,deget
40,Fingernagel::N,νύχι,unghie
41,Nagel[Anatomie]::N,νύχι,unghie
42,Zeh::N,δάχτυλο του ποδιού,deget de la picior
43,Fuß::N,πόδι,picior
44,Ferse::N,φτέρνα,călcâi
45,Knie::N,γόνατο,genunchi
46,Oberschenkel::N,μηρός,coapsă
47,Bein::N,πόδι,picior
48,Körper::N,σώμα,corp
49,Körper::N,κορμί,corp
50,Haut::N,πετσί,piele
51,Blut::N,αίμα,sânge
52,Ader::N,φλέβα,vână
53,Ader::N,φλέβα,arteră
54,Sehne::N,νεύρο,tendon
55,Sehne::N,τένοντας,tendon
56,Knochen::N,οστό,os
57,Knochen::N,κόκκαλο,os
58,Gehirn::N,μυαλό,creier
59,Gehirn::N,εγκέφαλος,creier
60,Herz::N,καρδιά,inimă
61,Magen::N,στομάχι,stomac
62,Leber::N,ήπαρ,ficat
63,Leber::N,συκωτί,ficat
64,Atem::N,αναπνοή,răsuflare
65,Atem::N,αναπνοή,respirație
66,Hunger::N,πείνα,foame
67,Träne::N,δάκρυ,lacrimă
68,Geschmack::N,γεύση,gust
69,Geruch::N,οσμή,miros
70,Geruch::N,μυρωδία,miros
71,Schlaf::N,ύπνος,somn
72,Traum::N,όνειρο,vis
73,Himmel::N,ουρανός,cer
74,Sonne::N,ήλιος,soare
75,Mond::N,σελήνη,lună
76,Mond::N,φεγγάρι,lună
77,Stern::N,άστρο,stea
78,Stern::N,αστέρι,stea
79,Luft::N,αέρας,aer
80,Wind::N,αέρας,vânt
