,Concept_ID,cs,is
0,Auge::N,oko,auga
1,Ohr::N,ucho,eyra
2,Nase::N,nos,nef
3,Mund::N,pusa,munnur
4,Zahn::N,zub,tönn
5,Zunge::N,jazyk,tunga
6,Lippe::N,ret,vör
7,Wange::N,tvář,kinn
8,Wange::N,tvář,vangi
9,Gesicht::N,obličej,andlit
10,Stirn::N,čelo,enni
11,Haar::N,vlas,hár
12,Haar::N,vlasy,hár
13,Schnurrbart::N,kníry,yfirskegg
14,Bart::N,vousy,skegg
15,Kinn::N,brada,haka
16,Kiefer[Anatomie]::N,čelist,kjálki
17,Kiefer[Anatomie]::N,čelist,skoltur
18,Kehle::N,hrdlo,kverk
19,Hals::N,krk,háls
20,Genick::N,týl,hnakki
21,Kopf::N,hlava,höfuð
22,Rücken::N,záda,hryggur
23,Rücken::N,hřbet,hryggur
24,Bauch::N,břicho,kviður
25,Nabel::N,pupek,nafli
26,Busen::N,ňadra,barmur
27,Brust::N,prsa,brjóst
28,Schulter::N,plece,öxl
29,Schulter::N,rameno,öxl
30,Arm::N,ruka,armur
31,Ellenbogen::N,loket,olnbogi
32,Hand::N,ruka,hönd
33,Handfläche::N,dlaň,lófi
34,Finger::N,prst,fingur
35,Fingernagel::N,nehet,fingurnögl
36,Nagel[Anatomie]::N,nehet,nögl
37,Zeh::N,prst u nohy,tá
38,Fuß::N,noha,fótur
39,Ferse::N,pata,hæll
40,Knie::N,koleno,kné
41,Oberschenkel::N,stehno,læri
42,Bein::N,noha,fótleggur
43,Körper::N,tělo,búkur
44,Körper::N,tělo,líkami
45,Haut::N,kůže,húð
46,Haut::N,kůže,skinn
47,Blut::N,krev,blóð
48,Ader::N,céva,æð
49,Sehne::N,šlacha,sin
50,Knochen::N,kost,bein
51,Gehirn::N,mozek,heili
52,Herz::N,srdce,hjarta
53,Magen::N,žaludek,magi
54,Leber::N,játra,lifur
55,Atem::N,dech,andi
56,Atem::N,dech,andardráttur
57,Hunger::N,hlad,hungur
58,Träne::N,slza,tár
59,Geschmack::N,vkus,smekkur
60,Geruch::N,vůně,lykt
61,Geruch::N,zápach,lykt
62,Schlaf::N,spánek,svefn
63,Traum::N,sen,draumur
64,Himmel::N,nebe,himinn
65,Sonne::N,slunce,sól
66,Mond::N,měsíc,tungl
67,Stern::N,hvězda,stjarna
68,Luft::N,vzduch,loft
69,Wind::N,vítr,vindur
70,Welle::N,vlna,alda
71,Welle::N,vlna,bylgja
72,Wasser::N,voda,vatn
73,Stein::N,kámen,steinn
74,Boden::N,půda,botn
75,Erde::N,země,jörð
76,Staub::N,prach,ryk
77,Staub::N,prach,duft
78,Rauch::N,dým,reykur
79,Rauch::N,kouř,reykur
80,Funke::N,jiskra,neisti
81,Feuer::N,oheň,eldur
82,Licht::N,světlo,ljós
83,Schatten::N,stín,skuggi
84,Wetter::N,počasí,veður
85,Nebel::N,mlha,þoka
86,Wolke::N,mrak,ský
87,Wolke::N,oblak,ský
88,Regen::N,déšť,regn
89,Schnee::N,sníh,snjór
90,Eis::N,led,ís
91,Frost::N,mráz,frost
92,Kälte::N,chlad,kuldi
93,Hitze::N,horko,hiti
94,Raureif::N,jinovatka,hrím
95,Regenbogen::N,duha,regnbogi
96,Donner::N,hrom,þruma
97,Strömung::N,proudění,straumur
98,Tropfen::N,kapka,dropi
99,Schaum::N,pěna,froða
100,Schmutz::N,špína,óhreinindi
101,See::N,jezero,stöðuvatn
102,Sumpf::N,močál,fen
103,Sumpf::N,bažina,fen
104,Moor::N,bažina,mýri
105,Moor::N,slatina,mýri
106,Wiese::N,louka,engi
107,Wald::N,les,skógur
108,Hügel::N,kopec,hæð
109,Hügel::N,kopec,hóll
110,Anhöhe::N,pahorek,hæð
111,Anhöhe::N,pahorek,hóll
112,Berg::N,hora,fell
113,Berg::N,hora,fjall
114,Gipfel::N,vrchol,tindur
115,Höhle::N,jeskyně,hellir
116,Abhang::N,svah,hlíð
117,Abhang::N,svah,brekka
118,Abhang::N,stráň,hlíð
119,Abhang::N,stráň,brekka
120,Quelle::N,pramen,lind
121,Quelle::N,pramen,uppspretta
122,Bach::N,potok,lækur
123,Fluss::N,řeka,á
124,Fluss::N,řeka,fljót
125,Ufer::N,břeh,árbakki
126,Ufer::N,břeh,sjávarbakki
127,Küste::N,pobřeží,strönd
128,Festland::N,souš,meginland
129,Festland::N,pevnina,meginland
130,Meer::N,moře,haf
131,Meer::N,moře,sjór
132,Bucht::N,záliv,vík
133,Bucht::N,zátoka,vík
134,Insel::N,ostrov,eyja
135,Blume::N,květina,blóm
136,Gras::N,tráva,gras
137,Wurzel::N,kořen,rót
138,Baum::N,strom,tré
139,Stamm::N,kmen,stofn
140,Rinde::N,kůra,börkur
141,Ast::N,větev,grein
142,Zweig::N,větev,angi
143,Zweig::N,větev,kvistur
144,Blatt::N,lupen,blað
145,Birke::N,bříza,birki
146,Kiefer[Baum]::N,sosna,fura
147,Kiefer[Baum]::N,borovice,fura
148,Weide[Baum]::N,vrba,víðir
149,Tanne::N,jedle,greni
