,Concept_ID,hr,tr
0,Auge::N,oko,göz
1,Ohr::N,uho,kulak
2,Nase::N,nos,burun
3,Mund::N,usta,ağız
4,Zahn::N,zub,diş
5,Zunge::N,jezik,dil
6,Lippe::N,usna,dudak
7,Wange::N,obraz,yanak
8,Gesicht::N,lice,yüz
9,Stirn::N,čelo,alın
10,Haar::N,kosa,saç
11,Schnurrbart::N,brkovi,bıyık
12,Bart::N,brada,sakal
13,Kinn::N,brada,çene
14,Kinn::N,podbradak,çene
15,Kiefer[Anatomie]::N,čeljust,çene
16,Kehle::N,grlo,boğaz
17,Hals::N,vrat,boyun
18,Hals::N,vrat,gerdan
19,Genick::N,zatiljak,ense
20,Kopf::N,glava,baş
21,Kopf::N,glava,kafa
22,Rücken::N,leđa,arka
23,Rücken::N,hrbat,arka
24,Bauch::N,trbuh,karın
25,Nabel::N,pupak,göbek
26,Busen::N,sisa,koyun
27,Busen::N,njedra,koyun
28,Brust::N,prsa,göğüs
29,Schulter::N,rame,omuz
30,Schulter::N,pleći,omuz
31,Arm::N,ruka,kol
32,Ellenbogen::N,lakat,dirsek
33,Hand::N,ruka,el
34,Handfläche::N,dlan,avuç
35,Handfläche::N,dlan,el ayası
36,Finger::N,prst,parmak
37,Fingernagel::N,nokat,el tırnağı
38,Nagel[Anatomie]::N,nokat,tırnak
39,Zeh::N,nozni prst,ayak parmağı
40,Fuß::N,noga,ayak
41,Fuß::N,stopalo,ayak
42,Ferse::N,peta,topuk
43,Knie::N,koljeno,diz
44,Oberschenkel::N,bedro,uyluk
45,Bein::N,noga,bacak
46,Körper::N,tijelo,vücut
47,Haut::N,put,cilt
48,Haut::N,koža,cilt
49,Blut::N,krv,kan
50,Ader::N,žila,damar
51,Sehne::N,tetiva,kiriş
52,Knochen::N,kost,kemik
53,Herz::N,srce,kalp
54,Herz::N,srce,yürek
55,Magen::N,stomak,mide
56,Magen::N,želudac,mide
57,Leber::N,jetra,karaciğer
58,Atem::N,dah,nefes
59,Hunger::N,glad,açlık
60,Träne::N,suza,gözyaşı
61,Geschmack::N,ukus,tat
62,Geschmack::N,ukus,lezzet
63,Geruch::N,njuh,koku
64,Geruch::N,miris,koku
65,Schlaf::N,san,uyku
66,Traum::N,san,düş
67,Traum::N,san,rüya
68,Himmel::N,nebo,gök
69,Sonne::N,sunce,güneş
70,Mond::N,mjesec,ay
71,Stern::N,zvijezda,yıldız
72,Luft::N,zrak,hava
73,Wind::N,vjetar,yel
74,Wind::N,vjetar,rüzgâr
75,Welle::N,val,dalga
76,Welle::N,talas,dalga
77,Wasser::N,voda,su
78,Stein::N,kamen,taş
79,Boden::N,tlo,yer
80,Boden::N,tlo,zemin
81,Boden::N,zemlja,yer
82,Boden::N,zemlja,zemin
83,Erde::N,zemlja,toprak
84,Staub::N,prah,toz
85,Staub::N,prašina,toz
86,Rauch::N,dim,duman
87,Funke::N,iskra,kıvılcım
88,Funke::N,varnica,kıvılcım
89,Feuer::N,vatra,ateş
90,Licht::N,svjetlo,ışık
91,Schatten::N,hlad,gölge
92,Schatten::N,sjena,gölge
93,Wetter::N,vrijeme,hava
94,Nebel::N,magla,pus
95,Wolke::N,oblak,bulut
96,Regen::N,kiša,yağmur
97,Schnee::N,snijeg,kar
98,Eis::N,led,buz
