,Concept_ID,el,ko
0,Auge::N,μάτι,눈
1,Auge::N,οφθαλμός,눈
2,Ohr::N,αυτί,귀
3,Nase::N,μύτη,코
4,Mund::N,στόμα,입
5,Zahn::N,δόντι,이
6,Zunge::N,γλώσσα,혀
7,Lippe::N,χείλος,입술
8,Wange::N,παρειά,뺨
9,Wange::N,μάγουλο,뺨
10,Gesicht::N,πρόσωπο,얼굴
11,Stirn::N,μέτωπο,이마
12,Haar::N,μαλλιά,털
13,Schnurrbart::N,μουστάκι,윗수몀
14,Schnurrbart::N,μουστάκι,코밑수염
15,Bart::N,γένια,수엄
16,Kinn::N,πιγούνι,아래턱
17,Kiefer[Anatomie]::N,σαγόνι,턱
18,Kehle::N,λαρύγγι,인후
19,Hals::N,λαιμός,목
20,Genick::N,σβέρκος,먹덜이
21,Kopf::N,κεφάλι,머리
22,Rücken::N,ράχη,든
23,Bauch::N,κοιλιά,배
24,Nabel::N,αφαλός,배꼽
25,Busen::N,στήθος,가슴속
26,Brust::N,στήθος,가슴
27,Schulter::N,ώμος,어깨
28,Arm::N,χέρι,팔
29,Arm::N,μπράτςο,팔
30,Ellenbogen::N,αγκώνας,팔쿰치
31,Hand::N,χέρι,손
32,Handfläche::N,παλάμη,손바닥
33,Finger::N,δάχτυλο,속가락
34,Fingernagel::N,νύχι,손톱
35,Nagel[Anatomie]::N,νύχι,손톱
36,Zeh::N,δάχτυλο του ποδιού,발가락
37,Fuß::N,πόδι,발
38,Ferse::N,φτέρνα,발꿈치
39,Knie::N,γόνατο,무릎
40,Oberschenkel::N,μηρός,허벅다리
41,Bein::N,πόδι,다리
42,Körper::N,σώμα,구간
43,Körper::N,κορμί,구간
44,Haut::N,πετσί,살갗
45,Blut::N,αίμα,피
46,Ader::N,φλέβα,정맥
47,Sehne::N,νεύρο,현
48,Sehne::N,τένοντας,현
49,Knochen::N,οστό,뼈
50,Knochen::N,κόκκαλο,뼈
51,Gehirn::N,μυαλό,뇌
52,Gehirn::N,μυαλό,뇌수
53,Gehirn::N,εγκέφαλος,뇌
54,Gehirn::N,εγκέφαλος,뇌수
55,Herz::N,καρδιά,염통
56,Magen::N,στομάχι,위
57,Leber::N,ήπαρ,간
58,Leber::N,συκωτί,간
59,Atem::N,αναπνοή,기식
60,Hunger::N,πείνα,공복
61,Träne::N,δάκρυ,눈물
62,Geschmack::N,γεύση,기호
63,Geruch::N,οσμή,냄새
64,Geruch::N,μυρωδία,냄새
65,Schlaf::N,ύπνος,수면
66,Traum::N,όνειρο,쿰
67,Himmel::N,ουρανός,하늘
68,Sonne::N,ήλιος,해
69,Mond::N,σελήνη,달
70,Mond::N,φεγγάρι,달
71,Stern::N,άστρο,별
72,Stern::N,αστέρι,별
73,Luft::N,αέρας,동준
74,Luft::N,αέρας,가스채
75,Wind::N,αέρας,바람
76,Wind::N,άνεμος,바람
77,Welle::N,κύμα,물결
78,Wasser::N,νερό,물
79,Stein::N,πέτρα,돌
80,Boden::N,χώμα,바닥
81,Erde::N,γη,흙
82,Staub::N,σκόνη,먼지
83,Rauch::N,καπνός,연기
84,Funke::N,σπίθα,불티
85,Funke::N,σπινθήρας,불티
86,Feuer::N,φωτιά,불
87,Licht::N,φως,불
88,Schatten::N,σκιά,어스레함
89,Schatten::N,ίσκιος,어스레함
90,Wetter::N,καιρός,기상
91,Nebel::N,ομίχλη,안개
92,Wolke::N,σύννεφο,구름
93,Regen::N,βροχή,비
94,Schnee::N,χιόνι,눈
95,Eis::N,πάγος,얼음
96,Frost::N,παγωνία,혹한
97,Kälte::N,κρύο,추위
98,Kälte::N,κρύο,차가움
99,Kälte::N,ψύχος,추위
100,Kälte::N,ψύχος,차가움
101,Hitze::N,ζέστη,고온
102,Hitze::N,ζέστη,더위
103,Raureif::N,πάχνη,
104,Regenbogen::N,ουράνιο τόξο,무지개
105,Donner::N,βροντή,뇌명
106,Strömung::N,ρεύμα,유동
107,Tropfen::N,στάλα,물방울
108,Schaum::N,αφρός,포말
109,Schmutz::N,βρωμιά,때
110,See::N,λίμνη,호수
111,Sumpf::N,βάλτος,습지
112,Moor::N,έλος,저습지
113,Wiese::N,λιβάδι,목초지
114,Wald::N,δάσος,숲
115,Hügel::N,λόφος,언덕
116,Anhöhe::N,ύψωμα,언덕
117,Berg::N,όρος,산
118,Berg::N,βουνό,산
119,Gipfel::N,κορυφή,졀졍
120,Höhle::N,σπηλιά,공동
121,Abhang::N,πλαγιά,몰매
122,Quelle::N,πηγή,근원
123,Quelle::N,βρύση,근원
124,Bach::N,ρυάκι,내
125,Fluss::N,ποτάμι,강
126,Fluss::N,ποταμός,강
127,Ufer::N,όχθη,강변
128,Ufer::N,όχθη,바닷가
129,Küste::N,ακτή,해변
130,Küste::N,ακτή,해변가
131,Küste::N,ακρογιαλιά,해변
132,Küste::N,ακρογιαλιά,해변가
133,Festland::N,στεριά,본토
134,Meer::N,θάλασσα,바다
135,Bucht::N,κόλπος,협만
136,Insel::N,νησί,섬
137,Insel::N,νήσος,섬
138,Blume::N,άνθος,꽃
139,Blume::N,λουλούδι,꽃
140,Gras::N,χόρτο,풀
141,Gras::N,χορτάρι,풀
142,Wurzel::N,ρίζα,뿌리
143,Baum::N,δέντρο,나무
144,Stamm::N,κορμός,대
145,Rinde::N,φλούδα,나무껍질
146,Ast::N,κλαδί,가지
147,Zweig::N,κλαδί,가지
148,Zweig::N,κλάδος,가지
149,Blatt::N,φύλλο,잎
150,Birke::N,σημύδα,자작나무
151,Kiefer[Baum]::N,πεύκο,소나무
152,Weide[Baum]::N,ιτιά,쉬양버들
153,Tanne::N,έλατο,전나무
154,Horn::N,κέρας,뿔
155,Horn::N,κέρατο,뿔
156,Feder::N,φτερό,깃털
157,Fell::N,δέρμα,피혁모피
158,Fell::N,τομάρι,피혁모피
159,Flügel::N,πτερύγιο,날개
160,Klaue::N,κουλό,갈고리 발톺
161,Kralle::N,νύχι,발툭
162,Schwanz::N,ουρά,꼬리
163,Ei::N,αβγό,알
164,Nest::N,φωλιά,보금자리
165,Bau::N,φωλιά,굴
166,Tier::N,ζώο,짐승
167,Herde::N,κοπάδι,가축의떼
168,Kuh::N,αγελάδα,암소
169,Bulle::N,ταύρος,황소
170,Pferd::N,άλογο,말
171,Schaf::N,πρόβατο,양
172,Schwein::N,γουρούνι,돼지
173,Hund::N,σκυλί,개
174,Hund::N,σκύλος,개
175,Katze::N,γάτα,고양이
176,Bär::N,άρκτος,콤
177,Bär::N,αρκούδα,콤
178,Eichhörnchen::N,βερβερίτσα,다람쥐
179,Elch::N,άλκη,고라니
180,Fuchs::N,αλεπού,여우
181,Hase::N,λαγός,토끼
182,Maus::N,ποντικός,쥐
183,Wolf::N,λύκος,늑대
184,Vogel::N,πουλί,새
185,Schwarm::N,σμήνος,뗴
186,Huhn::N,κότα,암탉
187,Huhn::N,όρνιθα,암탉
188,Hahn::N,πετεινός,수탉
189,Gans::N,χήνα,거위
190,Adler::N,αετός,수리
