,Concept_ID,ta,os
0,Auge::N,கண்,цӕст
1,Ohr::N,காது,хъус
2,Nase::N,மூக்கு,фындз
3,Mund::N,வாய்,дзых
4,Zahn::N,பல்,дӕндаг
5,Zunge::N,நாக்கு,ӕвзаг
6,Lippe::N,உதடு,был
7,Wange::N,கன்னம்,рус
8,Wange::N,கன்னம்,уадул
9,Wange::N,கன்னம்,ӕхсӕрфарс
10,Gesicht::N,முகம்,цӕсгом
11,Stirn::N,முன்னெற்றி,ных
12,Haar::N,முடி,хил
13,Schnurrbart::N,மீசை,рихи
14,Bart::N,தாடி,зачъе
15,Kinn::N,கீழதாடை,роцъо
16,Kiefer[Anatomie]::N,தாடை,ӕфсӕр
17,Kehle::N,தொண்டை,хъуыр
18,Hals::N,கழுத்து,къубал
19,Genick::N,கழுத்து,къӕбут
20,Kopf::N,தலை,сӕр
21,Rücken::N,முதுகு,фӕсонтӕ
22,Bauch::N,வயிறு,гуыбын
23,Nabel::N,தொப்புள்,бикъ
24,Busen::N,மார்பகம்,дзидзи
25,Brust::N, மார்பு,риу
26,Schulter::N,தோள்பட்டை,уӕхск
27,Arm::N,கரம்,цонг
28,Ellenbogen::N,முழங்கை,рæмбын
29,Hand::N,கை,къух
30,Handfläche::N,உள்ளங்கை,армытъӕпӕн
31,Finger::N,விரல்,ӕнруылдз
32,Fingernagel::N,விரல் நகம்,ных
33,Nagel[Anatomie]::N,நகம்,ных
34,Zeh::N,கால்விரல்,къух
35,Fuß::N,கால்,фад
36,Ferse::N,குதிகால்,зӕвӕт
37,Knie::N,முழங்கால்,уӕраг
38,Oberschenkel::N,தொடை,агъд
39,Bein::N,கால்,зӕнг
40,Körper::N,உடல்,буар
41,Haut::N,சருமம்,царм
42,Blut::N,இரத்தம்,туг
43,Ader::N,நாளம்,дадзин
44,Ader::N,நாளம்,тугдадзин
45,Sehne::N,தசைநார்,хъиутæ
46,Sehne::N,தசைநார்,нуар
47,Knochen::N,எலுமபு,стӕг
48,Gehirn::N,மூனை,магъз
49,Herz::N,இதயம,зӕрдӕ
50,Magen::N,வயிறு,ахсӕн
51,Leber::N,கல்லீரல்,игæр
52,Atem::N,மூச்சு,улӕфт
53,Hunger::N,பசி,стонг
54,Träne::N,கண்ணீர்,цæссыг
55,Geschmack::N,நறுமணம்,ад
56,Geruch::N,துர்நாற்றம்,смаг
57,Schlaf::N,தூக்கம்,хуыссӕг
58,Traum::N,கனவு,фын
59,Himmel::N,வானம்,арв
60,Himmel::N,வானம்,уӕларв
61,Sonne::N,சூரியன்,хур
62,Mond::N,சந்திரன்,мӕй
63,Stern::N,நட்சத்திரம்,стъалы
64,Luft::N,காறறு,уӕлдӕф
65,Wind::N,காற்று,дымгӕ
66,Welle::N,அலை,уылӕн
67,Wasser::N,நீர்,дон
68,Stein::N,கல்,дур
69,Boden::N,தரை,зӕхх
70,Erde::N,மண்,сыджыт
71,Staub::N,தூசி,рыг
72,Rauch::N,புகை,фӕздӕг
73,Funke::N,தீப்பொறி,цӕхӕр
74,Feuer::N,தீ,зынг
75,Licht::N,வெளிச்சம்,рухс
76,Schatten::N,நிழல்,аууон
77,Wetter::N,வானிலை,боныхъӕд
78,Nebel::N,பனிமூட்டம்,мигъ
79,Wolke::N,மேகம்,ӕврагъ
80,Regen::N,மழை,уарын
81,Schnee::N,உறைபனி,мит
82,Eis::N,பனிக்கட்டி,их
83,Frost::N,உறைபனி,ихæн
84,Kälte::N,குளிர்ந்த,уазал
85,Hitze::N,சூடு,ӕнтӕф
86,Raureif::N,உறைபனி வெண்திரை,халас
87,Regenbogen::N,வானவில்,арвырон
88,Regenbogen::N,வானவில்,арвырдын
89,Donner::N,இடி,æрвнæрын
90,Strömung::N,நீரோட்டம்,цыд
91,Tropfen::N,துளி,æртах
92,Schaum::N,நுரை,фынк
93,Schmutz::N,அழுக்கு,цъыф
94,See::N,ஏரி,цад
95,Sumpf::N,சதுப்பு நிலம்,цъыфдзаст
96,Moor::N,முட்புதற்காடு,цъыфдзаст
97,Wiese::N,பசும் புல்தரை,уыгӕрдӕн
98,Wald::N,காடு,хъӕд
99,Hügel::N,குன்று,обау
100,Hügel::N,குன்று,къуыбыр
101,Anhöhe::N,பதுக்கை,уæлвæз
102,Anhöhe::N,பதுக்கை,уæлхох
103,Berg::N,மலை,хох
104,Gipfel::N,உச்சி மாநாடு,цъупп
105,Höhle::N,குகை,лӕгӕт
106,Abhang::N,சரிவு,къул
107,Quelle::N,மூலம்,суадон
108,Bach::N,ஓடை,мӕсчъыдон
109,Fluss::N,ஆறு,дон
110,Fluss::N,ஆறு,цӕугӕдон
111,Ufer::N,நீர்க்கரை,был
112,Küste::N,கடற்கரை,донбыл
113,Festland::N,நிலம்,сурзæхх
114,Meer::N,கடல்,денджыз
115,Bucht::N,சிறுகுடா,донбакæлæн
116,Insel::N,தீவு,сакъадах
117,Blume::N,பூ,дидинӕг
118,Gras::N,புல்தரை,кӕрдӕг
119,Wurzel::N,வேர்,уидаг
120,Baum::N,மரம்,бӕлас
121,Stamm::N,அடிமரம்,хӕтӕл
122,Rinde::N,பட்டை,цъар
123,Rinde::N,மரப்பட்டை,цъар
124,Ast::N,கினை,арх
125,Zweig::N,குச்சி,къалиу
