,Concept_ID,lt,de
0,Auge::N,akis,Auge
1,Ohr::N,ausis,Ohr
2,Nase::N,nosis,Nase
3,Mund::N,burna,Mund
4,Zahn::N,dantis,Zahn
5,Zunge::N,liežuvis,Zunge
6,Lippe::N,lūpa,Lippe
7,Wange::N,žandas,Wange
8,Wange::N,skruostas,Wange
9,Gesicht::N,veidas,Gesicht
10,Stirn::N,kakta,Stirn
11,Haar::N,plaukai,Haar
12,Schnurrbart::N,ūsai,Schnurrbart
13,Bart::N,barzda,Bart
14,Kinn::N,smakras,Kinn
15,Kiefer[Anatomie]::N,žandikaulis,Kiefer
16,Kehle::N,gerklė,Kehle
17,Hals::N,kaklas,Hals
18,Genick::N,sprandas,Genick
19,Kopf::N,galva,Kopf
20,Rücken::N,nugara,Rücken
21,Bauch::N,pilvas,Bauch
22,Nabel::N,bamba,Nabel
23,Busen::N,krūtinė,Busen
24,Brust::N,krūtis,Brust
25,Schulter::N,petys,Schulter
26,Arm::N,ranka,Arm
27,Ellenbogen::N,alkūnė,Ellenbogen
28,Hand::N,ranka,Hand
29,Hand::N,plaštaka,Hand
30,Handfläche::N,delnas,Handfläche
31,Handfläche::N,plaštaka,Handfläche
32,Finger::N,pirštas,Finger
33,Fingernagel::N,nagas,Fingernagel
34,Nagel[Anatomie]::N,nagas,Nagel
35,Zeh::N,pirštas,Zeh
36,Fuß::N,pėda,Fuß
37,Ferse::N,kulnas,Ferse
38,Knie::N,kelis,Knie
39,Oberschenkel::N,kulšis,Oberschenkel
40,Oberschenkel::N,šlaunis,Oberschenkel
41,Bein::N,koja,Bein
42,Körper::N,kūnas,Körper
43,Haut::N,oda,Haut
44,Blut::N,kraujas,Blut
45,Ader::N,kraujagyslė,Ader
46,Sehne::N,sausgyslė,Sehne
47,Knochen::N,kaulas,Knochen
48,Gehirn::N,smegenys,Gehirn
49,Herz::N,širdis,Herz
50,Magen::N,skrandis,Magen
51,Leber::N,kepenys,Leber
52,Atem::N,kvapas,Atem
53,Hunger::N,badas,Hunger
54,Hunger::N,alkis,Hunger
55,Träne::N,ašara,Träne
56,Geschmack::N,skonis,Geschmack
57,Geruch::N,kvapas,Geruch
58,Schlaf::N,miegas,Schlaf
59,Traum::N,sapnas,Traum
60,Himmel::N,dangus,Himmel
61,Sonne::N,saulė,Sonne
62,Mond::N,mėnulis,Mond
63,Stern::N,žvaigždė,Stern
64,Luft::N,oras,Luft
65,Wind::N,vėjas,Wind
66,Welle::N,banga,Welle
67,Welle::N,vilnis,Welle
68,Wasser::N,vanduo,Wasser
69,Stein::N,akmuo,Stein
70,Boden::N,žemė,Boden
71,Boden::N,dugnas,Boden
72,Erde::N,žemė,Erde
73,Staub::N,dulkės,Staub
74,Rauch::N,dūmai,Rauch
75,Funke::N,kibirkštis,Funke
76,Feuer::N,ugnis,Feuer
77,Licht::N,šviesa,Licht
78,Schatten::N,paūksmė,Schatten
79,Wetter::N,oras,Wetter
80,Nebel::N,migla,Nebel
81,Nebel::N,rūkas,Nebel
82,Wolke::N,debesis,Wolke
83,Regen::N,lietus,Regen
84,Schnee::N,sniegas,Schnee
85,Eis::N,ledas,Eis
86,Frost::N,šalna,Frost
87,Kälte::N,šaltis,Kälte
88,Hitze::N,karštis,Hitze
89,Raureif::N,šerkšnas,Raureif
90,Regenbogen::N,vaivorykštė,Regenbogen
91,Donner::N,perkūnas,Donner
92,Donner::N,griaustinis,Donner
93,Strömung::N,tėkmė,Strömung
94,Tropfen::N,lašas,Tropfen
95,Schaum::N,putos,Schaum
96,Schmutz::N,purvas,Schmutz
97,See::N,ežeras,See
98,Sumpf::N,klampynė,Sumpf
99,Sumpf::N,liūnas,Sumpf
100,Moor::N,pelkė,Moor
101,Wiese::N,pieva,Wiese
102,Wald::N,miškas,Wald
103,Hügel::N,kalva,Hügel
104,Anhöhe::N,kauburys,Anhöhe
