,Concept_ID,pl,fr
0,Auge::N,oko,œil
1,Ohr::N,ucho,oreille
2,Nase::N,nos,nez
3,Mund::N,usta,bouche
4,Zahn::N,ząb,dent
5,Zunge::N,język,langue
6,Lippe::N,warga,lèvre
7,Wange::N,policzek,joue
8,Gesicht::N,twarz,face
9,Gesicht::N,twarz,visage
10,Stirn::N,czoło,front
11,Haar::N,włos,cheveu
12,Haar::N,włosy,cheveu
13,Schnurrbart::N,wąsy,moustache
14,Bart::N,broda,barbe
15,Kinn::N,podbródek,menton
16,Kiefer[Anatomie]::N,czeluść,mâchoire
17,Kehle::N,gardło,gorge
18,Hals::N,szyja,cou
19,Genick::N,kark,nuque
20,Kopf::N,głowa,tête
21,Rücken::N,plecy,dos
22,Rücken::N,grzbiet,dos
23,Bauch::N,brzuch,ventre
24,Nabel::N,pępek,nombril
25,Busen::N,biust,sein
26,Brust::N,pierś,poitrine
27,Schulter::N,bark,épaule
28,Schulter::N,ramię,épaule
29,Arm::N,ręka,bras
30,Arm::N,ramię,bras
31,Ellenbogen::N,łokieć,coude
32,Hand::N,dłoń,main
33,Handfläche::N,dłoń,paume
34,Finger::N,palec,doigt
35,Fingernagel::N,paznokieć,ongle
36,Nagel[Anatomie]::N,paznokieć,ongle
37,Zeh::N,palec,orteil
38,Zeh::N,palec,doigt de pied
39,Fuß::N,stopa,pied
40,Ferse::N,pięta,talon
41,Knie::N,kolano,genou
42,Oberschenkel::N,udo,cuisse
43,Bein::N,noga,jambe
44,Körper::N,ciało,corps
45,Haut::N,skóra,peau
46,Blut::N,krew,sang
47,Ader::N,żyła,veine
48,Sehne::N,ścięgno,tendon
49,Knochen::N,kość,os
50,Gehirn::N,mózg,cerveau
51,Herz::N,serce,cœur
52,Magen::N,żołądek,estomac
53,Leber::N,wątroba,foie
54,Atem::N,dech,haleine
55,Atem::N,oddech,haleine
56,Hunger::N,głód,faim
57,Träne::N,łza,larme
58,Geschmack::N,smak,goût
59,Geschmack::N,smak,saveur
60,Geruch::N,woń,odeur
61,Geruch::N,zapach,odeur
62,Schlaf::N,sen,sommeil
63,Traum::N,sen,songe
64,Himmel::N,niebo,ciel
65,Sonne::N,słońce,soleil
66,Mond::N,księżyc,lune
67,Stern::N,gwiazda,étoile
68,Luft::N,powietrze,air
69,Wind::N,wiatr,vent
70,Welle::N,fala,vague
71,Wasser::N,woda,eau
72,Stein::N,kamień,pierre
73,Boden::N,grunt,sol
74,Boden::N,grunt,terrain
75,Erde::N,ziemia,terre
76,Staub::N,pył,poussière
77,Staub::N,kurz,poussière
78,Rauch::N,dym,fumée
79,Funke::N,iskra,étincelle
80,Feuer::N,ogień,feu
81,Licht::N,światło,lumière
82,Schatten::N,cień,ombre
83,Wetter::N,pogoda,temps
84,Nebel::N,mgła,brume
85,Nebel::N,mgła,brouillard
86,Wolke::N,obłok,nuage
87,Wolke::N,chmura,nuage
88,Regen::N,deszcz,pluie
89,Schnee::N,śnieg,neige
90,Eis::N,lód,glace
91,Frost::N,mróz,gel
92,Frost::N,mróz,gelée
93,Kälte::N,chłód,froid
94,Hitze::N,gorąco,chaleur
95,Raureif::N,szron,givre
96,Regenbogen::N,tęcza,arc-en-ciel
97,Donner::N,grzmot,tonnerre
98,Strömung::N,nurt,courant
99,Tropfen::N,kropla,goutte
100,Schaum::N,piana,écume
101,Schaum::N,piana,mousse
102,Schmutz::N,brud,boue
103,Schmutz::N,brud,saleté
104,See::N,jezioro,lac
105,Sumpf::N,bagno,marais
106,Sumpf::N,bagno,marécage
107,Moor::N,bagno,tourbière
108,Wiese::N,łąka,pré
109,Wald::N,las,bois
110,Wald::N,las,forêt
111,Hügel::N,pagórek,coteau
112,Hügel::N,pagórek,colline
113,Anhöhe::N,wzgórze,éminence
114,Anhöhe::N,wzgórze,élévation
115,Berg::N,góra,mont
116,Berg::N,góra,montagne
117,Gipfel::N,szczyt,cime
118,Gipfel::N,szczyt,sommet
119,Gipfel::N,wierzchołek,cime
120,Gipfel::N,wierzchołek,sommet
121,Höhle::N,pieczara,caverne
122,Abhang::N,stok,pente
123,Abhang::N,stok,versant
124,Abhang::N,zbocze,pente
125,Abhang::N,zbocze,versant
126,Quelle::N,zdrój,source
127,Quelle::N,zdrój,fontaine
128,Quelle::N,źródło,source
129,Quelle::N,źródło,fontaine
130,Bach::N,potok,ruisseau
131,Bach::N,strumień,ruisseau
132,Fluss::N,rzeka,fleuve
133,Fluss::N,rzeka,rivière
134,Ufer::N,brzeg,bord
135,Ufer::N,brzeg,rivage
136,Küste::N,wybrzeże,côte
137,Festland::N,ląd,terre ferme
138,Meer::N,morze,mer
139,Bucht::N,zatoka,baie
140,Insel::N,wyspa,île
141,Blume::N,kwiat,fleur
142,Gras::N,trawa,herbe
143,Wurzel::N,korzeń,racine
144,Baum::N,drzewo,arbre
145,Stamm::N,pień,tronc
146,Rinde::N,kora,écorce
147,Ast::N,gałąź,branche
148,Zweig::N,gałąź,rameau
149,Blatt::N,liść,feuille
150,Birke::N,brzoza,bouleau
151,Kiefer[Baum]::N,sosna,pin
152,Weide[Baum]::N,wierzba,saule
153,Tanne::N,jodła,sapin
154,Horn::N,róg,corne
155,Feder::N,pióro,plume
156,Fell::N,futro,peau
157,Flügel::N,skrzydło,aile
158,Klaue::N,szpon,serre
159,Kralle::N,pazur,ongle
160,Kralle::N,pazur,griffe
161,Schwanz::N,ogon,queue
162,Ei::N,jajko,œuf
163,Nest::N,gniazdo,nid
164,Bau::N,nora,terrier
165,Tier::N,zwierzę,animal
166,Herde::N,stado,troupeau
167,Herde::N,trzoda,troupeau
168,Kuh::N,krowa,vache
169,Bulle::N,byk,taureau
170,Pferd::N,koń,cheval
171,Schaf::N,owca,mouton
172,Schwein::N,świnia,porc
173,Schwein::N,świnia,cochon
174,Hund::N,pies,chien
175,Katze::N,kot,chat
176,Katze::N,kotka,chat
177,Bär::N,niedźwiedż,ours
178,Eichhörnchen::N,wiewiórka,écureuil
179,Elch::N,łóś,élan
180,Fuchs::N,lis,renard
181,Hase::N,zając,lièvre
182,Maus::N,mysz,souris
183,Wolf::N,wilk,loup
184,Vogel::N,ptak,oiseau
185,Schwarm::N,stado,nuée
186,Schwarm::N,stado,volée
187,Huhn::N,kura,poule
188,Hahn::N,kogut,coq
189,Gans::N,gęś,oie
190,Adler::N,orzeł,aigle
191,Ente::N,kaczka,canard
192,Eule::N,sowa,hibou
193,Kranich::N,żuraw,grue
194,Krähe::N,wrona,corneille
195,Kuckuck::N,kukułka,coucou
196,Schwan::N,łabędż,cygne
197,Fisch::N,ryba,poisson
198,Barsch::N,okoń,perche
199,Hecht::N,szczupak,brochet
200,Schlange[Tier]::N,wąż,serpent
201,Schlange[Tier]::N,żmija,serpent
202,Wurm::N,robak,ver
203,Spinne::N,pająk,araignée
204,Ameise::N,mrówka,fourmi
205,Laus::N,wesz,pou
206,Mücke::N,komar,moucheron
207,Fliege::N,mucha,mouche
208,Schmetterling::N,motyl,papillon
209,Beere::N,jagoda,baie
210,Apfel::N,jabłko,pomme
211,Pilz::N,grzyb,champignon
212,Zwiebel::N,cebula,oignon
213,Saat::N,siew,semence
214,Korn::N,ziarno,grain
215,Heu::N,siano,foin
216,Schale::N,łupina,pelure
217,Grube::N,dół,fosse
218,Grube::N,jama,fosse
219,Falle::N,pułapka,piège
220,Schlinge::N,sidła,lacs
221,Spur::N,ślad,trace
222,Asche::N,popiół,cendre
223,Dreck::N,brud,crotte
224,Eisen::N,żelazo,fer
225,Gold::N,złoto,or
226,Silber::N,srebro,argent
227,Kohle::N,węgiel,charbon
228,Glas::N,szkło,verre
229,Lehm::N,glina,glaise
230,Sand::N,piasek,sable
231,Mensch::N,człowiek,homme
232,Mann::N,mężczyzna,homme
233,Frau::N,kobieta,femme
234,Kind::N,dziecko,enfant
235,Junge::N,chłopak,garçon
236,Junge::N,chłopiec,garçon
237,Mädchen::N,dziewczynka,fille
238,Mädchen::N,dziewczynka,jeune fille
239,Familie::N,rodzina,famille
240,Großvater::N,dziadek,grand-père
241,Großmutter::N,babka,grand-mère
242,Eltern::N,rodzice,parents
243,Vater::N,ojciec,père
244,Mutter::N,matka,mère
245,Sohn::N,syn,fils
246,Tochter::N,córka,fille
247,Bruder::N,brat,frère
248,Schwester::N,siostra,sœur
249,Onkel::N,wuj,oncle
250,Onkel::N,stryj,oncle
251,Tante::N,ciotka,tante
252,Ehemann::N,mąż,mari
253,Ehemann::N,mąż,époux
254,Ehefrau::N,żona,femme
255,Ehefrau::N,żona,épouse
256,Freude::N,radość,joie
257,Freude::N,radość,plaisir
258,Gelächter::N,śmiech,rires
259,Glück::N,szczęście,bonheur
260,Kummer::N,zmartwienie,peine
261,Kummer::N,zmartwienie,chagrin
262,Wunsch::N,życzenie,désir
263,Lust::N,chęć,envie
264,Lust::N,ochota,envie
265,Geist::N,duch,esprit
266,Gedanke::N,myśl,idée
267,Gedanke::N,myśl,pensée
268,Gedächtnis::N,pamięć,mémoire
269,Verstand::N,rozum,raison
270,Sinn::N,zmysł,sens
271,Grund::N,powód,cause
272,Grund::N,powód,raison
273,Wahrheit::N,prawda,vérité
274,Gespräch::N,rozmowa,conversation
275,Märchen::N,bajka,conte
276,Märchen::N,bajka,conte de fées
277,Erzählung::N,opowiadanie,conte
278,Erzählung::N,opowiadanie,narration
279,Nachricht::N,wiadomość,message
280,Neuigkeit::N,nowina,nouvelle
281,Name::N,imię,nom
282,Rätsel::N,zagadka,énigme
283,Rätsel::N,zagadka,devinette
284,Rede::N,mowa,parole
285,Rede::N,mowa,discours
286,Sprache::N,język,langue
287,Sprache::N,język,langage
288,Stimme::N,głos,voix
289,Wort::N,słowo,mot
290,Zeichen::N,znak,signe
291,Ruf::N,wołanie,cri
292,Ruf::N,wołanie,appel
293,Lärm::N,hałas,bruit
294,Lärm::N,zgiełk,bruit
295,Laut::N,dźwięk,son
296,Ton::N,ton,ton
297,Ton::N,dźwięk,ton
298,Lied::N,pieśń,chant
299,Lied::N,pieśń,chanson
300,Lied::N,piosenka,chant
301,Lied::N,piosenka,chanson
302,Ruhe::N,spokój,calme
303,Ruhe::N,spokój,tranquillité
304,Leute::N,ludzie,gens
305,Volk::N,naród,peuple
306,Arbeit::N,praca,travail
307,Arbeit::N,robota,travail
308,Gast::N,gość,hôte
309,Gast::N,gość,invité
310,Geschenk::N,prezent,cadeau
311,Geschenk::N,prezent,présent
312,Geschenk::N,podarunek,cadeau
313,Geschenk::N,podarunek,présent
314,Spiel::N,gra,jeu
315,Spiel::N,zabawa,jeu
316,Gesellschaft::N,towarzystwo,compagnie
317,Hilfe::N,pomoc,aide
318,Hilfe::N,pomoc,secours
319,Freund::N,przyjaciel,ami
320,Kamerad::N,kolega,copain
321,Kamerad::N,kolega,camarade
322,Angelegenheit::N,sprawa,affaire
323,Anzahl::N,ilość,nombre
324,Art::N,rodzaj,sorte
325,Art::N,rodzaj,espèce
326,Stück::N,kawałek,morceau
327,Teil::N,część,part
328,Teil::N,część,partie
329,Hälfte::N,połowa,moitié
330,Kreis::N,krąg,cercle
331,Kreuz::N,krzyż,croix
332,Linie::N,linia,ligne
333,Strich::N,kreska,trait
334,Abstand::N,odstęp,écart
335,Entfernung::N,odległość,distance
336,Gegend::N,okolica,région
337,Gegend::N,okolica,contrée
338,Platz::N,miejsce,place
339,Ort::N,miejsce,lieu
340,Ort::N,miejsce,endroit
341,Seite::N,bok,côté
342,Seite::N,strona,côté
343,Mitte::N,środek,milieu
344,Gegenstand::N,przedmiot,objet
345,Sache::N,rzecz,chose
346,Rand::N,skraj,bord
347,Rand::N,krawędź,bord
348,Kante::N,kant,arête
349,Kante::N,krawędź,arête
350,Ecke::N,róg,coin
351,Ecke::N,róg,tournant
352,Spitze::N,ostrze,cime
353,Spitze::N,ostrze,pointe
354,Ende::N,koniec,bout
355,Loch::N,dziura,trou
356,Winkel::N,kąt,coin
357,Winkel::N,kąt,réduit
358,Winkel::N,kącik,coin
359,Winkel::N,kącik,réduit
360,Muster::N,wzór,dessin
361,Größe::N,rozmiar,grandeur
362,Größe::N,wielkość,grandeur
363,Länge::N,długość,longueur
364,Höhe::N,wysokość,hauteur
365,Höhe::N,wysokość,altitude
366,Gewicht::N,ciężar,poids
367,Menge::N,ilość,quantité
368,Haufen::N,kupa,tas
369,Reihe::N,rząd,file
370,Reihe::N,rząd,rangée
371,Reihe::N,szereg,file
372,Reihe::N,szereg,rangée
373,Boot::N,łódź,canot
374,Boot::N,łódź,bateau
375,Boot::N,łódka,canot
376,Boot::N,łódka,bateau
377,Ruder::N,wiosło,rame
378,Ruder::N,wiosło,aviron
379,Schlitten::N,sanki,traîneau
380,Ski::N,narta,ski
381,Lagerfeuer::N,ognisko,feu de camp
382,Last::N,ciężar,charge
383,Last::N,ciężar,fardeau
384,Last::N,brzemię,charge
385,Last::N,brzemię,fardeau
386,Gang::N,chód,tour
387,Gang::N,chód,marche
388,Schritt::N,krok,pas
389,Norden::N,północ,nord
390,Süden::N,południe,sud
391,Westen::N,zachód,ouest
392,Westen::N,zachód,occident
393,Osten::N,wschód,est
394,Osten::N,wschód,orient
395,Holz::N,drzewo,bois
396,Brett::N,deska,planche
397,Platte::N,płyta,plaque
398,Stütze::N,podpora,appui
399,Stütze::N,podpora,soutien
400,Stange::N,drąg,barre
401,Stange::N,drąg,perche
402,Stange::N,żerdź,barre
403,Stange::N,żerdź,perche
404,Stock::N,kij,canne
405,Stock::N,laska,canne
406,Stab::N,pręt,bâton
407,Rohr::N,rura,tube
408,Rohr::N,rura,tuyau
409,Haus::N,dom,maison
410,Heim::N,dom,maison
411,Ofen::N,piec,poêle
412,Fußboden::N,podłoga,plancher
413,Tisch::N,stół,table
414,Stuhl::N,krzesło,chaise
415,Wiege::N,kołyska,berceau
416,Bett::N,łóżko,lit
417,Bett::N,pościel,lit
418,Regal::N,regał,étagère
