,Concept_ID,sl,os
0,Auge::N,okó,цӕст
1,Ohr::N,uhó,хъус
2,Nase::N,nós,фындз
3,Mund::N,ústa,дзых
4,Zahn::N,zób,дӕндаг
5,Zunge::N,jêzik,ӕвзаг
6,Lippe::N,ústnica,был
7,Wange::N,líce,рус
8,Wange::N,líce,уадул
9,Wange::N,líce,ӕхсӕрфарс
10,Gesicht::N,oblíčje,цӕсгом
11,Stirn::N,čêlo,ных
12,Haar::N,lás,хил
13,Schnurrbart::N,bŕki,рихи
14,Bart::N,bráda,зачъе
15,Kinn::N,bráda,роцъо
16,Kiefer[Anatomie]::N,čeljúst,ӕфсӕр
17,Kehle::N,gŕlo,хъуыр
18,Hals::N,vrát,къубал
19,Genick::N,zatílnik,къӕбут
20,Kopf::N,gláva,сӕр
21,Rücken::N,hrbèt,фӕсонтӕ
22,Bauch::N,trébuh,гуыбын
23,Nabel::N,pópek,бикъ
24,Busen::N,nédrja,дзидзи
25,Brust::N,pŕsi,риу
26,Schulter::N,ráma,уӕхск
27,Schulter::N,plêče,уӕхск
28,Arm::N,rôka,цонг
29,Ellenbogen::N,komólec,рæмбын
30,Hand::N,rôka,къух
31,Handfläche::N,dlán,армытъӕпӕн
32,Finger::N,pŕst,ӕнруылдз
33,Fingernagel::N,nóht na rôki,ных
34,Nagel[Anatomie]::N,nóht,ных
35,Zeh::N,pŕst na nôgi,къух
36,Fuß::N,nôga,фад
37,Ferse::N,pêta,зӕвӕт
38,Knie::N,koléno,уӕраг
39,Oberschenkel::N,stêgno,агъд
40,Bein::N,nôga,зӕнг
41,Körper::N,teló,буар
42,Haut::N,kóža,царм
43,Blut::N,krí,туг
44,Ader::N,žíla,дадзин
45,Ader::N,žíla,тугдадзин
46,Sehne::N,kíta,хъиутæ
47,Sehne::N,kíta,нуар
48,Knochen::N,kóst,стӕг
49,Gehirn::N,možgáni,магъз
50,Herz::N,srcé,зӕрдӕ
51,Magen::N,želódec,ахсӕн
52,Leber::N,jétra,игæр
53,Atem::N,díh,улӕфт
54,Hunger::N,glád,стонг
55,Träne::N,sólza,цæссыг
56,Geschmack::N,okús,ад
57,Geruch::N,vónj,смаг
58,Schlaf::N,sèn,хуыссӕг
59,Schlaf::N,spánec,хуыссӕг
60,Traum::N,sánje,фын
61,Himmel::N,nebó,арв
62,Himmel::N,nebó,уӕларв
63,Sonne::N,sónce,хур
64,Mond::N,lúna,мӕй
65,Mond::N,mésec,мӕй
66,Stern::N,zvézda,стъалы
67,Luft::N,zràk,уӕлдӕф
68,Wind::N,véter,дымгӕ
69,Welle::N,vál,уылӕн
70,Wasser::N,vôda,дон
71,Stein::N,kámen,дур
72,Boden::N,tlà,зӕхх
73,Erde::N,pŕst,сыджыт
74,Erde::N,zêmlja,сыджыт
75,Staub::N,práh,рыг
