,Concept_ID,cv,uk
0,Auge::N,куҫ,око
1,Ohr::N,хӑлха,вухо
2,Nase::N,сӑмса,ніс
3,Mund::N,ҫӑвар,рот
4,Zahn::N,шӑл,зуб
5,Zunge::N,чӗлхе,язик
6,Lippe::N,тута,губа
7,Wange::N,пит ҫӑмарти,щока
8,Gesicht::N,пит,обличчя
9,Gesicht::N,пит-куҫ,обличчя
10,Stirn::N,ҫамка,лоб
11,Haar::N,ҫӳҫ,волосся
12,Schnurrbart::N,усси,вуса
13,Bart::N,сухал,борода
14,Kinn::N,янах,підборіддя
15,Kiefer[Anatomie]::N,янах,щелепа
16,Kehle::N,пыр,горло
17,Kehle::N,карланкӑ,горло
18,Hals::N,пыр,шия
19,Genick::N,ӗнсе,потилиця
20,Kopf::N,пуҫ,голова
21,Rücken::N,ҫурӑм,спина
22,Nabel::N,кӑвапа,пупок
23,Busen::N,кӑкӑр,груди
24,Brust::N,умӗ,груди
25,Schulter::N,хул пуҫҫи,плече
26,Arm::N,алӑ,рука
27,Ellenbogen::N,чавса,лікоть
28,Hand::N,алӑ сыппи,рука
29,Handfläche::N,ал лаппи,долоня
30,Finger::N,пӳрне,палець
31,Fingernagel::N,чӗрне,ніготь
32,Nagel[Anatomie]::N,чӗрне,ніготь
33,Zeh::N,пӳрне,палець на нозі
34,Fuß::N,ура лаппи,нога
35,Ferse::N,кӗле,п’ятка
36,Knie::N,чӗркуҫҫи,коліно
37,Oberschenkel::N,пӗҫӗ,стегно
38,Bein::N,ура,нога
39,Körper::N,ӳт,тіло
40,Körper::N,ӳт-пӳ,тіло
41,Haut::N,тир,шкіра
42,Blut::N,юн,кров
43,Ader::N,вена,вена
44,Sehne::N,шӑнӑр,сухожилля
45,Knochen::N,шӑмӑ,кістка
46,Gehirn::N,миме,мозок
47,Herz::N,чӗре,серце
48,Magen::N,хырӑмлӑх,шлунок
49,Leber::N,пӗвер,печінка
50,Atem::N,сывлав,дихання
51,Hunger::N,выҫлӑх,голод
52,Träne::N,куҫҫуль,сльоза
53,Geschmack::N,техӗм,смак
54,Geruch::N,шӑршӑ,запах
55,Schlaf::N,ыйхӑ,сон
56,Schlaf::N,ыйхӑ,сплячка
57,Traum::N,тӗлӗк,сон
58,Himmel::N,пӗлӗт,небо
59,Sonne::N,хӗвел,сонце
60,Mond::N,уйӑх,місяць
61,Stern::N,ҫӑлтӑр,зірка
62,Luft::N,сывлӑш,повітря
63,Wind::N,ҫил,вітер
64,Welle::N,хум,хвиля
65,Wasser::N,шыв,вода
66,Wasser::N,шыв-шур,вода
67,Stein::N,чул,камінь
68,Boden::N,тӑпра,ґрунт
69,Erde::N,ҫӗр,земля
70,Staub::N,тусан,пил
71,Rauch::N,тӗтӗм,дим
72,Funke::N,хӗм,іскра
73,Feuer::N,вут,вогонь
74,Feuer::N,ҫулӑм,вогонь
75,Licht::N,ҫутӑ,світло
76,Schatten::N,сулхӑн,тінь
77,Wetter::N,ҫанталӑк,погода
78,Nebel::N,тӗтре,туман
79,Wolke::N,пӗлӗт,хмара
80,Regen::N,ҫумӑр,дощ
81,Schnee::N,юр,сніг
82,Eis::N,пӑр,лід
83,Frost::N,сивӗ,мороз
84,Kälte::N,сивӗ,холод
85,Hitze::N,вӗри,жар
86,Hitze::N,шӑрӑх,жар
87,Raureif::N,пас,іній
88,Regenbogen::N,асамат кӗперӗ,райдуга
89,Donner::N,аслати,грім
90,Strömung::N,юхӑ,струмина
91,Tropfen::N,тумлам,крапля
92,Schaum::N,кӑпӑк,піна
93,Schmutz::N,пылчӑк,бруд
94,See::N,кӳлӗ,озеро
95,Sumpf::N,шур,драговина
96,Sumpf::N,шурлӑх,драговина
97,Moor::N,торфлӑ шурлӑх,болото
98,Wiese::N,улӑх,луг
99,Wiese::N,улӑх,лука
100,Wiese::N,ҫаран,луг
101,Wiese::N,ҫаран,лука
102,Wald::N,вӑрман,ліс
103,Hügel::N,сӑрт,горб
104,Hügel::N,тӗмеске,горб
105,Anhöhe::N,сӑрт,височина
106,Berg::N,ту,гора
107,Gipfel::N,тӳпе,вершина
108,Höhle::N,ҫӗр хӑвӑлӗ,печера
109,Abhang::N,тӑвайкки,схил
110,Quelle::N,ҫӑл куҫ,джерело
111,Bach::N,пӗчӗк шыв,струмок
112,Fluss::N,юхан шыв,річка
113,Ufer::N,ҫыран,берег
114,Küste::N,тинӗс ҫыранӗ,узбережжя
115,Festland::N,тип ҫӗр,суша
116,Meer::N,тинӗс,море
117,Bucht::N,тинӗс кукӑрӗ,бухта
118,Bucht::N,тинӗс кукӑрӗ,затока
119,Insel::N,утрав,острів
120,Blume::N,чечек,квітка
121,Gras::N,курӑк,трава
122,Wurzel::N,тымар,корінь
123,Baum::N,йывӑҫ,дерево
124,Stamm::N,вулӑ,стовбур
125,Rinde::N,хуйӑр,кора
126,Ast::N,турат,гілка
127,Zweig::N,турат,галузь
128,Blatt::N,ҫулҫӑ,лист
129,Birke::N,хурӑн,береза
130,Kiefer[Baum]::N,хыр,сосна
131,Weide[Baum]::N,хӑва,верба
132,Tanne::N,чӑрӑш,ялиця
133,Horn::N,мӑйрака,ріг
134,Feder::N,тӗк,перо
135,Fell::N,ҫӑм,хутро
136,Flügel::N,ҫунат,крило
137,Klaue::N,чӗрне,кіготь
138,Kralle::N,ура,лапа
139,Schwanz::N,хӳре,хвіст
140,Ei::N,ҫӑмарта,яйце
141,Nest::N,йӑва,гніздо
142,Bau::N,йӗнӗ,лігво
143,Tier::N,выльӑх,тварина
144,Herde::N,кӗтӳ,стадо
145,Kuh::N,ӗне,корова
146,Bulle::N,вӑкӑр,бик
147,Bulle::N,вӑкӑр,бугай
148,Pferd::N,лаша,кінь
149,Schaf::N,сурӑх,вівця
150,Schwein::N,сысна,свиня
151,Hund::N,йытӑ,собака
152,Katze::N,кушак,кішка
153,Bär::N,упа,ведмідь
154,Eichhörnchen::N,пакша,білка
155,Elch::N,пӑши,лось
156,Fuchs::N,тилӗ,лисиця
157,Hase::N,куян,заєць
158,Hase::N,мулкач,заєць
159,Maus::N,шӑши,миша
160,Wolf::N,кашкӑр,вовк
161,Vogel::N,кайӑк,птах
162,Vogel::N,вӗҫен кайӑк,птах
163,Schwarm::N,ушкӑн,зграя
164,Huhn::N,чӑх,курка
165,Huhn::N,чӑхӑ,курка
166,Hahn::N,автан,півень
167,Gans::N,хур,гуска
168,Adler::N,ӑмӑрт кайӑк,орел
169,Ente::N,кӑвакал,качка
170,Eule::N,тӑмана,сова
171,Kranich::N,тӑрна,журавель
172,Krähe::N,ула курак,ворона
173,Kuckuck::N,куккук,зозуля
174,Schwan::N,акӑш,лебідь
175,Fisch::N,пулӑ,риба
176,Barsch::N,уланкӑ,окунь
177,Hecht::N,ҫӑрттан,щука
178,Schlange[Tier]::N,ҫӗлен,змія
179,Wurm::N,ӑман,черв’як
180,Spinne::N,эрешмен,павук
181,Ameise::N,кӑткӑ,мурашка
182,Laus::N,пыйтӑ,воша
183,Mücke::N,вӑрӑм туна,комар
184,Fliege::N,шӑна,муха
185,Schmetterling::N,лӗпӗш,метелик
186,Beere::N,ҫырла,ягода
187,Apfel::N,улма,яблуко
188,Apfel::N,пан улми,яблуко
189,Pilz::N,кӑмпа,гриб
190,Zwiebel::N,сухан,цибуля
191,Saat::N,вӑрӑ,сім’я
192,Korn::N,тӗшӗ,зерно
193,Korn::N,пӗрчӗ,зерно
194,Heu::N,утӑ,сіно
195,Schale::N,хупӑ,шкірка
196,Grube::N,шӑтӑк,яма
197,Falle::N,тапӑ,пастка
198,Falle::N,капкӑн,пастка
199,Schlinge::N,йӑлӑ,петля
200,Spur::N,йӗр,слід
201,Asche::N,кӗл,зола
202,Asche::N,кӗл,попіл
203,Dreck::N,пылчӑк,бруд
204,Eisen::N,тимӗр,залізо
205,Gold::N,ылтӑн,золото
206,Silber::N,кӗмӗл,срібло
207,Kohle::N,кӑмрӑк,вугілля
208,Glas::N,кӗленче,скло
209,Lehm::N,тӑм,глина
210,Sand::N,хӑйӑр,пісок
211,Mensch::N,ҫын,людина
212,Mensch::N,этем,людина
213,Mann::N,ар,чоловік
214,Frau::N,хӗрарӑм,жінка
215,Kind::N,ача,дитина
216,Junge::N,ача,хлопець
217,Junge::N,ар ҫын ача,хлопець
218,Mädchen::N,хӗр ача,дівчина
219,Familie::N,ҫемье,сім’я
220,Familie::N,ҫемье,родина
221,Familie::N,кил-йыш,сім’я
222,Familie::N,кил-йыш,родина
223,Großvater::N,кукаҫи,дідусь
224,Großmutter::N,кукамай,бабуся
225,Eltern::N,аҫа-ама,батьки
226,Vater::N,атте,батько
227,Mutter::N,анне,мати
228,Sohn::N,ывӑл,син
229,Tochter::N,хӗр,дочка
230,Bruder::N,ар тӑван,брат
231,Schwester::N,аппа,сестра
232,Schwester::N,йӑмӑк,сестра
233,Onkel::N,мучи,дядько
234,Onkel::N,пичче,дядько
235,Tante::N,аппа,тітка
236,Ehemann::N,упӑшка,чоловік
237,Ehefrau::N,арӑм,жінка
238,Ehefrau::N,арӑм,дружина
239,Freude::N,савӑнӑҫ,радощі
240,Freude::N,хаваслӑх,радощі
241,Gelächter::N,кулӑ,сміх
242,Glück::N,телей,щастя
243,Glück::N,ӑраскал,щастя
244,Kummer::N,хурлӑх,горе
245,Wunsch::N,ӗмӗт,бажання
246,Wunsch::N,кӑмӑл,бажання
247,Lust::N,кӑмӑл,бажання
248,Geist::N,чун-чӗм,дух
249,Geist::N,ыр-усал,дух
250,Geist::N,чун хавалӗ,дух
251,Gedanke::N,шухӑш,думка
252,Gedächtnis::N,ас,пам’ять
253,Verstand::N,ӑс,розум
254,Verstand::N,ӑс-тӑн,розум
