,Concept_ID,ca,zh
0,Auge::N,ull,眼睛
1,Ohr::N,orella,耳朵
2,Nase::N,nas,鼻子
3,Mund::N,boca,嘴
4,Zahn::N,dent,牙齿
5,Zunge::N,llēngua,舌头
6,Lippe::N,llavi,嘴唇
7,Wange::N,galta,面颊
8,Gesicht::N,cara,脸
9,Stirn::N,front,额
10,Haar::N,cabēll,头发
11,Schnurrbart::N,bigoti,髭须
12,Bart::N,barba,胡子
13,Kinn::N,mentó,下巴
14,Kinn::N,barbeta,下巴
15,Kiefer[Anatomie]::N,queix,颌
16,Kiefer[Anatomie]::N,mandíbula,颌
17,Kehle::N,gola,嗓子
18,Kehle::N,gorja,嗓子
19,Hals::N,coll,颈
20,Genick::N,nuca,后颈
21,Kopf::N,cap,头
22,Rücken::N,esquena,背
23,Bauch::N,panxa,肚子
24,Nabel::N,llombrígol,肚脐
25,Busen::N,pit,胸脯
26,Busen::N,mama,胸脯
27,Brust::N,pit,胸
28,Schulter::N,espatlla,肩膀
29,Arm::N,braç,臂膀
30,Ellenbogen::N,colze,肘
31,Hand::N,mà,手
32,Handfläche::N,palma,手掌
33,Finger::N,dit,手指
34,Fingernagel::N,ungla,指甲
35,Nagel[Anatomie]::N,ungla,指甲
36,Zeh::N,dit del peu,脚趾
37,Fuß::N,peu,脚
38,Ferse::N,taló,后跟
39,Knie::N,genoll,膝
40,Oberschenkel::N,cuixa,大腿
41,Bein::N,cama,腿
42,Körper::N,cos,身体
43,Haut::N,pell,皮肤
44,Blut::N,sang,血
45,Ader::N,vena,血管
46,Sehne::N,tendó,腱
47,Knochen::N,os,骨
48,Gehirn::N,cervell,脑
49,Herz::N,cor,心
50,Magen::N,estómac,胃
51,Leber::N,fetge,肝
52,Atem::N,alè,呼吸
53,Atem::N,hàlit,呼吸
54,Hunger::N,fam,饿
55,Hunger::N,gana,饿
56,Träne::N,llàgrima,眼泪
57,Geschmack::N,gust,味道
58,Geschmack::N,sabor,味道
59,Geruch::N,olor,气味
60,Schlaf::N,son,睡眠
61,Traum::N,somni,梦
62,Himmel::N,celm,天空
63,Sonne::N,sol,太阳
64,Mond::N,lluna,月亮
65,Stern::N,estel,星
66,Stern::N,estrella,星
67,Luft::N,aire,空气
68,Wind::N,vent,风
69,Welle::N,ona,波
70,Wasser::N,āigua,水
71,Stein::N,pedra,石头
72,Boden::N,sòl,地面
73,Erde::N,terra,地
74,Staub::N,pols,灰尘
75,Rauch::N,fum,烟
76,Funke::N,guspira,火花
77,Funke::N,centella,火花
78,Feuer::N,foc,火
79,Licht::N,llum,光
80,Schatten::N,ombra,影子
81,Wetter::N,temps,天气
82,Nebel::N,boira,雾
83,Wolke::N,núvol,云
84,Regen::N,pluja,雨
85,Schnee::N,neu,雪
86,Eis::N,gel,冰
87,Eis::N,glaç,冰
88,Frost::N,glaçada,霜冻
89,Kälte::N,fred,寒冷
90,Hitze::N,calor,炎热
91,Raureif::N,gebre,霜
92,Regenbogen::N,arc iris,虹
93,Donner::N,tro,雷
94,Strömung::N,corrent,水流
95,Tropfen::N,gota,滴
96,Schaum::N,escuma,泡沫
97,Schmutz::N,brutícia,赃物
98,See::N,llac,湖
99,Sumpf::N,pantà,沼泽
100,Moor::N,pantà,沼泽
101,Wiese::N,prat,草地
102,Wiese::N,prada,草地
103,Wald::N,bosc,森林
104,Hügel::N,puig,丘陵
105,Hügel::N,pujol,丘陵
106,Anhöhe::N,turó,山丘
107,Berg::N,muntanya,山
108,Gipfel::N,cim,峰
109,Höhle::N,cova,洞穴
110,Abhang::N,coster,斜坡
111,Quelle::N,font,泉
112,Bach::N,riera,溪
113,Fluss::N,riu,河流
114,Ufer::N,riba,岸
115,Küste::N,costa,海岸
116,Festland::N,terra ferma,大陆
117,Meer::N,mar,海
118,Bucht::N,cala,海湾
119,Bucht::N,badia,海湾
120,Insel::N,illa,岛
121,Blume::N,flor,花
122,Gras::N,herba,草
123,Wurzel::N,rel,根
124,Wurzel::N,arrel,根
125,Baum::N,arbre,树
126,Stamm::N,tronc,树干
127,Rinde::N,escorça,树皮
128,Ast::N,branca,树枝
129,Zweig::N,ram,树枝
130,Blatt::N,fulla,叶子
131,Birke::N,bedoll,桦木
132,Kiefer[Baum]::N,pi,松树
133,Weide[Baum]::N,salze,柳树
134,Tanne::N,avet,冷杉
135,Horn::N,corn,角
136,Horn::N,banya,角
137,Feder::N,ploma,羽毛
138,Fell::N,pell,皮毛
139,Flügel::N,ala,翅膀
140,Klaue::N,urpa,爪子
141,Kralle::N,grapa,爪子
142,Schwanz::N,cua,尾巴
143,Ei::N,ou,蛋
144,Nest::N,niu,巢
145,Bau::N,cau,穴
146,Tier::N,animāl,动物
147,Herde::N,ramat,群
148,Kuh::N,vaca,母牛
149,Bulle::N,toro,公牛
150,Pferd::N,cavāll,马
151,Schaf::N,be,羊
152,Schaf::N,ovella,羊
153,Schwein::N,bacó,猪
154,Hund::N,ca,狗
155,Hund::N,gos,狗
156,Katze::N,gat,猫
157,Bär::N,ós,熊
158,Eichhörnchen::N,esquirol,松鼠
159,Elch::N,ant,麋鹿
160,Fuchs::N,guilla,狐狸
161,Hase::N,llebre,兔子
162,Maus::N,ratolí,老鼠
163,Wolf::N,llop,狼
164,Vogel::N,au,鸟
165,Vogel::N,ocēll,鸟
166,Schwarm::N,bandada,群
167,Huhn::N,gallina,鸡
168,Hahn::N,gall,公鸡
169,Gans::N,oca,鹅
170,Adler::N,àguila,鹰
171,Ente::N,ànec,鸭
172,Eule::N,òliba,猫头鹰
173,Eule::N,mussol,猫头鹰
174,Kranich::N,grua,鹤
175,Krähe::N,cornella,乌鸦
176,Kuckuck::N,cucut,布谷鸟
177,Schwan::N,cigne,天鹅
178,Fisch::N,peix,鱼
179,Barsch::N,perca,鲈鱼
180,Hecht::N,lluç,狗鱼
181,Schlange[Tier]::N,serp,蛇
182,Wurm::N,cuc,蠕虫
183,Spinne::N,aranya,蜘蛛
184,Ameise::N,formiga,蚂蚁
185,Laus::N,poll,虱子
186,Mücke::N,mosquit,蚊子
187,Fliege::N,mosca,苍蝇
188,Schmetterling::N,papallona,蝴蝶
189,Beere::N,baia,将果
190,Apfel::N,poma,苹果
191,Pilz::N,bolet,蘑菇
192,Zwiebel::N,ceba,洋葱
193,Saat::N,sembra,种子
194,Korn::N,gra,谷粒
195,Heu::N,fenc,干草
196,Schale::N,closca,壳
197,Grube::N,sot,坑
198,Grube::N,clot,坑
199,Falle::N,trampa,圈套
200,Schlinge::N,baga,活扣
201,Spur::N,traça,踪迹
202,Asche::N,cendra,灰烬
203,Dreck::N,llot,污垢
204,Eisen::N,ferro,铁
205,Gold::N,or,金子
206,Silber::N,plata,银
207,Kohle::N,carbó,煤
208,Glas::N,vidre,玻璃
209,Lehm::N,fang,粘土
210,Lehm::N,argila,粘土
211,Sand::N,arena,沙
212,Mensch::N,humà,人
213,Mensch::N,persona,人
214,Mann::N,home,男子
215,Frau::N,dona,妇女
216,Kind::N,nen,小孩
217,Junge::N,noi,男孩
218,Mädchen::N,noia,女孩
219,Familie::N,família,家庭
220,Großvater::N,avi,祖父
221,Großmutter::N,àvia,祖母
222,Eltern::N,pares,父母
223,Vater::N,pare,父亲
224,Mutter::N,mare,母亲
225,Sohn::N,fill,儿子
226,Tochter::N,filla,女儿
227,Bruder::N,germà,兄弟
228,Schwester::N,germana,姐妹
229,Onkel::N,oncle,伯父
230,Tante::N,tia,阿姨
231,Ehemann::N,espòs,丈夫
232,Ehefrau::N,muller,妻子
233,Freude::N,goig,愉快
234,Freude::N,alegria,愉快
235,Gelächter::N,riallada,大笑
236,Glück::N,felicitat,运气
237,Kummer::N,pena,苦恼
238,Wunsch::N,desig,愿望
239,Lust::N,ganes,乐趣
240,Geist::N,ment,精神
241,Geist::N,esperit,精神
242,Gedanke::N,pensament,思想
243,Gedächtnis::N,memòria,记性
244,Verstand::N,raó,理智
245,Verstand::N,seny,理智
246,Sinn::N,solta,感觉
247,Sinn::N,sentit,感觉
248,Grund::N,raó,理由
249,Grund::N,causa,理由
250,Wahrheit::N,veritāt,真理
251,Gespräch::N,conversa,谈话
252,Märchen::N,conte,童话
253,Erzählung::N,narració,故事
254,Nachricht::N,missatge,消息
255,Neuigkeit::N,novetat,新闻
256,Name::N,nom,名字
257,Rätsel::N,endevinalla,谜语
258,Rede::N,discurs,讲话
259,Sprache::N,llēngua,语言
260,Stimme::N,veu,声音
261,Wort::N,mot,词
262,Wort::N,paraula,词
263,Zeichen::N,signe,标记
264,Zeichen::N,senyal,标记
265,Ruf::N,crida,呼喊
266,Lärm::N,sorōll,噪音
267,Laut::N,so,响声
268,Ton::N,to,声音
269,Lied::N,cançó,歌曲
270,Ruhe::N,calma,安静
271,Ruhe::N,silenci,安静
272,Leute::N,gent,人们
273,Volk::N,poble,人民
274,Arbeit::N,labor,劳动
275,Arbeit::N,treball,劳动
276,Gast::N,hoste,客人
277,Geschenk::N,regal,礼物
278,Geschenk::N,obsequi,礼物
279,Spiel::N,joc,游戏
280,Gesellschaft::N,companyia,陪同
281,Hilfe::N,ajut,帮助
282,Freund::N,amīc,朋友
283,Kamerad::N,company,同志
284,Kamerad::N,camarada,同志
285,Angelegenheit::N,afer,事情
286,Angelegenheit::N,assumpte,事情
287,Anzahl::N,nombre,数目
288,Anzahl::N,quantitat,数目
289,Art::N,tipus,种类
290,Art::N,classe,种类
291,Stück::N,peça,块
292,Teil::N,part,部分
293,Hälfte::N,meitat,一半
294,Kreis::N,cercle,圆
295,Kreuz::N,creu,十字架
296,Linie::N,línia,线条
297,Strich::N,traç,划
298,Strich::N,ratlla,划
299,Abstand::N,distància,距离
300,Entfernung::N,distància,距离
301,Gegend::N,regió,地区
302,Gegend::N,contrada,地区
303,Platz::N,cabuda,场所
304,Ort::N,lloc,地点
305,Seite::N,banda,面
306,Seite::N,costāt,面
307,Mitte::N,mig,中间
308,Mitte::N,centre,中间
309,Gegenstand::N,objecte,物品
310,Sache::N,cosa,物
311,Rand::N,vora,边
312,Rand::N,marge,边
313,Kante::N,caire,棱
314,Kante::N,cantell,棱
315,Ecke::N,cantonada,角
316,Spitze::N,punta,尖
317,Ende::N,cap,结尾
318,Loch::N,forāt,洞
319,Winkel::N,racó,角度
320,Muster::N,dibuix,模型
321,Muster::N,disseny,模型
322,Größe::N,grandària,大小
323,Länge::N,longitud,长度
324,Höhe::N,altura,高度
325,Höhe::N,altitud,高度
326,Gewicht::N,pes,重量
327,Menge::N,quantitat,数量
328,Haufen::N,pila,堆
329,Reihe::N,fila,行
330,Boot::N,bot,小船
331,Boot::N,barca,小船
332,Ruder::N,rem,奖
333,Schlitten::N,trineu,雪橇
334,Ski::N,esquí,雪板
335,Lagerfeuer::N,foc de campament,营火
336,Last::N,càrrega,负担
337,Gang::N,marxa,行走
338,Schritt::N,pas,步伐
339,Norden::N,nord,北
340,Süden::N,sud,南
341,Westen::N,oest,西
342,Westen::N,occident,西
343,Osten::N,est,东
344,Osten::N,orient,东
345,Holz::N,fusta,木材
346,Brett::N,taula,木板
347,Platte::N,placa,平板
348,Stütze::N,suport,支架
349,Stange::N,vara,杆
350,Stock::N,pal,棒
351,Stab::N,bastó,棍
352,Rohr::N,tub,管子
353,Haus::N,casa,房屋
354,Heim::N,llar,家
355,Ofen::N,estufa,炉子
356,Fußboden::N,terra,地板
357,Tisch::N,taula,桌子
358,Stuhl::N,cadira,椅子
359,Wiege::N,bressol,摇蓝
360,Bett::N,llit,床
361,Regal::N,prestatgeria,架子
362,Kiste::N,caixa,箱子
363,Fenster::N,finestra,窗户
364,Tür::N,porta,门
365,Tor::N,portal,大门
366,Zaun::N,tanca,篱笆
367,Dach::N,teulada,屋顶
368,Leiter::N,escala,梯子
369,Leiter::N,escala de mà,梯子
370,Besen::N,escombra,扫帚
371,Spaten::N,pala,铁锹
372,Schaufel::N,pala,铁锹
373,Gabel::N,forquilla,叉
374,Löffel::N,cullera,食匙
375,Messer::N,coltell,刀
376,Nagel::N,clau,钉子
377,Netz::N,filat,网
378,Haken::N,ganxo,钩子
379,Griff::N,puny,把柄
380,Griff::N,mànec,把柄
381,Schloss::N,pany,锁
382,Bild::N,imatge,图画
383,Figur::N,figura,人像
384,Puppe::N,nina,娃娃
385,Beutel::N,bossa,袋子
386,Bündel::N,feix,捆
387,Bündel::N,paquet,捆
388,Tasche::N,bossa,手提包
389,Eimer::N,galleda,桶
390,Deckel::N,tapa,盖子
391,Deckel::N,tapadora,盖子
392,Geschirr::N,vaixella,餐具
393,Sack::N,sac,袋子
394,Sack::N,saca,袋子
395,Tasse::N,tassa,杯子
396,Topf::N,pot,锅
397,Topf::N,olla,锅
398,Kessel::N,caldera,水壶
399,Essen::N,àpat,进餐
400,Essen::N,menjada,进餐
401,Nahrung::N,aliment,食物
402,Speise::N,plat,菜肴
403,Fleisch::N,carn,肉
404,Getreide::N,cereals,谷物
405,Brei::N,puré,粥
406,Brot::N,pa,面包
407,Scheibe::N,tall,片
408,Scheibe::N,llesca,片
409,Fett::N,greix,脂肪
410,Butter::N,mantega,黄油
411,Öl::N,oli,油
412,Salz::N,sal,盐
413,Suppe::N,sopa,汤
414,Honig::N,mel,蜂蜜
415,Milch::N,llet,奶
416,Tee::N,te,茶
417,Leder::N,cuir,皮革
418,Wolle::N,llana,毛线
419,Stoff::N,tela,织物
420,Nadel::N,agulla,针
421,Faden::N,fil,线
422,Knopf::N,botó,纽扣
423,Knoten::N,nus,结
424,Farbe::N,pintura,颜色
425,Kleidung::N,roba,衣服
426,Kleidung::N,vestits,衣服
427,Hemd::N,camisa,衬衫
428,Kragen::N,coll,领子
429,Ärmel::N,màniga,袖子
430,Hose::N,pantalōns,裤子
431,Gürtel::N,cinturó,腰带
432,Mütze::N,gorra,帽子
433,Schuh::N,sabata,鞋
434,Stiefel::N,bota,靴子
435,Ring::N,anell,戒指
436,Band::N,veta,带子
437,Band::N,cinta,带子
438,Kamm::N,pinta,梳子
439,Spiegel::N,mirāll,镜子
440,Riemen::N,corretja,皮带
441,Schnur::N,corda,绳子
442,Leine::N,corretja,皮带
443,Decke::N,manta,被子
444,Decke::N,flassada,被子
445,Kissen::N,coixí,软垫
446,Tuch::N,mocador,巾
447,Handtuch::N,tovallola,手巾
448,Kraft::N,força,力
449,Stärke::N,vigor,力量
450,Gesundheit::N,salut,健康
451,Krankheit::N,malaltia,病
452,Schmerz::N,dolor,痛
453,Wunde::N,ferida,伤口
454,Fieber::N,febre,发烧
455,Arznei::N,medicament,药
456,Brücke::N,pont,桥
457,Brunnen::N,pou,井
458,Weide::N,pastura,牧场
459,Pfad::N,senda,小路
460,Pfad::N,sender,小路
461,Weg::N,camí,路
462,Straße::N,carretera,街
463,Dorf::N,poble,村庄
464,Stadt::N,ciutāt,城市
465,Brief::N,carta,信
466,Buch::N,llibre,书
467,Buchstabe::N,lletra,字母
468,Zeitung::N,diāri,报纸
469,Leben::N,vida,生命
470,Tod::N,mort,死亡
471,Grab::N,tomba,坟墓
472,Kirche::N,església,教堂
473,Sünde::N,pecat,罪
474,Gott::N,déu,上帝
475,Arbeiter::N,obrer,工人
476,Chef::N,cap,上司
477,Meister::N,mestre,师傅
478,Arzt::N,metge,医生
479,Lehrer::N,mestre,教师
480,Geld::N,dinērs,钱
481,Geschäft::N,negoci,交易
482,Laden::N,tenda,商店
483,Laden::N,botiga,商店
484,Preis::N,preu,价格
485,Ware::N,mercaderia,商品
486,Nutzen::N,profit,好处
487,Reichtum::N,riquesa,财富
488,Welt::N,món,世界
489,Land::N,país,国家
490,Staat::N,estat,国家
491,König::N,rei,国王
492,Macht::N,poder,权力
493,Macht::N,potència,权力
494,Grenze::N,frontera,边界
495,Krieg::N,guerra,战争
496,Feind::N,enemic,敌人
497,Gewalt::N,violència,暴力
498,Kampf::N,lluita,战斗
499,Bogen[Waffe]::N,arc,弓
500,Pfeil::N,fletxa,箭
501,Gewehr::N,fusell,枪
502,Gewehr::N,escopeta,枪
503,Fehler::N,falta,错误
504,Lüge::N,mentida,谎话
505,Schaden::N,dany,损失
506,Unglück::N,desgràcia,不幸
507,Schuld::N,culpa,过错
508,Alter::N,edat,年龄
509,Schluss::N,fi,结束
510,Schluss::N,final,结束
511,Zeit::N,temps,时间
512,Tag::N,dia,天
513,Morgen::N,matí,早晨
514,Mittag::N,migdia,中午
515,Abend::N,vespre,晚上
516,Nacht::N,nit,夜
517,Woche::N,setmana,星期
518,Monat::N,mes,月
519,Jahr::N,any,年
520,Frühling::N,primavera,春天
521,Sommer::N,estīu,夏天
522,Herbst::N,tardor,秋天
523,Winter::N,hivērn,冬天
524,Januar::N,gener,一月
525,Februar::N,febrer,二月
526,März::N,març,三月
527,April::N,abril,四月
528,Mai::N,maig,五月
529,Juni::N,juny,六月
530,Juli::N,juliol,七月
531,August::N,agost,八月
532,September::N,setembre,九月
533,Oktober::N,octubre,十月
534,November::N,novembre,十一月
535,Dezember::N,desembre,十二月
536,Montag::N,dilluns,星期一
537,Dienstag::N,dimarts,星期二
538,Mittwoch::N,dimecres,星期三
539,Donnerstag::N,dijous,星期四
540,Freitag::N,divendres,星期五
541,Samstag::N,dissabte,星期六
542,Sonntag::N,diumenge,星期日
543,groß::A,gros,大
544,klein::A,petīt,小
545,lang::A,llarg,长
546,kurz::A,curt,短
547,breit::A,ample,宽
548,schmal::A,estret,细长的
549,dicht::A,dens,密
550,dick[Gegenstand]::A,gruixūt,厚
551,dünn::A,prim,薄
552,fein::A,fi,细小
553,fest::A,ferm,固体
554,fest::A,sòlid,固体
555,flach::A,pla,平坦
556,glatt::A,llis,光滑
557,hart::A,dur,硬
558,weich::A,tou,软
559,rund::A,rodó,圆
560,spitz::A,punxegut,尖
561,scharf::A,agut,锋利
562,stumpf::A,rom,钝
563,stumpf::A,esmussat,钝
564,schwer::A,pesāt,重
565,schön::A,bonīc,美丽
566,heiß::A,calēnt,烫
567,warm::A,càlid,暖和
568,kalt::A,fred,冷
569,kühl::A,fresc,凉
570,frisch::A,fresc,新鲜
571,feucht::A,humit,潮湿
572,nass::A,mullat,湿
573,trocken::A,sec,干
574,voll::A,ple,满
575,leer::A,buit,空
576,offen::A,obert,敞开
577,geschlossen::A,tancat,关闭
578,sauber::A,net,干净
579,schmutzig::A,brut,肮脏
580,roh::A,cru,生
581,reif::A,madur,成熟
582,lecker::A,deliciós,好吃
583,süß::A,dolç,甜
584,bitter::A,amarg,苦
585,sauer::A,agre,酸
586,hell::A,clar,亮
587,dunkel::A,fosc,阴暗
588,schwarz::A,negre,黑
589,weiß::A,blanc,白
590,rot::A,vermēll,红
591,gelb::A,groc,黄
592,blau::A,blau,蓝
593,grün::A,verd,绿
594,grau::A,gris,灰色
595,bunt::A,multicolor,五彩
596,billig::A,barat,便宜
597,teuer::A,car,贵
598,wertvoll::A,preciós,贵重
599,blind::A,cec,瞎
600,taub::A,sord,聋
601,kräftig::A,fort,强壮
602,kräftig::A,vigorós,强壮
603,stark::A,fort,强壮
604,schwach::A,feble,弱
605,fett::A,gras,胖
606,schlank::A,esvelt,苗条
607,hübsch::A,maco,漂亮
608,böse::A,dolent,邪恶
609,dumm::A,ximple,笨
610,dumm::A,estúpid,笨
611,faul::A,gandūl,懒惰
612,faul::A,mandrós,懒惰
613,fleißig::A,diligēnt,勤奋
614,geizig::A,avar,吝啬
615,klug::A,intel·ligent,聪明
616,geschickt::A,hàbil,灵巧
617,lieb::A,amat,可爱
618,lieb::A,estimat,可爱
619,lustig::A,alegre,快乐
620,sanft::A,suau,柔和
621,hungrig::A,afamat,饥饿
622,krank::A,malālt,患病
623,nackt::A,nu,裸体
624,traurig::A,trist,悲哀
625,lebendig::A,viu,活
626,gut::A,bo,好
627,schlecht::A,dolēnt,坏
628,richtig::A,just,正确
629,richtig::A,correcte,正确
630,schlimm::A,greu,糟糕
631,wahr::A,vertader,真
632,wahr::A,veritable,真
633,alt::A,vell,旧
634,neu::A,nou,新
635,ehemalig::A,antic,以前
636,alt[Lebewesen]::A,vell,老
637,jung::A,jove,年轻
638,arm::A,pobre,贫穷
639,reich::A,ric,富裕
640,bekannt::A,conegut,出名
641,berühmt::A,famós,著名
642,fremd::A,estrany,陌生
643,verschieden::A,diferent,不同
644,nah::A,pròxim,近
645,fern::A,llunyà,遥远
646,fern::A,distant,遥远
647,linker::A,esquerre,左
648,rechter::A,dret,右
649,anderer::A,altre,别的
650,erster::A,primer,第一
651,zweiter::A,segon,第二
652,dritter::A,tercer,第三
653,letzter::A,últim,最后
654,allein::ADV,sol,单独
655,auf einmal::ADV,d'una vegada,同时
656,zusammen::ADV,junt,一起
657,lange::ADV,molt de temps,许久
658,plötzlich::ADV,de cop,忽然
659,plötzlich::ADV,de sobte,忽然
660,sofort::ADV,de seguida,立刻
661,später::ADV,més tard,以后
662,jetzt::ADV,ara,现在
663,heute::ADV,avūi,今天
664,morgen::ADV,demà,明天
665,bald::ADV,aviāt,即将
666,dann::ADV,després,然后
667,gestern::ADV,ahir,昨天
668,einst::ADV,anteriorment,曾经
669,damals::ADV,llavōrs,当时
670,damals::ADV,aleshores,当时
671,danach::ADV,després,随后
672,vorher::ADV,abāns,事先
673,zuerst::ADV,primer,首先
674,einmal::ADV,una vegada,一次
675,manchmal::ADV,de vegades,有时
676,oft::ADV,sovint,时常
677,immer::ADV,sempre,总是
678,niemals::ADV,no ... mai,从未
679,hier::ADV,aquí,这里
680,hierhin::ADV,per aquí,到这里
681,von hier::ADV,des d'aquí,由此
682,dort::ADV,allí,那里
683,dorthin::ADV,hi,到那里
684,geradeaus::ADV,tot dret,一直往前
685,vorwärts::ADV,endavānt,向前
686,rückwärts::ADV,endarrera,向后
687,zurück::ADV,darrere,退后
688,unten::ADV,a baix,下面
689,hinab::ADV,cap avall,向下
690,oben::ADV,dalt,上面
691,hinauf::ADV,cap amunt,向上
692,überall::ADV,pertot,到处
693,überall::ADV,per tot arreu,到处
694,nicht::ADV,no,不
695,ein wenig::ADV,una mica,一点儿
696,kaum::ADV,a penes,几乎不
697,sehr::ADV,molt,很
698,so::ADV,així,如此
699,noch::ADV,encara,还
700,nur::ADV,només,只
701,schon::ADV,ja,已经
702,wieder::ADV,de nou,又
703,vergebens::ADV,en va,
704,vor::PRP,davānt,在...面前
705,vor::PRP,enfront de,在...面前
706,hinter::PRP,darrera,在...背后
707,unter::PRP,sota,在...下面
708,durch::PRP,per,穿过
709,neben::PRP,al costāt de,在...旁
710,zwischen::PRP,entre,在...之间
711,wegen::PRP,a causa de,由于
712,dies::PRN,aquest,这
713,das::PRN,això,那
714,alles::PRN,tot,一切
715,ich::PRN,jo,我
716,du::PRN,tu,你
717,er::PRN,ell,他
718,wir::PRN,nosaltres,我们
719,ihr::PRN,vosaltres,你们
720,sie::PRN,ells,她
721,sie::PRN,elles,她
722,was::FPRN,què,什么
723,wer::FPRN,qui,谁
724,wo::FADV,on,哪里
725,wohin::FADV,cap a on,去哪里
726,wie::FADV,com,怎么
727,warum::FADV,per què,为什么
728,wieviel::FNUM,quant,多少
729,eins::NUM,u,一
730,zwei::NUM,dos,二
731,drei::NUM,tres,三
732,vier::NUM,quatre,四
733,fünf::NUM,cinc,五
734,sechs::NUM,sis,六
735,sieben::NUM,set,七
736,acht::NUM,vuit,八
737,neun::NUM,nou,九
738,zehn::NUM,deu,十
739,elf::NUM,onze,十一
740,zwölf::NUM,dotze,十二
741,zwanzig::NUM,vint,二十
742,dreißig::NUM,trenta,三十
743,vierzig::NUM,quaranta,四十
744,fünfzig::NUM,cinquanta,五十
745,sechzig::NUM,seixanta,六十
746,siebzig::NUM,setanta,七十
747,achtzig::NUM,vuitanta,八十
748,neunzig::NUM,noranta,九十
749,hundert::NUM,cent,百
750,tausend::NUM,mil,千
751,und::CNJ,i,和
752,oder::CNJ,o,或者
753,stehen::V,estar de peu,站
754,sitzen::V,seure,坐
755,liegen::V,jeure,躺着
756,hängen::V,penjar,挂着
757,werden::V,fer-se,成为
758,werden::V,posar-se,成为
759,passieren::V,succeir,发生
760,beginnen::V,iniciar-se,开始
761,enden::V,acabar-se,终止
762,enden::V,terminar-se,终止
763,wechseln::V,canviar,变迁
764,aufgehen[Sonne]::V,sortir,升起
765,untergehen[Sonne]::V,posar-se,下落
766,scheinen[Sonne]::V,brillar,照射
767,donnern::V,tronar,打雷
768,wehen::V,bufar,飘扬
769,strömen::V,afluir,流
770,fließen::V,fluir,流动
771,sich drehen::V,girar,转动
772,schwanken::V,vacil·lar,摇摆
773,schwingen::V,oscil·lar,摇
774,fallen::V,caure,坠落
775,fallen::V,tombar,坠落
776,brennen::V,cremar,燃烧
777,rauchen::V,fumejar,冒烟
778,regnen::V,ploure,下雨
779,gefrieren::V,gelar-se,结冰
780,tauen::V,fondre's,融化
781,schmelzen::V,fondre's,溶化
782,trocknen::V,assecar-se,变干
783,sieden::V,bullir,煮
784,faulen::V,podrir-se,腐烂
785,verfaulen::V,podrir-se,腐烂
786,reißen::V,trencar-se,撕
787,versinken::V,enfonsar-se,下沉
788,vergehen::V,passar,流逝
789,erscheinen::V,aparèixer,出现
790,verschwinden::V,desaparèixer,消失
791,sinken::V,baixar,下降
792,sinken::V,descendir,下降
793,abnehmen::V,decréixer,减少
794,zunehmen::V,augmentar,增加
795,steigen::V,pujar,上升
796,wachsen::V,créixer,生长
797,glänzen::V,brillar,发光
798,glänzen::V,resplendir,发光
799,funkeln::V,espurnejar,闪烁
800,lärmen::V,fer soroll,吵闹
801,läuten::V,sonar,响
802,klingeln::V,trucar,按铃
803,klirren::V,dringar,
804,brausen::V,rugir,疾驶
805,rauschen::V,murmurar,
806,klingen::V,sonar,听起来
807,bellen::V,lladrar,吠
808,heulen::V,udolar,嗥
809,blasen::V,bufar,吹
810,pfeifen::V,xiular,吹口哨
811,schreien::V,cridar,叫喊
812,stöhnen::V,gemegar,呻吟
813,zittern::V,tremolar,颤抖
814,leben::V,vīure,生存
815,geboren werden::V,néixer,出生
816,atmen::V,respirar,呼吸
817,trinken::V,beure,喝
818,essen::V,menjar,吃
819,schlucken::V,empassar-se,咽
820,müde werden::V,cansar-se,疲倦
821,einschlafen::V,adormir-se,入睡
822,schlafen::V,dormir,睡觉
823,aufwachen::V,despertar-se,睡醒
824,aufstehen::V,llevar-se,起床
825,sich erholen::V,descansar,休养
826,krank werden::V,posar-se malalt,生病
827,krank sein::V,estar malalt,生病
828,schmerzen::V,doldre,疼痛
829,husten::V,tossir,咳
830,genesen::V,recuperar-se,痊愈
