,Concept_ID,he,ku
0,Auge::N,עין,çav
1,Ohr::N,אזן,guh
2,Nase::N,אף,bêvil
3,Nase::N,חטם,bêvil
4,Mund::N,פה,dev
5,Zahn::N,שן,didan
6,Zunge::N,לשון,ziman
7,Lippe::N,שפה,lêv
8,Wange::N,לחי,dêm
9,Wange::N,לחי,hinarik
10,Gesicht::N,פנים,rû
11,Stirn::N,מצח,enî
12,Haar::N,שערה,por
13,Schnurrbart::N,שפם,simbêl
14,Bart::N,זקן,rih
15,Kinn::N,סנטר,zenî
16,Kiefer[Anatomie]::N,לסת,arguşk
17,Kehle::N,גרון,qirik
18,Hals::N,צואר,stû
19,Hals::N,צואר,qirik
20,Genick::N,ערף,stû
21,Kopf::N,ראש,serî
22,Rücken::N,גב,pişt
23,Bauch::N,בטן,ûr
24,Bauch::N,בטן,zik
25,Nabel::N,טבור,navik
26,Busen::N,שד,sîng
27,Brust::N,חזה,sîng
28,Schulter::N,כתף,mil
29,Arm::N,זרוע,çepil
30,Ellenbogen::N,מרפק,enîşk
31,Hand::N,יד,dest
32,Handfläche::N,כף יד,kefadest
33,Finger::N,אצבע,tilî
34,Fingernagel::N,צפרן,neynuk
35,Nagel[Anatomie]::N,צפרן,bizmar
36,Zeh::N,אצבע,tilî linga
37,Fuß::N,רגל,ling
38,Ferse::N,עקב,pahnî
39,Knie::N,ברך,kabok
40,Oberschenkel::N,ירך,rahn
41,Bein::N,רגל,çip
42,Körper::N,גוף,laş
43,Körper::N,גוף,gowde
44,Haut::N,עור,çerm
45,Blut::N,דם,xwîn
46,Ader::N,וריד,reh
47,Sehne::N,גיד,reh
48,Knochen::N,עצם,hestî
49,Gehirn::N,מוח,mêjî
50,Herz::N,לב,dil
51,Magen::N,קבה,navêş
52,Leber::N,כבד,kezeb
53,Atem::N,נשימה,hilm
54,Hunger::N,רעב,birçîtî
55,Träne::N,דמעה,hêstir
56,Geschmack::N,טעם,tam
57,Geruch::N,ריח,bêhn
58,Schlaf::N,שנה,xew
59,Traum::N,חלום,xewn
60,Himmel::N,שמים,ezman
61,Sonne::N,שמש,roj
62,Mond::N,ירח,heyv
63,Stern::N,כוכב,stêrk
64,Luft::N,אויר,ba
65,Wind::N,רוח,ba
66,Welle::N,גל,şewl
67,Wasser::N,מים,av
68,Stein::N,אבן,kevir
69,Boden::N,קרקע,herd
70,Erde::N,אדמה,ax
71,Staub::N,אבק,toz
72,Rauch::N,עשן,dû
73,Funke::N,ניצוץ,çirûşk
74,Feuer::N,אש,agir
75,Licht::N,אור,ronahî
76,Schatten::N,צל,sî
77,Wetter::N,מזג אויר,hewa
78,Nebel::N,ערפל,mij
79,Wolke::N,ענן,ewr
80,Regen::N,גשם,baran
81,Schnee::N,שלג,berf
82,Eis::N,קרח,qeşa
