,Concept_ID,az,es
0,Auge::N,göz,ojo
1,Ohr::N,qulaq,oreja
2,Nase::N,burun,nariz
3,Mund::N,ağız,boca
4,Zahn::N,diş,diente
5,Zunge::N,dil,lengua
6,Lippe::N,dodaq,labio
7,Wange::N,yanaq,mejilla
8,Gesicht::N,üz,cara
9,Stirn::N,alın,frente
10,Haar::N,saç,cabello
11,Schnurrbart::N,bığ,bigote
12,Bart::N,saqqal,barba
13,Kinn::N,çənə,barbilla
14,Kiefer[Anatomie]::N,çənə,mandíbula
15,Kehle::N,boğaz,garganta
16,Hals::N,boyun,cuello
17,Genick::N,ənsə,nuca
18,Genick::N,ənsə,cerviz
19,Kopf::N,baş,cabeza
20,Rücken::N,bel,espalda
21,Bauch::N,qarın,vientre
22,Nabel::N,göbək,ombligo
23,Busen::N,məmə,pecho
24,Brust::N,döş,pecho
25,Schulter::N,çiyin,hombro
26,Arm::N,qol,brazo
27,Ellenbogen::N,dirsək,codo
28,Hand::N,əl,mano
29,Handfläche::N,ovuc,palma
30,Finger::N,barmaq,dedo
31,Fingernagel::N,barmaq dırnağı,uña
32,Nagel[Anatomie]::N,dırnak,uña
33,Zeh::N,ayaq barmağı,dedo del pie
34,Fuß::N,ayaq,pie
35,Ferse::N,daban,talón
36,Knie::N,diz,rodilla
37,Oberschenkel::N,bud,muslo
38,Bein::N,qıç,pierna
39,Körper::N,əndam,cuerpo
40,Haut::N,dəri,piel
41,Blut::N,qan,sangre
42,Ader::N,damar,vena
43,Sehne::N,vətər,tendón
44,Knochen::N,sümük,hueso
45,Gehirn::N,beyin,cerebro
46,Gehirn::N,beyin,encéfalo
47,Herz::N,ürək,corazón
48,Magen::N,mədə,estómago
49,Leber::N,qara ciyər,hígado
50,Atem::N,nəfəs,aliento
51,Hunger::N,aclıq,hambre
52,Träne::N,göz yaşı,lágrima
53,Geschmack::N,tam,gusto
54,Geschmack::N,ləzzət,gusto
55,Geruch::N,qoxu,olor
56,Schlaf::N,yuxu,sueño
57,Traum::N,röya,sueño
58,Traum::N,röya,ensueño
59,Himmel::N,göy,cielo
60,Himmel::N,səma,cielo
61,Sonne::N,günəş,sol
62,Mond::N,ay,luna
63,Stern::N,ulduz,estrella
64,Luft::N,hava,aire
65,Wind::N,yel,viento
66,Wind::N,külək,viento
67,Welle::N,dalğa,ola
68,Welle::N,dalğa,onda
69,Wasser::N,su,agua
70,Stein::N,daş,piedra
71,Boden::N,yer,suelo
72,Boden::N,zəmin,suelo
73,Erde::N,yer torpaq,tierra
74,Staub::N,toz,polvo
75,Rauch::N,tüstü,humo
76,Funke::N,qığılcım,chispa
77,Feuer::N,od,fuego
78,Licht::N,işıq,luz
79,Schatten::N,kölgə,sombra
80,Wetter::N,hava,tiempo
81,Nebel::N,duman,niebla
82,Wolke::N,bulud,nube
83,Regen::N,yağış,lluvia
84,Regen::N,yağmur,lluvia
85,Schnee::N,qar,nieve
86,Eis::N,buz,hielo
87,Frost::N,ayaz,helada
88,Kälte::N,soyuq,frío
89,Hitze::N,coşğunluq,calor
90,Raureif::N,qırov,escarcha
91,Regenbogen::N,göy qurşağı,arco iris
92,Donner::N,göy gurultusu,trueno
93,Strömung::N,axın,corriente
94,Tropfen::N,damcı,gota
95,Schaum::N,köpük,espuma
96,Schmutz::N,çamır,suciedad
97,See::N,göl,lago
98,Sumpf::N,bataqlıq,pantano
99,Moor::N,bataqlıq,turbera
100,Wiese::N,çəmən,prado
101,Wiese::N,çəmən,pradera
102,Wald::N,meşə,bosque
103,Hügel::N,təpə,colina
104,Anhöhe::N,təpə,cerro
105,Berg::N,dağ,monte
106,Berg::N,dağ,montaña
107,Gipfel::N,zirvə,cima
108,Gipfel::N,zirvə,cumbre
109,Höhle::N,mağara,cueva
110,Höhle::N,mağara,caverna
111,Abhang::N,yamac,cuesta
112,Abhang::N,yamac,declive
113,Quelle::N,bulaq,fuente
114,Quelle::N,bulaq,manantial
115,Bach::N,kiçik çay,arroyo
116,Fluss::N,çay,río
117,Ufer::N,kənar,orilla
118,Küste::N,sahil,costa
119,Festland::N,materik,tierra firme
120,Meer::N,dəniz,mar
121,Bucht::N,körfəz,cala
122,Bucht::N,körfəz,bahía
123,Insel::N,ada,isla
124,Blume::N,çiçək,flor
125,Gras::N,ot,hierba
126,Wurzel::N,kök,raíz
127,Baum::N,ağac,árbol
128,Stamm::N,gövdə,tronco
129,Rinde::N,qabıq,corteza
130,Ast::N,şax,rama
131,Zweig::N,budaq,ramo
132,Blatt::N,yarpaq,hoja
133,Birke::N,tozağacı,abedul
134,Kiefer[Baum]::N,şam,pino
135,Weide[Baum]::N,söyüd,sauce
136,Tanne::N,küknar,abeto
137,Horn::N,buynuz,asta
138,Horn::N,buynuz,cuerno
139,Feder::N,tük,pluma
140,Feder::N,lələk,pluma
141,Fell::N,xəz,piel
142,Flügel::N,qanad,ala
143,Klaue::N,pəncə,garra
144,Kralle::N,dırnaq,uña
145,Kralle::N,dırnaq,garra
146,Schwanz::N,quyruq,cola
147,Ei::N,yumurta,huevo
148,Nest::N,yuva,nido
149,Bau::N,yuva,madriguera
150,Tier::N,heyvan,animal
151,Herde::N,sürü,rebaño
152,Kuh::N,inək,vaca
153,Bulle::N,öküz,toro
154,Pferd::N,at,caballo
155,Schaf::N,qoyun,oveja
156,Schwein::N,donuz,cerdo
157,Hund::N,it,perro
158,Hund::N,köpək,perro
159,Katze::N,pişik,gato
160,Bär::N,ayı,oso
161,Eichhörnchen::N,dələ,ardilla
162,Elch::N,sığın,alce
163,Fuchs::N,tülkü,zorro
164,Hase::N,dovşan,liebre
165,Maus::N,siçan,ratón
166,Wolf::N,qurd,lobo
167,Vogel::N,quş,ave
168,Vogel::N,quş,pájaro
169,Schwarm::N,sürü,bandada
170,Huhn::N,toyuq,gallina
171,Hahn::N,xoruz,gallo
172,Gans::N,qaz,oca
173,Gans::N,qaz,ganso
174,Adler::N,qartal,águila
175,Adler::N,qaraquş,águila
176,Ente::N,ördək,pato
177,Eule::N,bayquş,lechuza
