,Concept_ID,hu,kv
0,Auge::N,szem,син
1,Ohr::N,fül,пель
2,Nase::N,orr,ныр
3,Mund::N,száj,ӧм
4,Zahn::N,fog,пинь
5,Zunge::N,nyelv,кыв
6,Lippe::N,ajak,тырп
7,Wange::N,orca,рожабан
8,Gesicht::N,arc,бан
9,Stirn::N,homlok,кымӧс
10,Haar::N,haj,юрси
11,Schnurrbart::N,bajusz,уссэз
12,Bart::N,szakáll,тош
13,Kinn::N,áll,тшӧка
14,Kiefer[Anatomie]::N,állkapocs,ан
15,Kehle::N,gége,юан
16,Kehle::N,torok,юан
17,Hals::N,nyak,юан
18,Genick::N,tarkó,юр бӧр
19,Kopf::N,fő,юр
20,Kopf::N,fej,юр
21,Rücken::N,hát,мышк
22,Bauch::N,has,кынӧм
23,Nabel::N,köldök,гӧг
24,Busen::N,mell,морос
25,Busen::N,kebel,морос
26,Brust::N,mell,морос
27,Schulter::N,váll,пельпон
28,Arm::N,kar,ки
29,Ellenbogen::N,könyök,гырдзза
30,Hand::N,kéz,кикар
31,Handfläche::N,tenyér,ки пыдӧс
32,Finger::N,ujj,чунь
33,Fingernagel::N,köröm,гыж
34,Nagel[Anatomie]::N,köröm,гыж
35,Zeh::N,lábujj,чунь
36,Fuß::N,láb,кокпыдӧс
37,Ferse::N,sarok,кокдзир
38,Knie::N,térd,пидзӧс
39,Oberschenkel::N,comb,лядьбей
40,Bein::N,láb,кок
41,Bein::N,lábszár,кок
42,Körper::N,test,вывтыр
43,Haut::N,bőr,кучик
44,Blut::N,vér,вир
45,Ader::N,ér,сӧн
46,Sehne::N,ín,жила
47,Knochen::N,csont,коска
48,Gehirn::N,agy,вем
49,Gehirn::N,agyvelő,вем
50,Herz::N,szív,сьӧлӧм
51,Magen::N,gyomor,жӧвдӧк
52,Leber::N,máj,мус
53,Atem::N,lehelet,лолалӧм
54,Atem::N,lélegzet,лолалӧм
55,Hunger::N,éhség,тшыг
56,Träne::N,könny,синва
57,Geschmack::N,íz,кӧр
58,Geruch::N,szag,дук
59,Schlaf::N,álom,он
60,Schlaf::N,alvás,он
61,Traum::N,álom,вӧт
62,Himmel::N,ég,небо
63,Himmel::N,menny,небо
64,Sonne::N,nap,шондi
65,Mond::N,hold,тӧлiсь
66,Stern::N,csillag,кӧдзыв
67,Luft::N,levegő,ру
68,Wind::N,szél,тӧв
69,Welle::N,hullám,гы
70,Wasser::N,víz,ва
71,Stein::N,kő,из
72,Boden::N,föld,му
73,Boden::N,talaj,му
74,Erde::N,föld,му
75,Staub::N,por,бус
76,Rauch::N,füst,тшын
77,Funke::N,szikra,бичир
78,Feuer::N,tűz,би
79,Licht::N,fény,би
80,Schatten::N,árnyék,вуджӧр
81,Wetter::N,idő,погоддя
82,Wetter::N,időjárás,погоддя
83,Nebel::N,köd,туман
84,Wolke::N,felhő,кымӧр
85,Regen::N,eső,зэр
86,Schnee::N,hó,лым
87,Eis::N,jég,йы
88,Frost::N,fagy,мороз
89,Kälte::N,hideg,кӧдзыт
90,Hitze::N,hő,ӧд
91,Hitze::N,hőség,ӧд
92,Raureif::N,zúzmara,кижа
93,Regenbogen::N,szivárvány,енӧшка
94,Donner::N,dörgés,гым
95,Donner::N,mennydörgés,гым
96,Strömung::N,áramlat,визывтӧм
97,Tropfen::N,csepp,тёп
98,Schaum::N,hab,быг
99,Schaum::N,tajték,быг
100,Schmutz::N,piszok,нять
101,See::N,tó,ты
102,Sumpf::N,mocsár,арай
103,Moor::N,láp,нюр
104,Wiese::N,rét,видз
105,Wiese::N,mező,видз
106,Wald::N,erdő,вӧр
107,Hügel::N,domb,мыльк
108,Anhöhe::N,magaslat,вывтас
109,Anhöhe::N,magaslat,вылынін
110,Berg::N,hegy,керӧс
111,Gipfel::N,csúcs,йыв
112,Höhle::N,barlang,нора
113,Abhang::N,lejtő,покат
114,Quelle::N,forrás,больган
115,Bach::N,patak,шор
116,Fluss::N,folyó,ю
117,Ufer::N,part,берег
118,Küste::N,tengerpart,берег
119,Festland::N,szárazföld,му
120,Meer::N,tenger,море
121,Bucht::N,öböl,курья
122,Insel::N,sziget,
123,Blume::N,virág,цветок
124,Gras::N,fű,турун
125,Wurzel::N,gyökér,вуж
126,Baum::N,fa,пу
127,Stamm::N,tő,мыр
128,Stamm::N,tő,кер
129,Stamm::N,törzs,мыр
130,Stamm::N,törzs,кер
131,Rinde::N,kéreg,кач
132,Ast::N,ág,ув
133,Zweig::N,gally,ув
134,Blatt::N,levél,лист
135,Birke::N,nyír,кыдз
136,Kiefer[Baum]::N,fenyő,пожум
137,Weide[Baum]::N,fűz,бадь
138,Tanne::N,fenyő,кӧз
139,Horn::N,szarv,сюр
140,Feder::N,toll,гӧн
141,Fell::N,szőr,кучик
142,Fell::N,bunda,кучик
143,Flügel::N,szárny,борд
144,Klaue::N,köröm,гыж
145,Kralle::N,karom,кабыр
146,Schwanz::N,farok,бӧж
147,Ei::N,tojás,кольть
148,Nest::N,fészek,поз
149,Bau::N,odú,осьта
150,Bau::N,odú,нора
151,Tier::N,állat,зверь
152,Herde::N,nyáj,гурт
153,Herde::N,csorda,гурт
154,Kuh::N,tehén,мӧс
155,Bulle::N,bika,ӧшка
156,Pferd::N,ló,вӧв
157,Schaf::N,juh,баля
158,Schaf::N,birka,баля
159,Schwein::N,sertés,порсь
160,Hund::N,eb,пон
161,Hund::N,kutya,пон
162,Katze::N,macska,кань
163,Bär::N,medve,ош
164,Eichhörnchen::N,mókus,ур
165,Elch::N,jávorszarvas,вӧр мӧс
166,Fuchs::N,róka,руч
167,Hase::N,nyúl,кӧч
168,Maus::N,egér,шыр
169,Wolf::N,farkas,кӧин
170,Vogel::N,madár,кай
171,Schwarm::N,raj,стая
172,Schwarm::N,raj,чукӧр
173,Huhn::N,tyúk,курӧг
174,Hahn::N,kakas,петух
175,Hahn::N,kakas,ай курӧг
176,Gans::N,lúd,дзодзог
177,Gans::N,liba,дзодзог
178,Adler::N,sas,куч
179,Adler::N,sas,кутш
180,Ente::N,kacsa,утка
181,Eule::N,bagoly,тупка
182,Kranich::N,daru,тури
183,Krähe::N,varjú,рака
184,Kuckuck::N,kakukk,кӧк
185,Schwan::N,hattyú,юсь
186,Fisch::N,hal,чери
187,Barsch::N,sügér,ёкыш
188,Hecht::N,csuka,сирпинь
189,Schlange[Tier]::N,kígyó,змей
190,Wurm::N,kukac,номыр
191,Spinne::N,pók,черань
192,Ameise::N,hangya,кӧдзывкар
193,Laus::N,tetű,ляпа той
194,Mücke::N,szúnyog,ном
195,Fliege::N,légy,гут
196,Schmetterling::N,lepke,бабыв
197,Schmetterling::N,pillangó,бабыв
198,Beere::N,bogyó,ягӧд
199,Apfel::N,alma,яблоко
200,Pilz::N,gomba,тшак
201,Zwiebel::N,hagyma,грез
202,Saat::N,vetőmag,кӧдзыс
203,Korn::N,mag,сю
204,Korn::N,szem,сю
205,Heu::N,széna,турун
206,Schale::N,héj,кыш
207,Schale::N,héj,киль
208,Grube::N,verem,яма
209,Falle::N,csapda,нальк
210,Falle::N,csapda,кляпча
211,Schlinge::N,tőr,лӧч
212,Spur::N,nyom,туй
213,Asche::N,hamu,пӧим
214,Dreck::N,sár,нять
215,Dreck::N,piszok,нять
216,Eisen::N,vas,кӧрт
217,Gold::N,arany,зарни
218,Silber::N,ezüst,язісь
219,Kohle::N,szén,шом
220,Kohle::N,szén,уголь
221,Glas::N,üveg,стекло
222,Lehm::N,agyag,сёй
223,Lehm::N,vályog,сёй
224,Sand::N,homok,лыа
225,Mensch::N,ember,морт
226,Mann::N,úr,мужик
227,Mann::N,férfi,мужик
228,Frau::N,nő,инька
229,Frau::N,asszony,инька
230,Kind::N,gyerek,кага
231,Kind::N,gyermek,кага
232,Junge::N,fiú,зонка
233,Mädchen::N,lány,нывкаок
234,Familie::N,család,семья
235,Großvater::N,nagyapa,дед
236,Großmutter::N,nagyanya,баб
237,Eltern::N,szülők,ай-мам
238,Vater::N,apa,ай
239,Vater::N,atya,ай
240,Mutter::N,anya,мам
241,Sohn::N,fiú,зон
242,Tochter::N,lány,ныв
243,Bruder::N,fivér,вон
244,Bruder::N,testvér,вон
245,Schwester::N,nővér,сой
246,Schwester::N,lánytestvér,сой
247,Onkel::N,nagybácsi,дядь
248,Tante::N,nagynéni,айӧлӧн сой
249,Tante::N,nagynéni,ичинь
250,Ehemann::N,férj,жӧник
251,Ehefrau::N,feleség,инь
252,Freude::N,öröm,гаж
253,Freude::N,öröm,радъялӧм
254,Gelächter::N,nevetés,сералӧм
255,Gelächter::N,hahotázás,сералӧм
256,Glück::N,boldogság,мичлун
257,Kummer::N,bánat,шог
258,Wunsch::N,óhaj,мӧдӧм
259,Wunsch::N,óhaj,охотитӧм
260,Lust::N,kedv,охота
261,Geist::N,elme,лов
262,Geist::N,szellem,лов
263,Gedanke::N,gondolat,дума
264,Gedächtnis::N,emlékezet,тӧдвыв
265,Verstand::N,ész,вежӧр
266,Verstand::N,értelem,вежӧр
267,Sinn::N,értelem,ылӧс
268,Grund::N,ok,мог
269,Grund::N,alap,мог
270,Wahrheit::N,igaz,правда
271,Wahrheit::N,igazság,правда
272,Gespräch::N,beszélgetés,сёрни
273,Märchen::N,mese,сказка
274,Erzählung::N,elbeszélés,висьт
275,Nachricht::N,hír,юӧр
276,Nachricht::N,hír,висьталӧм
277,Nachricht::N,híradás,юӧр
278,Nachricht::N,híradás,висьталӧм
279,Neuigkeit::N,újság,новость
280,Name::N,név,ним
281,Rätsel::N,rejtvény,загадка
282,Rede::N,beszéd,сёрни
283,Rede::N,szónoklat,сёрни
284,Sprache::N,nyelv,кыв
285,Stimme::N,hang,голос
286,Wort::N,szó,кыв
287,Zeichen::N,jel,пас
288,Ruf::N,kiáltás,чуксӧм
289,Ruf::N,kiáltás,чукӧстӧм
290,Lärm::N,zaj,шум
291,Laut::N,hang,шы
