,Concept_ID,hr,ar
0,Auge::N,oko,عين
1,Ohr::N,uho,أذن
2,Nase::N,nos,أنف
3,Mund::N,usta,فم
4,Zahn::N,zub,سن
5,Zunge::N,jezik,لسان
6,Lippe::N,usna,شفة
7,Wange::N,obraz,خد
8,Wange::N,obraz,وجنة
9,Gesicht::N,lice,وجه
10,Stirn::N,čelo,جبين
11,Haar::N,kosa,شعر
12,Schnurrbart::N,brkovi,شارب
13,Bart::N,brada,لحية
14,Kinn::N,brada,ذقن
15,Kinn::N,podbradak,ذقن
16,Kiefer[Anatomie]::N,čeljust,فك
17,Kehle::N,grlo,حلق
18,Hals::N,vrat,عنق
19,Hals::N,vrat,رقبة
20,Genick::N,zatiljak,قفا
21,Kopf::N,glava,رأس
22,Rücken::N,leđa,ظهر
23,Rücken::N,hrbat,ظهر
24,Bauch::N,trbuh,بطن
25,Nabel::N,pupak,سرة
26,Busen::N,sisa,ثدي
27,Busen::N,njedra,ثدي
28,Brust::N,prsa,صدر
29,Schulter::N,rame,كتف
30,Schulter::N,pleći,كتف
31,Arm::N,ruka,ذراع
32,Ellenbogen::N,lakat,كوع
33,Hand::N,ruka,يد
34,Handfläche::N,dlan,كف
35,Finger::N,prst,إصبع
36,Fingernagel::N,nokat,ظفر
37,Nagel[Anatomie]::N,nokat,ظفر
38,Zeh::N,nozni prst,إصبع القدم
39,Fuß::N,noga,قدم
40,Fuß::N,stopalo,قدم
41,Ferse::N,peta,كعب
42,Knie::N,koljeno,ركبة
43,Oberschenkel::N,bedro,فخذ
44,Bein::N,noga,ساق
45,Körper::N,tijelo,جسم
46,Haut::N,put,بشرة
47,Haut::N,koža,بشرة
48,Blut::N,krv,دم
49,Ader::N,žila,عرق
50,Sehne::N,tetiva,طنب
51,Knochen::N,kost,عظم
52,Herz::N,srce,قلب
53,Magen::N,stomak,معدة
54,Magen::N,želudac,معدة
55,Leber::N,jetra,كبد
56,Atem::N,dah,نفس
57,Hunger::N,glad,جوع
58,Träne::N,suza,دمعة
59,Geschmack::N,ukus,طعم
60,Geschmack::N,ukus,مذاق
61,Geruch::N,njuh,رائحة
62,Geruch::N,miris,رائحة
63,Schlaf::N,san,نوم
64,Schlaf::N,san,منام
65,Traum::N,san,حلم
66,Himmel::N,nebo,سماء
67,Sonne::N,sunce,شمس
68,Mond::N,mjesec,قمر
69,Stern::N,zvijezda,نجم
70,Stern::N,zvijezda,كوكب
71,Luft::N,zrak,هواء
72,Wind::N,vjetar,ريح
73,Welle::N,val,موجة
74,Welle::N,talas,موجة
75,Wasser::N,voda,ماء
76,Stein::N,kamen,حجر
77,Boden::N,tlo,تراب
78,Boden::N,zemlja,تراب
79,Erde::N,zemlja,أرض
80,Staub::N,prah,غبار
81,Staub::N,prašina,غبار
82,Rauch::N,dim,دخان
83,Funke::N,iskra,شرارة
84,Funke::N,varnica,شرارة
85,Feuer::N,vatra,نار
86,Licht::N,svjetlo,نور
87,Licht::N,svjetlo,ضوء
88,Schatten::N,hlad,ظل
89,Schatten::N,hlad,فيء
90,Schatten::N,sjena,ظل
91,Schatten::N,sjena,فيء
92,Wetter::N,vrijeme,جو
93,Wetter::N,vrijeme,طقس
94,Nebel::N,magla,ضباب
95,Wolke::N,oblak,غيمة
96,Wolke::N,oblak,سحابة
97,Regen::N,kiša,مطر
98,Schnee::N,snijeg,ثلج
99,Eis::N,led,جليد
100,Frost::N,mraz,صقيع
101,Kälte::N,studen,برد
102,Kälte::N,hladnoća,برد
103,Hitze::N,vrućina,حر
104,Hitze::N,vrućina,حرارة
105,Raureif::N,inje,صقيع
106,Regenbogen::N,duga,قوس قزح
107,Donner::N,grom,رعد
108,Donner::N,grmljavina,رعد
109,Strömung::N,struja,تيار
110,Strömung::N,strujanje,تيار
111,Tropfen::N,kap,قطرة
112,Tropfen::N,kaplja,قطرة
113,Schaum::N,pjena,زبد
114,Schaum::N,pjena,رغوة
115,Schmutz::N,nečistoća,وسخ
116,Schmutz::N,prljavština,وسخ
117,See::N,jezero,بحيرة
118,Sumpf::N,bara,مستنقع
119,Moor::N,močvara,مستنقع
120,Wiese::N,livada,مرج
121,Wald::N,šuma,غابة
122,Hügel::N,brijeg,تل
123,Hügel::N,brežuljak,تل
124,Anhöhe::N,uzvišica,تل
125,Berg::N,brdo,جبل
126,Gipfel::N,vrh,قمة
127,Höhle::N,pećina,كهف
128,Höhle::N,spilja,كهف
129,Abhang::N,obronak,منحدر
130,Abhang::N,nizbrdica,منحدر
131,Quelle::N,izvor,منبع
132,Quelle::N,vrelo,منبع
133,Bach::N,potok,مجرى
134,Fluss::N,rijeka,نهر
135,Ufer::N,obala,ضفة
136,Küste::N,obala,ساحل
137,Küste::N,morska obala,ساحل
138,Festland::N,kopno,بر
139,Meer::N,more,بحر
140,Bucht::N,zaliv,خليج
141,Insel::N,ada,جزيرة
142,Insel::N,otok,جزيرة
143,Blume::N,cvijet,زهرة
144,Gras::N,trava,حشيش
145,Wurzel::N,korijen,أصل
146,Baum::N,drvo,شجرة
147,Baum::N,stablo,شجرة
148,Stamm::N,deblo,جذع
149,Stamm::N,stablo,جذع
150,Rinde::N,kora,قشرة
151,Ast::N,grana,فرع
152,Zweig::N,grana,غصن
153,Blatt::N,list,ورقة
154,Birke::N,breza,قضبان
155,Kiefer[Baum]::N,bor,صنوبرة
156,Weide[Baum]::N,iva,صفصاف
157,Weide[Baum]::N,vŕba,صفصاف
158,Tanne::N,jela,شوح
159,Tanne::N,jela,تبوب
160,Horn::N,rog,قرن
161,Feder::N,pero,ريشة
162,Fell::N,koža,فرو
163,Flügel::N,krilo,جناح
164,Klaue::N,papak,مخلب
165,Kralle::N,pandža,مخلب
166,Schwanz::N,rep,ذيل
167,Ei::N,jaje,بيض
168,Nest::N,gnijezdo,عش
169,Bau::N,jazbina,جحر
170,Tier::N,životinja,حيوان
