,Concept_ID,hu,ga
0,Auge::N,szem,súil
1,Ohr::N,fül,cluas
2,Nase::N,orr,soc
3,Mund::N,száj,béal
4,Zahn::N,fog,fiacail
5,Zunge::N,nyelv,teanga
6,Lippe::N,ajak,liopa
7,Wange::N,orca,grua
8,Wange::N,orca,leiceann
9,Gesicht::N,arc,éadan
10,Gesicht::N,arc,aghaidh
11,Stirn::N,homlok,baithis
12,Stirn::N,homlok,clár éadain
13,Haar::N,haj,gruaig
14,Schnurrbart::N,bajusz,croiméal
15,Bart::N,szakáll,féasóg
16,Kinn::N,áll,smig
17,Kiefer[Anatomie]::N,állkapocs,giall
18,Kehle::N,gége,scornach
19,Kehle::N,torok,scornach
20,Hals::N,nyak,muinéal
21,Genick::N,tarkó,baic
22,Kopf::N,fő,ceann
23,Kopf::N,fej,ceann
24,Rücken::N,hát,droim
25,Bauch::N,has,bolg
26,Nabel::N,köldök,imleacán
27,Busen::N,mell,cíoch
28,Busen::N,kebel,cíoch
29,Brust::N,mell,brollach
30,Schulter::N,váll,gualainn
31,Arm::N,kar,lámh
32,Ellenbogen::N,könyök,uillinn
33,Hand::N,kéz,lámh
34,Handfläche::N,tenyér,bos
35,Finger::N,ujj,méar
36,Fingernagel::N,köröm,ionga
37,Nagel[Anatomie]::N,köröm,ionga
38,Zeh::N,lábujj,ladhar
39,Fuß::N,láb,cos
40,Fuß::N,láb,troigh
41,Ferse::N,sarok,sáil
42,Knie::N,térd,glúin
43,Oberschenkel::N,comb,ceathrú
44,Bein::N,láb,cos
45,Bein::N,lábszár,cos
46,Körper::N,test,corp
47,Körper::N,test,colainn
48,Haut::N,bőr,cneas
49,Haut::N,bőr,craiceann
50,Blut::N,vér,fuil
51,Ader::N,ér,
52,Sehne::N,ín,teannán
53,Sehne::N,ín,féitheog
54,Knochen::N,csont,cnámh
55,Gehirn::N,agy,inchinn
56,Gehirn::N,agyvelő,inchinn
57,Herz::N,szív,croí
58,Magen::N,gyomor,bolg
59,Magen::N,gyomor,goile
60,Leber::N,máj,ae
61,Atem::N,lehelet,anáil
62,Atem::N,lélegzet,anáil
63,Hunger::N,éhség,ocras
64,Träne::N,könny,deoir
65,Geschmack::N,íz,blas
66,Geruch::N,szag,boladh
67,Schlaf::N,álom,suan
68,Schlaf::N,álom,codladh
69,Schlaf::N,alvás,suan
70,Schlaf::N,alvás,codladh
71,Traum::N,álom,taibhreamh
72,Himmel::N,ég,spéir
73,Himmel::N,menny,spéir
74,Sonne::N,nap,grian
75,Mond::N,hold,ré
76,Mond::N,hold,gealach
77,Stern::N,csillag,rinn
78,Stern::N,csillag,réalta
79,Luft::N,levegő,aer
80,Wind::N,szél,gaoth
81,Welle::N,hullám,tonn
82,Wasser::N,víz,uisce
83,Stein::N,kő,cloch
84,Boden::N,föld,talamh
85,Boden::N,talaj,talamh
86,Erde::N,föld,cré
87,Erde::N,föld,ithir
88,Staub::N,por,dusta
89,Staub::N,por,deannach
90,Rauch::N,füst,toit
91,Rauch::N,füst,deatach
92,Funke::N,szikra,drithle
93,Feuer::N,tűz,tine
94,Licht::N,fény,solas
95,Schatten::N,árnyék,scáth
96,Wetter::N,idő,aimsir
97,Wetter::N,időjárás,aimsir
98,Nebel::N,köd,ceo
99,Wolke::N,felhő,néal
100,Wolke::N,felhő,scamall
101,Regen::N,eső,báisteach
102,Regen::N,eső,fearthainn
103,Schnee::N,hó,sneachta
104,Eis::N,jég,oighear
105,Frost::N,fagy,sioc
106,Kälte::N,hideg,fuacht
107,Hitze::N,hő,teas
108,Hitze::N,hő,teocht
109,Hitze::N,hőség,teas
110,Hitze::N,hőség,teocht
111,Raureif::N,zúzmara,sioc bán
112,Regenbogen::N,szivárvány,stua ceatha
113,Regenbogen::N,szivárvány,bogha báistí
114,Donner::N,dörgés,toirneach
115,Donner::N,mennydörgés,toirneach
116,Strömung::N,áramlat,sruth
117,Tropfen::N,csepp,deoir
118,Schaum::N,hab,cúr
119,Schaum::N,tajték,cúr
120,Schmutz::N,piszok,salachar
121,See::N,tó,loch
122,Sumpf::N,mocsár,portach
123,Moor::N,láp,caorán
124,Moor::N,láp,móinteán
125,Wiese::N,rét,cluain
126,Wiese::N,rét,móinéar
127,Wiese::N,mező,cluain
128,Wiese::N,mező,móinéar
129,Wald::N,erdő,coill
130,Wald::N,erdő,foraois
131,Hügel::N,domb,ard
132,Anhöhe::N,magaslat,ard
133,Anhöhe::N,magaslat,ardán
134,Berg::N,hegy,sliabh
135,Gipfel::N,csúcs,barr
136,Gipfel::N,csúcs,mullach
137,Höhle::N,barlang,uaimh
138,Höhle::N,barlang,pluais
139,Abhang::N,lejtő,fána
