,Concept_ID,et,ar
0,Auge::N,silm,عين
1,Ohr::N,kõrv,أذن
2,Nase::N,nina,أنف
3,Mund::N,suu,فم
4,Zahn::N,hammas,سن
5,Zunge::N,keel,لسان
6,Lippe::N,huul,شفة
7,Wange::N,põsk,خد
8,Wange::N,põsk,وجنة
9,Gesicht::N,nägu,وجه
10,Stirn::N,otsmik,جبين
11,Haar::N,juus,شعر
12,Schnurrbart::N,vurrud,شارب
13,Schnurrbart::N,vuntsid,شارب
14,Bart::N,habe,لحية
15,Kinn::N,lõug,ذقن
16,Kiefer[Anatomie]::N,lõualuu,فك
17,Kehle::N,kõri,حلق
18,Hals::N,kael,عنق
19,Hals::N,kael,رقبة
20,Genick::N,kukal,قفا
21,Kopf::N,pea,رأس
22,Rücken::N,selg,ظهر
23,Bauch::N,kõht,بطن
24,Nabel::N,naba,سرة
25,Busen::N,rind,ثدي
26,Brust::N,rind,صدر
27,Schulter::N,õlg,كتف
28,Arm::N,käsivars,ذراع
29,Ellenbogen::N,küünarnukk,كوع
30,Hand::N,käsi,يد
31,Handfläche::N,pihk,كف
32,Finger::N,sõrm,إصبع
33,Fingernagel::N,küüs,ظفر
34,Nagel[Anatomie]::N,küüs,ظفر
35,Zeh::N,varvas,إصبع القدم
36,Fuß::N,jalg,قدم
37,Ferse::N,kand,كعب
38,Knie::N,põlv,ركبة
39,Oberschenkel::N,reis,فخذ
40,Bein::N,jalg,ساق
41,Körper::N,ihu,جسم
42,Körper::N,keha,جسم
43,Haut::N,nahk,بشرة
44,Blut::N,veri,دم
45,Ader::N,veen,عرق
46,Sehne::N,kõõlus,طنب
47,Knochen::N,luu,عظم
48,Gehirn::N,aju,دماغ
49,Herz::N,süda,قلب
50,Magen::N,magu,معدة
51,Leber::N,maks,كبد
52,Atem::N,hingeõhk,نفس
53,Atem::N,hingamine,نفس
54,Hunger::N,nälg,جوع
55,Träne::N,pisar,دمعة
56,Geschmack::N,maitse,طعم
57,Geschmack::N,maitse,مذاق
58,Geruch::N,lõhn,رائحة
59,Schlaf::N,uni,نوم
60,Schlaf::N,uni,منام
61,Traum::N,unenägu,حلم
62,Himmel::N,taevas,سماء
63,Sonne::N,päike,شمس
64,Mond::N,kuu,قمر
65,Stern::N,täht,نجم
66,Stern::N,täht,كوكب
67,Luft::N,õhk,هواء
68,Wind::N,tuul,ريح
69,Welle::N,laine,موجة
70,Wasser::N,vesi,ماء
71,Stein::N,kivi,حجر
72,Boden::N,maa,تراب
73,Boden::N,pinnas,تراب
74,Erde::N,maa,أرض
75,Staub::N,põrm,غبار
76,Rauch::N,suits,دخان
77,Funke::N,säde,شرارة
78,Feuer::N,tuli,نار
79,Licht::N,valgus,نور
80,Licht::N,valgus,ضوء
81,Schatten::N,vari,ظل
82,Schatten::N,vari,فيء
83,Wetter::N,ilm,جو
84,Wetter::N,ilm,طقس
85,Nebel::N,udu,ضباب
86,Wolke::N,pilv,غيمة
87,Wolke::N,pilv,سحابة
88,Regen::N,sadu,مطر
89,Schnee::N,lumi,ثلج
90,Eis::N,jää,جليد
91,Frost::N,pakane,صقيع
92,Kälte::N,külm,برد
93,Kälte::N,külmus,برد
94,Hitze::N,kuumus,حر
95,Hitze::N,kuumus,حرارة
96,Hitze::N,palavus,حر
97,Hitze::N,palavus,حرارة
98,Raureif::N,härmatis,صقيع
99,Regenbogen::N,vikerkaar,قوس قزح
100,Donner::N,kõu,رعد
101,Donner::N,müristamine,رعد
102,Strömung::N,voolus,تيار
103,Strömung::N,jõevool,تيار
104,Tropfen::N,tilk,قطرة
105,Schaum::N,vaht,زبد
106,Schaum::N,vaht,رغوة
107,Schmutz::N,pori,وسخ
108,Schmutz::N,mustus,وسخ
109,See::N,järv,بحيرة
110,Sumpf::N,soo,مستنقع
111,Moor::N,raba,مستنقع
112,Wiese::N,aas,مرج
113,Wiese::N,nurm,مرج
114,Wald::N,mets,غابة
115,Hügel::N,küngas,تل
116,Anhöhe::N,küngas,تل
117,Berg::N,mägi,جبل
118,Gipfel::N,mäetipp,قمة
119,Höhle::N,koobas,كهف
120,Abhang::N,nõlvak,منحدر
121,Quelle::N,allikas,منبع
122,Bach::N,oja,مجرى
123,Fluss::N,jõgi,نهر
124,Ufer::N,kallas,ضفة
125,Küste::N,rannik,ساحل
126,Festland::N,mander,بر
127,Festland::N,maismaa,بر
128,Meer::N,meri,بحر
129,Bucht::N,laht,خليج
130,Insel::N,saar,جزيرة
131,Blume::N,lill,زهرة
132,Gras::N,rohi,حشيش
133,Wurzel::N,juur,أصل
134,Baum::N,puu,شجرة
135,Stamm::N,tüvi,جذع
136,Rinde::N,koor,قشرة
137,Ast::N,oks,فرع
138,Zweig::N,oks,غصن
139,Blatt::N,leht,ورقة
140,Birke::N,kask,قضبان
141,Kiefer[Baum]::N,mänd,صنوبرة
142,Weide[Baum]::N,paju,صفصاف
143,Tanne::N,nulg,شوح
144,Tanne::N,nulg,تبوب
145,Horn::N,sarv,قرن
146,Feder::N,sulg,ريشة
147,Fell::N,karvkate,فرو
148,Fell::N,karusnahk,فرو
149,Flügel::N,tiib,جناح
150,Flügel::N,tiivik,جناح
151,Klaue::N,küüs,مخلب
152,Kralle::N,küünis,مخلب
153,Schwanz::N,saba,ذيل
154,Ei::N,muna,بيض
155,Nest::N,pesa,عش
156,Bau::N,urg,جحر
157,Tier::N,loom,حيوان
158,Herde::N,kari,قطيع
159,Kuh::N,lehm,بقرة
160,Bulle::N,pull,ثور
161,Pferd::N,hobune,خيل
162,Schaf::N,lammas,شاة
163,Schwein::N,siga,خنزير
164,Hund::N,koer,كلب
165,Katze::N,kass,قطة
166,Bär::N,karu,دب
167,Eichhörnchen::N,orav,سنجاب
168,Elch::N,põder,موظ
169,Fuchs::N,rebane,ثعلب
170,Hase::N,jänes,أرنب
171,Maus::N,hiir,فأرة
172,Wolf::N,hunt,ذئب
173,Vogel::N,lind,طير
174,Schwarm::N,parv,سرب
175,Huhn::N,kana,دجاجة
176,Hahn::N,kukk,ديك
177,Gans::N,hani,وزة
178,Adler::N,kotkas,نسر
179,Ente::N,part,بطة
180,Eule::N,kakk,بوم
181,Eule::N,öökull,بوم
182,Kranich::N,kurg,كركي
183,Krähe::N,vares,غراب
184,Kuckuck::N,kägu,وقواق
185,Schwan::N,luik,إوز عراقي
186,Fisch::N,kala,سمك
187,Barsch::N,ahven,فرخ أوربي
188,Hecht::N,haug,سمك الكراكي
189,Schlange[Tier]::N,uss,حية
190,Schlange[Tier]::N,uss,ثعبان
191,Wurm::N,uss,دودة
192,Wurm::N,vagel,دودة
193,Spinne::N,ämblik,عنكبوت
194,Ameise::N,sipelgas,نملة
195,Laus::N,täi,قملة
196,Mücke::N,sääsk,ناموسة
197,Fliege::N,kärbes,ذبابة
198,Schmetterling::N,liblikas,فراشة
199,Beere::N,mari,حبة
200,Apfel::N,õun,تفاح
201,Pilz::N,seen,فطر
202,Zwiebel::N,sibul,بصل
203,Saat::N,seeme,زرع
204,Korn::N,iva,حبة
205,Korn::N,tera,حبة
206,Heu::N,hein,دريس
207,Schale::N,koor,قشرة
208,Grube::N,kaevand,نقرة
209,Falle::N,lõks,فخ
210,Falle::N,lõks,مصيدة
211,Falle::N,püünis,فخ
212,Falle::N,püünis,مصيدة
213,Schlinge::N,aas,عروة
214,Spur::N,jälg,أثر
215,Asche::N,tuhk,رماد
216,Dreck::N,saast,قذر
217,Dreck::N,mustus,قذر
218,Eisen::N,raud,حديد
219,Gold::N,kuld,ذهب
220,Silber::N,hõbe,فضة
221,Kohle::N,süsi,فحم
