,Concept_ID,ta,lbe
0,Auge::N,கண்,я
1,Ohr::N,காது,вичӏи
2,Nase::N,மூக்கு,май
3,Mund::N,வாய்,кьацӏ
4,Zahn::N,பல்,ккарччи
5,Zunge::N,நாக்கு,маз
6,Lippe::N,உதடு,мурччи
7,Wange::N,கன்னம்,чӏав
8,Gesicht::N,முகம்,лажин
9,Stirn::N,முன்னெற்றி,ненттабакӏ
10,Haar::N,முடி,чӏара
11,Schnurrbart::N,மீசை,ссирссилтту
12,Bart::N,தாடி,чӏири
13,Kinn::N,கீழதாடை,лунттубакӏ
14,Kiefer[Anatomie]::N,தாடை,ххинчулул
15,Kehle::N,தொண்டை,кьакьари
16,Hals::N,கழுத்து,ссурссу
17,Genick::N,கழுத்து,махъабакӏ
18,Kopf::N,தலை,бакӏ
19,Rücken::N,முதுகு,ттиликӏ
20,Bauch::N,வயிறு,лякьа
21,Nabel::N,தொப்புள்,цӏумуккутӏ
22,Busen::N,மார்பகம்,ккукку
23,Brust::N, மார்பு,хъазам
24,Schulter::N,தோள்பட்டை,хъачӏ
25,Arm::N,கரம்,ка
26,Ellenbogen::N,முழங்கை,ссюрхъ
27,Hand::N,கை,бартка
28,Handfläche::N,உள்ளங்கை,хъат
29,Handfläche::N,உள்ளங்கை,битӏянхъ
30,Finger::N,விரல்,кӏисса
31,Fingernagel::N,விரல் நகம்,михь
32,Nagel[Anatomie]::N,நகம்,михь
33,Zeh::N,கால்விரல்,кӏисса
34,Fuß::N,கால்,чӏанччан
35,Ferse::N,குதிகால்,никъа
36,Knie::N,முழங்கால்,ник
37,Oberschenkel::N,தொடை,жира
38,Bein::N,கால்,ччан
39,Körper::N,உடல்,чурх
40,Haut::N,சருமம்,бурчу
41,Blut::N,இரத்தம்,оь
42,Ader::N,நாளம்,тунну
43,Sehne::N,தசைநார்,хьхьа
44,Knochen::N,எலுமபு,ттаркӏ
45,Gehirn::N,மூனை,ня
46,Herz::N,இதயம,дакӏ
47,Herz::N,இதயம,къюкӏ
48,Magen::N,வயிறு,лякьа
49,Leber::N,கல்லீரல்,
50,Atem::N,மூச்சு,ссихӏ ласаву
51,Atem::N,மூச்சு,ссихӏ бигьаву
52,Hunger::N,பசி,ккаши
53,Träne::N,கண்ணீர்,макь
54,Geschmack::N,நறுமணம்,тӏин
55,Geschmack::N,நறுமணம்,тӏааьн
56,Geruch::N,துர்நாற்றம்,кьанкь
57,Schlaf::N,தூக்கம்,шану
58,Traum::N,கனவு,макӏру
59,Himmel::N,வானம்,ссав
60,Sonne::N,சூரியன்,баргъ
61,Mond::N,சந்திரன்,барз
62,Stern::N,நட்சத்திரம்,цӏуку
63,Luft::N,காறறு,гьава
64,Wind::N,காற்று,марч
65,Welle::N,அலை,щатӏи
66,Wasser::N,நீர்,щин
67,Stein::N,கல்,чару
68,Boden::N,தரை,аьрщи
69,Erde::N,மண்,аьрщи
70,Staub::N,தூசி,ххит
71,Rauch::N,புகை,пуркӏу
72,Funke::N,தீப்பொறி,пиягь
73,Feuer::N,தீ,цӏу
74,Licht::N,வெளிச்சம்,чани
75,Schatten::N,நிழல்,ххют
76,Wetter::N,வானிலை,гьава
