,Concept_ID,lv,lt
0,Auge::N,син,akis
1,Auge::N,acs,akis
2,Ohr::N,пель,ausis
3,Ohr::N,auss,ausis
4,Nase::N,ныр,nosis
5,Nase::N,deguns,nosis
6,Mund::N,вом,burna
7,Mund::N,mute,burna
8,Zahn::N,пинь,dantis
9,Zahn::N,zobs,dantis
10,Zunge::N,кыв,liežuvis
11,Zunge::N,mēle,liežuvis
12,Lippe::N,вом дор,lūpa
13,Lippe::N,lūpa,lūpa
14,Wange::N,бан,žandas
15,Wange::N,бан,skruostas
16,Wange::N,vaigs,žandas
17,Wange::N,vaigs,skruostas
18,Gesicht::N,чужӧм,veidas
19,Gesicht::N,seja,veidas
20,Gesicht::N,ģīmis,veidas
21,Stirn::N,плеш,kakta
22,Stirn::N,кымӧс,kakta
23,Stirn::N,piere,kakta
24,Haar::N,си,plaukai
25,Haar::N,юрси,plaukai
26,Haar::N,mats,plaukai
27,Schnurrbart::N,ус,ūsai
28,Schnurrbart::N,пыртсим,ūsai
29,Schnurrbart::N,ūsas,ūsai
30,Bart::N,тош,barzda
31,Bart::N,bārda,barzda
32,Kinn::N,тшӧка,smakras
33,Kinn::N,zods,smakras
34,Kinn::N,smakrs,smakras
35,Kiefer[Anatomie]::N,черлы,žandikaulis
36,Kiefer[Anatomie]::N,алака лы,žandikaulis
37,Kiefer[Anatomie]::N,вомкӧтш лы,žandikaulis
38,Kiefer[Anatomie]::N,žoklis,žandikaulis
39,Kehle::N,голя,gerklė
40,Kehle::N,rīkle,gerklė
41,Hals::N,сьылі,kaklas
42,Hals::N,kakls,kaklas
43,Genick::N,юрбӧр,sprandas
44,Genick::N,балябӧж,sprandas
45,Genick::N,sprands,sprandas
46,Kopf::N,юр,galva
47,Kopf::N,galva,galva
48,Rücken::N,мыш,nugara
49,Rücken::N,mugura,nugara
50,Bauch::N,рушку,pilvas
51,Bauch::N,vēders,pilvas
52,Nabel::N,гӧг,bamba
53,Nabel::N,naba,bamba
54,Busen::N,морӧс,krūtinė
55,Busen::N,krūts,krūtinė
56,Brust::N,морӧс,krūtis
57,Brust::N,krūts,krūtis
58,Schulter::N,пельпом,petys
59,Schulter::N,plecs,petys
60,Arm::N,ки,ranka
61,Arm::N,roka,ranka
62,Arm::N,delms,ranka
63,Ellenbogen::N,гырддза,alkūnė
64,Ellenbogen::N,elkonis,alkūnė
65,Hand::N,ки,ranka
66,Hand::N,ки,plaštaka
67,Hand::N,roka,ranka
68,Hand::N,roka,plaštaka
69,Hand::N,plauksta,ranka
70,Hand::N,plauksta,plaštaka
71,Handfläche::N,ки пыдӧс,delnas
72,Handfläche::N,ки пыдӧс,plaštaka
73,Handfläche::N,delna,delnas
74,Handfläche::N,delna,plaštaka
75,Handfläche::N,plauksta,delnas
76,Handfläche::N,plauksta,plaštaka
77,Finger::N,чунь,pirštas
78,Finger::N,pirksts,pirštas
79,Fingernagel::N,гыж,nagas
80,Fingernagel::N,nags,nagas
81,Nagel[Anatomie]::N,гыж,nagas
82,Nagel[Anatomie]::N,nags,nagas
83,Zeh::N,кок чунь,pirštas
84,Zeh::N,pirksts,pirštas
85,Fuß::N,кок,pėda
86,Fuß::N,kāja,pėda
87,Ferse::N,кокбӧр,kulnas
88,Ferse::N,papēdis,kulnas
89,Knie::N,пидзӧс,kelis
90,Knie::N,celis,kelis
91,Oberschenkel::N,лядьвей,kulšis
92,Oberschenkel::N,лядьвей,šlaunis
93,Oberschenkel::N,бек,kulšis
94,Oberschenkel::N,бек,šlaunis
95,Oberschenkel::N,ciska,kulšis
96,Oberschenkel::N,ciska,šlaunis
97,Oberschenkel::N,augšstilbs,kulšis
98,Oberschenkel::N,augšstilbs,šlaunis
99,Bein::N,кок,koja
100,Bein::N,kāja,koja
101,Körper::N,туша,kūnas
102,Körper::N,вывтыр,kūnas
103,Körper::N,miesa,kūnas
104,Körper::N,ķermenis,kūnas
105,Haut::N,ку,oda
106,Haut::N,āda,oda
107,Blut::N,вир,kraujas
108,Blut::N,asins,kraujas
109,Ader::N,сӧн,kraujagyslė
110,Ader::N,asinsvads,kraujagyslė
111,Sehne::N,вез,sausgyslė
112,Sehne::N,dzīsla,sausgyslė
113,Knochen::N,лы,kaulas
114,Knochen::N,kauls,kaulas
115,Gehirn::N,вем,smegenys
116,Gehirn::N,smadzenes,smegenys
117,Herz::N,сьӧлӧм,širdis
118,Herz::N,sirds,širdis
119,Magen::N,кынӧм,skrandis
120,Magen::N,kuņģis,skrandis
121,Leber::N,мус,kepenys
122,Leber::N,aknas,kepenys
123,Atem::N,лов,kvapas
124,Atem::N,elpa,kvapas
125,Hunger::N,тшыг,badas
126,Hunger::N,тшыг,alkis
127,Hunger::N,bads,badas
128,Hunger::N,bads,alkis
129,Hunger::N,izsalkums,badas
130,Hunger::N,izsalkums,alkis
131,Träne::N,синва,ašara
132,Träne::N,asara,ašara
133,Geschmack::N,кӧр,skonis
134,Geschmack::N,чӧсмӧс,skonis
135,Geschmack::N,garša,skonis
136,Geruch::N,зын,kvapas
137,Geruch::N,дук,kvapas
138,Geruch::N,smaka,kvapas
139,Schlaf::N,узьӧм,miegas
140,Schlaf::N,miegs,miegas
141,Traum::N,вӧт,sapnas
142,Traum::N,вӧтасьӧм,sapnas
143,Traum::N,sapnis,sapnas
144,Himmel::N,енэж,dangus
145,Himmel::N,debess,dangus
146,Sonne::N,шонді,saulė
147,Sonne::N,saule,saulė
148,Mond::N,тӧлысь,mėnulis
149,Mond::N,mēness,mėnulis
150,Stern::N,кодзув,žvaigždė
151,Stern::N,zvaigzne,žvaigždė
152,Luft::N,сынӧд,oras
153,Luft::N,gaiss,oras
154,Wind::N,тӧв,vėjas
155,Wind::N,vējš,vėjas
156,Welle::N,гы,banga
157,Welle::N,гы,vilnis
158,Welle::N,vilnis,banga
159,Welle::N,vilnis,vilnis
160,Wasser::N,ва,vanduo
161,Wasser::N,ūdens,vanduo
162,Stein::N,из,akmuo
163,Stein::N,akmens,akmuo
164,Boden::N,му,žemė
165,Boden::N,му,dugnas
166,Boden::N,augsne,žemė
167,Boden::N,augsne,dugnas
168,Erde::N,му,žemė
169,Erde::N,му-ва,žemė
170,Erde::N,zeme,žemė
171,Staub::N,бус,dulkės
172,Staub::N,putekļi,dulkės
173,Rauch::N,тшын,dūmai
174,Rauch::N,dūmi,dūmai
175,Funke::N,кинь,kibirkštis
176,Funke::N,би кинь,kibirkštis
177,Funke::N,dzirkstele,kibirkštis
178,Feuer::N,би,ugnis
179,Feuer::N,uguns,ugnis
180,Licht::N,югӧр,šviesa
181,Licht::N,gaisma,šviesa
182,Schatten::N,вуджӧр,paūksmė
183,Schatten::N,ēna,paūksmė
184,Wetter::N,поводдя,oras
185,Wetter::N,laiks,oras
186,Nebel::N,ру,migla
187,Nebel::N,ру,rūkas
188,Nebel::N,онь,migla
189,Nebel::N,онь,rūkas
190,Nebel::N,migla,migla
191,Nebel::N,migla,rūkas
192,Wolke::N,кымӧр,debesis
193,Wolke::N,mākonis,debesis
194,Regen::N,зэр,lietus
195,Regen::N,lietus,lietus
196,Schnee::N,лым,sniegas
197,Schnee::N,sniegs,sniegas
198,Eis::N,йи,ledas
199,Eis::N,ledus,ledas
200,Frost::N,кӧдзыд,šalna
201,Frost::N,sals,šalna
202,Kälte::N,кӧдзыд,šaltis
203,Kälte::N,saltums,šaltis
204,Kälte::N,aukstums,šaltis
205,Hitze::N,пӧсь,karštis
206,Hitze::N,гожӧд,karštis
207,Hitze::N,karstums,karštis
208,Raureif::N,пуж,šerkšnas
209,Raureif::N,гыӧр,šerkšnas
210,Raureif::N,sarma,šerkšnas
211,Regenbogen::N,ӧшкамӧшка,vaivorykštė
212,Regenbogen::N,varavīksne,vaivorykštė
213,Donner::N,гым,perkūnas
214,Donner::N,гым,griaustinis
215,Donner::N,pērkons,perkūnas
216,Donner::N,pērkons,griaustinis
217,Strömung::N,ва ныр,tėkmė
218,Strömung::N,визувтӧм,tėkmė
219,Strömung::N,straume,tėkmė
220,Strömung::N,strāvojums,tėkmė
221,Tropfen::N,войт,lašas
222,Tropfen::N,lāse,lašas
223,Schaum::N,быг,putos
224,Schaum::N,быгзьӧм,putos
