,Concept_ID,ro,is
0,Auge::N,ochi,auga
1,Ohr::N,ureche,eyra
2,Nase::N,nas,nef
3,Mund::N,gură,munnur
4,Zahn::N,dinte,tönn
5,Zunge::N,limbă,tunga
6,Lippe::N,buză,vör
7,Wange::N,bucă,kinn
8,Wange::N,bucă,vangi
9,Wange::N,obraz,kinn
10,Wange::N,obraz,vangi
11,Gesicht::N,față,andlit
12,Gesicht::N,figură,andlit
13,Stirn::N,frunte,enni
14,Haar::N,păr,hár
15,Schnurrbart::N,mustață,yfirskegg
16,Bart::N,barbă,skegg
17,Kinn::N,bărbie,haka
18,Kiefer[Anatomie]::N,falcă,kjálki
19,Kiefer[Anatomie]::N,falcă,skoltur
20,Kehle::N,beregată,kverk
21,Hals::N,gât,háls
22,Genick::N,ceafă,hnakki
23,Kopf::N,cap,höfuð
24,Rücken::N,dos,hryggur
25,Rücken::N,spate,hryggur
26,Rücken::N,spinare,hryggur
27,Bauch::N,burtă,kviður
28,Bauch::N,pântece,kviður
29,Nabel::N,buric,nafli
30,Busen::N,sân,barmur
31,Brust::N,piept,brjóst
32,Schulter::N,umăr,öxl
33,Schulter::N,spate,öxl
34,Arm::N,braț,armur
35,Ellenbogen::N,cot,olnbogi
36,Hand::N,mână,hönd
37,Handfläche::N,palmă,lófi
38,Finger::N,deget,fingur
39,Fingernagel::N,unghie,fingurnögl
40,Nagel[Anatomie]::N,unghie,nögl
41,Zeh::N,deget de la picior,tá
42,Fuß::N,picior,fótur
43,Ferse::N,călcâi,hæll
44,Knie::N,genunchi,kné
45,Oberschenkel::N,coapsă,læri
46,Bein::N,picior,fótleggur
47,Körper::N,corp,búkur
48,Körper::N,corp,líkami
49,Haut::N,piele,húð
50,Haut::N,piele,skinn
51,Blut::N,sânge,blóð
52,Ader::N,vână,æð
53,Ader::N,arteră,æð
54,Sehne::N,tendon,sin
55,Knochen::N,os,bein
56,Gehirn::N,creier,heili
57,Herz::N,inimă,hjarta
58,Magen::N,stomac,magi
59,Leber::N,ficat,lifur
60,Atem::N,răsuflare,andi
61,Atem::N,răsuflare,andardráttur
62,Atem::N,respirație,andi
63,Atem::N,respirație,andardráttur
64,Hunger::N,foame,hungur
65,Träne::N,lacrimă,tár
66,Geschmack::N,gust,smekkur
67,Geruch::N,miros,lykt
68,Schlaf::N,somn,svefn
69,Traum::N,vis,draumur
70,Himmel::N,cer,himinn
71,Sonne::N,soare,sól
72,Mond::N,lună,tungl
73,Stern::N,stea,stjarna
74,Luft::N,aer,loft
75,Wind::N,vânt,vindur
76,Welle::N,val,alda
77,Welle::N,val,bylgja
78,Welle::N,undă,alda
79,Welle::N,undă,bylgja
80,Wasser::N,apă,vatn
81,Stein::N,piatră,steinn
82,Boden::N,sol,botn
83,Boden::N,pământ,botn
84,Erde::N,pământ,jörð
85,Staub::N,praf,ryk
86,Staub::N,praf,duft
87,Rauch::N,fum,reykur
88,Funke::N,scânteie,neisti
89,Feuer::N,foc,eldur
90,Licht::N,lumină,ljós
91,Schatten::N,umbră,skuggi
92,Wetter::N,timp,veður
93,Wetter::N,vreme,veður
94,Nebel::N,ceață,þoka
95,Nebel::N,negură,þoka
96,Wolke::N,nor,ský
97,Regen::N,ploaie,regn
98,Schnee::N,zăpadă,snjór
99,Eis::N,gheață,ís
100,Frost::N,ger,frost
101,Kälte::N,frig,kuldi
102,Hitze::N,arșiță,hiti
103,Hitze::N,căldură,hiti
104,Raureif::N,chiciură,hrím
105,Regenbogen::N,curcubeu,regnbogi
106,Donner::N,tunet,þruma
107,Strömung::N,curent,straumur
108,Tropfen::N,picătură,dropi
109,Schaum::N,spumă,froða
110,Schmutz::N,murdărie,óhreinindi
111,See::N,lac,stöðuvatn
112,Sumpf::N,mlaștină,fen
113,Moor::N,bărăgan,mýri
114,Wiese::N,fânaț,engi
115,Wiese::N,livadă,engi
116,Wald::N,codru,skógur
117,Wald::N,pădure,skógur
118,Hügel::N,deal,hæð
119,Hügel::N,deal,hóll
120,Hügel::N,movilă,hæð
121,Hügel::N,movilă,hóll
122,Anhöhe::N,deal,hæð
123,Anhöhe::N,deal,hóll
124,Anhöhe::N,ridicătură,hæð
125,Anhöhe::N,ridicătură,hóll
126,Berg::N,munte,fell
127,Berg::N,munte,fjall
128,Gipfel::N,pisc,tindur
129,Höhle::N,peșteră,hellir
130,Abhang::N,pantă,hlíð
131,Abhang::N,pantă,brekka
132,Abhang::N,versant,hlíð
133,Abhang::N,versant,brekka
134,Quelle::N,izvor,lind
135,Quelle::N,izvor,uppspretta
136,Bach::N,gârlă,lækur
137,Fluss::N,râu,á
138,Fluss::N,râu,fljót
139,Fluss::N,fluviu,á
140,Fluss::N,fluviu,fljót
141,Ufer::N,mal,árbakki
142,Ufer::N,mal,sjávarbakki
143,Ufer::N,țărm,árbakki
144,Ufer::N,țărm,sjávarbakki
145,Küste::N,coastă,strönd
146,Festland::N,uscat,meginland
147,Meer::N,mare,haf
148,Meer::N,mare,sjór
149,Bucht::N,golf,vík
150,Insel::N,insulă,eyja
151,Blume::N,floare,blóm
152,Gras::N,iarbă,gras
153,Wurzel::N,rădăcină,rót
154,Baum::N,copac,tré
155,Baum::N,arbore,tré
156,Stamm::N,tulpină,stofn
157,Rinde::N,scoarță,börkur
158,Ast::N,cracă,grein
159,Ast::N,creangă,grein
160,Zweig::N,ramură,angi
161,Zweig::N,ramură,kvistur
162,Zweig::N,creangă,angi
163,Zweig::N,creangă,kvistur
164,Blatt::N,frunză,blað
165,Birke::N,mesteacăn,birki
166,Kiefer[Baum]::N,pin,fura
