,Concept_ID,ta,ru
0,Auge::N,கண்,глаз
1,Ohr::N,காது,ухо
2,Nase::N,மூக்கு,нос
3,Mund::N,வாய்,рот
4,Zahn::N,பல்,зуб
5,Zunge::N,நாக்கு,язык
6,Lippe::N,உதடு,губа
7,Wange::N,கன்னம்,щека
8,Gesicht::N,முகம்,лицо
9,Stirn::N,முன்னெற்றி,лоб
10,Haar::N,முடி,волос
11,Haar::N,முடி,волосы
12,Schnurrbart::N,மீசை,ус
13,Schnurrbart::N,மீசை,усы
14,Bart::N,தாடி,борода
15,Kinn::N,கீழதாடை,подбородок
16,Kiefer[Anatomie]::N,தாடை,челюсть
17,Kehle::N,தொண்டை,горло
18,Hals::N,கழுத்து,шея
19,Genick::N,கழுத்து,затылок
20,Kopf::N,தலை,голова
21,Rücken::N,முதுகு,спина
22,Bauch::N,வயிறு,живот
23,Nabel::N,தொப்புள்,пупок
24,Busen::N,மார்பகம்,женская грудь
25,Brust::N, மார்பு,грудь
26,Schulter::N,தோள்பட்டை,плечо
27,Arm::N,கரம்,рука
28,Ellenbogen::N,முழங்கை,локоть
29,Hand::N,கை,кисть
30,Handfläche::N,உள்ளங்கை,ладонь
31,Finger::N,விரல்,палец
32,Fingernagel::N,விரல் நகம்,ноготь
33,Nagel[Anatomie]::N,நகம்,ноготь
34,Zeh::N,கால்விரல்,палец
35,Fuß::N,கால்,ступня
36,Ferse::N,குதிகால்,пята
37,Ferse::N,குதிகால்,пятка
38,Knie::N,முழங்கால்,колено
39,Oberschenkel::N,தொடை,бедро
40,Bein::N,கால்,нога
41,Körper::N,உடல்,тело
42,Haut::N,சருமம்,кожа
43,Blut::N,இரத்தம்,кровь
44,Ader::N,நாளம்,вена
45,Ader::N,நாளம்,сосуд
46,Sehne::N,தசைநார்,жила
47,Sehne::N,தசைநார்,тетива
48,Sehne::N,தசைநார்,сухожилие
49,Knochen::N,எலுமபு,кость
50,Gehirn::N,மூனை,мозг
51,Herz::N,இதயம,сердце
52,Magen::N,வயிறு,желудок
53,Leber::N,கல்லீரல்,печень
54,Atem::N,மூச்சு,дух
55,Atem::N,மூச்சு,дыхание
56,Hunger::N,பசி,голод
57,Träne::N,கண்ணீர்,слеза
58,Geschmack::N,நறுமணம்,вкус
59,Geruch::N,துர்நாற்றம்,запах
60,Schlaf::N,தூக்கம்,сон
61,Traum::N,கனவு,сновидение
62,Himmel::N,வானம்,небо
63,Sonne::N,சூரியன்,солнце
64,Mond::N,சந்திரன்,луна
65,Stern::N,நட்சத்திரம்,звезда
66,Luft::N,காறறு,воздух
67,Wind::N,காற்று,ветер
68,Welle::N,அலை,волна
69,Wasser::N,நீர்,вода
70,Stein::N,கல்,камень
71,Boden::N,தரை,почва
72,Erde::N,மண்,земля
73,Staub::N,தூசி,пыль
74,Rauch::N,புகை,дым
75,Funke::N,தீப்பொறி,искра
76,Feuer::N,தீ,огонь
77,Licht::N,வெளிச்சம்,свет
78,Schatten::N,நிழல்,тень
79,Wetter::N,வானிலை,погода
80,Nebel::N,பனிமூட்டம்,туман
81,Wolke::N,மேகம்,облако
82,Regen::N,மழை,дождь
83,Schnee::N,உறைபனி,снег
84,Eis::N,பனிக்கட்டி,лед
85,Frost::N,உறைபனி,мороз
86,Kälte::N,குளிர்ந்த,холод
87,Hitze::N,சூடு,жара
88,Raureif::N,உறைபனி வெண்திரை,иней
89,Regenbogen::N,வானவில்,радуга
90,Donner::N,இடி,гром
91,Strömung::N,நீரோட்டம்,течение
92,Tropfen::N,துளி,капля
93,Schaum::N,நுரை,пена
94,Schmutz::N,அழுக்கு,грязь
95,See::N,ஏரி,озеро
96,Sumpf::N,சதுப்பு நிலம்,топь
97,Moor::N,முட்புதற்காடு,болото
98,Wiese::N,பசும் புல்தரை,луг
99,Wald::N,காடு,лес
100,Hügel::N,குன்று,холм
101,Anhöhe::N,பதுக்கை,возвышенность
102,Berg::N,மலை,гора
103,Gipfel::N,உச்சி மாநாடு,вершина
104,Höhle::N,குகை,пещера
105,Abhang::N,சரிவு,склон
106,Quelle::N,மூலம்,источник
107,Bach::N,ஓடை,ручей
108,Fluss::N,ஆறு,река
109,Ufer::N,நீர்க்கரை,берег
110,Küste::N,கடற்கரை,побережье
111,Festland::N,நிலம்,суша
112,Meer::N,கடல்,море
113,Bucht::N,சிறுகுடா,бухта
114,Insel::N,தீவு,остров
115,Blume::N,பூ,цветок
116,Gras::N,புல்தரை,трава
117,Wurzel::N,வேர்,корень
118,Baum::N,மரம்,дерево
119,Stamm::N,அடிமரம்,ствол
120,Rinde::N,பட்டை,кора
121,Rinde::N,மரப்பட்டை,кора
122,Ast::N,கினை,сук
123,Zweig::N,குச்சி,ветвь
124,Blatt::N,இலை,лист
125,Birke::N,பிர்ச் மரம்,береза
126,Kiefer[Baum]::N,தேவதாரு மரம்,сосна
127,Weide[Baum]::N,மர வகைகளுள் ஒன்று,ива
128,Tanne::N,சாதிக்கய்,ель
129,Horn::N,கொம்பு,рог
130,Feder::N,இறகு,перо
131,Fell::N,மென்முடி,шкура
132,Flügel::N,இறக்கை,крыло
133,Klaue::N,நகம்,коготь
134,Kralle::N,நகம்,лапа
135,Schwanz::N,வால்,хвост
136,Ei::N,முட்டை,яйцо
137,Nest::N,கூடு,гнездо
138,Bau::N,குகை,нора
139,Tier::N,விலங்கு,животное
140,Herde::N,கூட்டம்,стадо
141,Kuh::N,பசு,корова
142,Bulle::N,காளை,бык
143,Pferd::N,குதிரை,лошадь
144,Schaf::N,செம்மறிஆடு,овца
145,Schwein::N,பன்றி,свинья
146,Hund::N,நாய்,собака
147,Katze::N,பூனை,кошка
148,Bär::N,கரடி,медведь
149,Eichhörnchen::N,அணில்,белка
150,Elch::N,கடம்பை,лось
151,Fuchs::N,நரி,лиса
152,Hase::N,முயல்,заяц
153,Maus::N,எலி,мышь
154,Wolf::N,ஓநாய்,волк
155,Vogel::N,பறவை,птица
156,Schwarm::N,தொகுதி,стая
157,Huhn::N,கோழிக்குஞசு,курица
158,Hahn::N,சேவல்,петух
159,Gans::N,பெண் வாத்து,гусь
160,Adler::N,பருநது,орел
161,Ente::N,வாத்து,утка
162,Eule::N,ஆந்தை,сова
163,Kranich::N,நாரை,журавль
164,Krähe::N,காகம்,ворона
165,Kuckuck::N,குயில்,кукушка
166,Schwan::N,அன்னம்,лебедь
167,Fisch::N,மீன்,рыба
168,Barsch::N,பேர்ச்,окунь
169,Hecht::N,கோலாச்சி மீன்,щука
170,Schlange[Tier]::N,பாம்பு,змея
171,Wurm::N,புழு,червяк
172,Spinne::N,சிலந்தி,паук
173,Ameise::N,எறும்பு,муравей
174,Laus::N,பேன்,вошь
175,Mücke::N,கொசுவினப்பூச்சி,комар
176,Fliege::N,ஈ,муха
177,Schmetterling::N,வண்ணத்துப்பூச்சி,бабочка
178,Beere::N,சதைப்பழம்,ягода
179,Apfel::N,ஆப்பிள பழம்,яблоко
180,Pilz::N,காளான்,гриб
181,Zwiebel::N,வெங்காயம்,луковица
182,Saat::N,விதை,семя
183,Korn::N,தானியம்,зерно
184,Heu::N,வைக்கோல்,сено
185,Schale::N,தோல்,шелуха
186,Grube::N,குழி,яма
187,Falle::N,பொறி,ловушка
188,Schlinge::N,கண்ணி,силок
189,Spur::N,சுவடு,след
190,Asche::N,சாம்பல்,зола
191,Asche::N,சாம்பல்,пепел
192,Dreck::N,அழுக்கு,грязь
193,Eisen::N,இரும்பு,железо
194,Gold::N,தங்கம்,золото
195,Silber::N,வெள்ளி,серебро
196,Kohle::N,நிலக்கரி,уголь
197,Glas::N,கண்ணாடி,стекло
198,Lehm::N,களிமண்,глина
199,Sand::N,மணல்,песок
200,Mensch::N,மனிதர்கள்,человек
201,Mann::N,மனிதன்,мужчина
202,Frau::N,பெண்,женщина
203,Kind::N,குழந்தை,ребенок
204,Junge::N,பையன்,мальчик
205,Mädchen::N,சிறுமி,девочка
206,Familie::N,குடும்பம்,семья
207,Großvater::N,தாத்தா,дедушка
208,Großmutter::N,பாட்டி,бабушка
209,Eltern::N,பெற்றோர்,родители
210,Vater::N,தந்தை,отец
211,Mutter::N,தாய்,мать
212,Sohn::N,மகன்,сын
213,Tochter::N,மகள்,дочь
214,Bruder::N,சகோதரன்,брат
215,Schwester::N,அக்கா,сестра
216,Onkel::N,தாய் மாமன்,дядя
217,Tante::N,அத்தை,тетя
218,Ehemann::N,கணவன்,муж
219,Ehefrau::N,மனைவி,жена
220,Freude::N,கொண்டாட்டம்,радость
221,Gelächter::N,சிரிப்பு,смех
222,Glück::N,மகிழ்ச்சி,счастье
223,Kummer::N,துயரம்,горе
224,Wunsch::N,விருப்பம்,желание
225,Lust::N,விருப்பம்,влечение
226,Geist::N,ஆன்மா,дух
227,Gedanke::N,எண்ணம்,мысль
228,Gedächtnis::N,ஞாபகம்,память
229,Verstand::N,மனம்,ум
230,Sinn::N,அர்த்தம்,смысл
231,Grund::N,காரணம்,повод
232,Wahrheit::N,உண்நை,правда
233,Gespräch::N,பெசு,беседа
234,Märchen::N,நம்பத்தகாத கதை,сказка
235,Erzählung::N,கதை,рассказ
236,Nachricht::N,செய்தி,сообщение
237,Neuigkeit::N,செய்தி,новость
238,Name::N,பெயர்,имя
239,Rätsel::N,புதிர்,загадка
240,Rede::N,பேச்சு,речь
241,Sprache::N,மொழி,язык
242,Stimme::N,குரல்,голос
243,Wort::N,வார்த்தை,слово
244,Zeichen::N,குறி,знак
245,Ruf::N,அழைப்பு,зов
246,Lärm::N,சத்தம்,шум
247,Laut::N,ஒலி,звук
248,Ton::N,குரல்,звучание
249,Lied::N,பாட்டு,песня
250,Ruhe::N,அமைதி,покой
251,Leute::N,மக்கள்,люди
252,Volk::N,மக்கள்,народ
253,Arbeit::N,வேலை,работа
254,Gast::N,விருந்தாளி,гость
255,Geschenk::N,பரிசுப் பொருள்,подарок
256,Spiel::N,விளையாட்டு,игра
257,Gesellschaft::N,சமுதாயம்,общество
