,Concept_ID,tt,sq
0,Auge::N,күз,sy
1,Ohr::N,колак,vesh
2,Nase::N,борын,hundë
3,Mund::N,авыз,gojë
4,Mund::N,тамак,gojë
5,Zahn::N,теш,dhëmb
6,Zunge::N,тел,gjuhë
7,Lippe::N,ирен,buzë
8,Wange::N,яңак,faqe
9,Wange::N,яңак,mollëz
10,Gesicht::N,йөз,fytyrë
11,Stirn::N,маңгай,ballë
12,Haar::N,чәч,flokë
13,Schnurrbart::N,мыек,mustaqe
14,Bart::N,сакал,mjekër
15,Kinn::N,ияк,mjekër
16,Kiefer[Anatomie]::N,казналык,nofull
17,Kehle::N,тамак,fyt
18,Kehle::N,тамак,grykë
19,Hals::N,бугаз,qafë
20,Genick::N,җилкә,arrëz
21,Kopf::N,баш,kokë
22,Rücken::N,сырт,kurriz
23,Bauch::N,корсак,bark
24,Nabel::N,кендек,kërthizë
25,Busen::N,түш,gji
26,Brust::N,имчәк,gjoks
27,Brust::N,имчәк,kraharor
28,Brust::N,күкрәк,gjoks
29,Brust::N,күкрәк,kraharor
30,Schulter::N,иңбаш,sup
31,Schulter::N,иңбаш,krah
32,Schulter::N,кулбаш,sup
33,Schulter::N,кулбаш,krah
34,Arm::N,кул,krah
35,Ellenbogen::N,терсәк,bërryl
36,Hand::N,кул,dorë
37,Handfläche::N,уч,pëllëmbë
38,Finger::N,бармак,gisht
39,Fingernagel::N,тырнак,thua
40,Nagel[Anatomie]::N,тырнак,thua
41,Zeh::N,бармак,gisht i këmbës
42,Fuß::N,табан,këmbë
43,Ferse::N,үкчә,thembër
44,Knie::N,тез,gju
45,Oberschenkel::N,бот,kofshë
46,Bein::N,аяк,këmbë
47,Körper::N,тән,trup
48,Körper::N,җисем,trup
49,Haut::N,тире,lëkurë
50,Blut::N,кан,gjak
51,Ader::N,тамыр,venë
52,Sehne::N,сеңер,dell
53,Knochen::N,сөяк,asht
54,Knochen::N,сөяк,kockë
55,Gehirn::N,ми,tru
56,Herz::N,йөрәк,zemër
57,Magen::N,ашказаны,stomak
58,Leber::N,бавыр,mëlçi
59,Atem::N,сулыш,frymë
60,Hunger::N,ачлык,uri
61,Träne::N,яшь,lot
62,Geschmack::N,тәм,shije
63,Geschmack::N,зәвык,shije
64,Geruch::N,ис,erë
65,Schlaf::N,йокы,gjumë
66,Traum::N,төш,ëndërr
67,Himmel::N,күк,qiell
68,Sonne::N,кояш,diell
69,Mond::N,ай,hënë
70,Stern::N,йолдыз,yll
71,Luft::N,һава,ajër
72,Wind::N,җил,erë
73,Welle::N,дулкын,valë
74,Welle::N,дулкын,dallgë
75,Wasser::N,су,ujë
76,Stein::N,таш,gur
77,Boden::N,туфрак,tokë
78,Boden::N,туфрак,truall
79,Erde::N,җир,dhe
80,Erde::N,җир,baltë
81,Staub::N,тузан,pluhur
82,Rauch::N,төтен,tym
83,Funke::N,очкын,xixë
84,Funke::N,очкын,shkëndijë
85,Feuer::N,ут,zjarr
86,Licht::N,якты,dritë
87,Schatten::N,күләгә,hije
88,Wetter::N,һава,mot
89,Nebel::N,томан,mjegull
90,Wolke::N,болыт,re
91,Regen::N,яңгыр,shi
92,Schnee::N,кар,borë
93,Eis::N,боз,akull
94,Frost::N,суык,ngricë
95,Frost::N,салкын,ngricë
96,Kälte::N,суык,të ftohtë
97,Kälte::N,салкын,të ftohtë
98,Hitze::N,эсселек,vapë
99,Hitze::N,эсселек,nxehtësi
100,Raureif::N,бәс,cikmë
101,Raureif::N,сыкы,cikmë
102,Regenbogen::N,салават күпере,ylber
103,Donner::N,күкрәү,gjëmim
104,Donner::N,күкрәү,bubullimë
105,Strömung::N,агыш'агым,rrymë
106,Tropfen::N,тамчы,pikë
107,Schaum::N,күбек,shkumë
108,Schmutz::N,пычрак,baltë
109,See::N,күл,liqen
110,Sumpf::N,саз,batak
111,Moor::N,торфлык,kënetë
112,Wiese::N,болын,livadh
113,Wald::N,урман,pyll
114,Hügel::N,калку,kodër
115,Anhöhe::N,үр,bregore
116,Berg::N,тау,mal
117,Gipfel::N,оч,kulm
118,Höhle::N,мәгарә,shpellë
119,Höhle::N,мәгарә,zgafelle
120,Abhang::N,кабырга,shpat
121,Abhang::N,кабырга,tatëpjetë
122,Quelle::N,чишмә,krua
123,Quelle::N,чишмә,burim
124,Bach::N,елга,virua
125,Fluss::N,дәрья,lumë
126,Ufer::N,су кырые,breg
127,Küste::N,яр буе,anëdet
128,Küste::N,яр буе,bregdet
129,Festland::N,коры җир,kontinent
130,Meer::N,диңгез,det
131,Bucht::N,бухта,gji deti
132,Bucht::N,култык,gji deti
133,Insel::N,атау,ishull
134,Insel::N,атау,ujdhesë
135,Insel::N,утрау,ishull
136,Insel::N,утрау,ujdhesë
137,Blume::N,чәчкә,lule
138,Gras::N,үлән,bar
139,Wurzel::N,тамыр,rrënjë
140,Baum::N,агач,pemë
141,Stamm::N,кәүсә,trung
142,Rinde::N,кабык,lëvore
143,Ast::N,ботак,degë
144,Zweig::N,ботак,bisk
145,Zweig::N,тармак,bisk
146,Blatt::N,яфрак,fletë
147,Blatt::N,яфрак,gjethe
148,Birke::N,каен,mështekën
149,Kiefer[Baum]::N,нарат,pishë
150,Weide[Baum]::N,тал,shelg
151,Tanne::N,чыршы,bredh
152,Horn::N,мөгез,bri
153,Feder::N,йон,pupël
154,Fell::N,тире,lëkurë
155,Flügel::N,канат,krah
156,Flügel::N,канат,fletë
157,Klaue::N,тырнак,kthetër
158,Kralle::N,тырнак,thua
159,Kralle::N,тырнак,kthetër
160,Schwanz::N,койрык,bisht
161,Ei::N,күкәй,vezë
162,Ei::N,йомырка,vezë
163,Nest::N,оя,fole
164,Bau::N,өн,strofkë
165,Tier::N,хайван,kafshë
166,Herde::N,көтү,kope
167,Herde::N,көтү,grigjë
168,Kuh::N,сыер,lopë
169,Bulle::N,үгез,dem
170,Pferd::N,ат,kalë
171,Schaf::N,сарык,dele
172,Schwein::N,дуңгыз,derr
173,Hund::N,эт,qen
174,Katze::N,песи,mace
175,Bär::N,аю,ari
176,Eichhörnchen::N,тиен,ketër
177,Elch::N,поши,dre brilopatë
178,Fuchs::N,төлке,dhelpër
179,Hase::N,куян,lepur
180,Maus::N,тычкан,mi
181,Wolf::N,бүре,ujk
182,Vogel::N,кош,zog
183,Vogel::N,кош,shpend
184,Schwarm::N,көтү,luzmë
185,Huhn::N,тавык,pulë
186,Hahn::N,әтәч,gjel
187,Hahn::N,әтәч,këndes
188,Gans::N,каз,patë
189,Adler::N,каракош,shqiponjë
190,Ente::N,үрдәк,rosë
191,Eule::N,ябалак,buf
192,Kranich::N,торна,lejlek
193,Kranich::N,торна,kurrillë
194,Krähe::N,карга,sorrë
195,Kuckuck::N,күке,qyqe
196,Kuckuck::N,кәккүк,qyqe
197,Schwan::N,аккош,mjellmë
198,Fisch::N,балык,peshk
199,Barsch::N,алабуга,purtekë
200,Hecht::N,чуртан,mlysh
201,Schlange[Tier]::N,елан,gjarpër
202,Wurm::N,корт,krimb
