,Concept_ID,fi,mdf
0,Auge::N,silmä,сельме
1,Ohr::N,korva,пиле
2,Nase::N,nenä,шалхка
3,Mund::N,suu,курга
4,Zahn::N,hammas,пей
5,Zunge::N,kieli,кяль
6,Lippe::N,huuli,търва́
7,Wange::N,poski,щёка
8,Gesicht::N,naama,шама
9,Gesicht::N,kasvot,шама
10,Stirn::N,otsa,коня
11,Haar::N,hius,шя́ярь
12,Haar::N,tukka,шя́ярь
13,Schnurrbart::N,viikset,уса́
14,Bart::N,parta,сакал
15,Kinn::N,leuka,ула
16,Kiefer[Anatomie]::N,leukaluu,саласка
17,Kehle::N,kurkku,кълдома
18,Kehle::N,kurkku,кърга́парь
19,Hals::N,kaula,сялдаз
20,Genick::N,niska,шовонь
21,Kopf::N,pää,пря
22,Rücken::N,selkä,копорь
23,Bauch::N,maha,пеке
24,Bauch::N,vatsa,пеке
25,Nabel::N,napa,по́кон
26,Busen::N,rinta,потя
27,Brust::N,rinta,мяште
28,Schulter::N,olka,лафту
29,Schulter::N,hartia,лафту
30,Schulter::N,olkapää,лафту
31,Arm::N,käsivarsi,кядь
32,Ellenbogen::N,kyynärpää,кенерьба́карь
33,Hand::N,käsi,кядь
34,Handfläche::N,kämmen,кядьлапш
35,Finger::N,sormi,сур
36,Fingernagel::N,kynsi,кенже
37,Nagel[Anatomie]::N,kynsi,кенже
38,Zeh::N,varvas,пильгосу́р
39,Fuß::N,jalka,пильге
40,Fuß::N,jalka,пильгелапа
41,Ferse::N,kantapää,кочкяря
42,Knie::N,polvi,эль
43,Knie::N,polvi,пълма́нжа
44,Oberschenkel::N,reisi,пильгепукша
45,Bein::N,jalka,пильге
46,Körper::N,keho,ро́нга
47,Körper::N,keho,по́нда
48,Körper::N,ruumis,ро́нга
49,Körper::N,ruumis,по́нда
50,Haut::N,iho,киське
51,Blut::N,veri,вер
52,Ader::N,suoni,сан
53,Ader::N,suoni,верза́н
54,Sehne::N,jänne,коське сан
55,Knochen::N,luu,пакарь
56,Gehirn::N,aivot,уй
57,Herz::N,sydän,седи
58,Magen::N,maha,коткърдазь
59,Magen::N,vatsa,коткърдазь
60,Leber::N,maksa,макса
61,Atem::N,henki,лекома
62,Atem::N,henki,ваймонь тарксема
63,Atem::N,hengitys,лекома
64,Atem::N,hengitys,ваймонь тарксема
65,Hunger::N,nälkä,вачеши
66,Träne::N,kyynel,сельмове́дь
67,Geschmack::N,maku,таньф
68,Geruch::N,haju,шине
69,Schlaf::N,uni,удома́
70,Traum::N,uni,он
71,Himmel::N,taivas,менель
72,Sonne::N,aurinko,ши
73,Mond::N,kuu,ков
74,Stern::N,tähti,тяште
75,Luft::N,ilma,кожф
76,Wind::N,tuuli,варма
77,Welle::N,aalto,тавла
78,Wasser::N,vesi,ведь
79,Stein::N,kivi,кев
80,Boden::N,maa,мода
81,Boden::N,maa,потмакс
82,Boden::N,maaperä,мода
83,Boden::N,maaperä,потмакс
84,Erde::N,maa,мода
85,Erde::N,maa,мастор
86,Staub::N,pöly,пуль
87,Rauch::N,savu,качам
88,Funke::N,kipinä,ця́тка
89,Feuer::N,tuli,тол
90,Licht::N,valo,ва́лда
91,Schatten::N,varjo,цильф
92,Wetter::N,sää,уша
93,Nebel::N,sumu,тума́н
94,Wolke::N,pilvi,ковол
95,Regen::N,sade,пизем
96,Schnee::N,lumi,лов
97,Eis::N,jää,эй
98,Frost::N,halla,ке́льме
99,Frost::N,pakkanen,ке́льме
100,Kälte::N,vilu,якшама
101,Kälte::N,kylmyys,якшама
102,Hitze::N,helle,пси
103,Hitze::N,kuumuus,пси
104,Raureif::N,huurre,леш
105,Regenbogen::N,sateenkaari,а́тямъёнга
106,Donner::N,jyrinä,атям
107,Strömung::N,virtaus,шудема́
108,Tropfen::N,tippa,путькс
109,Tropfen::N,tippa,пътняфкс
110,Tropfen::N,pisara,путькс
111,Tropfen::N,pisara,пътняфкс
112,Schaum::N,vaahto,шов
113,Schmutz::N,loka,ърда́з
114,See::N,järvi,эрьхке
115,Sumpf::N,suo,шяй
116,Moor::N,räme,шяй
117,Wiese::N,niitty,луга
118,Wald::N,metsä,вирь
119,Hügel::N,mäki,губо́р
120,Hügel::N,mäki,пандоня
121,Hügel::N,kumpu,губо́р
122,Hügel::N,kumpu,пандоня
123,Hügel::N,kukkula,губо́р
124,Hügel::N,kukkula,пандоня
125,Anhöhe::N,mäki,губо́р
126,Anhöhe::N,kumpare,губо́р
127,Berg::N,mäki,панда
128,Berg::N,vuori,панда
129,Gipfel::N,laki,пря
130,Gipfel::N,huippu,пря
131,Höhle::N,luola,у́нда
132,Abhang::N,rinne,па́нда ша́ма
133,Quelle::N,lähde,эшиня
134,Bach::N,puro,шудерькс
135,Fluss::N,joki,ляй
136,Ufer::N,ranta,търва́
137,Küste::N,rannikko,ляйтърва́
138,Festland::N,manner,мода
139,Meer::N,meri,моря
140,Bucht::N,lahti,ведьуське
141,Insel::N,saari,цёнга
142,Blume::N,kukka,панчф
143,Gras::N,ruoho,тише
144,Wurzel::N,juuri,юр
145,Wurzel::N,juuri,ункс
