,Concept_ID,cs,da
0,Auge::N,oko,øje
1,Ohr::N,ucho,øre
2,Nase::N,nos,næse
3,Mund::N,pusa,mund
4,Zahn::N,zub,tand
5,Zunge::N,jazyk,tunge
6,Lippe::N,ret,læbe
7,Wange::N,tvář,kind
8,Gesicht::N,obličej,ansigt
9,Stirn::N,čelo,pande
10,Haar::N,vlas,hår
11,Haar::N,vlasy,hår
12,Schnurrbart::N,kníry,overskæg
13,Bart::N,vousy,skæg
14,Kinn::N,brada,hage
15,Kiefer[Anatomie]::N,čelist,kæbe
16,Kehle::N,hrdlo,strube
17,Hals::N,krk,hals
18,Genick::N,týl,nakke
19,Kopf::N,hlava,hoved
20,Rücken::N,záda,ryg
21,Rücken::N,hřbet,ryg
22,Bauch::N,břicho,mave
23,Nabel::N,pupek,navle
24,Busen::N,ňadra,barm
25,Brust::N,prsa,bryst
26,Schulter::N,plece,skulder
27,Schulter::N,rameno,skulder
28,Arm::N,ruka,arm
29,Ellenbogen::N,loket,albue
30,Hand::N,ruka,hånd
31,Handfläche::N,dlaň,håndflade
32,Finger::N,prst,finger
33,Fingernagel::N,nehet,fingernegl
34,Nagel[Anatomie]::N,nehet,negl
35,Zeh::N,prst u nohy,tå
36,Fuß::N,noha,fod
37,Ferse::N,pata,hæl
38,Knie::N,koleno,knæ
39,Oberschenkel::N,stehno,lår
40,Bein::N,noha,ben
41,Körper::N,tělo,krop
42,Körper::N,tělo,legeme
43,Haut::N,kůže,hud
44,Blut::N,krev,blod
45,Ader::N,céva,åre
46,Sehne::N,šlacha,sene
47,Knochen::N,kost,ben
48,Gehirn::N,mozek,hjerne
49,Herz::N,srdce,hjerte
50,Magen::N,žaludek,mave
51,Leber::N,játra,lever
52,Atem::N,dech,ånde
53,Hunger::N,hlad,sult
54,Träne::N,slza,tåre
55,Geschmack::N,vkus,smag
56,Geruch::N,vůně,lugt
57,Geruch::N,zápach,lugt
58,Schlaf::N,spánek,søvn
59,Traum::N,sen,drøm
60,Himmel::N,nebe,himmel
61,Sonne::N,slunce,sol
62,Mond::N,měsíc,måne
63,Stern::N,hvězda,stjerne
64,Luft::N,vzduch,luft
65,Wind::N,vítr,vind
66,Welle::N,vlna,bølge
67,Wasser::N,voda,vand
68,Stein::N,kámen,sten
69,Boden::N,půda,jord
70,Erde::N,země,jord
71,Staub::N,prach,støv
72,Rauch::N,dým,røg
73,Rauch::N,kouř,røg
74,Funke::N,jiskra,gnist
75,Feuer::N,oheň,ild
76,Licht::N,světlo,lys
77,Schatten::N,stín,skygge
78,Wetter::N,počasí,vejr
79,Nebel::N,mlha,tåge
80,Wolke::N,mrak,sky
81,Wolke::N,oblak,sky
82,Regen::N,déšť,regn
83,Schnee::N,sníh,sne
84,Eis::N,led,is
85,Frost::N,mráz,frost
86,Kälte::N,chlad,kulde
87,Hitze::N,horko,hede
88,Raureif::N,jinovatka,rimfrost
89,Regenbogen::N,duha,regnbue
90,Donner::N,hrom,torden
91,Strömung::N,proudění,strømning
92,Tropfen::N,kapka,dråbe
93,Schaum::N,pěna,skum
94,Schmutz::N,špína,snavs
95,See::N,jezero,sø
96,Sumpf::N,močál,sump
97,Sumpf::N,bažina,sump
98,Moor::N,bažina,mose
99,Moor::N,slatina,mose
100,Wiese::N,louka,eng
101,Wald::N,les,skov
102,Hügel::N,kopec,høj
103,Hügel::N,kopec,bakke
104,Anhöhe::N,pahorek,høj
105,Anhöhe::N,pahorek,bakke
106,Berg::N,hora,bjerg
107,Gipfel::N,vrchol,top
108,Höhle::N,jeskyně,hule
109,Abhang::N,svah,skrænt
110,Abhang::N,svah,skråning
111,Abhang::N,stráň,skrænt
112,Abhang::N,stráň,skråning
113,Quelle::N,pramen,kilde
114,Bach::N,potok,bæk
115,Fluss::N,řeka,flod
116,Ufer::N,břeh,bred
117,Küste::N,pobřeží,kyst
118,Festland::N,souš,fastland
119,Festland::N,pevnina,fastland
120,Meer::N,moře,hav
121,Bucht::N,záliv,bugt
122,Bucht::N,zátoka,bugt
123,Insel::N,ostrov,ø
124,Blume::N,květina,blomst
125,Gras::N,tráva,græs
126,Wurzel::N,kořen,rod
127,Baum::N,strom,træ
128,Stamm::N,kmen,stamme
129,Rinde::N,kůra,bark
130,Ast::N,větev,gren
131,Zweig::N,větev,kvist
132,Blatt::N,lupen,blad
133,Birke::N,bříza,birk
134,Kiefer[Baum]::N,sosna,fyrretræ
135,Kiefer[Baum]::N,borovice,fyrretræ
136,Weide[Baum]::N,vrba,piletræ
137,Tanne::N,jedle,gran
138,Horn::N,roh,horn
139,Feder::N,pero,fjer
140,Fell::N,srst,skind
141,Flügel::N,křídlo,vinge
142,Klaue::N,dráp,klov
143,Klaue::N,pazneht,klov
144,Kralle::N,dráp,klo
145,Schwanz::N,ocas,hale
146,Ei::N,vejce,æg
147,Nest::N,hnízdo,rede
148,Bau::N,nora,bo
149,Tier::N,zvíře,dyr
150,Herde::N,stádo,flok
151,Kuh::N,kráva,ko
152,Bulle::N,býk,tyr
153,Pferd::N,kůň,hest
154,Schaf::N,ovce,får
155,Schwein::N,vepř,gris
156,Schwein::N,prase,gris
157,Hund::N,pes,hund
158,Katze::N,kočka,kat
159,Bär::N,medvěd,bjørn
160,Eichhörnchen::N,veverka,egern
161,Elch::N,los,elg
162,Fuchs::N,liška,ræv
163,Hase::N,zajíc,hare
164,Maus::N,myš,mus
165,Wolf::N,vlk,ulv
166,Vogel::N,pták,fugl
167,Schwarm::N,roj,sværm
168,Schwarm::N,hejno,sværm
169,Huhn::N,kuře,høne
170,Huhn::N,slepice,høne
171,Hahn::N,kohout,hane
172,Gans::N,husa,gås
173,Adler::N,orel,ørn
174,Ente::N,kachna,and
175,Eule::N,sova,ugle
176,Kranich::N,jeřáb,trane
177,Krähe::N,vrána,krage
178,Kuckuck::N,kukačka,gøg
179,Schwan::N,labuť,svane
180,Fisch::N,ryba,fisk
181,Barsch::N,okoun,aborre
182,Hecht::N,štika,gedde
183,Schlange[Tier]::N,had,slange
184,Wurm::N,červ,orm
185,Spinne::N,pavouk,edderkop
186,Ameise::N,mravenec,myre
187,Laus::N,veš,lus
188,Mücke::N,komár,myg
189,Fliege::N,moucha,flue
190,Schmetterling::N,motýl,sommerfugl
191,Beere::N,bobule,bær
192,Apfel::N,jablko,æble
193,Pilz::N,houba,svamp
194,Zwiebel::N,cibule,løg
195,Saat::N,osivo,sæd
196,Korn::N,zrno,korn
197,Heu::N,seno,hø
198,Schale::N,slupka,skræl
199,Schale::N,skořápka,skræl
200,Grube::N,jáma,grav
201,Falle::N,past,fælde
202,Falle::N,léčka,fælde
203,Schlinge::N,smyčka,snare
204,Spur::N,stopa,spor
