,Concept_ID,mn,os
0,Auge::N,нүд,цӕст
1,Ohr::N,чих,хъус
2,Nase::N,хамар,фындз
3,Mund::N,ам,дзых
4,Zahn::N,шүд,дӕндаг
5,Zunge::N,хэл,ӕвзаг
6,Lippe::N,уруул,был
7,Wange::N,хацар,рус
8,Wange::N,хацар,уадул
9,Wange::N,хацар,ӕхсӕрфарс
10,Gesicht::N,царай,цӕсгом
11,Gesicht::N,нүүр,цӕсгом
12,Stirn::N,дух,ных
13,Haar::N,үс,хил
14,Schnurrbart::N,дээд сахал,рихи
15,Schnurrbart::N,живэр сахал,рихи
16,Bart::N,сахал,зачъе
17,Kinn::N,эрүү,роцъо
18,Kiefer[Anatomie]::N,эрүү,ӕфсӕр
19,Kehle::N,хоолой,хъуыр
20,Hals::N,хүзүү,къубал
21,Genick::N,шил,къӕбут
22,Genick::N,хүзүү,къӕбут
23,Kopf::N,толгой,сӕр
24,Rücken::N,ар,фӕсонтӕ
25,Rücken::N,нуруу,фӕсонтӕ
26,Bauch::N,хэвлий,гуыбын
27,Bauch::N,гэдэс,гуыбын
28,Nabel::N,хүйс,бикъ
29,Busen::N,хөх,дзидзи
30,Brust::N,цээж,риу
31,Schulter::N,мөр,уӕхск
32,Schulter::N,бугалга,уӕхск
33,Arm::N,гар,цонг
34,Ellenbogen::N,тохой,рæмбын
35,Hand::N,гар,къух
36,Hand::N,алга,къух
37,Handfläche::N,алга,армытъӕпӕн
38,Finger::N,хуруу,ӕнруылдз
39,Fingernagel::N,хурууны хумс,ных
40,Nagel[Anatomie]::N,хумс,ных
41,Zeh::N,хуруу,къух
42,Fuß::N,хөл,фад
43,Ferse::N,өсгий,зӕвӕт
44,Knie::N,өвдөг,уӕраг
45,Oberschenkel::N,гуя,агъд
46,Bein::N,хөл,зӕнг
47,Körper::N,бие,буар
48,Haut::N,арьс,царм
49,Blut::N,цус,туг
50,Ader::N,судас,дадзин
51,Ader::N,судас,тугдадзин
52,Sehne::N,бүлх,хъиутæ
53,Sehne::N,бүлх,нуар
54,Sehne::N,шандас,хъиутæ
55,Sehne::N,шандас,нуар
56,Knochen::N,яс,стӕг
57,Gehirn::N,тархи,магъз
58,Herz::N,зүрх,зӕрдӕ
59,Magen::N,ходоод,ахсӕн
60,Leber::N,элэг,игæр
61,Atem::N,амьсгаа,улӕфт
62,Hunger::N,өлсгөлөн,стонг
63,Träne::N,нулимс,цæссыг
64,Geschmack::N,амт,ад
65,Geruch::N,үнэр,смаг
66,Schlaf::N,нойр,хуыссӕг
67,Traum::N,зүүд,фын
68,Himmel::N,тэнгэр,арв
69,Himmel::N,тэнгэр,уӕларв
70,Himmel::N,огторгуй,арв
71,Himmel::N,огторгуй,уӕларв
72,Sonne::N,нар,хур
73,Mond::N,сар,мӕй
74,Stern::N,од,стъалы
75,Luft::N,агаар,уӕлдӕф
76,Wind::N,салхи,дымгӕ
77,Welle::N,долгио,уылӕн
78,Welle::N,давалгаа,уылӕн
79,Wasser::N,ус,дон
80,Stein::N,чулуу,дур
81,Boden::N,хөрс,зӕхх
82,Erde::N,газар,сыджыт
83,Erde::N,шороо,сыджыт
84,Staub::N,тоос,рыг
85,Rauch::N,утаа,фӕздӕг
86,Funke::N,оч,цӕхӕр
87,Feuer::N,гал,зынг
88,Licht::N,гэрэл,рухс
89,Licht::N,гэгээ,рухс
90,Schatten::N,сүүдэр,аууон
91,Wetter::N,тэнгэр,боныхъӕд
92,Wetter::N,цаг уур,боныхъӕд
93,Nebel::N,будан,мигъ
94,Wolke::N,үүл,ӕврагъ
95,Regen::N,бороо,уарын
96,Schnee::N,цас,мит
97,Eis::N,мөс,их
98,Frost::N,хүйт,ихæн
99,Kälte::N,хүйт,уазал
100,Hitze::N,халуун,ӕнтӕф
101,Raureif::N,цан,халас
102,Raureif::N,хяруу,халас
103,Regenbogen::N,солонго,арвырон
104,Regenbogen::N,солонго,арвырдын
105,Donner::N,тэнгэрийн дуу,æрвнæрын
106,Strömung::N,урсгал,цыд
107,Tropfen::N,дусал,æртах
108,Schaum::N,хөөс,фынк
109,Schmutz::N,хир,цъыф
110,Schmutz::N,шавхай,цъыф
111,See::N,нуур,цад
112,Sumpf::N,намаг,цъыфдзаст
113,Sumpf::N,балчиг,цъыфдзаст
114,Moor::N,хүлрийн намаг,цъыфдзаст
115,Wiese::N,нуга,уыгӕрдӕн
116,Wald::N,ой,хъӕд
117,Hügel::N,болдог,обау
118,Hügel::N,болдог,къуыбыр
119,Anhöhe::N,гүвээ,уæлвæз
120,Anhöhe::N,гүвээ,уæлхох
121,Berg::N,уул,хох
122,Gipfel::N,орой,цъупп
123,Gipfel::N,оргил,цъупп
124,Höhle::N,агуй,лӕгӕт
125,Abhang::N,хүр,къул
126,Quelle::N,булаг,суадон
127,Bach::N,горхи,мӕсчъыдон
128,Fluss::N,гол,дон
129,Fluss::N,гол,цӕугӕдон
130,Fluss::N,мөрөн,дон
131,Fluss::N,мөрөн,цӕугӕдон
132,Ufer::N,эрэг,был
133,Küste::N,эрэг,донбыл
134,Festland::N,хуурай газар,сурзæхх
135,Meer::N,далай,денджыз
136,Meer::N,тэнгис,денджыз
137,Bucht::N,булан,донбакæлæн
138,Bucht::N,далайн тохой,донбакæлæн
139,Insel::N,арал,сакъадах
140,Blume::N,цэцэг,дидинӕг
141,Gras::N,өвс,кӕрдӕг
142,Gras::N,ногоо,кӕрдӕг
143,Wurzel::N,үндэс,уидаг
144,Baum::N,мод,бӕлас
145,Stamm::N,иш,хӕтӕл
146,Stamm::N,гуалин,хӕтӕл
147,Rinde::N,холтос,цъар
148,Ast::N,гишүү,арх
149,Zweig::N,салаа,къалиу
150,Blatt::N,навч,сыф
151,Birke::N,хус,бæрз
152,Kiefer[Baum]::N,нарс,нӕзы
153,Weide[Baum]::N,уд,хӕрис
154,Weide[Baum]::N,бургас,хӕрис
155,Tanne::N,гачуур,наз
156,Horn::N,эвэр,сыкъа
157,Feder::N,өд,сис
158,Fell::N,арьс,царм
159,Flügel::N,жигүүр,базыр
160,Flügel::N,далавч,базыр
161,Klaue::N,савар,ных
162,Klaue::N,хумс,ных
163,Kralle::N,савар,дзӕмбы
164,Schwanz::N,сүүл,къӕдзил
165,Ei::N,өндөг,айк
166,Nest::N,үүр,ахстон
167,Bau::N,нүх,хуынкъ
168,Bau::N,элүү,хуынкъ
169,Tier::N,амьтан,сырд
170,Tier::N,амьтан,цӕрӕгой
171,Tier::N,адгуус,сырд
172,Tier::N,адгуус,цӕрӕгой
173,Herde::N,сүрэг,дзуг
174,Herde::N,сүрэг,рӕгъау
175,Kuh::N,үнээ,хъуг
176,Bulle::N,бух,гал
177,Pferd::N,морь,бӕх
178,Pferd::N,адуу,бӕх
179,Schaf::N,хонь,фыс
180,Schwein::N,гахай,хуы
181,Hund::N,нохой,куыдз
182,Katze::N,муур,гӕды
183,Katze::N,мигуй,гӕды
184,Bär::N,баавгай,арс
185,Eichhörnchen::N,хэрэм,æхсæрæг
186,Elch::N,хандгай,цæгатаг саг
187,Fuchs::N,үнэг,рувас
188,Hase::N,туулай,тæрхъус
189,Maus::N,хулгана,мыст
190,Wolf::N,чоно,бирӕгъ
191,Vogel::N,шувуу,цъиу
192,Vogel::N,шувуу,маргъ
193,Schwarm::N,сүрэг,бал
194,Huhn::N,тахиа,карк
195,Hahn::N,эр тахиа,уасӕг
196,Gans::N,галуу,хъаз
197,Adler::N,бүргэд,цӕргӕс
198,Ente::N,нугас,ацц
199,Eule::N,ууль, уыг
200,Eule::N,ууль,сидахъ
201,Kranich::N,тогоруу,зырнæг
202,Kranich::N,тогоруу,хърихъупп
203,Krähe::N,хэрээ,халон
