,Concept_ID,ro,lbe
0,Auge::N,ochi,я
1,Ohr::N,ureche,вичӏи
2,Nase::N,nas,май
3,Mund::N,gură,кьацӏ
4,Zahn::N,dinte,ккарччи
5,Zunge::N,limbă,маз
6,Lippe::N,buză,мурччи
7,Wange::N,bucă,чӏав
8,Wange::N,obraz,чӏав
9,Gesicht::N,față,лажин
10,Gesicht::N,figură,лажин
11,Stirn::N,frunte,ненттабакӏ
12,Haar::N,păr,чӏара
13,Schnurrbart::N,mustață,ссирссилтту
14,Bart::N,barbă,чӏири
15,Kinn::N,bărbie,лунттубакӏ
16,Kiefer[Anatomie]::N,falcă,ххинчулул
17,Kehle::N,beregată,кьакьари
18,Hals::N,gât,ссурссу
19,Genick::N,ceafă,махъабакӏ
20,Kopf::N,cap,бакӏ
21,Rücken::N,dos,ттиликӏ
22,Rücken::N,spate,ттиликӏ
23,Rücken::N,spinare,ттиликӏ
24,Bauch::N,burtă,лякьа
25,Bauch::N,pântece,лякьа
26,Nabel::N,buric,цӏумуккутӏ
27,Busen::N,sân,ккукку
28,Brust::N,piept,хъазам
29,Schulter::N,umăr,хъачӏ
30,Schulter::N,spate,хъачӏ
31,Arm::N,braț,ка
32,Ellenbogen::N,cot,ссюрхъ
33,Hand::N,mână,бартка
34,Handfläche::N,palmă,хъат
35,Handfläche::N,palmă,битӏянхъ
36,Finger::N,deget,кӏисса
37,Fingernagel::N,unghie,михь
38,Nagel[Anatomie]::N,unghie,михь
39,Zeh::N,deget de la picior,кӏисса
40,Fuß::N,picior,чӏанччан
41,Ferse::N,călcâi,никъа
42,Knie::N,genunchi,ник
43,Oberschenkel::N,coapsă,жира
44,Bein::N,picior,ччан
45,Körper::N,corp,чурх
46,Haut::N,piele,бурчу
47,Blut::N,sânge,оь
48,Ader::N,vână,тунну
49,Ader::N,arteră,тунну
50,Sehne::N,tendon,хьхьа
51,Knochen::N,os,ттаркӏ
52,Gehirn::N,creier,ня
53,Herz::N,inimă,дакӏ
54,Herz::N,inimă,къюкӏ
55,Magen::N,stomac,лякьа
56,Leber::N,ficat,
57,Atem::N,răsuflare,ссихӏ ласаву
58,Atem::N,răsuflare,ссихӏ бигьаву
59,Atem::N,respirație,ссихӏ ласаву
60,Atem::N,respirație,ссихӏ бигьаву
61,Hunger::N,foame,ккаши
62,Träne::N,lacrimă,макь
63,Geschmack::N,gust,тӏин
64,Geschmack::N,gust,тӏааьн
65,Geruch::N,miros,кьанкь
66,Schlaf::N,somn,шану
67,Traum::N,vis,макӏру
68,Himmel::N,cer,ссав
69,Sonne::N,soare,баргъ
70,Mond::N,lună,барз
71,Stern::N,stea,цӏуку
72,Luft::N,aer,гьава
73,Wind::N,vânt,марч
74,Welle::N,val,щатӏи
75,Welle::N,undă,щатӏи
76,Wasser::N,apă,щин
77,Stein::N,piatră,чару
78,Boden::N,sol,аьрщи
79,Boden::N,pământ,аьрщи
80,Erde::N,pământ,аьрщи
81,Staub::N,praf,ххит
82,Rauch::N,fum,пуркӏу
83,Funke::N,scânteie,пиягь
84,Feuer::N,foc,цӏу
85,Licht::N,lumină,чани
