,Concept_ID,br,xal
0,Auge::N,lagad,нүдн
1,Ohr::N,skouarn,чикн
2,Nase::N,fri,хамр
3,Mund::N,genoù,амн
4,Zahn::N,dant,шүдн
5,Zunge::N,teod,келн
6,Lippe::N,muzell,урл
7,Wange::N,chot,халх
8,Gesicht::N,dremm,нүр
9,Stirn::N,tal,маңна
10,Haar::N,blev,үсн
11,Schnurrbart::N,mourenn,сахл
12,Bart::N,barv,сахл
13,Bart::N,barv,өргнә сахл
14,Kinn::N,groñj,өргн
15,Kiefer[Anatomie]::N,javed,өргн
16,Kehle::N,gouzoug,хол
17,Hals::N,gouzoug,күзүн
18,Genick::N,choug,гиҗг
19,Kopf::N,penn,толһа
20,Rücken::N,kein,нурһн
21,Bauch::N,kof,гесн
22,Nabel::N,begel,киисн
23,Busen::N,bronn,көкн
24,Brust::N,bruched,чееҗ
25,Schulter::N,skoaz,ээм
26,Arm::N,brec'h,һар
27,Ellenbogen::N,ilin,тоха
28,Hand::N,dorn,баһлцг
29,Handfläche::N,palv,альхн
30,Finger::N,biz,хурһн
31,Finger::N,biz,һарин хурһн
32,Fingernagel::N,ivin,хумсн
33,Nagel[Anatomie]::N,ivin,хумсн
34,Zeh::N,biz-troad,хурһн
35,Zeh::N,biz-troad,көлин хурһн
36,Fuß::N,troad,тавг
37,Ferse::N,seul,өскә
38,Knie::N,glin,өвдг
39,Oberschenkel::N,morzhed,һуй
40,Bein::N,gar,көл
41,Körper::N,korf,махмуд
42,Haut::N,kroc'hen,арсн
43,Blut::N,gwad,цусн
44,Ader::N,gwazhi,судцн
45,Sehne::N,stir,шүрүсн
46,Knochen::N,askorn,ясн
47,Gehirn::N,empenn,экн
48,Herz::N,kalon,зүркн
49,Magen::N,stomog,гесн
50,Leber::N,avu,элкн
51,Atem::N,anal,әмсхл
52,Hunger::N,naon,харһнлһн
53,Träne::N,daer,нульмсн
54,Geschmack::N,blaz,амтн
55,Geruch::N,c'hwezh,үнр
56,Schlaf::N,kousked,нөр
57,Traum::N,hune,зүүдн
58,Himmel::N,oabl,теңгр
59,Sonne::N,heol,нарн
60,Mond::N,loar,сар
61,Stern::N,steredenn,одн
62,Luft::N,aer,аһар
63,Wind::N,avel,салькн
64,Welle::N,houlenn,дольган
65,Wasser::N,dour,усн
66,Stein::N,maen,чолун
67,Boden::N,tachenn,Һазр
68,Erde::N,douar,Һазр
69,Staub::N,poultr,тоосн
70,Rauch::N,moged,утан
71,Funke::N,ful,очн
72,Feuer::N,tan,һал
73,Licht::N,gouloù,герл
74,Schatten::N,disheol,сүүдр
75,Wetter::N,amzer,теңгр
76,Nebel::N,brumenn,будн
77,Wolke::N,koumoulenn,үүлн
78,Regen::N,glav,хур
79,Schnee::N,erc'h,цасн
80,Eis::N,skorn,мөсн
81,Frost::N,rev,киитн
82,Kälte::N,yen,киитн
83,Hitze::N,tommder,халун
84,Raureif::N,frim,цаң
85,Raureif::N,frim,кирү
86,Regenbogen::N,gwareg-ar-glav,солңһ
87,Donner::N,kurun,оһтрһун дун
88,Strömung::N,red,урсхл
89,Tropfen::N,bannac'h,дусал
90,Tropfen::N,takenn,дусал
91,Schaum::N,spoum,көөсн
92,Schmutz::N,fank,кир
93,See::N,lenn,нур
94,Sumpf::N,gwern,унул
95,Moor::N,taouarc'heg,улм
96,Wiese::N,prad,хадлһн
97,Wald::N,koad,ө-модн
98,Hügel::N,torgenn,толһа
99,Anhöhe::N,run,хамр
100,Berg::N,menez,уул
101,Gipfel::N,barr,ора
102,Höhle::N,kav,хадин көндә
103,Abhang::N,naou,ташу
104,Quelle::N,feunteun,булг
105,Bach::N,gwazh,һооҗур
106,Fluss::N,stêr,һол
107,Ufer::N,ribl,көвә
108,Küste::N,aod,көвә
109,Küste::N,aod,теңгсин көвә
110,Festland::N,douar,хүүрә һазр
111,Meer::N,mor,теңгс
112,Bucht::N,mor-bihan,цекә
113,Bucht::N,mor-bihan,теңгсин цекә
114,Insel::N,enez,арл
115,Blume::N,bleunienn,цецг
116,Gras::N,geot,ноһан
117,Wurzel::N,gwrizienn,уңг
118,Baum::N,gwezenn,модн
119,Stamm::N,kef,шилв
120,Stamm::N,kef,һол модн
121,Rinde::N,rusk,көрсн
122,Ast::N,barr,ац
123,Zweig::N,bod,ац
124,Blatt::N,delienn,хамтхасн
125,Birke::N,bezvenn,хусм модн
126,Kiefer[Baum]::N,pinenn,шар харһа
127,Weide[Baum]::N,halegenn,удн
128,Tanne::N,sapenn,җөөлн цаһан модн
129,Horn::N,korn,өвр
130,Feder::N,pluñv,өрвлг
131,Fell::N,kreoñ,арсн
132,Flügel::N,askell,җивр
133,Klaue::N,skilf,хумсн
134,Kralle::N,skilf,тавг
135,Schwanz::N,lost,сүл
136,Ei::N,vi,өндгн
137,Nest::N,neizh,үр
138,Bau::N,douarenn,нүкн
139,Tier::N,loen,мал
140,Herde::N,tropell,сүрг мал
141,Kuh::N,buoc'h,үкр
142,Bulle::N,tarv,бух
143,Pferd::N,marc'h,мөрн
144,Schaf::N,dañvad,хөн
145,Schwein::N,pemoc'h,һаха
146,Hund::N,ki,ноха
147,Katze::N,kazh,мис
148,Bär::N,arzh,аю
149,Eichhörnchen::N,gwiñver,кермн
150,Elch::N,karv-dour,хандһа
151,Fuchs::N,louarn,арат
152,Hase::N,gad,туула
153,Maus::N,logodenn,хулһн
154,Wolf::N,bleiz,чон
155,Vogel::N,labous,шовун
156,Schwarm::N,nijad,зел
157,Huhn::N,yar,така
158,Hahn::N,kilhog,эр така
159,Gans::N,gwazenn,һалун
160,Adler::N,erer,һәрд
161,Ente::N,houad,нуһсн
162,Eule::N,toud,һурвлһ
163,Kranich::N,garan,тоһрун
164,Krähe::N,bran,шаазһа
165,Kuckuck::N,koukoug,эргин хуцдг
166,Schwan::N,alarc'h,хун
167,Fisch::N,pesk,заһсн
168,Barsch::N,brell,шүрг
169,Hecht::N,beked,цурх
170,Schlange[Tier]::N,naer,моһа
171,Wurm::N,preñv,өтн
172,Spinne::N,kevnidenn,аралҗн
173,Ameise::N,merion,шорһлҗн
174,Laus::N,laouenn,бөөсн
175,Mücke::N,moustik,бөкүн
176,Fliege::N,kelienenn,батхн
177,Schmetterling::N,balafenn,эрвәкә
178,Beere::N,hog,бөөлҗрһн
179,Apfel::N,aval,альмн
180,Pilz::N,kabell-touseg,теңгрин ки
181,Zwiebel::N,ognonenn,мәңгрснә толһа
182,Saat::N,had,буудян экн
183,Korn::N,ed,экн
184,Heu::N,foenn,өвсн
185,Schale::N,peliadur,хальсн
186,Falle::N,pech,урх
187,Falle::N,pech,хавх
188,Schlinge::N,krouglas,бүтү
189,Asche::N,ludu,үмсн
190,Dreck::N,fank,бальчг
191,Eisen::N,houarn,төмр
192,Gold::N,aour,алтн
193,Silber::N,arc'hant,мөңгн
194,Silber::N,arc'hant,цаһан мөңгн
195,Kohle::N,glaou,нүүрсн
196,Glas::N,gwer,шил
197,Sand::N,traezh,элсн
198,Mensch::N,den,күн
199,Mensch::N,den,күмн
200,Mann::N,den,эр
201,Frau::N,maouez,күүкд күн
202,Kind::N,bugel,үрн
203,Junge::N,paotr,көвүн
204,Mädchen::N,plac'h,бичкн күүкн
205,Familie::N,familh,бүл
206,Großvater::N,tad-kozh,өвк эцк
207,Großvater::N,tad-kozh,наһц эцк
208,Großmutter::N,mamm-gozh,эмг эк
209,Großmutter::N,mamm-gozh,наһц эк
210,Eltern::N,kerent,эк эцк хойр
