,Concept_ID,sl,lez
0,Auge::N,okó,вил
1,Ohr::N,uhó,яб
2,Nase::N,nós,нер
3,Mund::N,ústa,сив
4,Zahn::N,zób,сас
5,Zahn::N,zób,свах
6,Zunge::N,jêzik,мез
7,Lippe::N,ústnica,пӏуз
8,Wange::N,líce,хъвехъ
9,Gesicht::N,oblíčje,ччин
10,Stirn::N,čêlo,пел
11,Haar::N,lás,чӏар
12,Schnurrbart::N,bŕki,спел
13,Schnurrbart::N,bŕki,спелар
14,Bart::N,bráda,ччуру
15,Kinn::N,bráda,чене
16,Kiefer[Anatomie]::N,čeljúst,чене
17,Kehle::N,gŕlo,туьд
18,Hals::N,vrát,гардан
19,Genick::N,zatílnik,кьам
20,Kopf::N,gláva,кьил
21,Rücken::N,hrbèt,далу
22,Bauch::N,trébuh,руфун
23,Nabel::N,pópek,пицӏ
24,Busen::N,nédrja,мам
25,Brust::N,pŕsi,хур
26,Schulter::N,ráma,къуьн
27,Schulter::N,plêče,къуьн
28,Arm::N,rôka,гъил
29,Ellenbogen::N,komólec,кьуьнт
30,Hand::N,rôka,капаш
31,Handfläche::N,dlán,капан юкь
32,Finger::N,pŕst,тӏуб
33,Fingernagel::N,nóht na rôki,кек
34,Nagel[Anatomie]::N,nóht,кек
35,Zeh::N,pŕst na nôgi,кул
36,Fuß::N,nôga,кӏвач
37,Ferse::N,pêta,дабан
38,Knie::N,koléno,мет
39,Oberschenkel::N,stêgno,
40,Bein::N,nôga,кӏвач
41,Körper::N,teló,беден
42,Haut::N,kóža,хам
43,Blut::N,krí,иви
44,Ader::N,žíla,дамар
45,Sehne::N,kíta,кьуру дамар
46,Knochen::N,kóst,кӏараб
47,Gehirn::N,možgáni,мефт
48,Herz::N,srcé,рикӏ
49,Magen::N,želódec,хук
50,Leber::N,jétra,лекь
51,Atem::N,díh,ял
52,Atem::N,díh,нефес
53,Hunger::N,glád,каш
54,Träne::N,sólza,вилин нагъв
55,Geschmack::N,okús,дад
