,Concept_ID,ca,hr
0,Auge::N,ull,oko
1,Ohr::N,orella,uho
2,Nase::N,nas,nos
3,Mund::N,boca,usta
4,Zahn::N,dent,zub
5,Zunge::N,llēngua,jezik
6,Lippe::N,llavi,usna
7,Wange::N,galta,obraz
8,Gesicht::N,cara,lice
9,Stirn::N,front,čelo
10,Haar::N,cabēll,kosa
11,Schnurrbart::N,bigoti,brkovi
12,Bart::N,barba,brada
13,Kinn::N,mentó,brada
14,Kinn::N,mentó,podbradak
15,Kinn::N,barbeta,brada
16,Kinn::N,barbeta,podbradak
17,Kiefer[Anatomie]::N,queix,čeljust
18,Kiefer[Anatomie]::N,mandíbula,čeljust
19,Kehle::N,gola,grlo
20,Kehle::N,gorja,grlo
21,Hals::N,coll,vrat
22,Genick::N,nuca,zatiljak
23,Kopf::N,cap,glava
24,Rücken::N,esquena,leđa
25,Rücken::N,esquena,hrbat
26,Bauch::N,panxa,trbuh
27,Nabel::N,llombrígol,pupak
28,Busen::N,pit,sisa
29,Busen::N,pit,njedra
30,Busen::N,mama,sisa
31,Busen::N,mama,njedra
32,Brust::N,pit,prsa
33,Schulter::N,espatlla,rame
34,Schulter::N,espatlla,pleći
35,Arm::N,braç,ruka
36,Ellenbogen::N,colze,lakat
37,Hand::N,mà,ruka
38,Handfläche::N,palma,dlan
39,Finger::N,dit,prst
40,Fingernagel::N,ungla,nokat
41,Nagel[Anatomie]::N,ungla,nokat
42,Zeh::N,dit del peu,nozni prst
43,Fuß::N,peu,noga
44,Fuß::N,peu,stopalo
45,Ferse::N,taló,peta
46,Knie::N,genoll,koljeno
47,Oberschenkel::N,cuixa,bedro
48,Bein::N,cama,noga
49,Körper::N,cos,tijelo
50,Haut::N,pell,put
51,Haut::N,pell,koža
52,Blut::N,sang,krv
53,Ader::N,vena,žila
54,Sehne::N,tendó,tetiva
55,Knochen::N,os,kost
56,Gehirn::N,cervell,
57,Herz::N,cor,srce
58,Magen::N,estómac,stomak
59,Magen::N,estómac,želudac
60,Leber::N,fetge,jetra
61,Atem::N,alè,dah
62,Atem::N,hàlit,dah
63,Hunger::N,fam,glad
64,Hunger::N,gana,glad
65,Träne::N,llàgrima,suza
66,Geschmack::N,gust,ukus
67,Geschmack::N,sabor,ukus
68,Geruch::N,olor,njuh
69,Geruch::N,olor,miris
70,Schlaf::N,son,san
71,Traum::N,somni,san
72,Himmel::N,celm,nebo
73,Sonne::N,sol,sunce
74,Mond::N,lluna,mjesec
75,Stern::N,estel,zvijezda
76,Stern::N,estrella,zvijezda
77,Luft::N,aire,zrak
78,Wind::N,vent,vjetar
79,Welle::N,ona,val
80,Welle::N,ona,talas
81,Wasser::N,āigua,voda
82,Stein::N,pedra,kamen
83,Boden::N,sòl,tlo
84,Boden::N,sòl,zemlja
85,Erde::N,terra,zemlja
86,Staub::N,pols,prah
87,Staub::N,pols,prašina
88,Rauch::N,fum,dim
89,Funke::N,guspira,iskra
90,Funke::N,guspira,varnica
91,Funke::N,centella,iskra
92,Funke::N,centella,varnica
93,Feuer::N,foc,vatra
