,Concept_ID,se,cy
0,Auge::N,tjelmie,llygad
1,Auge::N,tjalmme,llygad
2,Auge::N,čalbmi,llygad
3,Auge::N,čalme,llygad
4,Auge::N,čâ´lmm,llygad
5,Auge::N,ча̄лльм,llygad
6,Ohr::N,bieljie,clust
7,Ohr::N,biellje,clust
8,Ohr::N,beallji,clust
9,Ohr::N,pelji,clust
10,Ohr::N,pe´llj,clust
11,Ohr::N,пе̄лльй,clust
12,Nase::N,njuenie,trwyn
13,Nase::N,njunnje,trwyn
14,Nase::N,njunni,trwyn
15,Nase::N,njuṇe,trwyn
16,Nase::N,njuu´nn,trwyn
17,Nase::N,нюннҍ,trwyn
18,Mund::N,njaelmie,ceg
19,Mund::N,njálmme,ceg
20,Mund::N,njálbmi,ceg
21,Mund::N,njälmi,ceg
22,Mund::N,njä´lmm,ceg
23,Mund::N,ня̄лльм,ceg
24,Zahn::N,baenie,dant
25,Zahn::N,bádne,dant
26,Zahn::N,bátni,dant
27,Zahn::N,pääṇi,dant
28,Zahn::N,pää´nn,dant
29,Zahn::N,па̄ннҍ,dant
30,Zunge::N,njoektjeme,tafod
31,Zunge::N,njuovtjav,tafod
32,Zunge::N,njuovčča,tafod
33,Zunge::N,njuovčâ,tafod
34,Zunge::N,njuhččâm,tafod
35,Zunge::N,нюхчем,tafod
36,Lippe::N,bangseme,gwefus
37,Lippe::N,njálmmerabdda,gwefus
38,Lippe::N,bavssa,gwefus
39,Lippe::N,poovsâ,gwefus
40,Lippe::N,põõus,gwefus
41,Lippe::N,пэ̄кс,gwefus
42,Wange::N,skiehrie,boch
43,Wange::N,nierra,boch
44,Wange::N,muohtu,boch
45,Wange::N,nieṛâ,boch
46,Wange::N,njiõrr,boch
47,Wange::N,нӣрр,boch
48,Gesicht::N,ååredæjja,wyneb
49,Gesicht::N,muohto,wyneb
50,Gesicht::N,muođut,wyneb
51,Gesicht::N,ámadadju,wyneb
52,Gesicht::N,muáđuh,wyneb
53,Gesicht::N,muâđ,wyneb
54,Gesicht::N,ка̄ссв,wyneb
55,Stirn::N,gaalloe,talcen
56,Stirn::N,gállo,talcen
57,Stirn::N,gállu,talcen
58,Stirn::N,kállu,talcen
59,Stirn::N,käll,talcen
60,Stirn::N,вуэххьц,talcen
61,Haar::N,voepte,blew
62,Haar::N,vuoppta,blew
63,Haar::N,vuokta,blew
64,Haar::N,vuop'tâ,blew
65,Haar::N,vuõpt,blew
66,Haar::N,вӯппт,blew
67,Schnurrbart::N,bijjie-skaavtjoe,mwstas
68,Schnurrbart::N,njunjevuolskávttjá,mwstas
69,Schnurrbart::N,seamu,mwstas
70,Schnurrbart::N,siämu,mwstas
71,Schnurrbart::N,ää´bben,mwstas
72,Schnurrbart::N,о̄а̄бпан,mwstas
73,Bart::N,skaavtja,barf
74,Bart::N,skaavtjoe,barf
75,Bart::N,skávttjá,barf
76,Bart::N,seamu,barf
77,Bart::N,siämu,barf
78,Bart::N,seäm,barf
79,Bart::N,ся̄м,barf
80,Kinn::N,gaejpie,gên
81,Kinn::N,gájbbe,gên
82,Kinn::N,gáibi,gên
83,Kinn::N,käibi,gên
84,Kinn::N,käi´bb,gên
85,Kinn::N,ка̄ййп,gên
86,Kiefer[Anatomie]::N,gaejpie,gên
87,Kiefer[Anatomie]::N,oalol,gên
88,Kiefer[Anatomie]::N,oaloldákte,gên
89,Kiefer[Anatomie]::N,gáibi,gên
90,Kiefer[Anatomie]::N,uá'lultähti,gên
91,Kiefer[Anatomie]::N,vuâl'lõš,gên
92,Kiefer[Anatomie]::N,вуаллнешш,gên
93,Kehle::N,gealoe,gwddf
94,Kehle::N,tjåttå,gwddf
95,Kehle::N,njiello,gwddf
96,Kehle::N,čotta,gwddf
97,Kehle::N,čuudâ,gwddf
98,Kehle::N,čoodd,gwddf
99,Kehle::N,чонт,gwddf
100,Kehle::N,кэ̄ҏс,gwddf
101,Hals::N,tjeapohke,gwddf
102,Hals::N,tjiebet,gwddf
103,Hals::N,čeabet,gwddf
104,Hals::N,čiäppát,gwddf
105,Hals::N,čeäppat,gwddf
106,Hals::N,ча̄пэх,gwddf
107,Genick::N,tjovrese,gwar
108,Genick::N,tjovrese,gwegil
109,Genick::N,nisske,gwar
110,Genick::N,nisske,gwegil
111,Genick::N,niehkki,gwar
112,Genick::N,niehkki,gwegil
113,Genick::N,niski,gwar
114,Genick::N,niski,gwegil
115,Genick::N,niek'ki,gwar
116,Genick::N,niek'ki,gwegil
117,Genick::N,nji´šǩǩmaadd,gwar
118,Genick::N,nji´šǩǩmaadd,gwegil
119,Genick::N,нышшькмоант,gwar
120,Genick::N,нышшькмоант,gwegil
121,Kopf::N,åejjie,pen
122,Kopf::N,oajvve,pen
123,Kopf::N,oaivi,pen
124,Kopf::N,uái'vi,pen
125,Kopf::N,vuei´vv,pen
126,Kopf::N,вуэййв,pen
127,Rücken::N,rudtje,cefn
