,Concept_ID,mdf,kl
0,Auge::N,сельме,isi
1,Ohr::N,пиле,siut
2,Nase::N,шалхка,
3,Mund::N,курга,paaq
4,Mund::N,курга,qaneq
5,Zahn::N,пей,kigut
6,Zunge::N,кяль,oqaq
7,Lippe::N,търва́,qarloq
8,Wange::N,щёка,ersaq
9,Gesicht::N,шама,kiinaq
10,Stirn::N,коня,qaaq
11,Haar::N,шя́ярь,meqqoq
12,Schnurrbart::N,уса́,
13,Bart::N,сакал,umik
14,Kinn::N,ула,talloq
15,Kiefer[Anatomie]::N,саласка,alleroq
16,Kehle::N,кълдома,malaq
17,Kehle::N,кърга́парь,malaq
18,Hals::N,сялдаз,qungaseq
19,Genick::N,шовонь,pukusuk
20,Kopf::N,пря,niaqoq
21,Rücken::N,копорь,qimerlut
22,Bauch::N,пеке,naaq
23,Nabel::N,по́кон,qalaseq
24,Busen::N,потя,iviangeq
25,Brust::N,мяште,iviangeq
26,Schulter::N,лафту,ersik
27,Schulter::N,лафту,assaqqoq
28,Arm::N,кядь,taleq
29,Ellenbogen::N,кенерьба́карь,ikusik
30,Hand::N,кядь,assak
31,Handfläche::N,кядьлапш,itumak
32,Finger::N,сур,inuak
33,Fingernagel::N,кенже,kikiak
34,Nagel[Anatomie]::N,кенже,kukik
35,Zeh::N,пильгосу́р,isigak
36,Fuß::N,пильге,
37,Fuß::N,пильгелапа,
38,Ferse::N,кочкяря,kimmik
39,Knie::N,эль,seeqqoq
40,Knie::N,пълма́нжа,seeqqoq
41,Oberschenkel::N,пильгепукша,uppat
42,Oberschenkel::N,пильгепукша,quttoraq
43,Bein::N,пильге,isigak
44,Körper::N,ро́нга,timi
45,Körper::N,по́нда,timi
46,Haut::N,киське,mattak
47,Blut::N,вер,aak
48,Ader::N,сан,taqaq
49,Ader::N,верза́н,taqaq
50,Sehne::N,коське сан,ujalu
51,Sehne::N,коське сан,ujaloq
52,Knochen::N,пакарь,saanikut
53,Gehirn::N,уй,qarasaq
54,Herz::N,седи,uummat
55,Magen::N,коткърдазь,aqajaroq
56,Leber::N,макса,tinguk
57,Atem::N,лекома,anerneq
58,Atem::N,ваймонь тарксема,anerneq
59,Hunger::N,вачеши,kaanneq
60,Träne::N,сельмове́дь,qia
61,Träne::N,сельмове́дь,qiak
62,Geschmack::N,таньф,qilanaartuut
63,Geruch::N,шине,tipi
64,Geruch::N,шине,tipik
65,Schlaf::N,удома́,
66,Traum::N,он,sinnattoq
67,Traum::N,он,sinnattugaq
68,Himmel::N,менель,qilak
69,Sonne::N,ши,seqineq
70,Mond::N,ков,qaammat
71,Stern::N,тяште,ulloriaq
72,Luft::N,кожф,silaannaq
73,Wind::N,варма,anori
74,Wind::N,варма,anorsarik
75,Welle::N,тавла,aalappaa
76,Wasser::N,ведь,imeq
77,Stein::N,кев,ujarak
78,Boden::N,мода,nateq
79,Boden::N,потмакс,nateq
80,Erde::N,мода,issoq
81,Erde::N,мастор,issoq
82,Staub::N,пуль,pujualanerit
83,Staub::N,пуль,pujoralanerit
84,Rauch::N,качам,iseq
85,Rauch::N,качам,pujoq
86,Funke::N,ця́тка,illoorneq
87,Feuer::N,тол,inneq
88,Licht::N,ва́лда,qaamaneq
89,Schatten::N,цильф,tarraq
90,Wetter::N,уша,sila
91,Nebel::N,тума́н,pujoq
92,Wolke::N,ковол,nuia
93,Regen::N,пизем,sialuk
94,Schnee::N,лов,aput
95,Eis::N,эй,siku
96,Frost::N,ке́льме,issi
97,Frost::N,ке́льме,issik
98,Kälte::N,якшама,issi
99,Hitze::N,пси,kianneq
100,Hitze::N,пси,kiassuseq
101,Raureif::N,леш,kaneq
102,Regenbogen::N,а́тямъёнга,neriusaaq
103,Donner::N,атям,kalleq
104,Strömung::N,шудема́,
105,Tropfen::N,путькс,kuseriarneq
106,Tropfen::N,пътняфкс,kuseriarneq
107,Schaum::N,шов,qapuk
108,Schmutz::N,ърда́з,minguk
109,See::N,эрьхке,taseq
110,Sumpf::N,шяй,maqulluk
111,Moor::N,шяй,
112,Wiese::N,луга,masarsuk
113,Wald::N,вирь,
114,Hügel::N,губо́р,qattuneq
115,Hügel::N,губо́р,majuariaq
116,Hügel::N,губо́р,majorajaaq
117,Hügel::N,губо́р,qaqqannguaq
118,Hügel::N,пандоня,qattuneq
119,Hügel::N,пандоня,majuariaq
120,Hügel::N,пандоня,majorajaaq
121,Hügel::N,пандоня,qaqqannguaq
122,Anhöhe::N,губо́р,
123,Berg::N,панда,qaqqaq
124,Gipfel::N,пря,
125,Höhle::N,у́нда,qaarusuk
126,Abhang::N,па́нда ша́ма,ippik
127,Abhang::N,па́нда ша́ма,sivinganeq
128,Abhang::N,па́нда ша́ма,sivingajaaq
129,Abhang::N,па́нда ша́ма,kussangajaaq
130,Quelle::N,эшиня,
131,Bach::N,шудерькс,kuunnguaq
132,Fluss::N,ляй,kuuk
133,Ufer::N,търва́,sissap sinaa
134,Küste::N,ляйтърва́,sineriak
135,Festland::N,мода,
136,Meer::N,моря,imaq
137,Bucht::N,ведьуське,ikeq
138,Bucht::N,ведьуське,kangerluk
139,Bucht::N,ведьуське,kangerliumaneq
140,Insel::N,цёнга,qeqertaq
141,Blume::N,панчф,naasoq
142,Gras::N,тише,ivigaq
143,Wurzel::N,юр,niulutaq
144,Wurzel::N,ункс,niulutaq
145,Baum::N,шуфта,orpik
146,Stamm::N,ро́нга,kanaartaq
147,Rinde::N,кер,ameraq
148,Ast::N,морга,avalequt
149,Zweig::N,тарад,avalequt
150,Blatt::N,лопа,pilutaq
151,Birke::N,ке́лу,patitsit
152,Kiefer[Baum]::N,пиче,
153,Weide[Baum]::N,каль,palleq
154,Tanne::N,куз,orsuerneq
155,Horn::N,сюра,nassuk
156,Feder::N,толга,suluk
157,Fell::N,кедь,ameq
158,Flügel::N,паця,suluk
159,Flügel::N,паця,isaroq
160,Klaue::N,кенже,kukik
161,Kralle::N,кенже,kukik
162,Schwanz::N,пула,pamioq
163,Schwanz::N,пула,paperuusaq
164,Ei::N,ал,mannik
165,Nest::N,пиза,ullut
166,Bau::N,пиза,ini
167,Tier::N,жува́та,uumasoq
168,Herde::N,нал,unguukkat
169,Herde::N,стада,unguukkat
170,Kuh::N,скал,ussik
171,Kuh::N,тракс,ussik
172,Bulle::N,бука,angukulak
173,Bulle::N,бука,anguteralak
174,Bulle::N,бука,angutikulooq
175,Pferd::N,лишме,
176,Schaf::N,уча́,sava
177,Schwein::N,тува,puuluki
178,Hund::N,пине,qimmeq
179,Katze::N,катоня,puisaaq
180,Katze::N,аваката,puisaaq
181,Bär::N,офта,allaq
182,Eichhörnchen::N,ур,sissinnguaq
183,Elch::N,ся́рда,
184,Fuchs::N,келазь,terianniaq
185,Hase::N,ну́мол,ukaleq
186,Maus::N,шеер,teriannguaq
187,Wolf::N,върьгаз,amaroq
188,Vogel::N,нармонь,timmiaq
189,Schwarm::N,ко́вол,
190,Schwarm::N,ме́швеле,
191,Huhn::N,сараз,kukkukooq
192,Huhn::N,сараз,marloraaqaaq
193,Hahn::N,а́тякш,kiasiusaq
194,Gans::N,маци,nerleq
195,Adler::N,куцькан,nattoralik
196,Ente::N,яксярга,
197,Eule::N,ко́рож,uppik
198,Kranich::N,ка́рга,qorlorfik
199,Krähe::N,ва́рси,tuluatsiaq
200,Kuckuck::N,ку́ку,kukkooq
201,Schwan::N,ло́ксти,qussuk
202,Fisch::N,кал,aalisagaq
203,Barsch::N,о́кунь,
204,Hecht::N,щу́ка,
205,Schlange[Tier]::N,куй,pulateriarsuk
206,Schlange[Tier]::N,куй,pulateriaarsuk
207,Wurm::N,сукс,
208,Spinne::N,унжа́,aasiaq
209,Spinne::N,унжа́,nissavaarsuk
210,Ameise::N,панжам,uniaaluk
211,Laus::N,си,kumak
212,Mücke::N,ся́ське,ippernaq
213,Fliege::N,кару,ippernaq
214,Schmetterling::N,ме́лав,paluaq
215,Schmetterling::N,ме́лав,pakkaluaq
216,Schmetterling::N,ме́лав,utsuppaluaq
217,Schmetterling::N,ме́лав,taqaleqisaaq
218,Beere::N,и́мож,paarmaq
219,Beere::N,и́мож,paarngaq
220,Apfel::N,марь,iipili
221,Pilz::N,панга,anngiusaq
222,Zwiebel::N,шурьхкя́,uanitsoq
223,Saat::N,видьмот,naatsiiassaq
224,Korn::N,сёра,maannineq
225,Heu::N,тише,
226,Schale::N,кедь,niutsivik
227,Schale::N,кедь,ilulissaq qaartussaq
228,Grube::N,лотка,itersaq
229,Falle::N,туфкс,pualavoq
230,Falle::N,кунда́ма,pualavoq
231,Schlinge::N,килькш,orseq
232,Schlinge::N,килькш,norloq
233,Spur::N,пильгоки́,tumaa
234,Asche::N,кулу,arsat
235,Dreck::N,ърда́з,minguk
236,Eisen::N,кшни,savimineq
237,Eisen::N,кшни,saffiugassaq
238,Gold::N,ока,kuulti
239,Gold::N,золота,kuulti
240,Silber::N,сия́,siilviuvoq
241,Kohle::N,седь,aamarsuit aamaruutissat
242,Kohle::N,седьвальмя,aamarsuit aamaruutissat
243,Glas::N,кля́нцек,igalaaq
244,Glas::N,кля́нцек,imertarfik
245,Glas::N,кля́нцек,igalaamineq
246,Lehm::N,сёвонь,marraq
247,Sand::N,шува́р,sioqqat
248,Mensch::N,ломань,inuk
249,Mensch::N,ломань,silamiu
250,Mann::N,аля,angut
251,Mann::N,цёраломань,angut
252,Frau::N,ава,arnaq
253,Kind::N,идь,meeraq
254,Kind::N,шаба,meeraq
255,Junge::N,цёраня,nukappiaraq
256,Mädchen::N,стирня́,arnannguaq
257,Familie::N,тнал,ilaqutakka
258,Familie::N,тнал,ilaqutariit
259,Familie::N,семья,ilaqutakka
260,Familie::N,семья,ilaqutariit
261,Großvater::N,атя,aatak
262,Großvater::N,щя́тя,aatak
263,Großmutter::N,баба,aanaq
264,Eltern::N,тя́дят-а́лят,angajoqqaat
265,Vater::N,аля,ataata
266,Vater::N,аля,ataataq
267,Mutter::N,ава,anaana
268,Mutter::N,тядя,anaana
269,Sohn::N,цёра,erneq
270,Tochter::N,стирь,panik
271,Bruder::N,дуган,ani
272,Bruder::N,дуган,aqqaluk
273,Bruder::N,дуган,qatanngut
274,Bruder::N,пяльне,ani
275,Bruder::N,пяльне,aqqaluk
276,Bruder::N,пяльне,qatanngut
277,Schwester::N,ака,naja
278,Schwester::N,ака,aleqa
279,Schwester::N,ака,qatanngut
280,Schwester::N,сазор,naja
281,Schwester::N,сазор,aleqa
282,Schwester::N,сазор,qatanngut
283,Onkel::N,оця,akkak
284,Onkel::N,патя,akkak
285,Onkel::N,щеня́,akkak
286,Tante::N,ака,aja
287,Tante::N,ака,ajak
288,Tante::N,ака,atsak
289,Tante::N,щака,aja
290,Tante::N,щака,ajak
291,Tante::N,щака,atsak
292,Ehemann::N,мирде,ui
293,Ehefrau::N,ърьвя́,nuliaq
294,Freude::N,ке́нярдема,tipaatsussuseq
295,Gelächter::N,рахсема,illaq
296,Glück::N,паваз,usornaat
297,Glück::N,паваз,usornarsuseq
298,Kummer::N,ризф,
299,Kummer::N,пичефкс,
300,Wunsch::N,мяль,kissaat
301,Wunsch::N,таколдома,kissaat
302,Lust::N,таколдома,illigussuseq
303,Lust::N,таколдома,piummaseq
304,Geist::N,вайме,anerneq
305,Geist::N,вайме,toornaq
306,Gedanke::N,мяль,isumassaq
307,Gedächtnis::N,прявий,eqqaamannissuseq
308,Verstand::N,прявий,isuma
309,Verstand::N,прявий,sianissut
310,Verstand::N,прявий,misigissut
311,Verstand::N,прявий,sianissuseq
312,Verstand::N,прявий,silaqassuseq
313,Sinn::N,ён,isuma
314,Grund::N,туфта́л,patsit
315,Wahrheit::N,ви́де,sallusuissut
316,Wahrheit::N,видеши́,sallusuissut
317,Gespräch::N,корхтама,
318,Märchen::N,ёфкс,oqalualaarut
319,Märchen::N,ёфкс,oqaluasaaq
320,Erzählung::N,азкс,oqaluttuaq
321,Nachricht::N,куля́,oqaassut
322,Nachricht::N,куля́,oqqersuut
323,Neuigkeit::N,куля́,tusarnartaq
