,Concept_ID,ru,uk
0,Auge::N,глаз,око
1,Ohr::N,ухо,вухо
2,Nase::N,нос,ніс
3,Mund::N,рот,рот
4,Zahn::N,зуб,зуб
5,Zunge::N,язык,язик
6,Lippe::N,губа,губа
7,Wange::N,щека,щока
8,Gesicht::N,лицо,обличчя
9,Stirn::N,лоб,лоб
10,Haar::N,волос,волосся
11,Haar::N,волосы,волосся
12,Schnurrbart::N,ус,вуса
13,Schnurrbart::N,усы,вуса
14,Bart::N,борода,борода
15,Kinn::N,подбородок,підборіддя
16,Kiefer[Anatomie]::N,челюсть,щелепа
17,Kehle::N,горло,горло
18,Hals::N,шея,шия
19,Genick::N,затылок,потилиця
20,Kopf::N,голова,голова
21,Rücken::N,спина,спина
22,Bauch::N,живот,живіт
23,Nabel::N,пупок,пупок
24,Busen::N,женская грудь,груди
25,Brust::N,грудь,груди
26,Schulter::N,плечо,плече
27,Arm::N,рука,рука
28,Ellenbogen::N,локоть,лікоть
29,Hand::N,кисть,рука
30,Handfläche::N,ладонь,долоня
31,Finger::N,палец,палець
32,Fingernagel::N,ноготь,ніготь
33,Nagel[Anatomie]::N,ноготь,ніготь
34,Zeh::N,палец,палець на нозі
35,Fuß::N,ступня,нога
36,Ferse::N,пята,п’ятка
37,Ferse::N,пятка,п’ятка
38,Knie::N,колено,коліно
39,Oberschenkel::N,бедро,стегно
40,Bein::N,нога,нога
41,Körper::N,тело,тіло
42,Haut::N,кожа,шкіра
43,Blut::N,кровь,кров
44,Ader::N,вена,вена
45,Ader::N,сосуд,вена
46,Sehne::N,жила,сухожилля
47,Sehne::N,тетива,сухожилля
48,Sehne::N,сухожилие,сухожилля
49,Knochen::N,кость,кістка
50,Gehirn::N,мозг,мозок
51,Herz::N,сердце,серце
52,Magen::N,желудок,шлунок
53,Leber::N,печень,печінка
54,Atem::N,дух,дихання
55,Atem::N,дыхание,дихання
56,Hunger::N,голод,голод
57,Träne::N,слеза,сльоза
58,Geschmack::N,вкус,смак
59,Geruch::N,запах,запах
60,Schlaf::N,сон,сон
61,Schlaf::N,сон,сплячка
62,Traum::N,сновидение,сон
63,Himmel::N,небо,небо
64,Sonne::N,солнце,сонце
65,Mond::N,луна,місяць
66,Stern::N,звезда,зірка
67,Luft::N,воздух,повітря
68,Wind::N,ветер,вітер
69,Welle::N,волна,хвиля
70,Wasser::N,вода,вода
71,Stein::N,камень,камінь
72,Boden::N,почва,ґрунт
73,Erde::N,земля,земля
74,Staub::N,пыль,пил
75,Rauch::N,дым,дим
76,Funke::N,искра,іскра
77,Feuer::N,огонь,вогонь
78,Licht::N,свет,світло
79,Schatten::N,тень,тінь
80,Wetter::N,погода,погода
81,Nebel::N,туман,туман
82,Wolke::N,облако,хмара
83,Regen::N,дождь,дощ
84,Schnee::N,снег,сніг
85,Eis::N,лед,лід
86,Frost::N,мороз,мороз
87,Kälte::N,холод,холод
88,Hitze::N,жара,жар
89,Raureif::N,иней,іній
90,Regenbogen::N,радуга,райдуга
91,Donner::N,гром,грім
92,Strömung::N,течение,струмина
93,Tropfen::N,капля,крапля
94,Schaum::N,пена,піна
95,Schmutz::N,грязь,бруд
96,See::N,озеро,озеро
97,Sumpf::N,топь,драговина
98,Moor::N,болото,болото
99,Wiese::N,луг,луг
100,Wiese::N,луг,лука
101,Wald::N,лес,ліс
102,Hügel::N,холм,горб
103,Anhöhe::N,возвышенность,височина
104,Berg::N,гора,гора
105,Gipfel::N,вершина,вершина
106,Höhle::N,пещера,печера
107,Abhang::N,склон,схил
108,Quelle::N,источник,джерело
109,Bach::N,ручей,струмок
110,Fluss::N,река,річка
111,Ufer::N,берег,берег
112,Küste::N,побережье,узбережжя
113,Festland::N,суша,суша
114,Meer::N,море,море
