,Concept_ID,te,sv
0,Auge::N,కన్ను,öga
1,Ohr::N,చెవి,öra
2,Nase::N,ముక్కు,näsa
3,Mund::N,నోరు,mun
4,Zahn::N,పల్లు,tand
5,Zunge::N,నాలుక,tunga
6,Lippe::N,పెదవి,läpp
7,Wange::N,చెంప,kind
8,Gesicht::N,ముఖము,syn
9,Gesicht::N,ముఖము,ansikte
10,Stirn::N,నుదురు,panna
11,Haar::N,వెండ్రుక,hår
12,Schnurrbart::N,మీసము,mustasch
13,Bart::N,గడ్డము,skägg
14,Kinn::N,గడ్డము,haka
15,Kiefer[Anatomie]::N,దౌడ,käke
16,Kehle::N,గొంతు,strupe
17,Hals::N,మెడ,hals
18,Genick::N,మూపు,nacke
19,Kopf::N,తల,huvud
20,Rücken::N,వెన్ను,rygg
21,Bauch::N,కడుపు,buk
22,Bauch::N,కడుపు,mage
23,Nabel::N,బొడ్డు,navel
24,Busen::N,స్తనము,barm
25,Brust::N,ఱొమ్ము,bröst
26,Schulter::N,భుజము,skuldra
27,Arm::N,చేయి,arm
28,Ellenbogen::N,మోచేయి,armbåge
29,Hand::N,చేయి,hand
30,Handfläche::N,అరచేయు,handflata
31,Finger::N,చేతిప్రేలు,finger
32,Fingernagel::N,గోరు,fingernagel
33,Nagel[Anatomie]::N,గోరు,nagel
34,Zeh::N,కాలిప్రేలు,tå
35,Fuß::N,అడుగు,fot
36,Ferse::N,మడమ,häl
37,Knie::N,మోకాలు,knä
38,Oberschenkel::N,తొడ,lår
39,Bein::N,కాలు,ben
40,Körper::N,కాయము,kropp
41,Haut::N,చర్మము,hud
42,Haut::N,చర్మము,skinn
43,Blut::N,రక్తము,blod
44,Ader::N,సిర,åder
45,Sehne::N,స్నాయువు,sena
46,Knochen::N,ఎముక,ben
47,Gehirn::N,మెదడు,hjärna
48,Herz::N,హృదయము,hjärta
49,Magen::N,కడుపు,mage
50,Leber::N,కాలేయము,lever
51,Atem::N,ఉపిరి,anda
52,Atem::N,ఉపిరి,andedräkt
53,Hunger::N,ఆకలి,svält
54,Hunger::N,ఆకలి,hunger
55,Träne::N,కన్నీటిచుక్క,tår
56,Geschmack::N,రుచి,smak
57,Geruch::N,వాసన,lukt
58,Schlaf::N,నిద్ర,sömn
59,Traum::N,కల,dröm
60,Himmel::N,ఆకాశము,himmel
61,Sonne::N,సూర్యుడు,sol
62,Mond::N,చంద్రుడు,måne
63,Stern::N,నక్షత్రము,stjärna
64,Luft::N,గాలి,luft
65,Wind::N,వీచుచున్నగాలి,vind
66,Welle::N,అల,våg
67,Welle::N,అల,bölja
68,Wasser::N,నీరు,vatten
69,Stein::N,ఱాయి,sten
70,Boden::N,నేల,mark
71,Erde::N,మన్ను,jord
72,Staub::N,దుమ్ము,damm
73,Rauch::N,పొగ,rök
74,Funke::N,అగ్నికణము,gnista
75,Feuer::N,అగ్ని,eld
76,Licht::N,కాంతి,ljus
77,Schatten::N,నీడ,skugga
78,Wetter::N,వాతావరణ స్థితి,väder
79,Nebel::N,పొగమంచు,dimma
80,Nebel::N,పొగమంచు,töcken
81,Wolke::N,మేఘము,sky
82,Wolke::N,మేఘము,moln
83,Regen::N,వాన,regn
84,Schnee::N,హిమము,snö
85,Eis::N,మంచుగడ్డ,is
86,Frost::N,పేరిన మంచు,frost
87,Kälte::N,చలి,köld
88,Hitze::N,వేడిమి,hetta
89,Raureif::N,మంచు,rimfrost
90,Regenbogen::N,ఇంద్రధనుస్సు,regnbåge
91,Donner::N,ఉరుము,åska
92,Donner::N,ఉరుము,dunder
93,Strömung::N,ప్రవాహము,strömning
94,Tropfen::N,చుక్క,dropper
95,Schaum::N,నురుగు,skum
96,Schmutz::N,మైల,lort
97,Schmutz::N,మైల,smuts
98,See::N,సరస్సు,sjö
99,Sumpf::N,చిత్తడినేల,träsk
100,Moor::N,చిత్తడినేల,myr
101,Moor::N,చిత్తడినేల,mosse
102,Wiese::N,పచ్చిక బయలు,äng
103,Wald::N,అడవి,skog
104,Hügel::N,చివ్నకొండ,höjd
105,Hügel::N,చివ్నకొండ,kulle
106,Anhöhe::N,కొండ,höjd
107,Anhöhe::N,కొండ,backe
108,Berg::N,పర్వతము,berg
109,Berg::N,పర్వతము,fjäll
110,Gipfel::N,శిఖరము,topp
111,Höhle::N,గుహ,håla
112,Höhle::N,గుహ,grotta
113,Abhang::N,ఏటవాలు,slänt
114,Abhang::N,ఏటవాలు,sluttning
115,Quelle::N,మూలము,källa
116,Bach::N,కాలువ,bäck
117,Fluss::N,నది,älv
118,Fluss::N,నది,flod
119,Ufer::N,తీరము,strand
120,Küste::N,తీరము,kust
121,Festland::N,భూమి,fastland
122,Meer::N,సముద్రము,hav
123,Bucht::N,మరుగు,vik
124,Bucht::N,మరుగు,bukt
125,Insel::N,దీవి,ö
126,Blume::N,పుష్పము,blomma
127,Blume::N,పుష్పము,blomster
128,Gras::N,పచ్చగడ్డి,gräs
129,Wurzel::N,వేరు,rot
130,Baum::N,చెట్టు,träd
131,Stamm::N,చెట్టుబోదె,stam
132,Rinde::N,చెట్టుపట్ట,bark
133,Ast::N,కొమ్మ,gren
134,Zweig::N,చివుకు,kvist
135,Blatt::N,ఆకు,löv
136,Blatt::N,ఆకు,blad
137,Birke::N,తరహా చెట్టు,björk
