,Concept_ID,sl,mdf
0,Auge::N,okó,сельме
1,Ohr::N,uhó,пиле
2,Nase::N,nós,шалхка
3,Mund::N,ústa,курга
4,Zahn::N,zób,пей
5,Zunge::N,jêzik,кяль
6,Lippe::N,ústnica,търва́
7,Wange::N,líce,щёка
8,Gesicht::N,oblíčje,шама
9,Stirn::N,čêlo,коня
10,Haar::N,lás,шя́ярь
11,Schnurrbart::N,bŕki,уса́
12,Bart::N,bráda,сакал
13,Kinn::N,bráda,ула
14,Kiefer[Anatomie]::N,čeljúst,саласка
15,Kehle::N,gŕlo,кълдома
16,Kehle::N,gŕlo,кърга́парь
17,Hals::N,vrát,сялдаз
18,Genick::N,zatílnik,шовонь
19,Kopf::N,gláva,пря
20,Rücken::N,hrbèt,копорь
21,Bauch::N,trébuh,пеке
22,Nabel::N,pópek,по́кон
23,Busen::N,nédrja,потя
24,Brust::N,pŕsi,мяште
25,Schulter::N,ráma,лафту
26,Schulter::N,plêče,лафту
27,Arm::N,rôka,кядь
28,Ellenbogen::N,komólec,кенерьба́карь
29,Hand::N,rôka,кядь
30,Handfläche::N,dlán,кядьлапш
31,Finger::N,pŕst,сур
32,Fingernagel::N,nóht na rôki,кенже
33,Nagel[Anatomie]::N,nóht,кенже
34,Zeh::N,pŕst na nôgi,пильгосу́р
35,Fuß::N,nôga,пильге
36,Fuß::N,nôga,пильгелапа
37,Ferse::N,pêta,кочкяря
38,Knie::N,koléno,эль
39,Knie::N,koléno,пълма́нжа
40,Oberschenkel::N,stêgno,пильгепукша
41,Bein::N,nôga,пильге
42,Körper::N,teló,ро́нга
43,Körper::N,teló,по́нда
44,Haut::N,kóža,киське
45,Blut::N,krí,вер
46,Ader::N,žíla,сан
47,Ader::N,žíla,верза́н
48,Sehne::N,kíta,коське сан
49,Knochen::N,kóst,пакарь
50,Gehirn::N,možgáni,уй
51,Herz::N,srcé,седи
52,Magen::N,želódec,коткърдазь
53,Leber::N,jétra,макса
54,Atem::N,díh,лекома
55,Atem::N,díh,ваймонь тарксема
56,Hunger::N,glád,вачеши
57,Träne::N,sólza,сельмове́дь
58,Geschmack::N,okús,таньф
59,Geruch::N,vónj,шине
60,Schlaf::N,sèn,удома́
61,Schlaf::N,spánec,удома́
62,Traum::N,sánje,он
63,Himmel::N,nebó,менель
64,Sonne::N,sónce,ши
65,Mond::N,lúna,ков
66,Mond::N,mésec,ков
67,Stern::N,zvézda,тяште
68,Luft::N,zràk,кожф
69,Wind::N,véter,варма
70,Welle::N,vál,тавла
71,Wasser::N,vôda,ведь
72,Stein::N,kámen,кев
73,Boden::N,tlà,мода
74,Boden::N,tlà,потмакс
75,Erde::N,pŕst,мода
76,Erde::N,pŕst,мастор
77,Erde::N,zêmlja,мода
78,Erde::N,zêmlja,мастор
79,Staub::N,práh,пуль
80,Rauch::N,dìm,качам
81,Funke::N,ískra,ця́тка
82,Feuer::N,ôgenj,тол
83,Licht::N,lúč,ва́лда
84,Schatten::N,sénca,цильф
85,Wetter::N,vrême,уша
86,Nebel::N,meglà,тума́н
87,Wolke::N,oblák,ковол
