,Concept_ID,ca,te
0,Auge::N,ull,కన్ను
1,Ohr::N,orella,చెవి
2,Nase::N,nas,ముక్కు
3,Mund::N,boca,నోరు
4,Zahn::N,dent,పల్లు
5,Zunge::N,llēngua,నాలుక
6,Lippe::N,llavi,పెదవి
7,Wange::N,galta,చెంప
8,Gesicht::N,cara,ముఖము
9,Stirn::N,front,నుదురు
10,Haar::N,cabēll,వెండ్రుక
11,Schnurrbart::N,bigoti,మీసము
12,Bart::N,barba,గడ్డము
13,Kinn::N,mentó,గడ్డము
14,Kinn::N,barbeta,గడ్డము
15,Kiefer[Anatomie]::N,queix,దౌడ
16,Kiefer[Anatomie]::N,mandíbula,దౌడ
17,Kehle::N,gola,గొంతు
18,Kehle::N,gorja,గొంతు
19,Hals::N,coll,మెడ
20,Genick::N,nuca,మూపు
21,Kopf::N,cap,తల
22,Rücken::N,esquena,వెన్ను
23,Bauch::N,panxa,కడుపు
24,Nabel::N,llombrígol,బొడ్డు
25,Busen::N,pit,స్తనము
26,Busen::N,mama,స్తనము
27,Brust::N,pit,ఱొమ్ము
28,Schulter::N,espatlla,భుజము
29,Arm::N,braç,చేయి
30,Ellenbogen::N,colze,మోచేయి
31,Hand::N,mà,చేయి
32,Handfläche::N,palma,అరచేయు
33,Finger::N,dit,చేతిప్రేలు
34,Fingernagel::N,ungla,గోరు
35,Nagel[Anatomie]::N,ungla,గోరు
36,Zeh::N,dit del peu,కాలిప్రేలు
37,Fuß::N,peu,అడుగు
38,Ferse::N,taló,మడమ
39,Knie::N,genoll,మోకాలు
40,Oberschenkel::N,cuixa,తొడ
41,Bein::N,cama,కాలు
42,Körper::N,cos,కాయము
43,Haut::N,pell,చర్మము
44,Blut::N,sang,రక్తము
45,Ader::N,vena,సిర
46,Sehne::N,tendó,స్నాయువు
47,Knochen::N,os,ఎముక
48,Gehirn::N,cervell,మెదడు
49,Herz::N,cor,హృదయము
50,Magen::N,estómac,కడుపు
51,Leber::N,fetge,కాలేయము
52,Atem::N,alè,ఉపిరి
53,Atem::N,hàlit,ఉపిరి
54,Hunger::N,fam,ఆకలి
55,Hunger::N,gana,ఆకలి
56,Träne::N,llàgrima,కన్నీటిచుక్క
57,Geschmack::N,gust,రుచి
58,Geschmack::N,sabor,రుచి
59,Geruch::N,olor,వాసన
60,Schlaf::N,son,నిద్ర
61,Traum::N,somni,కల
62,Himmel::N,celm,ఆకాశము
63,Sonne::N,sol,సూర్యుడు
64,Mond::N,lluna,చంద్రుడు
65,Stern::N,estel,నక్షత్రము
66,Stern::N,estrella,నక్షత్రము
67,Luft::N,aire,గాలి
68,Wind::N,vent,వీచుచున్నగాలి
69,Welle::N,ona,అల
70,Wasser::N,āigua,నీరు
71,Stein::N,pedra,ఱాయి
72,Boden::N,sòl,నేల
73,Erde::N,terra,మన్ను
74,Staub::N,pols,దుమ్ము
75,Rauch::N,fum,పొగ
76,Funke::N,guspira,అగ్నికణము
77,Funke::N,centella,అగ్నికణము
78,Feuer::N,foc,అగ్ని
79,Licht::N,llum,కాంతి
80,Schatten::N,ombra,నీడ
81,Wetter::N,temps,వాతావరణ స్థితి
82,Nebel::N,boira,పొగమంచు
83,Wolke::N,núvol,మేఘము
84,Regen::N,pluja,వాన
85,Schnee::N,neu,హిమము
86,Eis::N,gel,మంచుగడ్డ
87,Eis::N,glaç,మంచుగడ్డ
