,Concept_ID,eu,ady
0,Auge::N,begi,нэ
1,Ohr::N,belarri,тхьакӏу́м
2,Nase::N,sudur,пэ
3,Mund::N,aho,жэ
4,Zahn::N,hortz,цэ
5,Zunge::N,mihi,бзэгу
6,Lippe::N,ezpain,ӏупшӏэ́
7,Wange::N,masail,нэкӏу́шъу
8,Gesicht::N,aurpegi,нэ́гу
9,Stirn::N,bekoki,натӏэ́
10,Haar::N,ile,шъхьацы́
11,Haar::N,bilo,шъхьацы́
12,Schnurrbart::N,bibote,
13,Schnurrbart::N,sudurpeko,
14,Bart::N,bizar,жакӏэ́
15,Kinn::N,kokots,жэкӏэпэпкъ
16,Kiefer[Anatomie]::N,masailezur,жэпкъы́
17,Kehle::N,eztarri,чый
18,Hals::N,sama,пшъэ
19,Genick::N,garondo,шъхьэпхэтыку
20,Kopf::N,buru,шъхьэ́
21,Rücken::N,bizkar,кӏыбы́
22,Bauch::N,sabel,ныбэ́
23,Nabel::N,zilbor,
24,Busen::N,titi,бгъэ́
25,Busen::N,ugatz,бгъэ́
26,Brust::N,bular,бгъэ́
27,Schulter::N,besaburu,блыпкъ
28,Arm::N,beso,ӏэ
29,Ellenbogen::N,ukondo,ӏэнтэ́гъу
30,Hand::N,esku,ӏэтхьэцу
31,Handfläche::N,ahur,ӏэ́гу
32,Finger::N,hatz,ӏэхъуа́мб
33,Fingernagel::N,azazkal,ӏэбжъа́н
34,Nagel[Anatomie]::N,azazkal,ӏэбжъа́н
35,Zeh::N,behatz,ӏэхъуа́мб
36,Fuß::N,oin,лъэгу
37,Ferse::N,orpo,лъэдакъэ
38,Ferse::N,oinburu,лъэдакъэ
39,Knie::N,belaun,лъагуа́ндж
40,Oberschenkel::N,izter,ко
41,Bein::N,zango,лъакъо́
42,Körper::N,soin,пкъышъол
43,Haut::N,azal,кӏы́шъу
44,Blut::N,odol,лъы
45,Ader::N,zain,льытф
46,Sehne::N,gihar-zain,фэ
47,Knochen::N,hezur,къупшъхьэ́
48,Gehirn::N,garun,куцӏы
49,Gehirn::N,burmuin,куцӏы
50,Herz::N,bihotz,гу
51,Magen::N,urdail,мышкӏу
52,Leber::N,gibel,шӏу
53,Atem::N,hats,къэщэныр
54,Atem::N,arnasa,къэщэныр
55,Hunger::N,gose,гъаблэ́
56,Träne::N,malko,нэпсы
57,Geschmack::N,dasta,ӏэшӏугъа́кӏ
58,Geruch::N,usain,мэ
59,Schlaf::N,lo,пчыхьы́пӏ
60,Traum::N,amets,пчыхьы́пӏ
61,Himmel::N,zeru,уашъо́
62,Sonne::N,eguzki,тыгъэ
63,Mond::N,ilargi,мазэ
64,Stern::N,izar,жъуагъо́
65,Luft::N,aire,жьы
66,Wind::N,haize,жьыбгъэ́
67,Welle::N,uhin,ор
68,Welle::N,uhin,оры
69,Welle::N,olatu,ор
70,Welle::N,olatu,оры
71,Wasser::N,ur,псы
72,Stein::N,harri,мыжъо́
73,Boden::N,lur,чӏ́ыгу
74,Boden::N,zoru,чӏ́ыгу
75,Erde::N,lur,чӏ́ыгу
76,Staub::N,hauts,сап
77,Rauch::N,ke,ӏугъо́
78,Funke::N,zirta,мэшӏуа́ч
79,Funke::N,txinparta,мэшӏуа́ч
80,Feuer::N,su,машӏо́
81,Licht::N,argi,нэфы
82,Licht::N,argi,нэфын
83,Schatten::N,itzal,жьау́
84,Schatten::N,itzal,ныбжьыкъу
85,Schatten::N,geriza,жьау́
86,Schatten::N,geriza,ныбжьыкъу
87,Wetter::N,eguraldi,
88,Nebel::N,laino,пща́гъу
89,Wolke::N,hodei,ошъуапщэ
90,Regen::N,euri,ощхы
91,Schnee::N,elur,осы́
92,Eis::N,horma,мылы
93,Frost::N,izotzaldi,
94,Kälte::N,hotz,чъыӏэ́
95,Hitze::N,bero,фэба́е
96,Raureif::N,antzigar,
97,Regenbogen::N,ostadar, лэгъупэкъо́пс
98,Regenbogen::N,ortzadar, лэгъупэкъо́пс
99,Donner::N,ostots,шыблэ́
100,Donner::N,ihurtzuri,шыблэ́
101,Strömung::N,laster,ток
102,Tropfen::N,xorta,ткӏопс
103,Tropfen::N,xorta,гъуаткӏу
104,Schaum::N,bits,тхъурбэ
105,Schmutz::N,lohi,псынжъы
106,Schmutz::N,zikin,псынжъы
107,See::N,laku,хыку́м
108,See::N,laku,псыхъура́й
109,See::N,aintzira,хыку́м
110,See::N,aintzira,псыхъура́й
111,Sumpf::N,zingira,орыжъ
