,Concept_ID,ka,sah
0,Auge::N,თვალი,харах
1,Ohr::N,ყური,кулгаах
2,Nase::N,ცხვირი,мурун
3,Mund::N,პირი,айах
4,Zahn::N,კბილი,тиис
5,Zunge::N,ენა,тыл
6,Lippe::N,ბაგე,уос
7,Wange::N,ლოყა,иэдэс
8,Gesicht::N,სახე,сирэй
9,Stirn::N,შუბლი,сүүс
10,Haar::N,თმა,баттах
11,Schnurrbart::N,ულვაში,уос бытыга
12,Bart::N,წვერი,сэҥийэ бытыга
13,Kinn::N,ნიკაპი,сэҥийэ
14,Kiefer[Anatomie]::N,ყბა,сыҥаах
15,Kehle::N,ყელი,тамах
16,Kehle::N,ყელი,күөмэй
17,Hals::N,ყელი,моой
18,Hals::N,კისერი,моой
19,Genick::N,კეფა,кэтэх
20,Kopf::N,თავი,бас
21,Rücken::N,ზურგი,көҕүс
22,Bauch::N,მუცელი,ис
23,Nabel::N,ჭიპი,киин
24,Busen::N,ძუძუ,эмиий
25,Brust::N,მკერდი,түөс
26,Schulter::N,მხარი,сарын
27,Schulter::N,მკლავი,сарын
28,Arm::N,ხელი,илии
29,Ellenbogen::N,იდაყვი,тоҕонох
30,Hand::N,ხელი,илии
31,Handfläche::N,ნები,ытыс
32,Handfläche::N,ხელისგული,ытыс
33,Finger::N,თითი,тарбах
34,Fingernagel::N,ფრჩხილი,тыҥырах
35,Nagel[Anatomie]::N,ფრჩხილი,тыҥырах
36,Zeh::N,ფეხის თითი,тарбах
37,Fuß::N,ტერფი,уллуҥах
38,Fuß::N,ფეხისგული,уллуҥах
39,Ferse::N,ქუსლი,тилэх
40,Knie::N,მუხლი,тобук
41,Knie::N,მუხლი,дьилбэк
42,Oberschenkel::N,ბარძაყი,уллук
43,Oberschenkel::N,ბარძაყი,өттүк
44,Bein::N,ფეხი,атах
45,Körper::N,ტანი,бэйэ
46,Körper::N,სხეული,бэйэ
47,Haut::N,კანი,тирии
48,Blut::N,სისხლი,хаан
49,Ader::N,ძარღვი,вена
50,Ader::N,ძარღვი,күөх_тымыр
51,Sehne::N,მყესი,иҥиир
52,Knochen::N,ძვალი,уҥуох
53,Knochen::N,ძვალი,уҥгуох
54,Gehirn::N,ტვინი,мэйии
55,Herz::N,გული,сүрэх
56,Magen::N,კუჭი,куртах
57,Leber::N,ღვიძლი,быар
58,Atem::N,სუნთქვა,тыын
59,Hunger::N,შიმშილი,аас
60,Träne::N,ცრემლი,харах уута
61,Geschmack::N,გემო,амтан
62,Geruch::N,სუნი,сыт
63,Schlaf::N,ძილი,утуйуу
64,Traum::N,სიზმარი,түүл
65,Himmel::N,ცა,халлаан
66,Sonne::N,მზე,күн
67,Mond::N,მთვარე,ый
68,Stern::N,ვარსკვლავი,сулус
69,Luft::N,ჰაერი,салгын
70,Wind::N,ქარი,тыал
71,Welle::N,ტალღა,долгун
72,Welle::N,ტალღა,балхаан
73,Wasser::N,წყალი,уу
74,Stein::N,ქვა,таас
75,Boden::N,მიწა,сир
76,Erde::N,ნიადაგი,буор
77,Staub::N,მტვერი,быыл
78,Rauch::N,ბოლი,буруо
79,Rauch::N,კვამლი,буруо
80,Funke::N,ნაკვესი,кыым
81,Feuer::N,ცეცხლი,уот
82,Licht::N,შუქი,уот
83,Licht::N,სინათლე,уот
84,Schatten::N,ლანდი,күлүк
85,Schatten::N,ჩრდილი,күлүк
86,Wetter::N,ამინდი,күн-дьыл
87,Nebel::N,ნისლი,туман
88,Wolke::N,ღრუბელი,былыт
89,Regen::N,წვიმა,самыыр
90,Schnee::N,თოვლი,хаар
91,Eis::N,თოში,муус
92,Eis::N,ყინული,муус
93,Frost::N,ყინვა,тымныы
94,Kälte::N,სიცივე,тымныы
95,Hitze::N,სიცხე,куйаас
96,Raureif::N,ჭირხლი,кырыа
97,Raureif::N,თრთვილი,кырыа
98,Regenbogen::N,ცისარტყელა,кустук
99,Donner::N,ქუხილი,этиҥ
100,Strömung::N,დინება,сүүрүк
101,Tropfen::N,წვეთი,таммах
102,Tropfen::N,წვეთი,хааппыла
103,Schaum::N,ქაფი,күүгэн
104,Schaum::N,დორბლი,күүгэн
105,Schmutz::N,ჭუჭყი,кир
106,Schmutz::N,ტალახი,кир
107,See::N,ტბა,күөл
