,Concept_ID,myv,es
0,Auge::N,сельме,ojo
1,Ohr::N,пиле,oreja
2,Nase::N,судо,nariz
3,Mund::N,курго,boca
4,Zahn::N,пей,diente
5,Zunge::N,кель,lengua
6,Lippe::N,турва,labio
7,Wange::N,чамабока,mejilla
8,Wange::N,чамаумарь,mejilla
9,Gesicht::N,чама,cara
10,Stirn::N,коня,frente
11,Haar::N,черь,cabello
12,Schnurrbart::N,ус,bigote
13,Schnurrbart::N,муюк,bigote
14,Bart::N,сакал,barba
15,Kinn::N,уло,barbilla
16,Kiefer[Anatomie]::N,пейпакар,mandíbula
17,Kiefer[Anatomie]::N,пейловажа,mandíbula
18,Kehle::N,кирьгапарь,garganta
19,Hals::N,кирьга,cuello
20,Genick::N,човонь,nuca
21,Genick::N,човонь,cerviz
22,Kopf::N,пря,cabeza
23,Rücken::N,копорь,espalda
24,Bauch::N,пеке,vientre
25,Nabel::N,почо,ombligo
26,Busen::N,поте,pecho
27,Brust::N,меште,pecho
28,Schulter::N,лавтов,hombro
29,Arm::N,кедь,brazo
30,Ellenbogen::N,кенерепакарь,codo
31,Hand::N,кедь,mano
32,Handfläche::N,кедькуншка,palma
33,Handfläche::N,кедьлапушка,palma
34,Finger::N,сур,dedo
35,Fingernagel::N,кенже,uña
36,Nagel[Anatomie]::N,кенже,uña
37,Zeh::N,пильге сур,dedo del pie
38,Fuß::N,пильге,pie
39,Ferse::N,кочкаря,talón
40,Knie::N,эле,rodilla
41,Knie::N,эзне,rodilla
42,Knie::N,кумажа,rodilla
43,Oberschenkel::N,качо,muslo
44,Bein::N,пильге,pierna
45,Körper::N,рунго,cuerpo
46,Haut::N,киське,piel
47,Blut::N,верь,sangre
48,Ader::N,сан,vena
49,Sehne::N,коське сан,tendón
50,Knochen::N,пакарь,hueso
51,Gehirn::N,удем,cerebro
52,Gehirn::N,удем,encéfalo
53,Herz::N,седей,corazón
54,Magen::N,пеке,estómago
55,Leber::N,максо,hígado
56,Atem::N,лексема,aliento
57,Atem::N,оймень таргсема,aliento
58,Hunger::N,вачочи,hambre
59,Träne::N,селведь,lágrima
60,Geschmack::N,тансть,gusto
61,Geruch::N,чине,olor
62,Schlaf::N,удома,sueño
63,Traum::N,он,sueño
64,Traum::N,он,ensueño
65,Himmel::N,менель,cielo
66,Sonne::N,чи,sol
67,Mond::N,ков,luna
68,Stern::N,теште,estrella
69,Luft::N,кошт,aire
70,Wind::N,варма,viento
71,Welle::N,толкун,ola
72,Welle::N,толкун,onda
73,Wasser::N,ведь,agua
74,Stein::N,кев,piedra
75,Boden::N,мода,suelo
76,Erde::N,мастор,tierra
77,Staub::N,пуль,polvo
78,Rauch::N,качамо,humo
79,Funke::N,сятко,chispa
80,Feuer::N,тол,fuego
81,Licht::N,валдо,luz
82,Schatten::N,сулей,sombra
83,Schatten::N,сулейкс,sombra
84,Wetter::N,ушо,tiempo
85,Nebel::N,сув,niebla
86,Wolke::N,пель,nube
87,Regen::N,пиземс,lluvia
88,Schnee::N,лов,nieve
89,Eis::N,эй,hielo
90,Frost::N,кельме,helada
91,Kälte::N,якшамо,frío
92,Hitze::N,пси,calor
93,Raureif::N,лекш,escarcha
94,Regenbogen::N,пурьгинечирьке,arco iris
95,Regenbogen::N,пурьгинеёнкс,arco iris
96,Donner::N,пурьгине,trueno
97,Strömung::N,чудема,corriente
98,Strömung::N,чудевкс,corriente
99,Tropfen::N,петнявкс,gota
100,Schaum::N,чов,espuma
101,Schmutz::N,рудаз,suciedad
102,See::N,эрьке,lago
103,Sumpf::N,чей,pantano
104,Moor::N,чей,turbera
105,Wiese::N,луга,prado
106,Wiese::N,луга,pradera
107,Wald::N,вирь,bosque
108,Hügel::N,губорь,colina
109,Hügel::N,пандыне,colina
110,Anhöhe::N,губорь,cerro
