,Concept_ID,eu,sah
0,Auge::N,begi,харах
1,Ohr::N,belarri,кулгаах
2,Nase::N,sudur,мурун
3,Mund::N,aho,айах
4,Zahn::N,hortz,тиис
5,Zunge::N,mihi,тыл
6,Lippe::N,ezpain,уос
7,Wange::N,masail,иэдэс
8,Gesicht::N,aurpegi,сирэй
9,Stirn::N,bekoki,сүүс
10,Haar::N,ile,баттах
11,Haar::N,bilo,баттах
12,Schnurrbart::N,bibote,уос бытыга
13,Schnurrbart::N,sudurpeko,уос бытыга
14,Bart::N,bizar,сэҥийэ бытыга
15,Kinn::N,kokots,сэҥийэ
16,Kiefer[Anatomie]::N,masailezur,сыҥаах
17,Kehle::N,eztarri,тамах
18,Kehle::N,eztarri,күөмэй
19,Hals::N,sama,моой
20,Genick::N,garondo,кэтэх
21,Kopf::N,buru,бас
22,Rücken::N,bizkar,көҕүс
23,Bauch::N,sabel,ис
24,Nabel::N,zilbor,киин
25,Busen::N,titi,эмиий
26,Busen::N,ugatz,эмиий
27,Brust::N,bular,түөс
28,Schulter::N,besaburu,сарын
29,Arm::N,beso,илии
30,Ellenbogen::N,ukondo,тоҕонох
31,Hand::N,esku,илии
32,Handfläche::N,ahur,ытыс
33,Finger::N,hatz,тарбах
34,Fingernagel::N,azazkal,тыҥырах
35,Nagel[Anatomie]::N,azazkal,тыҥырах
36,Zeh::N,behatz,тарбах
37,Fuß::N,oin,уллуҥах
38,Ferse::N,orpo,тилэх
39,Ferse::N,oinburu,тилэх
40,Knie::N,belaun,тобук
41,Knie::N,belaun,дьилбэк
42,Oberschenkel::N,izter,уллук
43,Oberschenkel::N,izter,өттүк
44,Bein::N,zango,атах
45,Körper::N,soin,бэйэ
46,Haut::N,azal,тирии
47,Blut::N,odol,хаан
48,Ader::N,zain,вена
49,Ader::N,zain,күөх_тымыр
50,Sehne::N,gihar-zain,иҥиир
51,Knochen::N,hezur,уҥуох
52,Knochen::N,hezur,уҥгуох
53,Gehirn::N,garun,мэйии
54,Gehirn::N,burmuin,мэйии
55,Herz::N,bihotz,сүрэх
56,Magen::N,urdail,куртах
57,Leber::N,gibel,быар
58,Atem::N,hats,тыын
59,Atem::N,arnasa,тыын
60,Hunger::N,gose,аас
61,Träne::N,malko,харах уута
62,Geschmack::N,dasta,амтан
63,Geruch::N,usain,сыт
64,Schlaf::N,lo,утуйуу
65,Traum::N,amets,түүл
66,Himmel::N,zeru,халлаан
67,Sonne::N,eguzki,күн
68,Mond::N,ilargi,ый
69,Stern::N,izar,сулус
70,Luft::N,aire,салгын
71,Wind::N,haize,тыал
72,Welle::N,uhin,долгун
73,Welle::N,uhin,балхаан
74,Welle::N,olatu,долгун
75,Welle::N,olatu,балхаан
76,Wasser::N,ur,уу
77,Stein::N,harri,таас
78,Boden::N,lur,сир
79,Boden::N,zoru,сир
80,Erde::N,lur,буор
81,Staub::N,hauts,быыл
82,Rauch::N,ke,буруо
83,Funke::N,zirta,кыым
84,Funke::N,txinparta,кыым
85,Feuer::N,su,уот
86,Licht::N,argi,уот
87,Schatten::N,itzal,күлүк
88,Schatten::N,geriza,күлүк
89,Wetter::N,eguraldi,күн-дьыл
90,Nebel::N,laino,туман
91,Wolke::N,hodei,былыт
92,Regen::N,euri,самыыр
93,Schnee::N,elur,хаар
94,Eis::N,horma,муус
95,Frost::N,izotzaldi,тымныы
96,Kälte::N,hotz,тымныы
97,Hitze::N,bero,куйаас
98,Raureif::N,antzigar,кырыа
99,Regenbogen::N,ostadar,кустук
100,Regenbogen::N,ortzadar,кустук
101,Donner::N,ostots,этиҥ
102,Donner::N,ihurtzuri,этиҥ
103,Strömung::N,laster,сүүрүк
104,Tropfen::N,xorta,таммах
105,Tropfen::N,xorta,хааппыла
106,Schaum::N,bits,күүгэн
107,Schmutz::N,lohi,кир
108,Schmutz::N,zikin,кир
109,See::N,laku,күөл
110,See::N,aintzira,күөл
111,Sumpf::N,zingira,бадараан
112,Moor::N,zohikaztegi,дьэбэрэ
113,Wiese::N,larre,ходуһа
114,Wiese::N,belardi,ходуһа
115,Wald::N,baso,ойуур
116,Wald::N,oihan,ойуур
117,Hügel::N,muino,булгунньах
118,Hügel::N,pentoka,булгунньах
119,Anhöhe::N,garai,үрдэл
120,Anhöhe::N,goragune,үрдэл
121,Berg::N,mendi,хайа
122,Gipfel::N,gain,чыпчаал
123,Gipfel::N,tontor,чыпчаал
124,Höhle::N,kobazulo,хайа_хаспаҕа
125,Höhle::N,kobazulo,көҥүс
126,Abhang::N,aldapa,эниэ
127,Quelle::N,iturri,дьүүктэ
128,Quelle::N,iturbegi,дьүүктэ
129,Bach::N,lats,үрүйэ
130,Bach::N,erreka,үрүйэ
131,Fluss::N,ibai,өрүс
132,Fluss::N,uhaitz,өрүс
133,Ufer::N,bazter,биэрэк
134,Küste::N,itsasalde,кытыл
135,Festland::N,lehor,кураанах сир
136,Meer::N,itsaso,муора
137,Bucht::N,golko,хомо
138,Bucht::N,golko,бухта
139,Insel::N,irla,арыы
140,Insel::N,uharte,арыы
141,Blume::N,lili,сибэкки
142,Gras::N,belar,от
143,Wurzel::N,zuztar,силис
144,Wurzel::N,sustrai,силис
145,Baum::N,zuhaitz,мас
146,Stamm::N,enbor,умнас
147,Rinde::N,azal,хатырык
148,Ast::N,adar,мутук
149,Zweig::N,abar,лабаа
150,Blatt::N,hosto,сэбирдэх
151,Birke::N,urki,хатыҥ
152,Kiefer[Baum]::N,ler,бэс
153,Weide[Baum]::N,zume,үөт
154,Weide[Baum]::N,zume,талах
155,Weide[Baum]::N,sahats,үөт
156,Weide[Baum]::N,sahats,талах
157,Tanne::N,izei,харыйа
158,Horn::N,adar,муос
159,Feder::N,luma,куорсун
160,Feder::N,hegaki,куорсун
161,Fell::N,ile,тирии
162,Fell::N,larru,тирии
163,Flügel::N,hego,кынат
164,Klaue::N,atzapar,тыҥырах
165,Kralle::N,erpe,баппаҕай
166,Kralle::N,atzapar,баппаҕай
167,Schwanz::N,isats,кутурук
168,Schwanz::N,buztan,кутурук
169,Ei::N,arrautza,сымыыт
170,Nest::N,habia,уйа
171,Bau::N,ohantze,хороон
172,Tier::N,abere,кыыл
173,Tier::N,abere,харамай
174,Tier::N,piztia,кыыл
175,Tier::N,piztia,харамай
