,Concept_ID,it,cv
0,Auge::N,occhio,куҫ
1,Ohr::N,orecchio,хӑлха
2,Nase::N,naso,сӑмса
3,Mund::N,bocca,ҫӑвар
4,Zahn::N,dente,шӑл
5,Zunge::N,lingua,чӗлхе
6,Lippe::N,labbro,тута
7,Wange::N,guancia,пит ҫӑмарти
8,Gesicht::N,viso,пит
9,Gesicht::N,viso,пит-куҫ
10,Gesicht::N,faccia,пит
11,Gesicht::N,faccia,пит-куҫ
12,Stirn::N,fronte,ҫамка
13,Haar::N,capello,ҫӳҫ
14,Schnurrbart::N,baffi,усси
15,Schnurrbart::N,mustacchi,усси
16,Bart::N,barba,сухал
17,Kinn::N,mento,янах
18,Kiefer[Anatomie]::N,mascella,янах
19,Kehle::N,gola,пыр
20,Kehle::N,gola,карланкӑ
21,Hals::N,collo,пыр
22,Genick::N,nuca,ӗнсе
23,Kopf::N,capo,пуҫ
24,Kopf::N,testa,пуҫ
25,Rücken::N,dorso,ҫурӑм
26,Rücken::N,schiena,ҫурӑм
27,Bauch::N,ventre,
28,Nabel::N,ombelico,кӑвапа
29,Busen::N,seno,кӑкӑр
30,Brust::N,petto,умӗ
31,Schulter::N,spalla,хул пуҫҫи
32,Arm::N,braccio,алӑ
33,Ellenbogen::N,gomito,чавса
34,Hand::N,mano,алӑ сыппи
35,Handfläche::N,palma,ал лаппи
36,Finger::N,dito,пӳрне
37,Fingernagel::N,unghia,чӗрне
38,Nagel[Anatomie]::N,unghia,чӗрне
39,Zeh::N,dito del piede,пӳрне
40,Fuß::N,piede,ура лаппи
41,Ferse::N,tallone,кӗле
42,Ferse::N,calcagno,кӗле
43,Knie::N,ginocchio,чӗркуҫҫи
44,Oberschenkel::N,fèmore,пӗҫӗ
45,Bein::N,gamba,ура
46,Körper::N,corpo,ӳт
47,Körper::N,corpo,ӳт-пӳ
48,Haut::N,pelle,тир
49,Blut::N,sangue,юн
50,Ader::N,vena,вена
51,Sehne::N,tèndine,шӑнӑр
52,Knochen::N,osso,шӑмӑ
