,Concept_ID,ka,he
0,Auge::N,თვალი,עין
1,Ohr::N,ყური,אזן
2,Nase::N,ცხვირი,אף
3,Nase::N,ცხვირი,חטם
4,Mund::N,პირი,פה
5,Zahn::N,კბილი,שן
6,Zunge::N,ენა,לשון
7,Lippe::N,ბაგე,שפה
8,Wange::N,ლოყა,לחי
9,Gesicht::N,სახე,פנים
10,Stirn::N,შუბლი,מצח
11,Haar::N,თმა,שערה
12,Schnurrbart::N,ულვაში,שפם
13,Bart::N,წვერი,זקן
14,Kinn::N,ნიკაპი,סנטר
15,Kiefer[Anatomie]::N,ყბა,לסת
16,Kehle::N,ყელი,גרון
17,Hals::N,ყელი,צואר
18,Hals::N,კისერი,צואר
19,Genick::N,კეფა,ערף
20,Kopf::N,თავი,ראש
21,Rücken::N,ზურგი,גב
22,Bauch::N,მუცელი,בטן
23,Nabel::N,ჭიპი,טבור
24,Busen::N,ძუძუ,שד
25,Brust::N,მკერდი,חזה
26,Schulter::N,მხარი,כתף
27,Schulter::N,მკლავი,כתף
28,Arm::N,ხელი,זרוע
29,Ellenbogen::N,იდაყვი,מרפק
30,Hand::N,ხელი,יד
31,Handfläche::N,ნები,כף יד
32,Handfläche::N,ხელისგული,כף יד
33,Finger::N,თითი,אצבע
34,Fingernagel::N,ფრჩხილი,צפרן
35,Nagel[Anatomie]::N,ფრჩხილი,צפרן
36,Zeh::N,ფეხის თითი,אצבע
37,Fuß::N,ტერფი,רגל
38,Fuß::N,ფეხისგული,רגל
39,Ferse::N,ქუსლი,עקב
40,Knie::N,მუხლი,ברך
41,Oberschenkel::N,ბარძაყი,ירך
42,Bein::N,ფეხი,רגל
43,Körper::N,ტანი,גוף
44,Körper::N,სხეული,גוף
45,Haut::N,კანი,עור
46,Blut::N,სისხლი,דם
47,Ader::N,ძარღვი,וריד
48,Sehne::N,მყესი,גיד
49,Knochen::N,ძვალი,עצם
50,Gehirn::N,ტვინი,מוח
51,Herz::N,გული,לב
52,Magen::N,კუჭი,קבה
53,Leber::N,ღვიძლი,כבד
54,Atem::N,სუნთქვა,נשימה
55,Hunger::N,შიმშილი,רעב
56,Träne::N,ცრემლი,דמעה
57,Geschmack::N,გემო,טעם
58,Geruch::N,სუნი,ריח
59,Schlaf::N,ძილი,שנה
60,Traum::N,სიზმარი,חלום
61,Himmel::N,ცა,שמים
62,Sonne::N,მზე,שמש
63,Mond::N,მთვარე,ירח
64,Stern::N,ვარსკვლავი,כוכב
65,Luft::N,ჰაერი,אויר
66,Wind::N,ქარი,רוח
67,Welle::N,ტალღა,גל
68,Wasser::N,წყალი,מים
69,Stein::N,ქვა,אבן
70,Boden::N,მიწა,קרקע
71,Erde::N,ნიადაგი,אדמה
72,Staub::N,მტვერი,אבק
73,Rauch::N,ბოლი,עשן
74,Rauch::N,კვამლი,עשן
75,Funke::N,ნაკვესი,ניצוץ
76,Feuer::N,ცეცხლი,אש
77,Licht::N,შუქი,אור
78,Licht::N,სინათლე,אור
79,Schatten::N,ლანდი,צל
80,Schatten::N,ჩრდილი,צל
81,Wetter::N,ამინდი,מזג אויר
82,Nebel::N,ნისლი,ערפל
83,Wolke::N,ღრუბელი,ענן
84,Regen::N,წვიმა,גשם
85,Schnee::N,თოვლი,שלג
86,Eis::N,თოში,קרח
87,Eis::N,ყინული,קרח
88,Frost::N,ყინვა,צנה
89,Kälte::N,სიცივე,קר
90,Hitze::N,სიცხე,חם
91,Raureif::N,ჭირხლი,כפור
92,Raureif::N,თრთვილი,כפור
93,Regenbogen::N,ცისარტყელა,קשת
94,Donner::N,ქუხილი,רעם
95,Strömung::N,დინება,זרימה
96,Tropfen::N,წვეთი,טפה
97,Schaum::N,ქაფი,קצף
98,Schaum::N,დორბლი,קצף
99,Schmutz::N,ჭუჭყი,לכלוך
100,Schmutz::N,ტალახი,לכלוך
101,See::N,ტბა,אגם
102,Sumpf::N,ჭაობი,בצה
103,Moor::N,ტორფნარი,בצה
104,Wiese::N,ველი,מרעה
105,Wiese::N,მდელო,מרעה
106,Wald::N,ტყე,יער
107,Hügel::N,ბორცვი,תל
108,Anhöhe::N,მაღლობი,מעלה
109,Berg::N,მთა,הר
110,Gipfel::N,მწვერვალი,פסגה
111,Höhle::N,მღვიმე,מערה
112,Höhle::N,გამოქვებული,מערה
113,Abhang::N,ფერდობი,מדרון
114,Abhang::N,ფერდობი,שפוע
115,Quelle::N,წყარო,מעין
116,Quelle::N,სათავე,מעין
117,Bach::N,რუ,נחל
118,Bach::N,ნაკადული,נחל
119,Fluss::N,მდინარე,נהר
120,Ufer::N,კიდე,גדה
121,Ufer::N,ნაპირი,גדה
122,Küste::N,ნაპირი,חוף
123,Festland::N,ხმელეთი,יבשה
124,Meer::N,ზღვა,ים
125,Bucht::N,ყურე,מפרץ
126,Insel::N,კუნძული,אי
127,Blume::N,ყვავილი,פרח
128,Gras::N,ბალახი,דשא
129,Wurzel::N,ძირი,שרש
130,Wurzel::N,ფესვი,שרש
131,Baum::N,ხე,עץ
132,Stamm::N,ტანი,גזע
133,Rinde::N,ქერქი,קלפת עץ
134,Ast::N,ტოტი,ענף
135,Zweig::N,შტო,ענף
136,Blatt::N,ფოთოლი,עלה
137,Birke::N,არყი,שדר
138,Kiefer[Baum]::N,ფიჭვი,ארן
139,Weide[Baum]::N,ტირიფი,ערבה
140,Tanne::N,ნაძვი,אשוח
141,Horn::N,რქა,קרן
142,Feder::N,ფრთა,נוצה
143,Fell::N,ტყავი,פרוה
144,Flügel::N,ფრთა,כנף
145,Klaue::N,კლანჭი,טלף
146,Kralle::N,ტორი,טפר
147,Schwanz::N,კუდი,זנב
148,Ei::N,კვერცხი,ביצה
149,Nest::N,ბუდე,קן
150,Bau::N,სორო,מחלה
151,Tier::N,ნადირი,חיה
152,Tier::N,ცხოველი,חיה
153,Herde::N,ფარა,עדר
154,Kuh::N,ფური,פרה
155,Kuh::N,ძროხა,פרה
156,Bulle::N,ხარი,פר
157,Pferd::N,რაში,סוס
158,Pferd::N,ცხენი,סוס
159,Schaf::N,ცხვარი,כבשה
160,Schwein::N,ღორი,חזיר
161,Hund::N,ძაღლი,כלב
162,Katze::N,კატა,חתול
163,Bär::N,დათვი,דב
164,Eichhörnchen::N,ციყვი,סנאי
165,Elch::N,ცხენ-ირემი,דישון
166,Fuchs::N,მელა,שועל
167,Hase::N,კურდღელი,ארנב
168,Maus::N,თაგვი,עכבר
169,Wolf::N,მგელი,זאב
170,Vogel::N,ჩიტი,צפור
171,Vogel::N,ფრინველი,צפור
172,Schwarm::N,გუნდი,נחיל
173,Schwarm::N,გუნდი,להקה
174,Huhn::N,დედალი,תרנגלת
175,Hahn::N,მამალი,תרנגול
176,Gans::N,ბატი,אוז
177,Adler::N,არწივი,עיט
178,Ente::N,იხვი,ברוז
179,Eule::N,ბუ,ינשוף
180,Kranich::N,წერო,עגור
181,Kranich::N,წერო,כרוכיה
182,Krähe::N,ყვავი,עורב
183,Kuckuck::N,გუგული,קוקיה
184,Schwan::N,გედი,ברבור
185,Fisch::N,თევზი,דג
186,Barsch::N,ქორჭილა,אוקונוס
187,Hecht::N,ქარიყლაპია,זאב הים
188,Schlange[Tier]::N,გველი,נחש
189,Wurm::N,ჭია,תולעת
190,Spinne::N,ობობა,עכביש
191,Ameise::N,ჭიანჭველა,נמלה
192,Laus::N,ტილი,כנה
193,Laus::N,მკბენარი,כנה
194,Mücke::N,კოღო,יתוש
195,Fliege::N,ბუზი,זבוב
196,Schmetterling::N,პეპელა,פרפר
197,Beere::N,კენკრა,ענבה
198,Apfel::N,ვაშლი,תפוח
199,Pilz::N,სოკო,פטריה
200,Zwiebel::N,ხახვი,בצל
201,Saat::N,თესლი,זרעים
202,Korn::N,მარცვალი,גרעין
203,Heu::N,თივა,חציר
204,Schale::N,ჩენჩო,קלפה
205,Grube::N,ორმო,בור
206,Grube::N,ორმო,שוחה
207,Falle::N,ხაფანგი,מלכדת
208,Schlinge::N,მახე,לולאה
209,Spur::N,კვალი,עקבה
210,Asche::N,ფერფლი,אפר
211,Dreck::N,ტალახი,זהמה
212,Dreck::N,სიბინძურე,זהמה
213,Eisen::N,რკინა,ברזל
214,Gold::N,ოქრო,זהב
215,Silber::N,ვერცხლი,כסף
216,Kohle::N,ნახშირი,פחם
217,Glas::N,მინა,זכוכית
218,Lehm::N,თიხა,חרסית
219,Sand::N,ქვიშა,חול
220,Mensch::N,ადამიანი,אדם
