,Concept_ID,hy,ru
0,Auge::N,աչք,глаз
1,Ohr::N,ականջ,ухо
2,Nase::N,քիթ,нос
3,Mund::N,բերան,рот
4,Zahn::N,ատամ,зуб
5,Zunge::N,լեզու,язык
6,Lippe::N,շրթունք,губа
7,Wange::N,այտ,щека
8,Wange::N,թուշ,щека
9,Gesicht::N,դեմք,лицо
10,Stirn::N,ճակատ,лоб
11,Haar::N,մազ,волос
12,Haar::N,մազ,волосы
13,Schnurrbart::N,բեղ,ус
14,Schnurrbart::N,բեղ,усы
15,Bart::N,մորուք,борода
16,Kinn::N,կզակ,подбородок
17,Kiefer[Anatomie]::N,ծնոտ,челюсть
18,Kehle::N,կոկորդ,горло
19,Hals::N,վիզ,шея
20,Hals::N,պարանոց,шея
21,Genick::N,ծոծրակ,затылок
22,Kopf::N,գլուխ,голова
23,Rücken::N,մեջք,спина
24,Bauch::N,փոր,живот
25,Bauch::N,որովայն,живот
26,Nabel::N,պորտ,пупок
27,Busen::N,ծոց,женская грудь
28,Brust::N,կուրծք,грудь
29,Schulter::N,ուս,плечо
30,Arm::N,թեւ,рука
31,Arm::N,բազուկ,рука
32,Ellenbogen::N,արմունկ,локоть
33,Hand::N,ձեռք,кисть
34,Handfläche::N,ափ,ладонь
35,Finger::N,մատ,палец
36,Fingernagel::N,եղունգ,ноготь
37,Nagel[Anatomie]::N,եղունգ,ноготь
38,Zeh::N,ոտքի մատ,палец
39,Fuß::N,ոտք,ступня
40,Ferse::N,գարշապար,пята
41,Ferse::N,գարշապար,пятка
42,Knie::N,ծունկ,колено
43,Oberschenkel::N,ազդր,бедро
44,Bein::N,ոտք,нога
45,Körper::N,մարմին,тело
46,Haut::N,մաշկ,кожа
47,Blut::N,արյուն,кровь
48,Ader::N,երակ,вена
49,Ader::N,երակ,сосуд
50,Sehne::N,ջիղ,жила
51,Sehne::N,ջիղ,тетива
52,Sehne::N,ջիղ,сухожилие
53,Sehne::N,ձգտան,жила
54,Sehne::N,ձգտան,тетива
55,Sehne::N,ձգտան,сухожилие
56,Knochen::N,ոսկոր,кость
57,Gehirn::N,խելք,мозг
58,Herz::N,սիրտ,сердце
59,Magen::N,ստամոքս,желудок
60,Leber::N,լյարդ,печень
61,Atem::N,շունչ,дух
62,Atem::N,շունչ,дыхание
63,Hunger::N,քաղց,голод
64,Träne::N,արտասուք,слеза
65,Geschmack::N,համ,вкус
66,Geschmack::N,բուրմունք,вкус
67,Geruch::N,հոտ,запах
68,Geruch::N,բուրում,запах
69,Schlaf::N,քուն,сон
70,Traum::N,երազ,сновидение
71,Himmel::N,երկինք,небо
