,Concept_ID,nl,ba
0,Auge::N,oog,күҙ
1,Ohr::N,oor,ҡолаҡ
2,Nase::N,neus,танау
3,Mund::N,mond,ауыҙ
4,Zahn::N,tand,теш
5,Zunge::N,tong,тел
6,Lippe::N,lip,ирен
7,Wange::N,wang,яцаҡтар
8,Gesicht::N,gelaat,бит
9,Gesicht::N,gezicht,бит
10,Stirn::N,voorhoofd,маңлай
11,Haar::N,haar,сәс
12,Schnurrbart::N,snor,мылтыҡ
13,Bart::N,baard,һаҡал
14,Kinn::N,kin,эйэк
15,Kiefer[Anatomie]::N,kaak,яңаҡ һөйәге
16,Kehle::N,keel,тамаҡ
17,Kehle::N,strot,тамаҡ
18,Hals::N,hals,муйын
19,Genick::N,nek,соңҡа
20,Kopf::N,hoofd,баш
21,Rücken::N,rug,арҡа
22,Bauch::N,buik,ҡорһаҡ
23,Nabel::N,navel,кендек
24,Busen::N,boezem,күкрәк
25,Brust::N,borst,түш
26,Schulter::N,schouder,яурын
27,Arm::N,arm,ҡул
28,Ellenbogen::N,elleboog,терһәк
29,Hand::N,hand,ҡул
30,Hand::N,hand,ҡул суғы
31,Handfläche::N,handpalm,ус төбө
32,Finger::N,vinger,бармаҡ
33,Fingernagel::N,nagel,тырнаҡ
34,Nagel[Anatomie]::N,nagel,тырнаҡ
35,Zeh::N,teen,бармаҡ
36,Fuß::N,voet,табан
37,Ferse::N,hak,үксә
38,Ferse::N,hiel,үксә
39,Knie::N,knie,тубыҡ
40,Oberschenkel::N,dij,сандыр
41,Bein::N,been,аяҡ
42,Körper::N,lichaam,тән
43,Haut::N,huid,тире
44,Blut::N,bloed,ҡан
45,Ader::N,ader,тамыр
46,Sehne::N,pees,һеңер
47,Sehne::N,pees,тарамыш
48,Knochen::N,bot,һойәк
49,Knochen::N,been,һойәк
50,Knochen::N,knook,һойәк
51,Gehirn::N,hersenen,мейе
52,Herz::N,hart,йорәк
53,Magen::N,maag,ашҡаҙан
54,Leber::N,lever,бауыр
55,Atem::N,adem,һулыш
56,Hunger::N,honger,аслыҡ
57,Träne::N,traan,күҙ иәше
58,Geschmack::N,smaak,тәм
59,Geruch::N,geur,еҫ
60,Schlaf::N,slaap,йоҡлау
61,Traum::N,droom,төш
62,Himmel::N,hemel,күк
63,Sonne::N,zon,ҡояш
64,Mond::N,maan,ай
65,Stern::N,ster,йондоҙ
66,Luft::N,lucht,һауа
67,Wind::N,wind,ел
68,Welle::N,golf,тулҡын
69,Wasser::N,water,һыу
70,Stein::N,steen,таш
71,Boden::N,grond,тупраҡ
72,Erde::N,aarde,балсҡ
73,Staub::N,stof,туҙан
74,Rauch::N,rook,төтөн
75,Funke::N,vonk,осҡон
76,Feuer::N,vuur,ут
77,Licht::N,licht,яҡтылыҡ
78,Schatten::N,schaduw,күләгә
79,Wetter::N,weer,һауа торошо
80,Nebel::N,mist,төман
81,Nebel::N,nevel,төман
82,Wolke::N,wolk,болот
83,Regen::N,regen,ямғыр
84,Schnee::N,sneeuw,ҡар
85,Eis::N,ijs,боҙ
