,Concept_ID,ga,ml
0,Auge::N,súil,കണ്ണ്
1,Ohr::N,cluas,ചെവി
2,Nase::N,soc,മൂക്ക്
3,Mund::N,béal,വായ
4,Zahn::N,fiacail,പല്ല്
5,Zunge::N,teanga,നാക്ക്
6,Lippe::N,liopa,ചുണ്ട്
7,Wange::N,grua,കവിൾത്തടം
8,Wange::N,leiceann,കവിൾത്തടം
9,Gesicht::N,éadan,മുഖം
10,Gesicht::N,aghaidh,മുഖം
11,Stirn::N,baithis,നെറ്റി
12,Stirn::N,clár éadain,നെറ്റി
13,Haar::N,gruaig,തലമുടി
14,Schnurrbart::N,croiméal,മീശ
15,Bart::N,féasóg,താടിരോമം
16,Kinn::N,smig,താടി
17,Kiefer[Anatomie]::N,giall,താടിയെല്ല്
18,Kehle::N,scornach,കണ്ഠനാളം
19,Hals::N,muinéal,കഴുത്ത്
20,Genick::N,baic,പിടലി
21,Kopf::N,ceann,തല
22,Rücken::N,droim,മുതുക്
23,Bauch::N,bolg,നയറ്
24,Nabel::N,imleacán,നാഭി
25,Busen::N,cíoch,സ്തനം
26,Brust::N,brollach,സ്തനം
27,Schulter::N,gualainn,തോൾ
28,Arm::N,lámh,കൈ
29,Ellenbogen::N,uillinn,കൈമുട്ട്
30,Hand::N,lámh,കൈ
31,Handfläche::N,bos,ഉള്ളം കൈ
32,Finger::N,méar,വിരൽ
33,Fingernagel::N,ionga,നഖം
34,Nagel[Anatomie]::N,ionga,നഖം
35,Zeh::N,ladhar,കാൽവിരൽ
36,Fuß::N,cos,കാൽപ്പാദം
37,Fuß::N,troigh,കാൽപ്പാദം
38,Ferse::N,sáil,ഉപ്പൂറ്റി
39,Knie::N,glúin,കാൽമുട്ട്
40,Oberschenkel::N,ceathrú,തുട
41,Bein::N,cos,കാൽ
42,Körper::N,corp,ശരീരം
43,Körper::N,colainn,ശരീരം
44,Haut::N,cneas,ചർമ്മം
45,Haut::N,craiceann,ചർമ്മം
46,Blut::N,fuil,രക്തം
47,Sehne::N,teannán,സ്നായു
48,Sehne::N,féitheog,സ്നായു
49,Knochen::N,cnámh,അസ്ഥി
50,Gehirn::N,inchinn,തലച്ചോറ്
51,Herz::N,croí,ഹൃദയം
52,Magen::N,bolg,വയർ
53,Magen::N,goile,വയർ
54,Leber::N,ae,കരൾ
55,Atem::N,anáil,ശ്വാസം
56,Hunger::N,ocras,വിശപ്പ്
57,Träne::N,deoir,കണ്ണീർ
58,Geschmack::N,blas,രുചി
59,Geruch::N,boladh,ഗന്ധം
60,Schlaf::N,suan,ഉറകും
61,Schlaf::N,codladh,ഉറകും
62,Traum::N,taibhreamh,സ്വപ്നം
63,Himmel::N,spéir,ആകാശം
64,Sonne::N,grian,സൂര്യൻ
65,Mond::N,ré,ചന്ദ്രൻ
66,Mond::N,gealach,ചന്ദ്രൻ
67,Stern::N,rinn,നക്ഷത്രം
68,Stern::N,réalta,നക്ഷത്രം
69,Luft::N,aer,കാറ്റ്
70,Wind::N,gaoth,കാറ്റ്
71,Welle::N,tonn,തിരമാല
72,Wasser::N,uisce,വെള്ളം
73,Stein::N,cloch,ശില
74,Stein::N,cloch,കല്ല്
75,Boden::N,talamh,തറ
76,Boden::N,talamh,നിലം
77,Erde::N,cré,മണ്ണ്
78,Erde::N,ithir,മണ്ണ്
79,Staub::N,dusta,പൊടി
80,Staub::N,deannach,പൊടി
81,Rauch::N,toit,പുക
82,Rauch::N,deatach,പുക
83,Funke::N,drithle,തീപ്പൊരി
84,Feuer::N,tine,തീ
85,Licht::N,solas,വിളക്ക്
86,Licht::N,solas,സൂര്യപ്രകാശം
87,Schatten::N,scáth,തണൽ
88,Wetter::N,aimsir,കാലാവസ്ഥ
89,Nebel::N,ceo,മൂടൽമഞ്ഞ്
90,Wolke::N,néal,മേഘം
91,Wolke::N,scamall,മേഘം
92,Regen::N,báisteach,മഴ
93,Regen::N,fearthainn,മഴ
94,Schnee::N,sneachta,മഞ്ഞ്
95,Eis::N,oighear,ഐസ്
96,Frost::N,sioc,മൂടൽമഞ്ഞ്
97,Kälte::N,fuacht,തണുപ്പ്
98,Hitze::N,teas,ചൂട്
99,Hitze::N,teocht,ചൂട്
100,Raureif::N,sioc bán,കോടമഞ്ഞ്
101,Regenbogen::N,stua ceatha,മഴവില്ല്
102,Regenbogen::N,bogha báistí,മഴവില്ല്
103,Donner::N,toirneach,ഇടി
104,Strömung::N,sruth,പ്രവാഹം
105,Tropfen::N,deoir,തുള്ളി
106,Schaum::N,cúr,നുര
107,Schmutz::N,salachar,അഴുക്ക്
108,See::N,loch,തടാകം
109,Sumpf::N,portach,ചതുപ്പുനിലം
110,Moor::N,caorán,പാഴ്നിലം
111,Moor::N,móinteán,പാഴ്നിലം
112,Wiese::N,cluain,പുൽത്തകിടി
113,Wiese::N,móinéar,പുൽത്തകിടി
114,Wald::N,coill,വനം
115,Wald::N,coill,കാട്
116,Wald::N,foraois,വനം
117,Wald::N,foraois,കാട്
118,Hügel::N,ard,കുന്ന്
119,Anhöhe::N,ard,ഉയർന്ന ഭൂമി
120,Anhöhe::N,ardán,ഉയർന്ന ഭൂമി
121,Berg::N,sliabh,പർവ്വതം
122,Gipfel::N,barr,ഉച്ചകോടി
123,Gipfel::N,mullach,ഉച്ചകോടി
124,Höhle::N,uaimh,ഗുഹ
125,Höhle::N,pluais,ഗുഹ
126,Abhang::N,fána,ചരിവ്
127,Quelle::N,foinse,ഉറവിടം
128,Bach::N,sruthán,അരുവി
129,Fluss::N,abhainn,നദി
130,Ufer::N,bruach,തീരം
131,Küste::N,cósta,കടൽത്തീരം
132,Küste::N,cladach,കടൽത്തീരം
133,Festland::N,míntír,കര
134,Meer::N,muir,കടൽ
135,Meer::N,farraige,കടൽ
136,Bucht::N,bá,ഉൾക്കടല്
137,Bucht::N,cuan,ഉൾക്കടല്
138,Insel::N,inis,ദ്വീപ്
139,Insel::N,oileán,ദ്വീപ്
140,Blume::N,bláth,പൂവ്
141,Gras::N,féar,പുല്ല്
142,Wurzel::N,rúta,വേര്
143,Wurzel::N,fréamh,വേര്
144,Baum::N,crann,മരം
145,Stamm::N,stoc,തായ്ത്തടി
146,Stamm::N,tamhan,തായ്ത്തടി
147,Rinde::N,coirt,പട്ട
148,Rinde::N,craiceann,പട്ട
149,Ast::N,géag,ശാഖ
150,Zweig::N,géag,ശാഖ
151,Zweig::N,craobh,ശാഖ
152,Blatt::N,duille,ഇല
153,Blatt::N,duilleog,ഇല
154,Birke::N,beith,പൂവരശ്
155,Birke::N,crann beithe,പൂവരശ്
156,Kiefer[Baum]::N,péine,പൈൻമരം
157,Weide[Baum]::N,saileach,വില്ലോ
158,Tanne::N,giúis,ദേവദാരു
159,Horn::N,adharc,മൃഗത്തിൻറെ കൊമ്പ്
160,Feder::N,cleite,തൂവൽ
161,Fell::N,clúmh,മൃദുരോമം
162,Flügel::N,eite,ചിറക്
163,Flügel::N,sciathán,ചിറക്
164,Klaue::N,crúb,നഖം
165,Klaue::N,crobh,നഖം
166,Kralle::N,crobh,നഖം
167,Schwanz::N,eireaball,വാൽ
168,Ei::N,ubh,മുട്ട
169,Nest::N,nead,കൂട്
170,Bau::N,brocais,മാളം
171,Tier::N,ainmhí,മൃഗം
172,Tier::N,beithíoch,മൃഗം
173,Herde::N,tréad,കൂട്ടം
174,Kuh::N,bó,പശു
175,Bulle::N,tarbh,കാള
176,Pferd::N,each,കുതിര
177,Pferd::N,capall,കുതിര
178,Schaf::N,caora,ആട്
179,Schwein::N,muc,പന്നി
180,Hund::N,madra,നായ്
181,Katze::N,cat,പൂച്ച
182,Bär::N,béar,കരടി
183,Eichhörnchen::N,iora,അണ്ണാൻ
184,Elch::N,eilc,കടമാന്
185,Fuchs::N,sionnach,കുറുക്കൻ
186,Fuchs::N,madra rua,കുറുക്കൻ
187,Hase::N,giorria,മുയൽ
188,Maus::N,luch,ചുണ്ടലി
189,Wolf::N,mac tíre,ചെന്നായ
190,Vogel::N,éan,പക്ഷി
191,Schwarm::N,saithe,കൂട്ടം
192,Huhn::N,cearc,കോഴി
193,Hahn::N,coileach,പൂവൻകോഴി
194,Gans::N,gé,അരയന്നം
195,Adler::N,iolar,കഴുകൻ
196,Ente::N,lacha,താറാവ്
197,Eule::N,ulchabhán,മൂങ്ങ
198,Kranich::N,grús,കൊക്ക്
199,Krähe::N,caróg,കാക്ക
200,Krähe::N,préachán,കാക്ക
201,Kuckuck::N,cuach,കുയിൽ
202,Schwan::N,eala,അരയന്നം
203,Fisch::N,iasc,മത്സ്യം
204,Barsch::N,péirse,ഒരിനം മത്സ്യം
205,Hecht::N,liús,ഒരു മത്സ്യം
206,Schlange[Tier]::N,nathair,പാമ്പ്
207,Wurm::N,péist,വിര
208,Spinne::N,damhán alla,ചിലന്തി
209,Ameise::N,seangán,ഉറുമ്പ്
210,Laus::N,míol,പേന്
211,Mücke::N,muiscít,മശകം
212,Mücke::N,corrmhíol,മശകം
213,Fliege::N,cuil,ഈച്ച
214,Fliege::N,cuileog,ഈച്ച
215,Schmetterling::N,féileacán,ചിത്രശലഭം
216,Beere::N,caor,ബെറി
217,Apfel::N,úll,ആപ്പിൾ
218,Pilz::N,beacán,കൂൺ
219,Pilz::N,muisiriún,കൂൺ
220,Zwiebel::N,oinniún,സവാള
221,Saat::N,síol,വിത്ത്
222,Korn::N,gráinne,ധാന്യം
223,Heu::N,féar,വയ്ക്കോൽ
224,Schale::N,scaimh,തൊലി
225,Grube::N,poll,കുഴി
226,Falle::N,gaiste,കെണി
227,Schlinge::N,sealán,കുടുക്ക്
228,Spur::N,rian,ചുവട്
229,Asche::N,luaith,ചാരം
230,Dreck::N,salachar,അഴുക്ക്
231,Eisen::N,iarann,ഇരുമ്പ്
232,Gold::N,ór,സ്വർണ്ണം
233,Silber::N,airgead,വെള്ളി
234,Kohle::N,gual,കൽക്കരി
235,Glas::N,gloine,ഗ്ലാസ്
236,Lehm::N,cré,കളിമണ്ണ്
237,Sand::N,gaineamh,മണൽ
238,Mensch::N,duine,മനുഷ്യർ
239,Mann::N,fear,പുരുഷൻ
240,Frau::N,bean,സ്ത്രീ
241,Kind::N,gasúr,കുഞ്ഞ്
242,Kind::N,páiste,കുഞ്ഞ്
243,Junge::N,buachaill,ആൺകുട്ടി
244,Mädchen::N,cailín,പെൺകുട്ടി
245,Familie::N,teaghlach,കുടുംബം
246,Familie::N,comhluadar,കുടുംബം
247,Großvater::N,seanathair,അപ്പൂപ്പൻ
248,Großmutter::N,seanmháthair,അമ്മുമ്മ
249,Eltern::N,tuismitheoirí,മാതാപിതാക്കള്
250,Vater::N,athair,അച്ഛൻ
251,Mutter::N,máthair,അമ്മ
252,Sohn::N,mac,മകൻ
253,Tochter::N,iníon,മകൾ
254,Bruder::N,deartháir,ചേട്ടൻ
255,Bruder::N,deartháir,അനിയൻ
256,Schwester::N,deirfiúr,ചേച്ചി
257,Schwester::N,deirfiúr,അനിയത്തി
258,Onkel::N,uncail,അമ്മാവൻ
259,Tante::N,aintín,മാമി
260,Ehemann::N,fear céile,ഭർത്താവ്
261,Ehefrau::N,bean chéile,ഭാര്യ
262,Freude::N,áthas,ആഹ്ലാദം
263,Gelächter::N,gáire,ചിരിയുടെ ശബ്ദം
264,Glück::N,séan,സന്തോഷം
265,Glück::N,séan,സന്തുഷ്ടി
266,Glück::N,sonas,സന്തോഷം
267,Glück::N,sonas,സന്തുഷ്ടി
268,Kummer::N,brón,ശോകം
269,Kummer::N,buairt,ശോകം
270,Wunsch::N,guí,ആഗ്രഹം
271,Wunsch::N,achainí,ആഗ്രഹം
272,Lust::N,fonn,ആഗ്രഹം
273,Geist::N,meon,ചുറുചുറുക്ക്
274,Geist::N,spiorad,ചുറുചുറുക്ക്
275,Gedanke::N,smaoineamh,ചിന്ത
276,Gedächtnis::N,cuimhne,ഓർമ്മശക്തി
277,Verstand::N,ciall,മനസ്സ്
278,Verstand::N,intinn,മനസ്സ്
279,Sinn::N,brí,അർത്ഥം
280,Sinn::N,ciall,അർത്ഥം
281,Grund::N,fáth,കാരണം
282,Wahrheit::N,fírinne,സത്യം
283,Gespräch::N,comhrá,സല്ലാപം
284,Märchen::N,scéal,യക്ഷിക്കഥ
285,Erzählung::N,scéal,കഥ
286,Nachricht::N,teachtaireacht,സന്ദേശം
287,Neuigkeit::N,scéala,വാർത്ത
288,Name::N,ainm,പേര്
289,Rätsel::N,tomhas,പ്രഹേളിക
290,Rede::N,óráid,സംസാരം
291,Rede::N,aitheasc,സംസാരം
292,Sprache::N,teanga,ഭാഷ
293,Stimme::N,guth,സ്വരം
294,Wort::N,focal,വാക്ക്
295,Zeichen::N,comhartha,സംജ്ഞ
296,Ruf::N,glaoch,വിളി
297,Lärm::N,torann,ആരവം
298,Laut::N,fuaim,ശബ്ദം
299,Ton::N,ton,സ്വരഭേദം
300,Lied::N,amhrán,പാട്ട്
301,Ruhe::N,suaimhneas,നിശ്ചലത
302,Leute::N,muintir,ജനങ്ങൾ
303,Volk::N,pobal,രാഷ്ടം
304,Arbeit::N,obair,ജോലി
305,Gast::N,aoi,അതിലി
306,Geschenk::N,féirín,സമ്മാനം
307,Geschenk::N,bronntanas,സമ്മാനം
308,Spiel::N,cluiche,കളി
309,Gesellschaft::N,comhluadar,കൂട്ടായ്മ
310,Hilfe::N,cúnamh,സഹായം
311,Hilfe::N,cabhair,സഹായം
312,Freund::N,cara,സുഹൃത്ത്
313,Kamerad::N,comrádaí,കൂട്ടാളി
314,Angelegenheit::N,ábhar,കാര്യം
315,Anzahl::N,líon,എണ്ണം
316,Art::N,sórt,തരം
317,Art::N,saghas,തരം
318,Stück::N,píosa,കഷണം
319,Teil::N,cuid,ഭാഗം
320,Teil::N,páirt,ഭാഗം
