,Concept_ID,eu,ml
0,Auge::N,begi,കണ്ണ്
1,Ohr::N,belarri,ചെവി
2,Nase::N,sudur,മൂക്ക്
3,Mund::N,aho,വായ
4,Zahn::N,hortz,പല്ല്
5,Zunge::N,mihi,നാക്ക്
6,Lippe::N,ezpain,ചുണ്ട്
7,Wange::N,masail,കവിൾത്തടം
8,Gesicht::N,aurpegi,മുഖം
9,Stirn::N,bekoki,നെറ്റി
10,Haar::N,ile,തലമുടി
11,Haar::N,bilo,തലമുടി
12,Schnurrbart::N,bibote,മീശ
13,Schnurrbart::N,sudurpeko,മീശ
14,Bart::N,bizar,താടിരോമം
15,Kinn::N,kokots,താടി
16,Kiefer[Anatomie]::N,masailezur,താടിയെല്ല്
17,Kehle::N,eztarri,കണ്ഠനാളം
18,Hals::N,sama,കഴുത്ത്
19,Genick::N,garondo,പിടലി
20,Kopf::N,buru,തല
21,Rücken::N,bizkar,മുതുക്
22,Bauch::N,sabel,നയറ്
23,Nabel::N,zilbor,നാഭി
24,Busen::N,titi,സ്തനം
25,Busen::N,ugatz,സ്തനം
26,Brust::N,bular,സ്തനം
27,Schulter::N,besaburu,തോൾ
28,Arm::N,beso,കൈ
29,Ellenbogen::N,ukondo,കൈമുട്ട്
30,Hand::N,esku,കൈ
31,Handfläche::N,ahur,ഉള്ളം കൈ
32,Finger::N,hatz,വിരൽ
33,Fingernagel::N,azazkal,നഖം
34,Nagel[Anatomie]::N,azazkal,നഖം
35,Zeh::N,behatz,കാൽവിരൽ
36,Fuß::N,oin,കാൽപ്പാദം
37,Ferse::N,orpo,ഉപ്പൂറ്റി
38,Ferse::N,oinburu,ഉപ്പൂറ്റി
39,Knie::N,belaun,കാൽമുട്ട്
40,Oberschenkel::N,izter,തുട
41,Bein::N,zango,കാൽ
42,Körper::N,soin,ശരീരം
43,Haut::N,azal,ചർമ്മം
44,Blut::N,odol,രക്തം
45,Ader::N,zain,ഞരമ്പ്
46,Sehne::N,gihar-zain,സ്നായു
47,Knochen::N,hezur,അസ്ഥി
48,Gehirn::N,garun,തലച്ചോറ്
49,Gehirn::N,burmuin,തലച്ചോറ്
50,Herz::N,bihotz,ഹൃദയം
51,Magen::N,urdail,വയർ
52,Leber::N,gibel,കരൾ
53,Atem::N,hats,ശ്വാസം
54,Atem::N,arnasa,ശ്വാസം
55,Hunger::N,gose,വിശപ്പ്
56,Träne::N,malko,കണ്ണീർ
57,Geschmack::N,dasta,രുചി
58,Geruch::N,usain,ഗന്ധം
59,Schlaf::N,lo,ഉറകും
60,Traum::N,amets,സ്വപ്നം
61,Himmel::N,zeru,ആകാശം
62,Sonne::N,eguzki,സൂര്യൻ
63,Mond::N,ilargi,ചന്ദ്രൻ
64,Stern::N,izar,നക്ഷത്രം
65,Luft::N,aire,കാറ്റ്
66,Wind::N,haize,കാറ്റ്
67,Welle::N,uhin,തിരമാല
68,Welle::N,olatu,തിരമാല
69,Wasser::N,ur,വെള്ളം
70,Stein::N,harri,ശില
71,Stein::N,harri,കല്ല്
72,Boden::N,lur,തറ
73,Boden::N,lur,നിലം
74,Boden::N,zoru,തറ
75,Boden::N,zoru,നിലം
76,Erde::N,lur,മണ്ണ്
77,Staub::N,hauts,പൊടി
78,Rauch::N,ke,പുക
79,Funke::N,zirta,തീപ്പൊരി
80,Funke::N,txinparta,തീപ്പൊരി
81,Feuer::N,su,തീ
82,Licht::N,argi,വിളക്ക്
83,Licht::N,argi,സൂര്യപ്രകാശം
84,Schatten::N,itzal,തണൽ
85,Schatten::N,geriza,തണൽ
86,Wetter::N,eguraldi,കാലാവസ്ഥ
87,Nebel::N,laino,മൂടൽമഞ്ഞ്
88,Wolke::N,hodei,മേഘം
89,Regen::N,euri,മഴ
90,Schnee::N,elur,മഞ്ഞ്
