,Concept_ID,kv,lv
0,Auge::N,син,син
1,Auge::N,син,acs
2,Ohr::N,пель,пель
3,Ohr::N,пель,auss
4,Nase::N,ныр,ныр
5,Nase::N,ныр,deguns
6,Mund::N,ӧм,вом
7,Mund::N,ӧм,mute
8,Zahn::N,пинь,пинь
9,Zahn::N,пинь,zobs
10,Zunge::N,кыв,кыв
11,Zunge::N,кыв,mēle
12,Lippe::N,тырп,вом дор
13,Lippe::N,тырп,lūpa
14,Wange::N,рожабан,бан
15,Wange::N,рожабан,vaigs
16,Gesicht::N,бан,чужӧм
17,Gesicht::N,бан,seja
18,Gesicht::N,бан,ģīmis
19,Stirn::N,кымӧс,плеш
20,Stirn::N,кымӧс,кымӧс
21,Stirn::N,кымӧс,piere
22,Haar::N,юрси,си
23,Haar::N,юрси,юрси
24,Haar::N,юрси,mats
25,Schnurrbart::N,уссэз,ус
26,Schnurrbart::N,уссэз,пыртсим
27,Schnurrbart::N,уссэз,ūsas
28,Bart::N,тош,тош
29,Bart::N,тош,bārda
30,Kinn::N,тшӧка,тшӧка
31,Kinn::N,тшӧка,zods
32,Kinn::N,тшӧка,smakrs
33,Kiefer[Anatomie]::N,ан,черлы
34,Kiefer[Anatomie]::N,ан,алака лы
35,Kiefer[Anatomie]::N,ан,вомкӧтш лы
36,Kiefer[Anatomie]::N,ан,žoklis
37,Kehle::N,юан,голя
38,Kehle::N,юан,rīkle
39,Hals::N,юан,сьылі
40,Hals::N,юан,kakls
41,Genick::N,юр бӧр,юрбӧр
42,Genick::N,юр бӧр,балябӧж
43,Genick::N,юр бӧр,sprands
44,Kopf::N,юр,юр
45,Kopf::N,юр,galva
46,Rücken::N,мышк,мыш
47,Rücken::N,мышк,mugura
48,Bauch::N,кынӧм,рушку
49,Bauch::N,кынӧм,vēders
50,Nabel::N,гӧг,гӧг
51,Nabel::N,гӧг,naba
52,Busen::N,морос,морӧс
53,Busen::N,морос,krūts
54,Brust::N,морос,морӧс
55,Brust::N,морос,krūts
56,Schulter::N,пельпон,пельпом
57,Schulter::N,пельпон,plecs
58,Arm::N,ки,ки
59,Arm::N,ки,roka
60,Arm::N,ки,delms
61,Ellenbogen::N,гырдзза,гырддза
62,Ellenbogen::N,гырдзза,elkonis
63,Hand::N,кикар,ки
64,Hand::N,кикар,roka
65,Hand::N,кикар,plauksta
66,Handfläche::N,ки пыдӧс,ки пыдӧс
67,Handfläche::N,ки пыдӧс,delna
68,Handfläche::N,ки пыдӧс,plauksta
69,Finger::N,чунь,чунь
70,Finger::N,чунь,pirksts
71,Fingernagel::N,гыж,гыж
72,Fingernagel::N,гыж,nags
73,Nagel[Anatomie]::N,гыж,гыж
74,Nagel[Anatomie]::N,гыж,nags
75,Zeh::N,чунь,кок чунь
76,Zeh::N,чунь,pirksts
77,Fuß::N,кокпыдӧс,кок
78,Fuß::N,кокпыдӧс,kāja
79,Ferse::N,кокдзир,кокбӧр
80,Ferse::N,кокдзир,papēdis
81,Knie::N,пидзӧс,пидзӧс
82,Knie::N,пидзӧс,celis
83,Oberschenkel::N,лядьбей,лядьвей
84,Oberschenkel::N,лядьбей,бек
85,Oberschenkel::N,лядьбей,ciska
86,Oberschenkel::N,лядьбей,augšstilbs
87,Bein::N,кок,кок
88,Bein::N,кок,kāja
89,Körper::N,вывтыр,туша
90,Körper::N,вывтыр,вывтыр
91,Körper::N,вывтыр,miesa
92,Körper::N,вывтыр,ķermenis
93,Haut::N,кучик,ку
94,Haut::N,кучик,āda
95,Blut::N,вир,вир
96,Blut::N,вир,asins
97,Ader::N,сӧн,сӧн
98,Ader::N,сӧн,asinsvads
99,Sehne::N,жила,вез
100,Sehne::N,жила,dzīsla
101,Knochen::N,коска,лы
102,Knochen::N,коска,kauls
103,Gehirn::N,вем,вем
104,Gehirn::N,вем,smadzenes
105,Herz::N,сьӧлӧм,сьӧлӧм
106,Herz::N,сьӧлӧм,sirds
107,Magen::N,жӧвдӧк,кынӧм
108,Magen::N,жӧвдӧк,kuņģis
109,Leber::N,мус,мус
110,Leber::N,мус,aknas
111,Atem::N,лолалӧм,лов
112,Atem::N,лолалӧм,elpa
113,Hunger::N,тшыг,тшыг
114,Hunger::N,тшыг,bads
115,Hunger::N,тшыг,izsalkums
116,Träne::N,синва,синва
117,Träne::N,синва,asara
118,Geschmack::N,кӧр,кӧр
119,Geschmack::N,кӧр,чӧсмӧс
120,Geschmack::N,кӧр,garša
121,Geruch::N,дук,зын
122,Geruch::N,дук,дук
123,Geruch::N,дук,smaka
124,Schlaf::N,он,узьӧм
125,Schlaf::N,он,miegs
126,Traum::N,вӧт,вӧт
127,Traum::N,вӧт,вӧтасьӧм
128,Traum::N,вӧт,sapnis
129,Himmel::N,небо,енэж
130,Himmel::N,небо,debess
131,Sonne::N,шондi,шонді
132,Sonne::N,шондi,saule
133,Mond::N,тӧлiсь,тӧлысь
134,Mond::N,тӧлiсь,mēness
135,Stern::N,кӧдзыв,кодзув
136,Stern::N,кӧдзыв,zvaigzne
137,Luft::N,ру,сынӧд
138,Luft::N,ру,gaiss
139,Wind::N,тӧв,тӧв
140,Wind::N,тӧв,vējš
141,Welle::N,гы,гы
142,Welle::N,гы,vilnis
143,Wasser::N,ва,ва
144,Wasser::N,ва,ūdens
145,Stein::N,из,из
146,Stein::N,из,akmens
147,Boden::N,му,му
148,Boden::N,му,augsne
149,Erde::N,му,му
150,Erde::N,му,му-ва
151,Erde::N,му,zeme
152,Staub::N,бус,бус
153,Staub::N,бус,putekļi
154,Rauch::N,тшын,тшын
155,Rauch::N,тшын,dūmi
156,Funke::N,бичир,кинь
157,Funke::N,бичир,би кинь
158,Funke::N,бичир,dzirkstele
159,Feuer::N,би,би
160,Feuer::N,би,uguns
161,Licht::N,би,югӧр
162,Licht::N,би,gaisma
163,Schatten::N,вуджӧр,вуджӧр
164,Schatten::N,вуджӧр,ēna
165,Wetter::N,погоддя,поводдя
166,Wetter::N,погоддя,laiks
