,Concept_ID,hi,kn
0,Auge::N,आँख,ಕಣ್ಣು
1,Auge::N,चक्षु,ಕಣ್ಣು
2,Ohr::N,कान,ಕಿವಿ
3,Ohr::N,कर्ण,ಕಿವಿ
4,Nase::N,नाक,ಮೂಗು
5,Nase::N,नासा,ಮೂಗು
6,Mund::N,मुख,ಬಾಯಿ
7,Mund::N,मुँह,ಬಾಯಿ
8,Zahn::N,दंत,ಹಲ್ಲು
9,Zahn::N,दाँत,ಹಲ್ಲು
10,Zunge::N,जीभ,ನಾಲಿಗೆ
11,Zunge::N,ज़बान,ನಾಲಿಗೆ
12,Zunge::N,जिह्वा,ನಾಲಿಗೆ
13,Lippe::N,ओंठ,ತುಟಿ
14,Lippe::N,होंठ,ತುಟಿ
15,Wange::N,गाल,ಗಲ್ಲ
16,Wange::N,कपोल,ಗಲ್ಲ
17,Gesicht::N,मुँह,ಮುಖ
18,Gesicht::N,चेहरा,ಮುಖ
19,Stirn::N,माथा,ಹಣೆ
20,Stirn::N,मस्तक,ಹಣೆ
21,Haar::N,बाल,ಕೂದಲು
22,Schnurrbart::N,मूँछें,ಮೀಸೆ
23,Bart::N,दाढ़ी,ಗಡ್ಡ
24,Kinn::N,चिबुक,ಗದ್ದ
25,Kiefer[Anatomie]::N,जबड़ा,ದವಡೆ
26,Kehle::N,गला,ಗಂಟಲು
27,Hals::N,गला,ಕೊರಳು
28,Hals::N,गरदन,ಕೊರಳು
29,Genick::N,गरदन,ಹಿಂಗತ್ತು
30,Genick::N,ग्रीवा,ಹಿಂಗತ್ತು
31,Kopf::N,सिर,ತಲೆ
32,Kopf::N,शीर्ष,ತಲೆ
33,Rücken::N,पीठ,ಬೆನ್ನು
34,Bauch::N,उदर,ಹೊಟ್ಟೆ
35,Nabel::N,नाभि,ಹೊಕ್ಕುಳು
36,Nabel::N,ढोंढी,ಹೊಕ್ಕುಳು
37,Busen::N,कुच,ಸ್ತನ
38,Busen::N,स्तन,ಸ್ತನ
39,Brust::N,वक्ष,ಎದೆ
40,Schulter::N,कंधा,ಭುಜ
41,Schulter::N,स्कंध,ಭುಜ
42,Arm::N,बाँह,ತೋಳು
43,Arm::N,बाज़ू,ತೋಳು
44,Ellenbogen::N,कुहनी,ಮೊಣಕೈ
45,Hand::N,हाथ,ಕೈ
46,Hand::N,हस्त,ಕೈ
47,Handfläche::N,हथेली,ಅಂಗೈ
48,Finger::N,उँगली,ಕೈಬೆರಳು
49,Finger::N,अँगुली,ಕೈಬೆರಳು
50,Fingernagel::N,नख,ಉಗುರು
51,Fingernagel::N,नाख़ून,ಉಗುರು
52,Nagel[Anatomie]::N,नख,ಉಗುರು
53,Nagel[Anatomie]::N,नाख़ून,ಉಗುರು
54,Zeh::N,उँगली,ಕಾಲ್ಬೆರಳು
55,Zeh::N,पाँव की उँगली,ಕಾಲ್ಬೆರಳು
56,Fuß::N,चरण,ಪಾದ
57,Fuß::N,पाँव,ಪಾದ
58,Ferse::N,एड़ी,ಹಿಮ್ಮಡಿ
59,Knie::N,जानु,ಮಂಡಿ
