,Concept_ID,az,ro
0,Auge::N,göz,ochi
1,Ohr::N,qulaq,ureche
2,Nase::N,burun,nas
3,Mund::N,ağız,gură
4,Zahn::N,diş,dinte
5,Zunge::N,dil,limbă
6,Lippe::N,dodaq,buză
7,Wange::N,yanaq,bucă
8,Wange::N,yanaq,obraz
9,Gesicht::N,üz,față
10,Gesicht::N,üz,figură
11,Stirn::N,alın,frunte
12,Haar::N,saç,păr
13,Schnurrbart::N,bığ,mustață
14,Bart::N,saqqal,barbă
15,Kinn::N,çənə,bărbie
16,Kiefer[Anatomie]::N,çənə,falcă
17,Kehle::N,boğaz,beregată
18,Hals::N,boyun,gât
19,Genick::N,ənsə,ceafă
20,Kopf::N,baş,cap
21,Rücken::N,bel,dos
22,Rücken::N,bel,spate
23,Rücken::N,bel,spinare
24,Bauch::N,qarın,burtă
25,Bauch::N,qarın,pântece
26,Nabel::N,göbək,buric
27,Busen::N,məmə,sân
28,Brust::N,döş,piept
29,Schulter::N,çiyin,umăr
30,Schulter::N,çiyin,spate
31,Arm::N,qol,braț
32,Ellenbogen::N,dirsək,cot
33,Hand::N,əl,mână
34,Handfläche::N,ovuc,palmă
35,Finger::N,barmaq,deget
36,Fingernagel::N,barmaq dırnağı,unghie
37,Nagel[Anatomie]::N,dırnak,unghie
38,Zeh::N,ayaq barmağı,deget de la picior
39,Fuß::N,ayaq,picior
40,Ferse::N,daban,călcâi
41,Knie::N,diz,genunchi
42,Oberschenkel::N,bud,coapsă
43,Bein::N,qıç,picior
44,Körper::N,əndam,corp
45,Haut::N,dəri,piele
46,Blut::N,qan,sânge
47,Ader::N,damar,vână
48,Ader::N,damar,arteră
49,Sehne::N,vətər,tendon
50,Knochen::N,sümük,os
51,Gehirn::N,beyin,creier
52,Herz::N,ürək,inimă
53,Magen::N,mədə,stomac
54,Leber::N,qara ciyər,ficat
55,Atem::N,nəfəs,răsuflare
56,Atem::N,nəfəs,respirație
57,Hunger::N,aclıq,foame
58,Träne::N,göz yaşı,lacrimă
59,Geschmack::N,tam,gust
60,Geschmack::N,ləzzət,gust
61,Geruch::N,qoxu,miros
62,Schlaf::N,yuxu,somn
63,Traum::N,röya,vis
64,Himmel::N,göy,cer
65,Himmel::N,səma,cer
66,Sonne::N,günəş,soare
67,Mond::N,ay,lună
68,Stern::N,ulduz,stea
69,Luft::N,hava,aer
70,Wind::N,yel,vânt
71,Wind::N,külək,vânt
72,Welle::N,dalğa,val
73,Welle::N,dalğa,undă
74,Wasser::N,su,apă
75,Stein::N,daş,piatră
76,Boden::N,yer,sol
77,Boden::N,yer,pământ
78,Boden::N,zəmin,sol
79,Boden::N,zəmin,pământ
80,Erde::N,yer torpaq,pământ
81,Staub::N,toz,praf
82,Rauch::N,tüstü,fum
83,Funke::N,qığılcım,scânteie
84,Feuer::N,od,foc
85,Licht::N,işıq,lumină
86,Schatten::N,kölgə,umbră
87,Wetter::N,hava,timp
88,Wetter::N,hava,vreme
89,Nebel::N,duman,ceață
90,Nebel::N,duman,negură
91,Wolke::N,bulud,nor
92,Regen::N,yağış,ploaie
93,Regen::N,yağmur,ploaie
94,Schnee::N,qar,zăpadă
95,Eis::N,buz,gheață
96,Frost::N,ayaz,ger
97,Kälte::N,soyuq,frig
98,Hitze::N,coşğunluq,arșiță
99,Hitze::N,coşğunluq,căldură
100,Raureif::N,qırov,chiciură
101,Regenbogen::N,göy qurşağı,curcubeu
102,Donner::N,göy gurultusu,tunet
103,Strömung::N,axın,curent
104,Tropfen::N,damcı,picătură
105,Schaum::N,köpük,spumă
106,Schmutz::N,çamır,murdărie
107,See::N,göl,lac
108,Sumpf::N,bataqlıq,mlaștină
109,Moor::N,bataqlıq,bărăgan
110,Wiese::N,çəmən,fânaț
111,Wiese::N,çəmən,livadă
112,Wald::N,meşə,codru
113,Wald::N,meşə,pădure
114,Hügel::N,təpə,deal
115,Hügel::N,təpə,movilă
116,Anhöhe::N,təpə,deal
117,Anhöhe::N,təpə,ridicătură
118,Berg::N,dağ,munte
119,Gipfel::N,zirvə,pisc
120,Höhle::N,mağara,peșteră
121,Abhang::N,yamac,pantă
122,Abhang::N,yamac,versant
123,Quelle::N,bulaq,izvor
124,Bach::N,kiçik çay,gârlă
125,Fluss::N,çay,râu
126,Fluss::N,çay,fluviu
127,Ufer::N,kənar,mal
128,Ufer::N,kənar,țărm
129,Küste::N,sahil,coastă
130,Festland::N,materik,uscat
131,Meer::N,dəniz,mare
132,Bucht::N,körfəz,golf
133,Insel::N,ada,insulă
134,Blume::N,çiçək,floare
135,Gras::N,ot,iarbă
136,Wurzel::N,kök,rădăcină
137,Baum::N,ağac,copac
138,Baum::N,ağac,arbore
139,Stamm::N,gövdə,tulpină
140,Rinde::N,qabıq,scoarță
141,Ast::N,şax,cracă
142,Ast::N,şax,creangă
143,Zweig::N,budaq,ramură
144,Zweig::N,budaq,creangă
145,Blatt::N,yarpaq,frunză
146,Birke::N,tozağacı,mesteacăn
147,Kiefer[Baum]::N,şam,pin
148,Weide[Baum]::N,söyüd,salcie
149,Weide[Baum]::N,söyüd,răchită
150,Tanne::N,küknar,brad
151,Horn::N,buynuz,corn
152,Feder::N,tük,pană
153,Feder::N,lələk,pană
154,Fell::N,xəz,piele
155,Flügel::N,qanad,aripă
156,Klaue::N,pəncə,gheară
157,Kralle::N,dırnaq,labă
158,Kralle::N,dırnaq,gheară
159,Schwanz::N,quyruq,coadă
160,Ei::N,yumurta,ou
161,Nest::N,yuva,cuib
162,Bau::N,yuva,bârlog
163,Bau::N,yuva,vizuină
164,Tier::N,heyvan,animal
165,Herde::N,sürü,turmă
166,Herde::N,sürü,cireadă
167,Kuh::N,inək,vacă
168,Bulle::N,öküz,taur
169,Pferd::N,at,cal
170,Schaf::N,qoyun,oaie
171,Schwein::N,donuz,porc
172,Hund::N,it,câine
173,Hund::N,köpək,câine
174,Katze::N,pişik,pisică
175,Bär::N,ayı,urs
176,Eichhörnchen::N,dələ,veveriță
177,Elch::N,sığın,elan
178,Fuchs::N,tülkü,vulpe
179,Hase::N,dovşan,iepure
180,Maus::N,siçan,șoarece
181,Wolf::N,qurd,lup
182,Vogel::N,quş,pasăre
183,Schwarm::N,sürü,cârd
184,Huhn::N,toyuq,găină
185,Hahn::N,xoruz,cocoș
186,Gans::N,qaz,gâscă
187,Adler::N,qartal,vultur
188,Adler::N,qaraquş,vultur
189,Ente::N,ördək,rață
190,Eule::N,bayquş,bufniță
191,Kranich::N,durna,cocor
192,Krähe::N,qarğa,cioară
193,Kuckuck::N,ququ,cuc
194,Schwan::N,qu quşu,lebădă
195,Fisch::N,balıq,pește
196,Barsch::N,tar,biban
197,Hecht::N,durnabalığı,știucă
198,Schlange[Tier]::N,ilan,șarpe
199,Wurm::N,qurd,vierme
200,Spinne::N,hörümçək,păianjen
201,Ameise::N,qarışqa,furnică
202,Laus::N,bit,păduche
203,Mücke::N,ağcaqanad,țânțar
204,Fliege::N,milçək,muscă
205,Schmetterling::N,kəpənək,fluture
206,Beere::N,gilə,boabă
207,Apfel::N,alma,măr
208,Pilz::N,göbələk,burete
209,Pilz::N,göbələk,ciupercă
210,Zwiebel::N,soğan,ceapă
211,Saat::N,əkin,semănătură
212,Korn::N,taxıl,grâu
213,Heu::N,quru ot,fân
214,Schale::N,qabıq,coajă
215,Grube::N,çuxur,groapă
216,Falle::N,tələ,cursă
217,Falle::N,tələ,capcană
218,Falle::N,duzaq,cursă
219,Falle::N,duzaq,capcană
220,Schlinge::N,ilmək,laț
221,Spur::N,iz,dâră
222,Asche::N,kül,cenușă
223,Dreck::N,kir,noroi
224,Dreck::N,kir,murdărie
225,Eisen::N,dəmir,fier
226,Gold::N,altun,aur
227,Silber::N,gümüş,argint
228,Kohle::N,kömür,cărbune
229,Glas::N,şüşə,sticlă
230,Lehm::N,gil,lut
231,Lehm::N,gil,humă
232,Lehm::N,palçıq,lut
233,Lehm::N,palçıq,humă
234,Sand::N,qum,nisip
235,Mensch::N,adam,om
236,Mensch::N,adam,persoană
237,Mensch::N,insan,om
238,Mensch::N,insan,persoană
239,Mann::N,kişi,om
240,Mann::N,kişi,bărbat
241,Frau::N,qadın,femeie
242,Kind::N,uşaq,copil
243,Junge::N,oğlan,băiat
244,Junge::N,oğlan,flăcău
245,Mädchen::N,qız,fată
246,Familie::N,ailə,familie
247,Großvater::N,baba,bunic
248,Großvater::N,baba,tată mare
249,Großmutter::N,nənə,bunică
250,Großmutter::N,nənə,mamă mare
251,Eltern::N,valideyn,părinți
252,Vater::N,ata,tată
253,Vater::N,ata,părinte
254,Mutter::N,ana,mamă
255,Sohn::N,oğul,fiu
256,Sohn::N,oğul,fecior
257,Tochter::N,qız,fiică
258,Bruder::N,qardaş,frate
259,Schwester::N,bacı,soră
260,Onkel::N,əmi,unchi
261,Onkel::N,dayı,unchi
262,Tante::N,bibi,mătușă
263,Ehemann::N,ər,soț
264,Ehemann::N,ər,bărbat
265,Ehefrau::N,arvad,soție
266,Freude::N,nəşə,bucurie
267,Freude::N,sevinc,bucurie
268,Gelächter::N,gülüş,râset
269,Gelächter::N,qəhqəhə,râset
270,Glück::N,səadət,fericire
271,Glück::N,xoşbəxtlik,fericire
272,Kummer::N,qəm,mâhnire
273,Kummer::N,kədər,mâhnire
274,Wunsch::N,arzu,dorință
275,Wunsch::N,arzu,deziderat
276,Lust::N,həvəs,poftă
277,Lust::N,həvəs,înclinare
278,Geist::N,ruh,duh
279,Geist::N,ruh,minte
280,Geist::N,ruh,suflet
281,Gedanke::N,fikir,gând
282,Gedanke::N,fikir,cuget
283,Gedanke::N,düşüncə,gând
284,Gedanke::N,düşüncə,cuget
285,Gedächtnis::N,xatir,memorie
286,Gedächtnis::N,hafizə,memorie
287,Verstand::N,ağıl,minte
288,Verstand::N,ağıl,intelect
289,Sinn::N,məna,sens
290,Sinn::N,məna,înțeles
291,Grund::N,səbəb,cauză
292,Grund::N,səbəb,pricină
293,Wahrheit::N,haqq,adevăr
294,Wahrheit::N,doğruluq,adevăr
295,Gespräch::N,söhbət,convorbire
296,Gespräch::N,söhbət,conversație
297,Gespräch::N,qonuşma,convorbire
298,Gespräch::N,qonuşma,conversație
299,Märchen::N,nağıl,basm
300,Märchen::N,nağıl,poveste
301,Erzählung::N,hekayə,poveste
302,Nachricht::N,xəbər,veste
303,Neuigkeit::N,xəbər,noutate
304,Neuigkeit::N,xəbər,actualitate
305,Neuigkeit::N,yenilik,noutate
306,Neuigkeit::N,yenilik,actualitate
307,Name::N,ad,nume
308,Rätsel::N,tapmaca,ghicitoare
309,Rede::N,nitq,discurs
310,Sprache::N,dil,limbă
311,Sprache::N,dil,limbaj
312,Stimme::N,səs,glas
313,Wort::N,söz,cuvânt
314,Wort::N,kəlmə,cuvânt
315,Zeichen::N,nişan,semn
316,Zeichen::N,nişan,semnal
317,Ruf::N,çığırtı,chemare
318,Lärm::N,gurultu,zgomot
319,Lärm::N,gurultu,tărăboi
320,Laut::N,səs,sunet
321,Ton::N,ton,ton
322,Lied::N,mahnı,cântec
323,Ruhe::N,sakitlik,odihnă
324,Ruhe::N,sakitlik,liniște
325,Leute::N,xalq,lume
326,Leute::N,xalq,oameni
327,Volk::N,millət,popor
328,Volk::N,millət,națiune
329,Arbeit::N,iş,lucru
330,Arbeit::N,əmək,lucru
331,Gast::N,qonaq,musafir
332,Gast::N,müsafir,musafir
333,Geschenk::N,hədiyyə,dar
334,Geschenk::N,hədiyyə,cadou
335,Spiel::N,oyun,joc
336,Spiel::N,tamaşa,joc
337,Gesellschaft::N,cəmiyyet,societate
338,Hilfe::N,kömək,ajutor
339,Hilfe::N,yardım,ajutor
340,Freund::N,dost,amic
341,Freund::N,dost,prieten
342,Kamerad::N,yoldaş,tovarăș
343,Angelegenheit::N,iş,afacere
344,Anzahl::N,say,număr
345,Anzahl::N,say,cantitate
346,Art::N,çeşid,fel
347,Art::N,çeşid,specie
348,Stück::N,dənə,bucată
349,Stück::N,parça,bucată
350,Teil::N,qisim,parte
351,Teil::N,qisim,porție
352,Hälfte::N,yarım,jumătate
353,Kreis::N,dairə,cerc
354,Kreuz::N,xaç,cruce
355,Linie::N,xətt,linie
356,Strich::N,cızıq,linie
357,Strich::N,cızıq,trăsătură
358,Abstand::N,məsafə,distanță
359,Abstand::N,məsafə,depărtare
360,Entfernung::N,məsafə,distanță
361,Entfernung::N,məsafə,depărtare
362,Entfernung::N,uzaqlıq,distanță
363,Entfernung::N,uzaqlıq,depărtare
364,Gegend::N,bölgə,regiune
365,Platz::N,yer,loc
366,Ort::N,yer,loc
367,Seite::N,yan,latură
368,Seite::N,tərəf,latură
369,Mitte::N,orta,centru
370,Gegenstand::N,şey,obiect
371,Sache::N,şey,lucru
372,Sache::N,şey,chestie
373,Rand::N,kənar,bordură
374,Kante::N,tiyə,muchie
375,Kante::N,tiyə,bordură
376,Kante::N,kənar,muchie
377,Kante::N,kənar,bordură
378,Ecke::N,bucaq,colț
379,Spitze::N,uc,vârf
380,Spitze::N,uc,creștet
381,Ende::N,son,capăt
382,Ende::N,axır,capăt
383,Loch::N,deşik,gaură
384,Winkel::N,guşə,colț
