,Concept_ID,kv,br
0,Auge::N,син,lagad
1,Ohr::N,пель,skouarn
2,Nase::N,ныр,fri
3,Mund::N,ӧм,genoù
4,Zahn::N,пинь,dant
5,Zunge::N,кыв,teod
6,Lippe::N,тырп,muzell
7,Wange::N,рожабан,chot
8,Gesicht::N,бан,dremm
9,Stirn::N,кымӧс,tal
10,Haar::N,юрси,blev
11,Schnurrbart::N,уссэз,mourenn
12,Bart::N,тош,barv
13,Kinn::N,тшӧка,groñj
14,Kiefer[Anatomie]::N,ан,javed
15,Kehle::N,юан,gouzoug
16,Hals::N,юан,gouzoug
17,Genick::N,юр бӧр,choug
18,Kopf::N,юр,penn
19,Rücken::N,мышк,kein
20,Bauch::N,кынӧм,kof
21,Nabel::N,гӧг,begel
22,Busen::N,морос,bronn
23,Brust::N,морос,bruched
24,Schulter::N,пельпон,skoaz
25,Arm::N,ки,brec'h
26,Ellenbogen::N,гырдзза,ilin
27,Hand::N,кикар,dorn
28,Handfläche::N,ки пыдӧс,palv
29,Finger::N,чунь,biz
30,Fingernagel::N,гыж,ivin
31,Nagel[Anatomie]::N,гыж,ivin
32,Zeh::N,чунь,biz-troad
33,Fuß::N,кокпыдӧс,troad
34,Ferse::N,кокдзир,seul
35,Knie::N,пидзӧс,glin
36,Oberschenkel::N,лядьбей,morzhed
37,Bein::N,кок,gar
38,Körper::N,вывтыр,korf
39,Haut::N,кучик,kroc'hen
40,Blut::N,вир,gwad
41,Ader::N,сӧн,gwazhi
42,Sehne::N,жила,stir
43,Knochen::N,коска,askorn
44,Gehirn::N,вем,empenn
45,Herz::N,сьӧлӧм,kalon
46,Magen::N,жӧвдӧк,stomog
47,Leber::N,мус,avu
48,Atem::N,лолалӧм,anal
49,Hunger::N,тшыг,naon
50,Träne::N,синва,daer
51,Geschmack::N,кӧр,blaz
52,Geruch::N,дук,c'hwezh
53,Schlaf::N,он,kousked
54,Traum::N,вӧт,hune
55,Himmel::N,небо,oabl
56,Sonne::N,шондi,heol
57,Mond::N,тӧлiсь,loar
58,Stern::N,кӧдзыв,steredenn
59,Luft::N,ру,aer
60,Wind::N,тӧв,avel
61,Welle::N,гы,houlenn
62,Wasser::N,ва,dour
63,Stein::N,из,maen
64,Boden::N,му,tachenn
65,Erde::N,му,douar
66,Staub::N,бус,poultr
67,Rauch::N,тшын,moged
68,Funke::N,бичир,ful
69,Feuer::N,би,tan
70,Licht::N,би,gouloù
71,Schatten::N,вуджӧр,disheol
72,Wetter::N,погоддя,amzer
73,Nebel::N,туман,brumenn
74,Wolke::N,кымӧр,koumoulenn
75,Regen::N,зэр,glav
76,Schnee::N,лым,erc'h
77,Eis::N,йы,skorn
78,Frost::N,мороз,rev
79,Kälte::N,кӧдзыт,yen
80,Hitze::N,ӧд,tommder
81,Raureif::N,кижа,frim
82,Regenbogen::N,енӧшка,gwareg-ar-glav
83,Donner::N,гым,kurun
84,Strömung::N,визывтӧм,red
85,Tropfen::N,тёп,bannac'h
86,Tropfen::N,тёп,takenn
87,Schaum::N,быг,spoum
