,Concept_ID,ba,en
0,Auge::N,күҙ,eye
1,Ohr::N,ҡолаҡ,ear
2,Nase::N,танау,nose
3,Mund::N,ауыҙ,mouth
4,Zahn::N,теш,tooth
5,Zunge::N,тел,tongue
6,Lippe::N,ирен,lip
7,Wange::N,яцаҡтар,cheek
8,Gesicht::N,бит,face
9,Stirn::N,маңлай,forehead
10,Haar::N,сәс,hair
11,Schnurrbart::N,мылтыҡ,moustache
12,Bart::N,һаҡал,beard
13,Kinn::N,эйэк,chin
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,jaw
15,Kehle::N,тамаҡ,throat
16,Hals::N,муйын,neck
17,Genick::N,соңҡа,nape
18,Kopf::N,баш,head
19,Rücken::N,арҡа,back
20,Rücken::N,арҡа,spine
21,Bauch::N,ҡорһаҡ,belly
22,Nabel::N,кендек,navel
23,Busen::N,күкрәк,bosom
24,Brust::N,түш,chest
25,Brust::N,түш,breast
26,Schulter::N,яурын,shoulder
27,Arm::N,ҡул,arm
28,Ellenbogen::N,терһәк,elbow
29,Hand::N,ҡул,hand
30,Hand::N,ҡул суғы,hand
31,Handfläche::N,ус төбө,palm
32,Finger::N,бармаҡ,finger
33,Fingernagel::N,тырнаҡ,fingernail
34,Nagel[Anatomie]::N,тырнаҡ,nail
35,Zeh::N,бармаҡ,toe
36,Fuß::N,табан,foot
37,Ferse::N,үксә,heel
38,Knie::N,тубыҡ,knee
39,Oberschenkel::N,сандыр,thigh
40,Bein::N,аяҡ,leg
41,Körper::N,тән,body
42,Haut::N,тире,skin
43,Blut::N,ҡан,blood
44,Ader::N,тамыр,vein
45,Sehne::N,һеңер,sinew
46,Sehne::N,тарамыш,sinew
47,Knochen::N,һойәк,bone
48,Gehirn::N,мейе,brain
49,Herz::N,йорәк,heart
50,Magen::N,ашҡаҙан,stomach
51,Leber::N,бауыр,liver
52,Atem::N,һулыш,breath
53,Hunger::N,аслыҡ,hunger
54,Träne::N,күҙ иәше,tear
55,Geschmack::N,тәм,flavour
56,Geschmack::N,тәм,flavor
57,Geruch::N,еҫ,odour
58,Geruch::N,еҫ,odor
59,Schlaf::N,йоҡлау,sleep
60,Traum::N,төш,dream
61,Himmel::N,күк,sky
62,Sonne::N,ҡояш,sun
63,Mond::N,ай,moon
64,Stern::N,йондоҙ,star
65,Luft::N,һауа,air
66,Wind::N,ел,wind
67,Welle::N,тулҡын,wave
68,Wasser::N,һыу,water
69,Stein::N,таш,stone
70,Boden::N,тупраҡ,soil
71,Boden::N,тупраҡ,ground
72,Erde::N,балсҡ,earth
73,Staub::N,туҙан,dust
74,Rauch::N,төтөн,smoke
