,Concept_ID,ca,bg
0,Auge::N,ull,око
1,Ohr::N,orella,ухо
2,Nase::N,nas,нос
3,Mund::N,boca,уста
4,Zahn::N,dent,зъб
5,Zunge::N,llēngua,език
6,Lippe::N,llavi,устна
7,Wange::N,galta,буза
8,Gesicht::N,cara,лице
9,Gesicht::N,cara,образ
10,Stirn::N,front,чело
11,Haar::N,cabēll,коса
12,Haar::N,cabēll,косъм
13,Schnurrbart::N,bigoti,мустаци
14,Bart::N,barba,брада
15,Kinn::N,mentó,брада
16,Kinn::N,mentó,брадичка
17,Kinn::N,barbeta,брада
18,Kinn::N,barbeta,брадичка
19,Kiefer[Anatomie]::N,queix,челюст
20,Kiefer[Anatomie]::N,mandíbula,челюст
21,Kehle::N,gola,гърло
22,Kehle::N,gorja,гърло
23,Hals::N,coll,врат
24,Genick::N,nuca,тил
25,Kopf::N,cap,глава
26,Rücken::N,esquena,гръб
27,Bauch::N,panxa,корем
28,Nabel::N,llombrígol,пъп
29,Busen::N,pit,бозка
30,Busen::N,mama,бозка
31,Brust::N,pit,гръд
32,Schulter::N,espatlla,рамо
33,Schulter::N,espatlla,плещи
34,Arm::N,braç,ръка
35,Ellenbogen::N,colze,лакът
36,Hand::N,mà,ръка
37,Hand::N,mà,китка
38,Handfläche::N,palma,длан
39,Finger::N,dit,пръст
40,Fingernagel::N,ungla,нокът
41,Nagel[Anatomie]::N,ungla,нокът
42,Zeh::N,dit del peu,пръст на крак
43,Fuß::N,peu,крак
44,Fuß::N,peu,нога
45,Ferse::N,taló,пета
46,Knie::N,genoll,коляно
47,Oberschenkel::N,cuixa,бедро
48,Bein::N,cama,крак
49,Bein::N,cama,нога
50,Körper::N,cos,тяло
51,Haut::N,pell,кожа
52,Blut::N,sang,кръв
53,Ader::N,vena,вена
54,Ader::N,vena,артерия
55,Sehne::N,tendó,жила
56,Sehne::N,tendó,сухожилие
57,Knochen::N,os,кост
58,Gehirn::N,cervell,мозък
59,Herz::N,cor,сърце
60,Magen::N,estómac,стомах
61,Leber::N,fetge,черен дроб
62,Atem::N,alè,дишане
63,Atem::N,hàlit,дишане
64,Hunger::N,fam,глад
65,Hunger::N,gana,глад
66,Träne::N,llàgrima,сълза
67,Geschmack::N,gust,вкус
68,Geschmack::N,sabor,вкус
69,Geruch::N,olor,миризма
70,Schlaf::N,son,сън
71,Traum::N,somni,сън
72,Himmel::N,celm,небе
73,Sonne::N,sol,слънце
74,Mond::N,lluna,луна
75,Mond::N,lluna,месец
76,Stern::N,estel,звезда
77,Stern::N,estrella,звезда
78,Luft::N,aire,въздух
79,Wind::N,vent,вятър
80,Welle::N,ona,вълна
81,Wasser::N,āigua,вода
82,Stein::N,pedra,камък
83,Boden::N,sòl,земя
84,Boden::N,sòl,почва
85,Erde::N,terra,земя
86,Erde::N,terra,почва
87,Staub::N,pols,прах
88,Rauch::N,fum,дим
89,Rauch::N,fum,пушек
90,Funke::N,guspira,искра
91,Funke::N,centella,искра
92,Feuer::N,foc,огън
93,Licht::N,llum,светлина
94,Schatten::N,ombra,сянка
95,Wetter::N,temps,време
96,Nebel::N,boira,мъгла
97,Wolke::N,núvol,облак
98,Regen::N,pluja,дъжд
99,Schnee::N,neu,сняг
100,Eis::N,gel,лед
101,Eis::N,glaç,лед
102,Frost::N,glaçada,мраз
103,Kälte::N,fred,студ
104,Hitze::N,calor,жега
105,Hitze::N,calor,горещина
106,Raureif::N,gebre,скреж
107,Raureif::N,gebre,слана
108,Regenbogen::N,arc iris,дъга
109,Donner::N,tro,гръм
110,Strömung::N,corrent,течение
111,Tropfen::N,gota,капка
112,Schaum::N,escuma,пяна
113,Schmutz::N,brutícia,кал
114,Schmutz::N,brutícia,мръсотия
115,See::N,llac,езеро
116,Sumpf::N,pantà,блато
117,Moor::N,pantà,мочурище
118,Wiese::N,prat,ливада
119,Wiese::N,prada,ливада
120,Wald::N,bosc,гора
121,Hügel::N,puig,рид
122,Hügel::N,puig,хълм
123,Hügel::N,pujol,рид
124,Hügel::N,pujol,хълм
125,Anhöhe::N,turó,могила
126,Anhöhe::N,turó,възвишение
127,Berg::N,muntanya,планина
128,Gipfel::N,cim,връх
129,Höhle::N,cova,пещера
130,Abhang::N,coster,склон
131,Abhang::N,coster,стръмнина
132,Quelle::N,font,извор
133,Bach::N,riera,поток
134,Fluss::N,riu,река
135,Ufer::N,riba,бряг
136,Küste::N,costa,бряг
137,Küste::N,costa,крайбрежие
138,Festland::N,terra ferma,суша
139,Meer::N,mar,море
140,Bucht::N,cala,залив
141,Bucht::N,badia,залив
142,Insel::N,illa,остров
143,Blume::N,flor,цвете
144,Gras::N,herba,трева
145,Wurzel::N,rel,корен
146,Wurzel::N,arrel,корен
147,Baum::N,arbre,дърво
148,Stamm::N,tronc,стъбло
149,Rinde::N,escorça,кора
150,Ast::N,branca,клон
151,Zweig::N,ram,клон
152,Blatt::N,fulla,лист
153,Birke::N,bedoll,бреза
154,Kiefer[Baum]::N,pi,бор
155,Weide[Baum]::N,salze,върба
156,Tanne::N,avet,ела
157,Horn::N,corn,рог
158,Horn::N,banya,рог
159,Feder::N,ploma,перо
160,Fell::N,pell,кожа
161,Flügel::N,ala,крило
162,Klaue::N,urpa,нокът
163,Kralle::N,grapa,нокът
164,Schwanz::N,cua,опашка
165,Ei::N,ou,яйце
166,Nest::N,niu,гнездо
167,Bau::N,cau,дупка
168,Tier::N,animāl,животно
169,Herde::N,ramat,стадо
170,Kuh::N,vaca,крава
171,Bulle::N,toro,бик
172,Pferd::N,cavāll,кон
173,Schaf::N,be,овца
174,Schaf::N,ovella,овца
175,Schwein::N,bacó,свиня
176,Hund::N,ca,куче
177,Hund::N,gos,куче
178,Katze::N,gat,котка
179,Bär::N,ós,мечка
180,Eichhörnchen::N,esquirol,катерица
181,Elch::N,ant,лос
182,Fuchs::N,guilla,лисица
183,Hase::N,llebre,заек
184,Maus::N,ratolí,мишка
185,Wolf::N,llop,вълк
186,Vogel::N,au,птица
