,Concept_ID,mhr,ru
0,Auge::N,шинча́,глаз
1,Ohr::N,пы́лыш,ухо
2,Nase::N,нер,нос
3,Mund::N,умша́,рот
4,Zahn::N,пӱй,зуб
5,Zunge::N,йы́лме,язык
6,Lippe::N,тӱ́рвӧ,губа
7,Wange::N,шӱ́ргӧ,щека
8,Gesicht::N,чури́й,лицо
9,Stirn::N,саҥга́,лоб
10,Haar::N,ӱп,волос
11,Haar::N,ӱп,волосы
12,Schnurrbart::N,ӧ́рыш,ус
13,Schnurrbart::N,ӧ́рыш,усы
14,Bart::N,понда́ш,борода
15,Kinn::N,оҥыла́ш,подбородок
16,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,челюсть
17,Kiefer[Anatomie]::N,пӱйората́,челюсть
18,Kehle::N,лога́р,горло
19,Hals::N,шӱй,шея
20,Genick::N,шӱйло́дыш,затылок
21,Kopf::N,вуй,голова
22,Rücken::N,туп,спина
23,Bauch::N,мӱ́шкыр,живот
24,Nabel::N,кы́лымде,пупок
25,Busen::N,чы́зе,женская грудь
26,Brust::N,оҥ,грудь
27,Schulter::N,ва́че,плечо
28,Arm::N,кид,рука
29,Ellenbogen::N,кынерву́й,локоть
30,Hand::N,кид,кисть
31,Hand::N,копа́,кисть
32,Handfläche::N,со́во,ладонь
33,Finger::N,парня́,палец
34,Fingernagel::N,кидкӱ́ч,ноготь
35,Fingernagel::N,парнягӱ́ч,ноготь
36,Nagel[Anatomie]::N,кӱч,ноготь
37,Zeh::N,йолварня́,палец
38,Fuß::N,йол,ступня
39,Fuß::N,йолкопа́,ступня
40,Ferse::N,тага́н,пята
41,Ferse::N,тага́н,пятка
42,Knie::N,пулву́й,колено
43,Oberschenkel::N,э́рде,бедро
44,Bein::N,йол,нога
45,Körper::N,кап,тело
46,Haut::N,кова́ште,кожа
47,Blut::N,вӱр,кровь
48,Ader::N,шӧн,вена
49,Ader::N,шӧн,сосуд
50,Sehne::N,шӧн,жила
51,Sehne::N,шӧн,тетива
52,Sehne::N,шӧн,сухожилие
53,Sehne::N,кӱсе́н,жила
54,Sehne::N,кӱсе́н,тетива
55,Sehne::N,кӱсе́н,сухожилие
56,Knochen::N,лу,кость
57,Gehirn::N,вем,мозг
58,Gehirn::N,вуйве́м,мозг
59,Herz::N,шӱм,сердце
60,Magen::N,пага́р,желудок
61,Leber::N,мокш,печень
62,Atem::N,шӱ́лыш,дух
63,Atem::N,шӱ́лыш,дыхание
64,Hunger::N,шужыма́ш,голод
65,Träne::N,шинчавӱ́д,слеза
66,Geschmack::N,там,вкус
67,Geruch::N,пуш,запах
68,Schlaf::N,о́мо,сон
69,Traum::N,йӱдо́мо,сновидение
70,Himmel::N,кава́,небо
71,Sonne::N,ке́че,солнце
72,Mond::N,ты́лзе,луна
73,Stern::N,шӱ́дыр,звезда
74,Luft::N,юж,воздух
75,Wind::N,марде́ж,ветер
76,Welle::N,то́лкын,волна
77,Wasser::N,вӱд,вода
78,Stein::N,кӱ,камень
79,Boden::N,рок,почва
80,Erde::N,мла́нде,земля
81,Staub::N,пура́к,пыль
82,Rauch::N,шикш,дым
83,Funke::N,сеске́м,искра
84,Funke::N,тулйы́п,искра
85,Feuer::N,тул,огонь
86,Licht::N,со́то,свет
87,Schatten::N,ӱ́мыл,тень
88,Wetter::N,иге́че,погода
89,Nebel::N,тӱтыра́,туман
90,Wolke::N,пыл,облако
91,Regen::N,йӱр,дождь
92,Schnee::N,лум,снег
93,Eis::N,ий,лед
94,Frost::N,чатлама́,мороз
95,Kälte::N,йӱ́штӧ,холод
96,Hitze::N,шо́кшо,жара
97,Raureif::N,пӧрш,иней
98,Raureif::N,по́кшым,иней
99,Regenbogen::N,шонанпы́л,радуга
100,Donner::N,кӱ́дырчӧ,гром
101,Strömung::N,йо́гын,течение
102,Tropfen::N,чӱча́лтыш,капля
103,Schaum::N,шоҥ,пена
104,Schmutz::N,лавыра́,грязь
105,See::N,ер,озеро
106,Sumpf::N,лӱ́кӧ,топь
107,Moor::N,куп,болото
108,Wiese::N,о́лык,луг
109,Wald::N,чодыра́,лес
110,Hügel::N,арка́,холм
111,Anhöhe::N,тӧва́,возвышенность
112,Anhöhe::N,кӱкшака́,возвышенность
113,Berg::N,ку́рык,гора
114,Gipfel::N,чаҥга́,вершина
115,Gipfel::N,курыкву́й,вершина
116,Höhle::N,пеще́р,пещера
117,Höhle::N,курыкпо́мыш,пещера
118,Abhang::N,та́йыл,склон
119,Quelle::N,важ,источник
120,Quelle::N,вӱдшинча́,источник
121,Bach::N,изэҥе́р,ручей
122,Fluss::N,эҥе́р,река
123,Ufer::N,сер,берег
124,Küste::N,вӱдтӱ́р,побережье
125,Festland::N,мла́нде,суша
126,Meer::N,те́ҥыз,море
127,Bucht::N,икса́,бухта
128,Insel::N,отро́,остров
129,Blume::N,пеле́дыш,цветок
130,Gras::N,шу́до,трава
131,Wurzel::N,вож,корень
132,Baum::N,пуше́ҥге,дерево
133,Stamm::N,йы́тыр,ствол
134,Rinde::N,шӱм,кора
135,Ast::N,укш,сук
136,Zweig::N,торма́к,ветвь
137,Blatt::N,лышта́ш,лист
138,Birke::N,куэ́,береза
139,Kiefer[Baum]::N,пӱ́нчӧ,сосна
140,Weide[Baum]::N,уа́,ива
141,Tanne::N,кож,ель
142,Horn::N,шур,рог
143,Feder::N,пы́стыл,перо
144,Fell::N,кова́ште,шкура
145,Flügel::N,шу́лдыр,крыло
146,Klaue::N,кӱч,коготь
147,Kralle::N,ла́па,лапа
148,Kralle::N,копа́,лапа
149,Schwanz::N,поч,хвост
150,Ei::N,му́но,яйцо
151,Nest::N,пыжа́ш,гнездо
152,Bau::N,пыжа́ш,нора
153,Tier::N,я́нлык,животное
154,Tier::N,живо́тный,животное
155,Herde::N,кӱ́тӱ,стадо
156,Herde::N,тӱшка́,стадо
157,Kuh::N,ушка́л,корова
158,Bulle::N,ӱ́шкыж,бык
159,Pferd::N,и́мне,лошадь
160,Schaf::N,шо́рык,овца
161,Schwein::N,сӧсна́,свинья
162,Hund::N,пий,собака
163,Katze::N,пы́рыс,кошка
164,Bär::N,маска́,медведь
165,Eichhörnchen::N,ур,белка
166,Elch::N,шо́рдо,лось
167,Fuchs::N,ры́выж,лиса
168,Hase::N,мера́ҥ,заяц
169,Maus::N,коля́,мышь
170,Wolf::N,пи́ре,волк
171,Vogel::N,ка́йык,птица
172,Schwarm::N,каша́к,стая
173,Huhn::N,чы́ве,курица
174,Hahn::N,агыта́н,петух
175,Gans::N,ко́мбо,гусь
176,Adler::N,карагу́ш,орел
177,Ente::N,лу́до,утка
178,Eule::N,тумна́,сова
179,Kranich::N,турня́,журавль
180,Krähe::N,кора́к,ворона
181,Kuckuck::N,куку́,кукушка
182,Schwan::N,йӱ́ксӧ,лебедь
183,Fisch::N,кол,рыба
184,Barsch::N,ола́ҥге,окунь
185,Hecht::N,нуж,щука
186,Hecht::N,чорта́н,щука
187,Schlange[Tier]::N,ки́шке,змея
188,Wurm::N,шукш,червяк
189,Spinne::N,эҥыре́мыш,паук
190,Ameise::N,ку́тко,муравей
191,Laus::N,тий,вошь
192,Mücke::N,шыҥа́,комар
193,Fliege::N,ка́рме,муха
194,Schmetterling::N,лы́ве,бабочка
195,Beere::N,мӧр,ягода
196,Apfel::N,олма́,яблоко
197,Pilz::N,по́ҥго,гриб
198,Zwiebel::N,шога́н,луковица
