,Concept_ID,br,ko
0,Auge::N,lagad,눈
1,Ohr::N,skouarn,귀
2,Nase::N,fri,코
3,Mund::N,genoù,입
4,Zahn::N,dant,이
5,Zunge::N,teod,혀
6,Lippe::N,muzell,입술
7,Wange::N,chot,뺨
8,Gesicht::N,dremm,얼굴
9,Stirn::N,tal,이마
10,Haar::N,blev,털
11,Schnurrbart::N,mourenn,윗수몀
12,Schnurrbart::N,mourenn,코밑수염
13,Bart::N,barv,수엄
14,Kinn::N,groñj,아래턱
15,Kiefer[Anatomie]::N,javed,턱
16,Kehle::N,gouzoug,인후
17,Hals::N,gouzoug,목
18,Genick::N,choug,먹덜이
19,Kopf::N,penn,머리
20,Rücken::N,kein,든
21,Bauch::N,kof,배
22,Nabel::N,begel,배꼽
23,Busen::N,bronn,가슴속
24,Brust::N,bruched,가슴
25,Schulter::N,skoaz,어깨
26,Arm::N,brec'h,팔
27,Ellenbogen::N,ilin,팔쿰치
28,Hand::N,dorn,손
29,Handfläche::N,palv,손바닥
30,Finger::N,biz,속가락
31,Fingernagel::N,ivin,손톱
32,Nagel[Anatomie]::N,ivin,손톱
33,Zeh::N,biz-troad,발가락
34,Fuß::N,troad,발
35,Ferse::N,seul,발꿈치
36,Knie::N,glin,무릎
37,Oberschenkel::N,morzhed,허벅다리
38,Bein::N,gar,다리
39,Körper::N,korf,구간
40,Haut::N,kroc'hen,살갗
41,Blut::N,gwad,피
42,Ader::N,gwazhi,정맥
43,Sehne::N,stir,현
44,Knochen::N,askorn,뼈
45,Gehirn::N,empenn,뇌
46,Gehirn::N,empenn,뇌수
47,Herz::N,kalon,염통
48,Magen::N,stomog,위
49,Leber::N,avu,간
50,Atem::N,anal,기식
51,Hunger::N,naon,공복
52,Träne::N,daer,눈물
53,Geschmack::N,blaz,기호
54,Geruch::N,c'hwezh,냄새
55,Schlaf::N,kousked,수면
56,Traum::N,hune,쿰
57,Himmel::N,oabl,하늘
58,Sonne::N,heol,해
59,Mond::N,loar,달
60,Stern::N,steredenn,별
61,Luft::N,aer,동준
62,Luft::N,aer,가스채
63,Wind::N,avel,바람
64,Welle::N,houlenn,물결
65,Wasser::N,dour,물
66,Stein::N,maen,돌
67,Boden::N,tachenn,바닥
68,Erde::N,douar,흙
69,Staub::N,poultr,먼지
