,Concept_ID,br,sah
0,Auge::N,lagad,харах
1,Ohr::N,skouarn,кулгаах
2,Nase::N,fri,мурун
3,Mund::N,genoù,айах
4,Zahn::N,dant,тиис
5,Zunge::N,teod,тыл
6,Lippe::N,muzell,уос
7,Wange::N,chot,иэдэс
8,Gesicht::N,dremm,сирэй
9,Stirn::N,tal,сүүс
10,Haar::N,blev,баттах
11,Schnurrbart::N,mourenn,уос бытыга
12,Bart::N,barv,сэҥийэ бытыга
13,Kinn::N,groñj,сэҥийэ
14,Kiefer[Anatomie]::N,javed,сыҥаах
15,Kehle::N,gouzoug,тамах
16,Kehle::N,gouzoug,күөмэй
17,Hals::N,gouzoug,моой
18,Genick::N,choug,кэтэх
19,Kopf::N,penn,бас
20,Rücken::N,kein,көҕүс
21,Bauch::N,kof,ис
22,Nabel::N,begel,киин
23,Busen::N,bronn,эмиий
24,Brust::N,bruched,түөс
25,Schulter::N,skoaz,сарын
26,Arm::N,brec'h,илии
27,Ellenbogen::N,ilin,тоҕонох
28,Hand::N,dorn,илии
29,Handfläche::N,palv,ытыс
30,Finger::N,biz,тарбах
31,Fingernagel::N,ivin,тыҥырах
32,Nagel[Anatomie]::N,ivin,тыҥырах
33,Zeh::N,biz-troad,тарбах
34,Fuß::N,troad,уллуҥах
35,Ferse::N,seul,тилэх
36,Knie::N,glin,тобук
37,Knie::N,glin,дьилбэк
38,Oberschenkel::N,morzhed,уллук
39,Oberschenkel::N,morzhed,өттүк
40,Bein::N,gar,атах
41,Körper::N,korf,бэйэ
42,Haut::N,kroc'hen,тирии
43,Blut::N,gwad,хаан
44,Ader::N,gwazhi,вена
45,Ader::N,gwazhi,күөх_тымыр
46,Sehne::N,stir,иҥиир
47,Knochen::N,askorn,уҥуох
48,Knochen::N,askorn,уҥгуох
49,Gehirn::N,empenn,мэйии
50,Herz::N,kalon,сүрэх
51,Magen::N,stomog,куртах
52,Leber::N,avu,быар
53,Atem::N,anal,тыын
54,Hunger::N,naon,аас
55,Träne::N,daer,харах уута
56,Geschmack::N,blaz,амтан
57,Geruch::N,c'hwezh,сыт
58,Schlaf::N,kousked,утуйуу
59,Traum::N,hune,түүл
60,Himmel::N,oabl,халлаан
61,Sonne::N,heol,күн
62,Mond::N,loar,ый
63,Stern::N,steredenn,сулус
64,Luft::N,aer,салгын
65,Wind::N,avel,тыал
66,Welle::N,houlenn,долгун
67,Welle::N,houlenn,балхаан
